"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recio4vYjPKqOxO9C","alveary-recFFiotkifjy7yv5","1","1","15m Geography: Grade 1 - Lesson 1","<p>Shape of Earth<br>⍞ Materials: Elementary Geography, orange or styrofoam ball, pen or marker</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Lesson 1-2 p.3-6 &quot;Sun, Moon, and&quot; - &quot;fourth lesson.&quot;</p><p>➜ DEMONSTRATE<br>Using the ball or orange, demonstrate the activity from p.6.</p>","<p>★ TEACHER TIP<br>Students should also be encouraged to narrate using Legos, puppets, or by acting out the scene.</p>","","Lesson","0","FALSE"
"alveary-recio4vYjPKqOxO9C","alveary-recs8Dbui9e8Yk2PP","1","2","15m Geography: Grade 1 - Lesson 2","<p>Shape of Earth cont'd<br>⍞ Materials: Elementary Geography, globe, a small object like a toy car</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ OBSERVE<br>Place the car or small object on the globe and start spinning the globe slowly. If you continue to do this, are there times you cannot see the object? If so, when?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Lesson 4 p.11-12 &quot;We cannot go&quot; - &quot;as the land.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recio4vYjPKqOxO9C","alveary-recM4W8Re9nAwByaj","2","1","15m Geography: Grade 1 - Lesson 3","<p>The Earth Turns<br>⍞ Materials: What Makes Day &amp; Night, ball</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ DEMONSTRATE<br>Can you spin a ball on your finger? Try it.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.6-15 &quot;We all live&quot; - &quot;day and night.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recio4vYjPKqOxO9C","alveary-recnyIU4JOibKjbLv","2","2","15m Geography: Grade 1 - Lesson 4","<p>The Earth Turns<br>⍞ Materials: What Makes Day &amp; Night, lamp</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.16-24 &quot;Imagine you&quot; - &quot;from night to day.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recio4vYjPKqOxO9C","alveary-recpugBnVzffkVNI8","3","1","15m Geography: Grade 1 - Lesson 5","<p>Sunrise and Sunset<br>⍞ Materials: What Makes Day &amp; Night</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.24-30 &quot;You can see&quot; - &quot;the planet earth.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recio4vYjPKqOxO9C","alveary-reca3J0plJb6HzCFR","3","2","15m Geography: Grade 1 - Lesson 6","<p>Build a Model<br>⍞ Materials: blocks, Legos, or other objects</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ MODELING DAY<br>Use blocks, Legos, or other objects to make a model of a room (bedroom, classroom, etc.), making sure to orient the model so that it is parallel to the room. See picture for an example.</p><p>➜ VIEW<br>∞ Image Link: Room Model<br>∞ Image Link: Model Showing Orientation</p><p>➜ NOTE<br>Keep model for next and other future lessons, or take a picture so you can easily rebuild it.</p>","","https://planning.alveary.org/links.html?id=recio4vYjPKqOxO9C&term=1&week=3","Lesson","0","FALSE"
"alveary-recio4vYjPKqOxO9C","alveary-recfjqPAKWVIKpWUX","4","1","15m Geography: Grade 1 - Lesson 7","<p>Hide &amp; Seek with Model<br>⍞ Materials: model of room from the previous lesson, a penny or another small object, a small sticker or sticky note</p><p>PREP: Hide one object in the room. Place a sticker or other marker on the model to show where it is hidden.</p><p>➜ RECAP<br>What model did you make last week?</p><p>➜ PLAY<br>Have student look at the model to determine where the object is hidden and then go find it. Take turns hiding and finding objects.</p><p>➜ VIEW<br>∞ Image Link: Hide and Seek Room Model</p><p>➜ NOTE<br>Keep the model for future lessons, or take a picture so you can easily rebuild it.</p>","","https://planning.alveary.org/links.html?id=recio4vYjPKqOxO9C&term=1&week=4","Lesson","0","FALSE"
"alveary-recio4vYjPKqOxO9C","alveary-recWNKk7HQ1rKk3tP","4","2","15m Geography: Grade 1 - Lesson 8","<p>⍞ Materials: Me on the Map</p><p>➜ RECAP<br>What did we play last time with your model?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.1-25 &quot;This is me&quot; - &quot;me on the map.&quot;</p><p>➜ NOTE<br>The book is read in its entirety today, and future lessons will focus on specific pages. This book is not numbered, so assume p.1 is the &quot;This is me.&quot; page. Please note the error on p.11.  Alabama and Mississippi should be switched.</p>","<p>★ TEACHER TIP<br>Students should also be encouraged to narrate using Legos, puppets, or by acting out the scene.</p>","","Lesson","0","FALSE"
"alveary-recio4vYjPKqOxO9C","alveary-rec4eovovLeAeHScd","5","1","15m Geography: Grade 1 - Lesson 9","<p>Me on the Map Room Study<br>⍞ Materials: Me on the Map</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.1-4 &quot;This is me&quot; - &quot;map of my house.&quot;</p><p>➜ VIEW &amp; DISCUSS<br>Look at the pictures on p.2-3. Take turns matching the picture of the real object on p.2 with its symbol on p.3. Find the child's bedroom on p.4 by matching it to the symbol bedroom on p.3.</p>","","","Lesson","0","FALSE"
"alveary-recio4vYjPKqOxO9C","alveary-recsUKUcZ7HQgjySN","5","2","15m Geography: Grade 1 - Lesson 10","<p>Model to Symbol Map<br>⍞ Materials: model of room from lesson 7</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ MODELING DAY<br>Using the model for help, draw a symbol map of the room like in Me on the Map.</p><p>➜ VIEW<br>∞ Image Link: Map from Room Model</p><p>➜ NOTE<br>Keep symbol map for next lesson.</p>","","https://planning.alveary.org/links.html?id=recio4vYjPKqOxO9C&term=1&week=5","Lesson","0","FALSE"
