"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-reciy1wYX8vEpCfef","alveary-recHzeLo72Xv7Utsr","1","1","45m Art: High School Fast Track - Lesson 1","<p>Understanding &amp; Preparing Supplies<br>⍞ Materials: watercolors, paper towels, water cup, round #6, 8, 10, or 12 paint brush (using the largest brush you have is the best), spray bottle, watercolor palette, Quinacridone Pink, Prussian Blue, and Hansa Yellow, water, cloth, Art book, waterproof pen</p><p>PREP: Students will watch the teacher tutorials to be self-sufficient throughout this course.</p><p>➜ INTRO <br>• Students will begin by watching tutorials on preparing their palettes by <br>  labeling, proper brush care, and cleaning &quot;dirty&quot; paint from their palettes. <br>• Read the names of the watercolors on the tubes (Quinacridone pink, <br>  Prussian blue, &amp; Hansa yellow). These three colors are primary colors.<br>  Prepare the watercolor palette with the three primary colors. Watch the <br>  tutorial on how to do this. <br>∞ Video Tutorial: Preparing and Cleaning Your Palette<br>• Be sure to clean your brush thoroughly between colors. It is important to <br>  keep your paints clean!<br>∞ Video Tutorial: Brush Care <br>• Watch the tutorial on how to label your palette.<br>∞ Video Tutorial: Label Your Palette</p><p>➜ PRACTICE<br>• Label your palette with a waterproof pen such as an Extra-Fine Sharpie.<br>• Mix secondary colors in clean wells between the primary colors that <br>  create them. Orange goes between red and yellow. Purple between <br>  blue and red. And green between yellow and blue. You will be using <br>  these colors throughout the year, so try to mix a significant amount. <br>  We will begin painting primary and secondary colors in the next lesson.</p><p>➜ DISCUSS<br>What was noticed or discovered?</p><p>➜ NOTE<br>Students should clean up at the end of each lesson. Clean, dry, and store the brush. Leave the palette open to dry.</p><p>★ Student TIP<br>Use the skills and techniques learned in art lessons anytime you paint or do nature study. This will help you develop good habits and the ability to draw and paint whatever you'd like.</p><p>TERMINOLOGY<br>☐ Medium refers to the art tools used, such as graphite, pastel, watercolor, etc. Media is the plural of medium.</p><p>☐ Pastels are called “crayons&quot; in Drawing, Design, and Craft-Work by Glass. Our modern crayons are not equivalent, as they have wax as a binder. Pastels are considered a painting medium and can be referred to as either painting or drawing, just as watercolors can be called painting or brush drawing.</p><p>☐ Art books refer to mixed media books that accept dry and wet media without wrinkling or bleeding.</p>","","https://planning.alveary.org/links.html?id=reciy1wYX8vEpCfef&term=1&week=1","Lesson","0","FALSE"
"alveary-reciy1wYX8vEpCfef","alveary-recPx5itrM32mzlgt","1","2","45m Art: High School Fast Track - Lesson 2","<p>Color Theory- Primary &amp; Secondary Colors<br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art book, printed color wheel</p><p>PREP: Print the color wheel on white cardstock. You will refer back to this color wheel throughout the term. It is a good idea to glue or tape it to the inside of your Art book.<br>∞ Link: Basic Color Wheel</p><p>➜ RECAP<br>• Recall the names of the watercolors. (Quinacridone pink, Prussian blue &amp;<br>  Hansa yellow)<br>• Recall what those three colors are. (Primary colors)<br>• Recall what mixing two primaries together makes. (Secondary colors). <br>• Recall how to mix each of the secondaries.<br>• Recall how to clean &quot;dirty&quot; paints.<br>• Recall what to do between colors. (CLEAN YOUR BRUSH!!) It is important <br>  to keep your paints clean!!</p><p>➜ INTRO<br>After watching tutorial videos, you will fill in your color wheel with primary and secondary colors.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Tutorial: Watercolor Color Wheel Primary L1 L53<br>∞ Video Tutorial: Watercolor Color Wheel Secondary L1 L54</p><p>➜ PRACTICE<br>• Students will paint each primary color in the appropriate place on their <br>  color wheel. The placement of each color is exact. If the student <br>  accidentally places a color in the wrong section, throw away that color <br>  wheel and print a new one to begin again. <br>• Next, students will paint each secondary color in the appropriate place <br>  on their color wheel. The placement of each color is exact. If the student <br>  accidentally places a color in the wrong section, throw away that color <br>  wheel and print a new one to begin again. <br>• Set it aside to dry.<br>• Students will refer back to this color wheel, so it is a good idea to keep it <br>  in a handy place. Perhaps, cut it out and paste it into the cover of the <br>  students' Art book.</p>","","https://planning.alveary.org/links.html?id=reciy1wYX8vEpCfef&term=1&week=1","Lesson","0","FALSE"
"alveary-reciy1wYX8vEpCfef","alveary-recttUi6JKzTN6rtP","2","1","45m Art: High School Fast Track - Lesson 3","<p>Color Theory with Pastels<br>⍞ Materials: color wheel, red, blue &amp; yellow pastel (try to get close to the primaries you have in watercolor), paper towels, hair spray, or other pastel fixative</p><p>PREP: Print the color wheel on white cardstock. You will refer to this color wheel for the term. Glue or tape it to the inside of your Art book. One idea is to have your watercolor color wheel in the front of your book and your pastel color wheel in the back of your Art book.<br>∞ Link: Basic Color Wheel</p><p>➜ NOTE <br>It is important to understand that color theory is basically the same throughout all media. You will learn to mix your colors in pastels just as you will learn to mix them in watercolors. You will have this knowledge to apply for the entirety of your life, whether painting houses, cars, nails, plastic models, or being an artist.</p><p>➜ RECAP<br>• Recall the names of the primary colors.<br>• Recall what mixing two primaries together makes. (Secondary colors). <br>• Recall how to mix each of the secondaries.</p><p>➜ INTRO<br>You will learn to clean dirty pastels just as you must clean dirty watercolors. It is important to clean your fingers as you work with pastels, just as you must clean your paintbrush in order to keep from accidentally mixing colors. You will need to choose three primaries from your pastels. Try to find colors that are the reddest red, bluest blue, and most true yellow, but don't spend too much time stressing over it, as you will learn that different primaries equal different rainbows.</p><p>➜ PRACTICE<br>• Watch the tutorial on creating a pastel color wheel and then fill in your color wheel in the same way.<br>∞ Video Tutorial: Color Theory with Pastels L2 L1 &amp; L3 L25<br>• Watch the tutorial on making different rainbows with different primaries.<br>∞ Video Tutorial: Different Primaries = Different Rainbows L7 L1</p>","","https://planning.alveary.org/links.html?id=reciy1wYX8vEpCfef&term=1&week=2","Lesson","0","FALSE"
"alveary-reciy1wYX8vEpCfef","alveary-rec0POckKO0SBunnl","2","2","45m Art: High School Fast Track - Lesson 4","<p>Color Theory- Adding Tertiary Colors<br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art book, printed color wheel</p><p>PREP: Print out your expanded color wheel to fill in. Spray your watercolor palette before beginning so that your paints have time to loosen up before you need them. <br>∞ Link: Color Wheel</p><p>➜ NOTE <br>This color wheel has 12 places for adding colors. Use the color wheel example to help you place your colors in their proper triangles. Your color wheel will be wrong if you get off one color. <br>∞ Image Link: Example of Expanded Color Wheel</p><p>➜ RECAP<br>• Recall the names of the watercolors. (Quinacridone pink, Prussian blue &amp; <br>  Hansa yellow)<br>• Recall what those three colors are. (Primary colors)<br>• Recall what mixing two primaries together makes. (Secondary colors). <br>• Recall how to mix each of the secondaries.<br>• Recall how to clean &quot;dirty&quot; paints.<br>• Recall what to do between colors. (CLEAN YOUR BRUSH!!) It is important <br>  to keep your paints clean!!</p><p>➜ INTRO<br>In this lesson, we are going to create an expanded color wheel. When you mix a primary color with a secondary color, you get a tertiary (ter\*she\*air\*ee) color. These are red-purple, red-orange, yellow-orange, yellow-green, blue-green, and blue-purple. Notice that you always list the primary color and then the secondary color.</p><p>➜ PRACTICE<br>Follow along with the tutorial video. You will mix the six new colors in your palette and paint all of your colors in the proper space on your color wheel. <br>∞ Video Tutorial: Create an Expanded Color Wheel L4 L49, L5 L1, &amp; L6 L25</p>","","https://planning.alveary.org/links.html?id=reciy1wYX8vEpCfef&term=1&week=2","Lesson","0","FALSE"
"alveary-reciy1wYX8vEpCfef","alveary-recoAYysCYBmGzTYn","3","1","45m Art: High School Fast Track - Lesson 5","<p>Color Theory: Complementary Colors<br>⍞ Materials: glue stick, Art book, scissors, 1/8th of a sheet of construction paper in red, orange, yellow, green, blue, and purple, Color by Betty Edwards (optional)</p><p>PREP: In order to get one eighth of a sheet of paper, cut a normal size (either 8 1/2 x 11&quot; or 9 x 12&quot;) in half, cut a half in half- that gives you a quarter, and then cut the quarter in half, and you have 1/8th of the paper.</p><p>➜ INTRO<br>We will work with complementary colors of construction paper for this lesson. Take time to think through and linger over what you are seeing when you do the work until you get to a place of understanding. In the tutorial, the mention is made of someone giving a compliment to another, and how that is like the colors complementing each other. Notice the spelling of each word. Compliment is what one person may give to another, while complements are what colors are to each other. The word, complement, actually means &quot;to make complete.&quot; The analogy is made in order to help you remember that complementary colors look good together. Complements go well together because they complete the trio of primary colors. For example, blue and orange, which is red+yellow or purple, which is blue+red, and yellow, etc.  However, if you mix these colors together in equal proportions, as we will see in the next lesson, you will end up with brown.<br>If you have the book Color by Betty Edwards, read about complementary colors on p.25-26.</p><p>➜ PRACTICE<br>Follow along with the video as you work in your Art book.<br>∞ Video Tutorial: Complementary Colors L2 L6<br>Don't forget to clean up.</p>","","https://planning.alveary.org/links.html?id=reciy1wYX8vEpCfef&term=1&week=3","Lesson","0","FALSE"
"alveary-reciy1wYX8vEpCfef","alveary-recrs73vwFhNSbQHV","3","2","45m Art: High School Fast Track - Lesson 6","<p>Color Theory- Mixing Browns<br>⍞ Materials: Art book, pencil, watercolors, brush, water, cloth, spray bottle</p><p>PREP: Spray your watercolors at the beginning, before you start, so they have time to soften.</p><p>➜ INTRO<br>We will continue to work with complementary colors. You will be practicing mixing your complements in equal proportions to get 12 different browns. You will watch the tutorial video, but recognize that the primaries you are working with are different from the primaries in the tutorial. However, the concepts are exactly the same. Your yellow is yellow whether it is Hansa yellow or quinacridone gold, etc.</p><p>➜ PRACTICE<br>1\. Watch the tutorial all the way through before beginning your work.<br>∞ Video Tutorial: Mixing Browns L7 L5<br>2\. Set up 6 swatches on one page in your Art book. <br>3\. Mix red + green in equal proportions and paint the resulting brown in <br>   the first square. Label the square with the colors you used.<br>4\. Mix red-orange with blue-green in equal proportions and paint the <br>    resulting brown in the next box. Label the box with the colors you used. <br>5\. Mix orange and blue in equal proportions and paint the resulting brown <br>    in the next box. Label the box. <br>6\. Continue in this way until you have mixed brown from each of the 6 <br>    sets of complements in your expanded color wheel. Label everything <br>    so that when you need to mix a color while creating a work of art, you <br>    will have a color chart to refer to and know how to get that color again. <br>7\. Don't forget to clean up.</p>","","https://planning.alveary.org/links.html?id=reciy1wYX8vEpCfef&term=1&week=3","Lesson","0","FALSE"
"alveary-reciy1wYX8vEpCfef","alveary-recJwOYmyuhKehoZ6","4","1","45m Art: High School Fast Track - Lesson 7","<p>Color Theory- Mixing Browns<br>⍞ Materials: Art book, pencil, pastels, paper towels</p><p>➜ INTRO<br>It is important to practice the same color theory skills in multiple media. For this lesson, you will go through the same exercise of mixing browns.<br>You will likely have two or maybe three browns in your pastel box, but you are not limited to only using those browns when pastel painting. You have so many browns at your fingertips if you know how to properly use your pastels.</p><p>➜ PRACTICE<br>First, you will need to pick out your 12 colors in your color wheel from your pastels. You will need a red, red-orange, orange, yellow-orange, yellow, yellow-green, green, blue-green, blue, blue-purple, purple, and red-purple. If you do not have one of the colors, then you will need to mix it from other primaries and secondaries when you need it. For example, if you do not have a red-purple color to mix with your yellow-green, then mix red and purple together first, and then mix yellow-green with it. <br>Draw six swatches on a new page in your Art book. Remember to label your page as &quot;Mixing Browns with Pastels.&quot; In the first box, mix your red pastel with your green pastel and label the box. Next, mix red-orange with blue-green and label the box. Continue mixing the complements in equal proportions to get different browns. When you have mixed all of your browns using your pastels, look back at your watercolor browns and compare the same browns. Notice the subtle differences and the similarities. Don't forget to clean up.</p>","","","Lesson","0","FALSE"
"alveary-reciy1wYX8vEpCfef","alveary-rechcCjgp24paqcJk","4","2","45m Art: High School Fast Track - Lesson 8","<p>Color Theory- Complementary Colors<br>⍞ Materials: watercolors, Art book, water, cloth, pencil, brushes</p><p>PREP: Spray your watercolors before getting started.</p><p>➜ INTRO<br>You will begin a project using complementary colors that will take two lessons to complete. The first lesson you will complete in watercolor, and the next lesson you will do the same painting but in pastels. (So you are doing the same painting twice. Your subject matter can be anything that you can think of, as long as the foreground and background or positive and negative space are complementary colors. For example, a field of strawberries- the strawberries are red, and the grass/leaves around it are green. Or blue flowers in a blue vase with an orange background. Or a yellow-green bike set against a red-purple sunset. Whatever you can think of will work. Look at the images to get some ideas.<br>∞ Image Link: Complementary Color Schemes</p><p>➜ PRACTICE<br>To begin this project, sketch out your drawing. When you have it sketched the way you want it, you will fill it in with watercolors for the first lesson. You will use complementary colors to paint it. Once you have your painting complete, leave it to dry for the next lesson. Watch the video for clarity and an example. Don't forget to clean up. <br>∞ Video Link: Complementary Colors</p>","","https://planning.alveary.org/links.html?id=reciy1wYX8vEpCfef&term=1&week=4","Lesson","0","FALSE"
"alveary-reciy1wYX8vEpCfef","alveary-recLQPLSv8PXQwuAl","5","1","45m Art: High School Fast Track - Lesson 9","<p>Color Theory- Complementary Colors<br>⍞ Materials: pastels, paper towels, painting from the last lesson</p><p>➜ INTRO<br>Remember that we are using complementary colors. The colors that are across from each other on the color wheel.</p><p>➜ PRACTICE<br>Now you will paint the same painting with complementary colored pastels. (Pastels are a form of dry painting.) Re-sketch your drawing in the same way you did the first time and add color with pastels. Watch the video for clarity and an example. <br>∞ Image Link: Complementary Color Schemes<br>∞ Video Link: Complementary Colors</p>","","https://planning.alveary.org/links.html?id=reciy1wYX8vEpCfef&term=1&week=5","Lesson","0","FALSE"
"alveary-reciy1wYX8vEpCfef","alveary-rec8wwki0zui9VnGW","5","2","45m Art: High School Fast Track - Lesson 10","<p>Color Theory- Complementary Colors<br>⍞ Materials: Art book, watercolors, pencil, brush, water, cloth, spray bottle</p><p>PREP: Spray your watercolors before you begin so that they will begin to soften.</p><p>➜ INTRO<br>You have seen what happens when you add complementary colors together in equal proportions- you get different browns. In this lesson, we will see that adding just a touch of a complement to a color will darken the color, and adding more will dull it down. This is helpful as you begin to shade objects in watercolor and other painting mediums. You may think that to darken a color, you just add a little black. While this does work, black has a stark effect as opposed to a subtle effect. Complements will have a more subtle effect and allow you to keep more of the color shining through.  We will do this lesson for two lesson times.</p><p>➜ PRACTICE<br>1\. You will want to watch the tutorial to see how to set up your Art <br>   book page. You will divide your page into 12 value scales, with each color <br>   having five values. Do this freehand. If your lines are a little wobbly or <br>   your spaces slightly uneven, that is okay. In the tutorial, you will see that <br>   the primaries are a different set than what you are working with. The <br>   concepts are still the same. <br>2\. You will begin each value scale with the full-powered color in the first <br>    box. Add a tiny touch of the complement to that color and paint it in <br>    the second box of the same value scale. Keep adding a touch of the <br>    complement until you have filled each box in a value scale. You will do <br>    a total of 12 value scales. If you mix brown, then you are mixing too <br>    much of the complement. Start again. <br>3\. Mix your colors in your palette away from the original color. For <br>    example, don't mix green into your actual red. Instead, pull red into a <br>    clean spot in your well and mix it there, just like we have done when <br>    mixing in other work. <br>4\. Watch the tutorial as many times as you need to until you understand <br>    how to accomplish the task. <br>5\. Make sure to label your value scales and your page. <br>6\. Clean up when you have finished. <br>∞ Video Tutorial: Color Intensity Scales with Complementary Colors L7 L10</p>","","https://planning.alveary.org/links.html?id=reciy1wYX8vEpCfef&term=1&week=5","Lesson","0","FALSE"
