"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recjFbzbQHFiDKuEN","alveary-rec1WGrjTVEATPur9","1","1","30m Canadian History: Grades 7-8 - Lesson 1","<p>Introduction - The War of 1812<br>⍞ Materials: Jeremy's War 1812</p><p>➜ INTRO<br>Throughout much of the eighteenth century and into the second decade of the nineteenth, the British Navy was engaged in near-continuous naval conflicts until peace was declared in 1815 after the Battle of Waterloo. One of Britain's last major battles before then was the War of 1812, in which Canada, then still a collection of British colonies, became the battleground for a conflict between the United States and Britain over many long-standing grievances, including shipping rights and American expansionist plans. <br>The first historical novel we will read in this course is Jeremy's War 1812, a gripping account of the war told from the perspective of a fifteen-year-old orphaned boy who joins a regiment of British soldiers and eventually becomes the personal servant of Sir Isaac Brock. Historical details blend smoothly with a fictional story to create a detailed recreation of this definitive period in Canada's pre-Confederation history.</p><p>➜ VIEW<br>The following video gives some background on the stakes for Canada in the War of 1812 and its importance for Canada's history.<br>∞ Video Link: The War of 1812 | The Canadian Perspective</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.7-18 &quot;They were expecting me&quot; - &quot;and walked inside.&quot;<br>• Who are the characters you meet as the novel opens? How are they related to each other? What are they like? You may choose to keep a character list with some notes.</p>","","https://planning.alveary.org/links.html?id=recjFbzbQHFiDKuEN&term=1&week=1","Lesson","0","FALSE"
"alveary-recjFbzbQHFiDKuEN","alveary-recNIE6p8LmghdpZj","1","2","30m Canadian History: Grades 7-8 - Lesson 2","<p>The War of 1812, cont.<br>⍞ Materials: Jeremy's War 1812</p><p>➜ RECAP<br>What did you learn about the characters of Jeremy and his uncle from the last reading?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.19-32 &quot;We were in a storeroom&quot; - &quot;continued down the road.&quot;<br>• What do you think of the choices Jeremy makes in this chapter? What would you have done in his place? What are you learning about his character, and what it was like to be a teenager in the nineteenth century?</p>","<p>★ TEACHER NOTE<br>Sensitive content, p.32: Parents and teachers may wish to explain that the word &quot;rape&quot; can also mean to snatch or take something by force; from the Latin rapio, which also gives us the English word 'raptor.'</p>","","Lesson","0","FALSE"
"alveary-recjFbzbQHFiDKuEN","alveary-recmjkNOE6WXssMUj","2","1","30m Canadian History: Grades 7-8 - Lesson 3","<p>The War of 1812, cont.<br>⍞ Materials: Jeremy's War 1812</p><p>➜ RECAP<br>Take a moment to recall Jeremy's situation at the end of the last reading.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.33-46 &quot;It was hard to sleep&quot; - &quot;have General Brock.&quot;<br>• Explain the causes of the War of 1812 as they are presented today's reading. What makes Captain Stanton hopeful for success?</p><p>➜ VIEW<br>Take a few minutes to look at this map of York, now Toronto, made in 1813. In today's reading, Jeremy travels south on Yonge St. (most likely the sole road on this map that stretches north through the forest). Notice in the &quot;Remark&quot; on the map, that bridges over the Don River to the east of York were &quot;decaying fast&quot; and &quot;in so great danger of falling that it was thought requisite at this time (Nov 1813) to support.&quot; While the bridge that collapsed under Jeremy was north rather than east of York, this map shows that at this time bridges could be hazardous for travellers.<br>∞ Map Link: 1813 Sketch of York</p>","","https://planning.alveary.org/links.html?id=recjFbzbQHFiDKuEN&term=1&week=2","Lesson","0","FALSE"
"alveary-recjFbzbQHFiDKuEN","alveary-recWm3yIexMjP2l1v","2","2","30m Canadian History: Grades 7-8 - Lesson 4","<p>The War of 1812, cont.<br>⍞ Materials: Jeremy's War 1812</p><p>➜ RECAP<br>What do you recall of Jeremy's introduction to the 41st regiment from the last reading? You may want to refer back to the 1813 map of York as you read about the regiment's march towards the the city.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.46-58 &quot;Brock. I'd heard the name&quot; - &quot;I wondered what he knew.&quot;<br>• What do you think of Jeremy's decision? What do you think life will be like for him in the army?</p>","","","Lesson","0","FALSE"
"alveary-recjFbzbQHFiDKuEN","alveary-recGvBPRmQRbrsWto","3","1","30m Canadian History: Grades 7-8 - Lesson 5","<p>The War of 1812, cont.<br>⍞ Materials: Jeremy's War 1812</p><p>➜ RECAP<br>How did Jeremy describe the town of York and the garrison in the last reading?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.59-71 &quot;Mostly I remember&quot; - &quot;me to follow.&quot;<br>• What more do we learn about Jeremy's character from today's reading? How do you think he will fare as a batman? Why was he chosen?</p><p>➜ VIEW<br>Learn more through reenactments about the rations served to soldiers in the War of 1812 and the Brown Bess musket Jeremy learns to use in today's reading:<br>∞ Video Link: Food in the War of 1812 <br>∞ Video Link: The Brown Bess Musket in the War of 1812</p>","","https://planning.alveary.org/links.html?id=recjFbzbQHFiDKuEN&term=1&week=3","Lesson","0","FALSE"
"alveary-recjFbzbQHFiDKuEN","alveary-reckoQsYMARW0L2MQ","3","2","30m Canadian History: Grades 7-8 - Lesson 6","<p>The War of 1812, cont.<br>⍞ Materials: Jeremy's War 1812</p><p>➜ RECAP<br>What do you recall from the last reading?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.71-83 &quot;We were in a hallway&quot; - &quot;I kept my mouth shut.&quot;<br>• What are your first impressions of General Brock? Continue to add to your character list.</p><p>➜ VIEW<br>Over the course of the term, you will spend some time looking at the War of 1812 from four separate perspectives: the British, the Americans, the Canadians, and the Native Americans. Today, spend some time exploring the resources explaining the War of 1812 from the British perspective. Make some notes of what interests you.<br>∞ Link: The British War | 1812 Virtual Exhibition</p>","","https://planning.alveary.org/links.html?id=recjFbzbQHFiDKuEN&term=1&week=3","Lesson","0","FALSE"
"alveary-recjFbzbQHFiDKuEN","alveary-recmgmIJqndRxg4ap","4","1","30m Canadian History: Grades 7-8 - Lesson 7","<p>The War of 1812, cont.<br>⍞ Materials: Jeremy's War 1812</p><p>➜ RECAP<br>What do you recall about General Brock from the last reading?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.83-98 &quot;It was a grey morning&quot; - &quot;on our way to war.&quot;<br>• What do you think of the General's plan? Study the map below to see just how far apart the two fronts are.</p><p>➜ VIEW<br>∞ Map Link: 1812 Map - Control of the Lakes</p>","","https://planning.alveary.org/links.html?id=recjFbzbQHFiDKuEN&term=1&week=4","Lesson","0","FALSE"
"alveary-recjFbzbQHFiDKuEN","alveary-recTggoDvQz0OBX3S","4","2","30m Canadian History: Grades 7-8 - Lesson 8","<p>The War of 1812, cont.<br>⍞ Materials: Jeremy's War 1812; map or atlas of Ontario</p><p>➜ RECAP<br>What do you recall about General Brock's plan from the last reading?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.99-113 &quot;We sailed through the night&quot; - &quot;if the Americans are eager to fight?&quot;<br>• What did you learn in today's reading about some of the logistics and preparations required for a major battle? What were some of the obstacles to General Brock's preparations? Why did nearly a third of the new recruits need to be sent back to their farms?</p><p>➜ MAP WORK<br>Using a map or atlas of Ontario, locate Ancaster. Approximately how far a march would it have been from where the troops disembarked at Burlington Bay?</p><p>➜ VIEW<br>Today, spend some time exploring the resources explaining the War of 1812 from the American perspective. Make some notes of what interests you. Continue exploring these resources in future lessons.<br>∞ Link: The American War | 1812 Virtual Exhibition</p><p>If you would like to map the major locations of the novel, you can do so on a blank map of the Great Lakes.<br>∞ Map Link: Blank Great Lakes Map</p>","<p>★ TEACHER TIP<br>As you read today, continue to reference the map from the last lesson to plot the army's movement.</p><p>★ TEACHER NOTE<br>Sensitive content: there is a propaganda print illustrating the scalping of American soldiers under the &quot;Getting into War&quot; section that some students may wish to skip.</p>","https://planning.alveary.org/links.html?id=recjFbzbQHFiDKuEN&term=1&week=4","Lesson","0","FALSE"
"alveary-recjFbzbQHFiDKuEN","alveary-recsa2iOJfMHync9L","5","1","30m Canadian History: Grades 7-8 - Lesson 9","<p>The War of 1812, cont.<br>⍞ Materials: Jeremy's War 1812; map or atlas of Ontario</p><p>➜ RECAP<br>What do you recall about the journey from Burlington Bay to Lake Erie from the last reading?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.113-127 &quot;The next day was still cloudy&quot; - &quot;Then came the betrayal.&quot;<br>• What are your first impressions of Tecumseh? Continue to add to and update your character list.</p><p>➜ VIEW<br>No portrait of Tecumseh exists from his lifetime, but this painting is thought to have been made from a sketch of an even earlier (now lost) sketch of the Shawnee chief. What do you notice about this portrait? Do you think the author had this portrait in mind when he wrote his description?<br>∞ Image Link: Portrait of Tecumseh</p>","","https://planning.alveary.org/links.html?id=recjFbzbQHFiDKuEN&term=1&week=5","Lesson","0","FALSE"
"alveary-recjFbzbQHFiDKuEN","alveary-recW73LCT9fJQAuDa","5","2","30m Canadian History: Grades 7-8 - Lesson 10","<p>The War of 1812, cont.<br>⍞ Materials: Jeremy's War 1812</p><p>➜ RECAP<br>What do you recall about the first meeting between Brock and Tecumseh from the last reading?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.127-140 &quot;I was laying out Brock's clothes&quot; - &quot;They've surrendered!&quot;<br>• Did the battle of Fort Detroit turn out the way you expected? What surprised you in today's reading?</p><p>➜ VIEW<br>Today, spend some time exploring the resources explaining the War of 1812 from the Native American perspective. Make some notes of what interests you. Continue exploring these resources in future lessons.<br>∞ Link: The Native American War | 1812 Virtual Exhibition</p><p>• EXTRA HELPING<br>Watch a dramatic reenactment of the Siege of Detroit from Canada, A People's History.<br>Watch from 1:06:45-1:13:11</p>","","https://planning.alveary.org/links.html?id=recjFbzbQHFiDKuEN&term=1&week=5","Lesson","0","FALSE"
