"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-1-1","1","1","15m Dictation: Grade 8 - Lesson 1","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-2-1","2","1","15m Dictation: Grade 8 - Lesson 2","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-3-1","3","1","15m Dictation: Grade 8 - Lesson 3","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-4-1","4","1","15m Dictation: Grade 8 - Lesson 4","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-5-1","5","1","15m Dictation: Grade 8 - Lesson 5","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-6-1","6","1","15m Dictation: Grade 8 - Lesson 6","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-7-1","7","1","15m Dictation: Grade 8 - Lesson 7","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-8-1","8","1","15m Dictation: Grade 8 - Lesson 8","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-9-1","9","1","15m Dictation: Grade 8 - Lesson 9","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-10-1","10","1","15m Dictation: Grade 8 - Lesson 10","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-11-1","11","1","15m Dictation: Grade 8 - Lesson 11","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-12-1","12","1","15m Dictation: Grade 8 - Lesson 12","<p>recT7AtHF05xAJnie</p><p>Complete term exam.</p>","<p>★ Dictation: Grade 8 — TERM 1 EXAM QUESTIONS<br>· Dictate an unstudied passage with words similar in difficulty to what was dictated during the term.</p>","","Exam","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-13-1","13","1","15m Dictation: Grade 8 - Lesson 13","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-14-1","14","1","15m Dictation: Grade 8 - Lesson 14","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-15-1","15","1","15m Dictation: Grade 8 - Lesson 15","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-16-1","16","1","15m Dictation: Grade 8 - Lesson 16","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-17-1","17","1","15m Dictation: Grade 8 - Lesson 17","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-18-1","18","1","15m Dictation: Grade 8 - Lesson 18","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-19-1","19","1","15m Dictation: Grade 8 - Lesson 19","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-20-1","20","1","15m Dictation: Grade 8 - Lesson 20","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-21-1","21","1","15m Dictation: Grade 8 - Lesson 21","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-22-1","22","1","15m Dictation: Grade 8 - Lesson 22","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-23-1","23","1","15m Dictation: Grade 8 - Lesson 23","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-24-1","24","1","15m Dictation: Grade 8 - Lesson 24","<p>recT7AtHF05xAJnie</p><p>Complete term exam.</p>","<p>★ Dictation: Grade 8 — TERM 2 EXAM QUESTIONS<br>· Dictate an unstudied passage with words similar in difficulty to what was dictated during the term.</p>","","Exam","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-25-1","25","1","15m Dictation: Grade 8 - Lesson 25","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
"alveary-recjiTs7FGeh9FMiJ","alveary-tracker-recjiTs7FGeh9FMiJ-26-1","26","1","15m Dictation: Grade 8 - Lesson 26","<p>recT7AtHF05xAJnie</p>","","","Lesson","0","FALSE"
