"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-reckBY6n4BStSljpd","alveary-recHCnRjfJ2K2w9Id","1","1","30m Church History: Grades 7-9 - Lesson 1","<p>William Wilberforce<br>⍞ Materials: Renewal: The Church that Expands Outward</p><p>➜ INTRO<br>1\. This year, we are learning about people who lived during the 19th century (1800-1900). We will read how these Christians lived out Jesus' commands. When Jesus was asked what the greatest command was, he replied, &quot;You shall love the Lord your God with all your heart and with all your soul and with all your mind.** **This is the great and first commandment.** **And a second is like it: You shall love your neighbor as yourself.&quot; (Matthew 22:37-39)<br>2\. Today, you will read about an Englishman named William Wilberforce (1759-1833) who was a member of Parliament, the lawmaking group in the government of Great Britain. Parliament consisted of two houses: the House of Lords and the House of Commons. The English had been part of the slave trade since 1662. In 1770, out of a total of one hundred thousand slaves a year from West Africa, British ships transported more than half. English considered the slave trade inseparably linked with the commerce and national security of Great Britain.</p><p>➜ VIEW<br>∞ Image Link: Painting of William Wilberforce</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.93-100 &quot;The striking of&quot; - &quot;after this event.&quot;</p><p>• Wilberforce had considered withdrawing from public life for the sake of his faith. However, his pastor John Newton advised him, &quot;It is hoped and believed that the Lord has raised you up for the good of his church and for the good of the nation.&quot; What do you think about that advice?</p><p>• IMPORTANT DATES<br>1759-1833 William Wilberforce <br>1833 Slave Trade was abolished in England</p><p>• DEFINITIONS<br>diminutive: (p.93) small size</p><p>• EXTRA HELPING<br>You can listen to the hymn Amazing Grace and follow along with the lyrics on p.100.<br>∞ Video Link: Amazing Grace</p>","","https://planning.alveary.org/links.html?id=reckBY6n4BStSljpd&term=1&week=1","Lesson","0","FALSE"
"alveary-reckBY6n4BStSljpd","alveary-rec6UektD14v0APvV","2","1","30m Church History: Grades 7-9 - Lesson 2","<p>Fact Files: The Beacons of Freedom and Justice<br>⍞ Materials: Renewal: The Church that Expands Outward</p><p>➜ RECAP<br>Give a brief account of what you remember about William Wilberforce.</p><p>➜ INTRO<br>In this section, &quot;The Beacons of Freedom and Justice,&quot; you will be introduced to four historical figures who were motivated by their Christian faith to help others find freedom and justice. The first person lived in the 1700's, so that is the century before the time period we are studying this year.</p><p>➜ READ, NARRATE, &amp; VIEW<br>1\. p.101-102 &quot;Freedom is a word&quot; - &quot;should be applauded.&quot;<br>2\. Watch this video that tells about Oglethorpe's role in the founding of Georgia and then takes us up to the 19th century.<br>∞ Video Link: Founding of Georgia Colony</p><p>➜ READ, NARRATE, &amp; VIEW<br>1\. p.102-104 &quot;Another Englishman who&quot; - &quot;Thee Are Spoken.&quot;<br>2\. p.104-107 &quot;While men like&quot; - &quot;fight for themselves.&quot; <br>3\. Read this article to learn more about Harriet Tubman.<br>∞ Article Link: Black Moses</p><p>• IMPORTANT DATES<br>1733 James Oglethorpe founds the colony of Georgia<br>1772 John Newton pens Amazing Grace<br>1839 Frederick Douglas becomes a licensed preacher <br>1850-1860 Harriet Tubman's Underground Railroad Work</p><p>• EXTRA HELPINGS<br>Learn more about John Newton, the author of Amazing Grace<br>∞ Article Link: The Story of John Newton<br>∞ Video Link: Newton's Grace: The True Story of Amazing Grace</p>","","https://planning.alveary.org/links.html?id=reckBY6n4BStSljpd&term=1&week=2","Lesson","0","FALSE"
"alveary-reckBY6n4BStSljpd","alveary-recBS9gF18TxEkyFv","3","1","30m Church History: Grades 7-9 - Lesson 3","<p>Emilie Mallet<br>⍞ Materials: Renewal: The Church that Expands Outward</p><p>➜ RECAP<br>What do you remember about our last reading?</p><p>➜ INTRO<br>Today, you will read about a French lady from the 1800s who may be unknown to you but has an interesting story of love and service to those in need. She could have just enjoyed her upper-class lifestyle but wanted to show the love of Christ to others.</p><p>➜ VIEW<br>1\. ∞ Image Link: Emilie Mallet<br>2\. The Pantheon in Paris (not to be confused with the Pantheon in Rome) is mentioned in this chapter. It is a mausoleum or monument that houses the remains of distinguished French citizens, <br>∞ Image Link: Pantheon in Paris</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>1\. p.109-117 &quot;The shrieks could&quot; - &quot;margins of society.&quot;<br>2\. Read these excerpts from the biography A Christian woman; being the life of Mme. Jules Mallet, translated by Mrs. H.N. Goodhart. Most of them are journal entries from Emilie about the circumstances in Paris. <br>∞ PDF Link: Excerpts from A Christian Woman</p><p>•What did you learn about Emilie from her journal entries?</p><p>➜ VIEW<br>Have you seen Toile de Jouy fabric before? It is actually French for &quot;cloth from Jouy.&quot; It was produced by Emilie's father and can still be found today on decorative fabrics and wallpaper. <br>∞ Image Link: Toile de Jouy</p><p>• DEFINITIONS<br>cholera: (p.109) a disease that is caused by bacteria through water or food that has been tainted. Cholera can cause serious diarrhea and dehydration and can be fatal.</p><p>aristocracy: (p.111) upper class usually made up of a hereditary nobility</p><p>• IMPORTANT DATES<br>1832 Emilie Mallet begins her charity work for young children and prisoners</p>","","https://planning.alveary.org/links.html?id=reckBY6n4BStSljpd&term=1&week=3","Lesson","0","FALSE"
"alveary-reckBY6n4BStSljpd","alveary-recieAhWYWQDgq8yC","4","1","30m Church History: Grades 7-9 - Lesson 4","<p>Sojourner Truth<br>⍞ Materials: Renewal: The Church that Expands Outward</p><p>Note: We are skipping the chapter on Charles Spurgeon since we are reading a whole book about him starting in Term 2.</p><p>➜  RECAP<br>Who did you read about last week?</p><p>➜ INTRO<br>Isabella Baumfree was born a slave to a Dutch master in New York c.1797. At age 46 or 47, she had a vision of God telling her to “travel up an’ down the land showin’ the people their sins an’ bein’ a sign unto them.” This she did, with a new name that defined her mission—Sojourner Truth. She never learned to read or write but boldly spread a message of freedom for Blacks and women, as you will read about in this chapter.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>1\. p.127-133 &quot;The crowd outside&quot; - &quot;that historic building.&quot;<br>2\. Read the excerpt &quot;Her Escape&quot; from her memoir p.41.<br>∞ Link: The Narrative of Sojourner Truth</p><p>➜ VIEW<br>The bronze bust of abolitionist and women's rights advocate Sojourner Truth is the first sculpture to honor an African American woman in the United States Capitol.<br>∞ Image Link: Bronze bust of Sojourner Truth</p><p>• IMPORTANT DATES<br>1851 Sojourner Truth addresses the Ohio Women's Rights Convention</p>","","https://planning.alveary.org/links.html?id=reckBY6n4BStSljpd&term=1&week=4","Lesson","0","FALSE"
"alveary-reckBY6n4BStSljpd","alveary-recMifnayY185VprW","5","1","30m Church History: Grades 7-9 - Lesson 5","<p>Robert Moffat<br>⍞ Materials: Renewal: The Church that Expands Outward</p><p>➜ INTRO<br>&quot;Robert Moffat is sometimes regarded as the patriarch of South African missions, a man who had a significant influence in that region for more than half a century. Yet even during his own lifetime, he was overshadowed by his famous son-in-law, often being referred to as “the father-in-law of David Livingstone.” Moffat, nevertheless, was the far greater missionary of the two. He was an evangelist, a translator, an educator, a diplomat, and an explorer, and he effectively combined those roles to become one of the truly great missionaries to Africa.&quot; (Ruth Tucker, From Jerusalem to Irian Jaya)</p><p>➜ VIEW<br>∞ Image Link: Picture of Robert Moffat</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>1\. p.135-141 &quot;The setting sun&quot; - &quot;of Jesus Christ.&quot;<br>2\. This short excerpt from the biography Robert Moffat: Pioneer in Africa by Cecil Northcott talks about the difficulties and joys of  translating the Bible into the Tswana (also known as Setswana) language.  <br>∞ PDF Link: Excerpt from Moffat biography</p><p>• DEFINITIONS<br>bairns: (p.136) Scottish term for child <br>catechism: (p.141) a summary of religious doctrine often in the form of questions and answers</p><p>• EXTRA HELPING<br>This short podcast talks about the life of Robert Moffat.<br>∞ Link: Five Minutes in Church History Podcast</p>","","https://planning.alveary.org/links.html?id=reckBY6n4BStSljpd&term=1&week=5","Lesson","0","FALSE"
"alveary-reckBY6n4BStSljpd","alveary-recxJgkA1u5GlduPX","6","1","30m Church History: Grades 7-9 - Lesson 6","<p>Hudson Taylor<br>⍞ Materials: Renewal: The Church that Expands Outward</p><p>➜ INTRO<br>Hudson Taylor was born in Yorkshire, England, in 1832. His father was a pharmacist as well as a Methodist lay preacher who instilled in his son a passion for missions. Before he had reached his fifth birthday, the child was telling visitors that he wanted to some day be a missionary, and China (through the influence of his father) was the land that intrigued him the most. His sights were set on reaching the whole of China, all 400 million people, and to that end he labored, though not single-handedly. He had a knack for organization, and he possessed a magnetic personality that drew men and women to him and to his point of view. The China Inland Mission was his creation and was a model for future faith missions. In his own lifetime the missionary force under him grew to more than eight hundred, and in the decades following his death it continued to expand (Ruth Ticker, From Jerusalem to Irian Jaya).</p><p>➜ VIEW<br>∞ Image Link: Picture of Maria and Hudson Taylor.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>1.p.143-150 &quot;The gathering room&quot; - &quot;passing in 1905.&quot;<br>2.p.98-101 (end at &quot;of Chinese dress.&quot;)This excerpt tells about the first time Hudson Taylor changed his appearance to fit into the Chinese culture. It comes from the biography J. Hudson Taylor: God's Man in China by his son and daughter-in-law. The excerpt will mention his queue which is a braid of hair usually worn hanging at the back of the head. It begins in the middle of a chapter when Hudson is traveling with a fellow missionary Dr. Parker and they are looking for a place to set up a mission base. Dr. Parker gets called to minister and work at a hospital in another village but Hudson is left alone to figure out where to go next and find a place to rent. <br>• Hudson Taylor mirrored the method and motive of the Apostle Paul who testified in 1 Corinthians 9:20ff: “To the Jews I became like a Jew, to win the Jews. To those under the law I became like one under the law (though I myself am not under the law), so as to win those under the law... What do you think about his method of dressing and looking like a Chinese person in order to reach them for the gospel? What would be the benefits and what might be some objections?</p><p>• IMPORTANT DATES</p><p>• EXTRA HELPING<br>This short podcast talks about the life of Robert Moffat<br>∞ Link: Five Minutes in Church History Podcast</p>","","https://planning.alveary.org/links.html?id=reckBY6n4BStSljpd&term=1&week=6","Lesson","0","FALSE"
"alveary-reckBY6n4BStSljpd","alveary-rec6nTnOylQ1jG50E","7","1","30m Church History: Grades 7-9 - Lesson 7","<p>Fact Files: The Gospel in Difficult Places<br>⍞ Materials: Renewal: The Church that Expands Outward</p><p>➜ INTRO<br>Today you will learn about two figures from church history that spend their life preaching the gospel in unique ways. The first man is mostly unknown by most people but the second man was one of the most famous people in America at that time.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>1.p.151-152 &quot;You don't have&quot; - &quot;'Apostle of Greenland.'&quot;<br>➜ Listen (or read) more about Hans Egede <br>∞ Audio Link: Hans Egede Story (can end at 5:44)</p><p>2.p.152-153 &quot;Although we have&quot; - &quot;Asbury's tireless efforts.&quot;</p><p>➜ WATCH<br>This video tells about the impact of Asbury in America in the 19th century<br>∞Video link: Francis Asbury (can end at 7:00)</p><p>• IMPORTANT DATES<br>1865 Hudson Taylor founds the China Inland Mission</p>","","https://planning.alveary.org/links.html?id=reckBY6n4BStSljpd&term=1&week=7","Lesson","0","FALSE"
"alveary-reckBY6n4BStSljpd","alveary-recrd8KdD50DxudEt","8","1","30m Church History: Grades 7-9 - Lesson 8","<p>Fact Files: The Gospel in Difficult Places<br>⍞ Materials: Renewal: The Church that Expands Outward</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ INTRO<br>You will read about two more individuals who brought the message of Christ into &quot;difficult landscapes.&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>1.p.153-155 &quot;Although Soren Kierkegaard&quot; - &quot;one already lives.&quot;</p><p>➜ VIEW<br>In this video, theologian R.C.Sproul talks through one of Kierkegaard's philosophical concepts. <br>∞ Video Link: Kierkegaard and the Leap of Faith (5:00)</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>2.p.155-157 &quot;While Kierkegaard stayed&quot; - &quot;wisdom, and humility.&quot;</p><p>➜ VIEW<br>Image of David Griffiths</p><p>• IMPORTANT DATES<br>• EXTRA HELPING</p>","","https://planning.alveary.org/links.html?id=reckBY6n4BStSljpd&term=1&week=8","Lesson","0","FALSE"
"alveary-reckBY6n4BStSljpd","alveary-rechcE9bIovDNVQbu","9","1","30m Church History: Grades 7-9 - Lesson 9","<p>Dwight Moody<br>⍞ Materials: Renewal: The Church that Expands Outward</p><p>➜ INTRO<br>&quot;Except for two twentieth-century evangelists, Billy Sunday and Billy Graham, no American has had the privilege of personally presenting the gospel of Jesus Christ to so many people. Indeed, by the time of D.L. Moody’s death in 1899, the secretary of the International Committee of the Young Men’s Christian Association (YMCA) declared that 'Mr. Moody delivered the gospel message in a larger number of places, to a larger number of persons, a larger number of times than any man who ever lived. (Lyle Dorsett, A Passion for Souls). Perhaps you have never heard of D.L. Moody, but he has impacted many lives and his impact continues through the college Moody Bible Institute in Chicago, Illinois.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.159-167 &quot;The four men&quot; - &quot;all things easy.&quot;</p><p>➜ VIEW<br>∞ Video Link: Our Founder</p><p>• IMPORTANT DATES</p>","","https://planning.alveary.org/links.html?id=reckBY6n4BStSljpd&term=1&week=9","Lesson","0","FALSE"
"alveary-reckBY6n4BStSljpd","alveary-reclpYpaAoxpSc4tv","10","1","30m Church History: Grades 7-9 - Lesson 10","<p>Bible Translation<br>⍞ Materials: Links</p><p>➜ INTRO<br>If the Bible had never been translated into English, would you be able to read and understand God's message of salvation? We read about many different missionaries who translated the Bible into the native language of the people. Translation work continues on until today. Here are the latest statistics from Wycliffe Bible Translators (wycliffe.org.uk/statistics/):  **1 in 5 people** are still waiting for the Bible in their language **7,393** languages in the world, **3,248** languages have no Scripture – yet (down 20 from last month)</p><p>Today you will watch videos about Bible translation and how technology is speeding up the translation process in unprecedented ways.</p><p>➜ VIEW<br>∞ Video Link: Translating for Understanding<br>∞ Video Link: Church-Led Bible Translation in the Pacific<br>∞ Video Link: Solving the Technical Challenges</p><p>(Optional) You can explore the Wycliffe Translators website to learn more about Bible translation in different regions.<br>∞ Link: Global Overview<br>• What did you learn about Bible translation that you didn't know before? <br>•How has technology helped the process?<br>•What questions do you still have about it?</p><p>• IMPORTANT DATES</p>","","https://planning.alveary.org/links.html?id=reckBY6n4BStSljpd&term=1&week=10","Lesson","0","FALSE"
