"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-reckHfgy0rQ9Ownc3","alveary-recH9n4TllrJmnbOO","1","1","10m Recitation: Grades 1-2 - Lesson 1","<p>Old Testament</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Genesis 1:1-8</p>","","","Lesson","0","FALSE"
"alveary-reckHfgy0rQ9Ownc3","alveary-recfkg2Hs7h4G5LZp","1","2","10m Recitation: Grades 1-2 - Lesson 2","<p>Poem</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Paper Boats&quot; by Tagore</p>","","","Lesson","0","FALSE"
"alveary-reckHfgy0rQ9Ownc3","alveary-recmaOEi4XD60u8ur","1","3","10m Recitation: Grades 1-2 - Lesson 3","<p>Old Testament</p><p>➜ PRACTICE<br>Genesis 1:1-8</p>","","","Lesson","0","FALSE"
"alveary-reckHfgy0rQ9Ownc3","alveary-recIdhIj1ggGTMCqY","1","4","10m Recitation: Grades 1-2 - Lesson 4","<p>Poem</p><p>➜ PRACTICE<br>&quot;Paper Boats&quot; by Tagore</p>","","","Lesson","0","FALSE"
"alveary-reckHfgy0rQ9Ownc3","alveary-recqsqzTl042Na1ve","1","5","10m Recitation: Grades 1-2 - Lesson 5","<p>Old Testament</p><p>➜ PRACTICE<br>Genesis 1:1-8</p>","","","Lesson","0","FALSE"
"alveary-reckHfgy0rQ9Ownc3","alveary-recCWhzsjRooEx3Wh","2","1","10m Recitation: Grades 1-2 - Lesson 6","<p>Poem</p><p>➜ PRACTICE<br>&quot;Paper Boats&quot; by Tagore</p>","","","Lesson","0","FALSE"
"alveary-reckHfgy0rQ9Ownc3","alveary-rec3sAuOBA3YXF9Uf","2","2","10m Recitation: Grades 1-2 - Lesson 7","<p>Old Testament</p><p>➜ PRACTICE<br>Genesis 1:1-8</p>","","","Lesson","0","FALSE"
"alveary-reckHfgy0rQ9Ownc3","alveary-recn9rpN3KkIRvIeI","2","3","10m Recitation: Grades 1-2 - Lesson 8","<p>Poem</p><p>➜ PRACTICE<br>&quot;Paper Boats&quot; by Tagore</p>","","","Lesson","0","FALSE"
"alveary-reckHfgy0rQ9Ownc3","alveary-rec6v9FcB1S4hyAdN","2","4","10m Recitation: Grades 1-2 - Lesson 9","<p>Old Testament</p><p>➜ PRACTICE<br>Genesis 1:1-8</p>","","","Lesson","0","FALSE"
"alveary-reckHfgy0rQ9Ownc3","alveary-reck35C6YSDZjgK8N","2","5","10m Recitation: Grades 1-2 - Lesson 10","<p>Poem</p><p>➜ PRACTICE<br>&quot;Paper Boats&quot; by Tagore</p>","","","Lesson","0","FALSE"
"alveary-reckHfgy0rQ9Ownc3","alveary-recmPA8Z5eOzvtTS1","3","1","10m Recitation: Grades 1-2 - Lesson 11","<p>Old Testament</p><p>➜ PRACTICE<br>Genesis 1:1-8</p>","","","Lesson","0","FALSE"
"alveary-reckHfgy0rQ9Ownc3","alveary-rec0Gbk470CmvN0kH","3","2","10m Recitation: Grades 1-2 - Lesson 12","<p>Poem</p><p>➜ PRACTICE<br>&quot;Paper Boats&quot; by Tagore</p>","","","Lesson","0","FALSE"
"alveary-reckHfgy0rQ9Ownc3","alveary-reczCyJbd2rCg3ZUZ","3","3","10m Recitation: Grades 1-2 - Lesson 13","<p>Old Testament</p><p>➜ PRACTICE<br>Genesis 1:1-8</p>","","","Lesson","0","FALSE"
"alveary-reckHfgy0rQ9Ownc3","alveary-rec72oi9nPOxqcPjR","3","4","10m Recitation: Grades 1-2 - Lesson 14","<p>Poem</p><p>➜ PRACTICE<br>&quot;Paper Boats&quot; by Tagore</p>","","","Lesson","0","FALSE"
