"course_custom_id","syllabird_status","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-reckIbzVuwanEJ4os","Import is Current","alveary-recDcQLGWIq6eJaVL","1","1","25m World History: Grades 4-6 - Lesson 1","<p>The Slave Auction, A Letter from a Schoolboy<br>⍞ Materials: William Wilberforce: The Freedom Fighter</p><p>➜ INTRO<br>This book is about an Englishman named William Wilberforce (1759-1833) who was a member of Parliament, the lawmaking group in the government of Great Britain. The English had been part of the slave trade since 1662. In 1770, out of a total of one hundred thousand slaves a year from West Africa, British ships transported more than half. English considered the slave trade inseparably linked with the wealth and national security of Great Britain.  William worked tirelessly in Parliament to change the laws and abolish or get rid of the slave trade.  As we learn about this remarkable man, we will also learn about what life was like in the late 1700s and early 1800s, what people were thinking or talking about, and how it was different from our lives today. We are mostly studying 1800-1900 this year, but this book begins a little earlier in 1759, when William was born.</p><p>➜ LOCATE<br>∞ Map Link: Map of England<br>Find Hull, which is a coastal city in northern England. This is where William was born.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.9-17 &quot;'No! No!' cried&quot; - &quot;on their journey.&quot;</p><p>• How would you describe the kind of family and lifestyle that William was born into?<br>• How are his life and opportunities different from the lives and opportunities of the slaves we were introduced to in the first chapter?</p><p>➜ VIEW<br>∞ Image Links: Birthplace of William Wilberforce &amp; Portrait of William Wilberforce</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• IMPORTANT DATES<br>1759 Birth of William Wilberforce</p>","","https://planning.alveary.org/links.html?id=reckIbzVuwanEJ4os&term=1&week=1","Lesson","0","FALSE"
"alveary-reckIbzVuwanEJ4os","Import is Current","alveary-recJWBvLNFLeYDclk","2","1","25m World History: Grades 4-6 - Lesson 2","<p>A Letter from a Schoolboy, To Cambridge<br>⍞ Materials: William Wilberforce: The Freedom Fighter</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.18-26 &quot;What's the coachman&quot; - &quot;law of gravity.&quot;</p><p>• What do you think it means that William's mom &quot;was against anybody showing great enthusiasm&quot; (p.21) in their spiritual life? <br>• How would you describe William when he was a college student?</p><p>➜ VIEW<br>∞ Image Link: Photo of Cambridge University in the late 1800s.</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• EXTRA HELPING<br>This tour of Cambridge University shows the architecture and setting of the school. (5:00)<br>∞ Video Link: Cambridge University</p>","","https://planning.alveary.org/links.html?id=reckIbzVuwanEJ4os&term=1&week=2","Lesson","0","FALSE"
"alveary-reckIbzVuwanEJ4os","Import is Current","alveary-recqmrTaHslG9BtuX","3","1","25m World History: Grades 4-6 - Lesson 3","<p>To Cambridge, The Shrimp who Swelled into a Whale<br>⍞ Materials: William Wilberforce: The Freedom Fighter</p><p>➜ INTRO<br>When someone says they want to enter public service for their career, what do they mean? It usually means they want to get involved in government. It is important to know a little about the government of the United Kingdom (England, Scotland, Wales and Northern Ireland) since our book takes place in England. Parliament is the **legislature** or lawmaking group.** **The government leader, called the prime minister, is always a member of Parliament. This makes Britain different from the United States, which keeps **Congress **and the president in separate branches of government. Parliament is made up of two houses: the House of Lords and the House of Commons.  You will read about William's entrance into public service.</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.27-36 &quot;William, despite his&quot; - &quot;guess,' said Pitt.&quot;</p><p>• How do you think most people who knew William Wilberforce would have described him?<br>• What kind of advantages did he have that allowed him to be elected to Parliament?</p><p>➜ VIEW<br>William Wilberforce and William Pitt spent time in college in the Strangers Gallery watching the proceedings of Parliament. This picture shows the Houses of Parliament on the River Thames in London, England, and the inside of the House of Commons, which was built in 1834. In this picture, the gallery for public viewing is on the second floor above the entrance. <br>∞ Image Links: Houses of Parliament in London &amp; Strangers Gallery</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• DEFINITIONS<br>Chancellor of the Exchequer: the chief financial minister and, as such, responsible for growing the UK economy.</p>","","https://planning.alveary.org/links.html?id=reckIbzVuwanEJ4os&term=1&week=3","Lesson","0","FALSE"
"alveary-reckIbzVuwanEJ4os","Import is Current","alveary-recJMg02D9bMEDZPk","4","1","25m World History: Grades 4-6 - Lesson 4","<p>The Shrimp who Swelled into a Whale<br>⍞ Materials: William Wilberforce: The Freedom Fighter</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ INTRO<br>The year is 1783, and William Wilberforce and his friend William Pitt are on a six-week holiday in France. Think about what is happening in America. The Revolutionary War is just ending. The French Revolution will take place 6 years later. William and William are going to meet Marie Antoinette, the queen of France, who was executed along with the king in 1793.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.36-42 &quot;They were then&quot; - &quot;soul for eternity.&quot;</p><p>• What does the title of the chapter mean?</p><p>➜ VIEW<br>You can look through the different pictures that show the Palace of Versailles.<br>∞ Image Link: Palace of Versailles</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• EXTRA HELPING<br>This video gives an overview of the life of Marie Antoinette as well as some misconceptions about her. <br>∞ Video Link: The Story of Marie Antoinette</p>","","https://planning.alveary.org/links.html?id=reckIbzVuwanEJ4os&term=1&week=4","Lesson","0","FALSE"
"alveary-reckIbzVuwanEJ4os","Import is Current","alveary-reciH3mzSDrc5kusf","5","1","25m World History: Grades 4-6 - Lesson 5","<p>Oh Happy Day<br>⍞ Materials: William Wilberforce: The Freedom Fighter</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ LOCATE<br>∞ Map Link: The Strait of Dover<br>William is going on another holiday with his family, as well as with his friend Isaac Milner, to the French Riviera. How did people travel in those days? [A: carriage and boat] Trace their route across the Strait of Dover to Calais, France.</p><p>∞ Map Link: Rivers of Europe<br>Once they were in France, they took a carriage to Lyon and then put their carriages on a boat to sail down the Rhone River all the way to the Mediterranean Sea.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.43-50 &quot;'Happy Birthday, Mr. Wilberforce!'&quot;-&quot;rang the doorbell.&quot;</p><p>• What kind of spiritual changes are happening with William?<br>• How do you think his time with his aunt and uncle when he was a child influenced him?</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• DEFINITIONS<br>Theophilus Lindsay (a known minister during this time) left his ministry at the Church of England to start a Unitarian Church that did not believe the core doctrines of Christianity.</p>","","https://planning.alveary.org/links.html?id=reckIbzVuwanEJ4os&term=1&week=5","Lesson","0","FALSE"
"alveary-reckIbzVuwanEJ4os","Import is Current","alveary-recJneUo1mNbTeiAH","6","1","25m World History: Grades 4-6 - Lesson 6","<p>The Truth about the Slave Trade<br>⍞ Materials: William Wilberforce: The Freedom Fighter</p><p>Note: We are skipping the chapter &quot;Amazing Grace&quot; for the sake of time. It is mostly about John Newton's conversion. We would encourage you to read it outside of class time.</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ INTRO<br>William was looking for a spiritual mentor and was encouraged to reach out to the minister and hymn writer John Newton. Have you heard of the hymn &quot;Amazing Grace&quot;? He was the author.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.63-71 &quot;'Good morning Mr Wilberforce!'&quot;-&quot;on their hands.&quot;</p><p>• Why do you think William was troubled about whether he could still be in Parliament and be a Christian?<br>• Why would it be so hard for William to change the laws about the slave trade in England?</p>","","","Lesson","0","FALSE"
"alveary-reckIbzVuwanEJ4os","Import is Current","alveary-reci0EQZHGj4Rrdin","7","1","25m World History: Grades 4-6 - Lesson 7","<p>Mr. Greatheart<br>⍞ Materials: William Wilberforce: The Freedom Fighter</p><p>Note: The reading is a little longer today.</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ INTRO<br>How can laws help a society not engage in immoral or sinful behavior? How else can people help others who seem intent on living an immoral lifestyle?  As we will read in this chapter, Wilberforce used his influence for good and not only fought against the slave trade but also strived to make England a better place for all people to live.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.73-82 &quot;'There are too'&quot;-&quot;his nation's conscience.&quot;</p><p>• Why do you think William persevered through the obstacles and discouragement?</p><p>➜ VIEW<br>∞ Image Link: Statue of William Wilberforce</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• DEFINITIONS<br>dissolute: lacking restraint, marked by indulgence</p>","<p>★ TEACHER NOTE<br>You may want to skip the last paragraph on p.82 that talks about the immoral behavior of some teenagers.</p>","https://planning.alveary.org/links.html?id=reckIbzVuwanEJ4os&term=1&week=7","Lesson","0","FALSE"
"alveary-reckIbzVuwanEJ4os","Import is Current","alveary-recbG5CVQP0kdPQHw","8","1","25m World History: Grades 4-6 - Lesson 8","<p>The Duel<br>⍞ Materials: William Wilberforce: The Freedom Fighter</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ INTRO<br>If people can't agree on important matters, what might they do to settle their disagreements? In the past, dueling was a common way to settle disputes around the world and in America. A duel is a combat between persons armed with lethal weapons—usually swords or guns—that is held according to prearranged rules to settle a quarrel or a point of honor. You will learn how that dangerous practice was finally outlawed in England.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.83-90 &quot;'Get out of it'&quot;-&quot;new bride, Barbara.&quot;</p><p>➜ VIEW<br>∞ Image Link: Holy Trinity Church in Clapham, England<br>This is the church where the &quot;Clapham Saints&quot; worshipped together and encouraged each other to do good for their society.</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• DEFINITIONS<br>seditious: describes the action of saying, writing, or doing something that encourages people to disobey their government (p.85 talks about Seditious Meetings Bill)</p>","","https://planning.alveary.org/links.html?id=reckIbzVuwanEJ4os&term=1&week=8","Lesson","0","FALSE"
"alveary-reckIbzVuwanEJ4os","Import is Current","alveary-recG1wOeM6MOpJ8GT","9","1","25m World History: Grades 4-6 - Lesson 9","<p>The Duel, A Night of Nights<br>⍞ Materials: William Wilberforce: The Freedom Fighter</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ INTRO<br>The year is now 1805. The French Revolution that threw down the monarchy was over. A man named Napoleon Bonaparte had risen to power in France. To the troops he commanded in battle, Napoleon was known fondly as the “Little Corporal.” To the monarchs and kings whose thrones he overthrew, he was “that Corsican ogre.” Some believed him to be a great reformer. Others thought him a monster. Friend and foe alike, however, could agree on one fact: &quot;Napoleon I, emperor of France and for 16 years master of most of Europe, was one of the greatest military geniuses of all time&quot; (from Britannica Kids). We will read about his conflicts with England.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.90-100 &quot;One morning, early,&quot; - &quot;seen at Portsmouth.&quot;</p><p>➜ VIEW<br>∞ Video Link: The Battle of Trafalgar<br>Watch this video that discusses a painting about the Battle of Trafalgar.</p>","","https://planning.alveary.org/links.html?id=reckIbzVuwanEJ4os&term=1&week=9","Lesson","0","FALSE"
"alveary-reckIbzVuwanEJ4os","Import is Current","alveary-rec70Rc2Ahj1btsCI","10","1","25m World History: Grades 4-6 - Lesson 10","<p>A Night of Nights, Free at Last<br>⍞ Materials: William Wilberforce: The Freedom Fighter</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ INTRO<br>It has been almost 20 years since William first proposed his bill to abolish the slave trade in the British Empire. Let's see if he finally has enough votes to pass during a session of Parliament on the evening of February 23, 1807.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.100-108 &quot;The Napoleonic Wars&quot;-&quot;open the door.&quot;</p><p>• Why do you think he finally got enough votes?</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• DEFINITIONS<br>euphoria: a feeling of well-being or excitement (p.103)</p><p>• IMPORTANT DATES<br>1807 The Slave Trade Act was passed</p>","<p>★ TEACHER NOTE<br>The practice of suttee in India is mentioned on p.107. You may want to think of how you will address that issue with your students. It was a Hindu practice that displayed womanly devotion. Hindus also believed in reincarnation and that what you do on earth gives you better status when you are reincarnated.</p>","","Lesson","0","FALSE"
