"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-reckwkMtQMM4ZFoHG","alveary-recMhcfrigQjZbmZN","1","1","15m General Lit.: Grade 3 - Lesson 1","<p>⍞ Materials: Charlotte's Web</p><p>➜ INTRO<br>Look at the cover of the book. Can you guess what this story will be about? Let's see if you're right!</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.I</p><p>• What did you think of what happened?</p>","","","Lesson","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-recszDg3y1riYsNTI","2","1","15m General Lit.: Grade 3 - Lesson 2","<p>⍞ Materials: Charlotte's Web</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.II-III p.8-16 &quot;Fern loved Wilbur&quot; - &quot;no swims.&quot;</p>","","","Lesson","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-recavmeFjfM23Ydvu","3","1","15m General Lit.: Grade 3 - Lesson 3","<p>⍞ Materials: Charlotte's Web</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.III p.16-24 &quot;One afternoon&quot; - &quot;he lay down.&quot;</p><p>• Do you think the goose gave Wilbur good advice? Why?</p>","","","Lesson","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-recdvyHnKFxlxBJQW","4","1","15m General Lit.: Grade 3 - Lesson 4","<p>⍞ Materials: Charlotte's Web</p><p>➜ RECAP<br>What happened last chapter?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.IV</p><p>• What did you think of Wilbur's schedule?<br>• Who do you think will be Wilbur's friend?</p>","","","Lesson","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-recBP4SqoQWic5wjH","5","1","15m General Lit.: Grade 3 - Lesson 5","<p>⍞ Materials: Charlotte's Web</p><p>➜ INTRO<br>What do you think makes a good friend?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.V</p><p>• What do you think of Charlotte so far?</p>","","","Lesson","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-recx2kAEUDke7WwIU","6","1","15m General Lit.: Grade 3 - Lesson 6","<p>⍞ Materials: Charlotte's Web</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.VI</p><p>• What do you think of Templeton?</p>","","","Lesson","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-recsX8OIFVUt2DNjJ","7","1","15m General Lit.: Grade 3 - Lesson 7","<p>⍞ Materials: Charlotte's Web</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.VII-VIII</p>","","","Lesson","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-recAmJOtmHd4dwLKm","8","1","15m General Lit.: Grade 3 - Lesson 8","<p>⍞ Materials: Charlotte's Web</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.IX</p><p>• Did you learn any new words in today's chapter?<br>• Do you think Charlotte has a plan yet?</p>","","","Lesson","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-recqR27IyV6VgaKKY","9","1","15m General Lit.: Grade 3 - Lesson 9","<p>⍞ Materials: Charlotte's Web</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.X</p>","","","Lesson","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-rec2Vhgpa9ya0bHxs","10","1","15m General Lit.: Grade 3 - Lesson 10","<p>⍞ Materials: Charlotte's Web</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.XI</p><p>• What did you think of Charlotte's trick?</p>","","","Lesson","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-recoz9JqMdT3toaqa","11","1","15m General Lit.: Grade 3 - Lesson 11","<p>⍞ Materials: Charlotte's Web</p><p>➜ CATCH-UP DAY</p>","","","Lesson","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-recUdAZhceAZ6qTS7","12","1","15m General Lit.: Grade 3 - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from: <br>Charlotte's Web</p>","<p>★ General Lit.: Grade 3 — TERM 1 EXAM QUESTIONS<br>· Charlotte's Web: Tell about or illustrate one of the animals on the farm.</p>","","Exam","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-rec21zUeWhVxJin1M","13","1","15m General Lit.: Grade 3 - Lesson 13","<p>⍞ Materials: Charlotte's Web</p><p>➜ RECAP<br>Where did we leave off with the story last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.XII</p>","","","Lesson","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-rec7SeIMoQOjoc7Z9","14","1","15m General Lit.: Grade 3 - Lesson 14","<p>⍞ Materials: Charlotte's Web</p><p>➜ INTRO<br>What does &quot;radiant&quot; mean?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.XIII p.92-101 &quot;Far into the night&quot; - &quot;Tell me a story!&quot;</p><p>• What word would you have chosen next?</p>","","","Lesson","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-recioOTu7ZaI9Ts48","15","1","15m General Lit.: Grade 3 - Lesson 15","<p>⍞ Materials: Charlotte's Web</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.XIII-XIV p.102-107 &quot;So Charlotte&quot; - &quot;in the village.&quot;</p>","","","Lesson","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-recGr3oHZLFLwMGj4","16","1","15m General Lit.: Grade 3 - Lesson 16","<p>⍞ Materials: Charlotte's Web</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.XIV-XV p.107-117 &quot;Dr. Dorian had&quot; - &quot;hold her eggs.&quot;</p>","","","Lesson","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-recDsUbCKBSx8fEib","17","1","15m General Lit.: Grade 3 - Lesson 17","<p>⍞ Materials: Charlotte's Web</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.XVI p.118-126 &quot;The night before&quot; - &quot;kill that pig.&quot;</p><p>• What do you think will happen next?</p>","","","Lesson","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-recRSIJP46NP0rDEg","18","1","15m General Lit.: Grade 3 - Lesson 18","<p>⍞ Materials: Charlotte's Web</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.XVI-XVII p.126-137 &quot;Wilbur heard&quot; - &quot;fell asleep.&quot;</p>","","","Lesson","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-reclmZhDTZflJCKhe","19","1","15m General Lit.: Grade 3 - Lesson 19","<p>⍞ Materials: Charlotte's Web</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.XVIII</p><p>• What do you think Charlotte is making?</p>","","","Lesson","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-recR1g6mT9iRCYoah","20","1","15m General Lit.: Grade 3 - Lesson 20","<p>⍞ Materials: Charlotte's Web</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.XIX</p>","","","Lesson","0","FALSE"
"alveary-reckwkMtQMM4ZFoHG","alveary-recWgsGB2ZJZKYkJd","21","1","15m General Lit.: Grade 3 - Lesson 21","<p>⍞ Materials: Charlotte's Web</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.XX</p>","","","Lesson","0","FALSE"
