"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recl75TzTdk7hIBeY","alveary-rec2oz9aemT9MSZnG","1","1","5m Poetry Reading: Grade 8 - Lesson 1","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-recouFoSJpZWjhWZZ","1","2","5m Poetry Reading: Grade 8 - Lesson 2","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-recHrA37k5XfMMhLI","1","3","5m Poetry Reading: Grade 8 - Lesson 3","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-recgTGethp3AkBNlY","1","4","5m Poetry Reading: Grade 8 - Lesson 4","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-reciuj5kpAetkyVpa","2","1","5m Poetry Reading: Grade 8 - Lesson 5","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-recyRJMIUAM0Z1Cyf","2","2","5m Poetry Reading: Grade 8 - Lesson 6","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-recmiTI8usgHZ9J2O","2","3","5m Poetry Reading: Grade 8 - Lesson 7","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-rec6sP0D7dVDokiCw","2","4","5m Poetry Reading: Grade 8 - Lesson 8","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-recZD22XIdTmfI2Pp","3","1","5m Poetry Reading: Grade 8 - Lesson 9","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-recIMAkGs8x5wpkm1","3","2","5m Poetry Reading: Grade 8 - Lesson 10","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-recipltlR3h2r7ahA","3","3","5m Poetry Reading: Grade 8 - Lesson 11","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-recSU3pOZaxVVz6VW","3","4","5m Poetry Reading: Grade 8 - Lesson 12","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-recerppNs6RWcZYbc","4","1","5m Poetry Reading: Grade 8 - Lesson 13","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-recGxIJZLkzn0vzQO","4","2","5m Poetry Reading: Grade 8 - Lesson 14","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-recDbO7WHVGuRrAbZ","4","3","5m Poetry Reading: Grade 8 - Lesson 15","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-recoWwgu8rzxpnEAH","4","4","5m Poetry Reading: Grade 8 - Lesson 16","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-rec2yjBPHD3q7HdhI","5","1","5m Poetry Reading: Grade 8 - Lesson 17","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-recbm6uxy5hRX6GEN","5","2","5m Poetry Reading: Grade 8 - Lesson 18","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-recBSLLNzq4cIUVjQ","5","3","5m Poetry Reading: Grade 8 - Lesson 19","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-rec6a77IyxPhTomcm","5","4","5m Poetry Reading: Grade 8 - Lesson 20","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-recB0DhyCbeAnrMoT","6","1","5m Poetry Reading: Grade 8 - Lesson 21","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-recTAyaMzeMqB0gLs","6","2","5m Poetry Reading: Grade 8 - Lesson 22","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-rec1yKM8Aglrgop1A","6","3","5m Poetry Reading: Grade 8 - Lesson 23","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-rec1QLqItuyBP3LAy","6","4","5m Poetry Reading: Grade 8 - Lesson 24","","","","Lesson","0","FALSE"
"alveary-recl75TzTdk7hIBeY","alveary-reclzN6mxdlq7vf8A","7","1","5m Poetry Reading: Grade 8 - Lesson 25","","","","Lesson","0","FALSE"
