"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-reclUoymCI6pByUtr","alveary-recHXSFmgFuAPFs5r","1","1","20m Lettering: Level 1 - Lesson 1","<p>Chalk Lettering <br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW<br>Watch the tutorial and become familiar with your tools.<br>∞ Video Link: Lettering: Intro and Tools</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The ABCs of Chalk Lettering&quot; Ch.1 p.3-7</p><p>➜ PRACTICE<br>Prepare your chalkboard. Draw letters using shoulder muscles like in Art Instruction lessons.</p><p>• COMMONPLACE BOOK<br>Write beautiful quotes or mottoes with creative lettering.</p>","","https://planning.alveary.org/links.html?id=reclUoymCI6pByUtr&term=1&week=1","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-rec5PjHiLo0M1Ukb6","2","1","20m Lettering: Level 1 - Lesson 2","<p>Anatomy of Letters<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW<br>Watch the tutorial.<br>∞ Video Link: Lettering: Anatomy of Letters</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Lowdown on Letters&quot; Ch.1 p.8-9</p><p>➜ PRACTICE<br>Draw your name. Use shoulder muscles and incorporate lettering aspects.</p><p>• COMMONPLACE BOOK<br>Write beautiful quotes or mottoes with creative lettering.</p>","","https://planning.alveary.org/links.html?id=reclUoymCI6pByUtr&term=1&week=2","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-rec48WzaKijR9yDF0","3","1","20m Lettering: Level 1 - Lesson 3","<p>Sans Serif Style<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW<br>Watch the tutorial.<br>∞ Video Link: Lettering: Sans Serif Style</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Sans Serif Characteristics; How to Draw a Sans Serif Style&quot; Ch.1 p.10, 12</p><p>➜ PRACTICE<br>Follow the steps in the book, incorporating tips from the tutorial.</p><p>• COMMONPLACE BOOK<br>Write beautiful quotes or mottoes with creative lettering.</p>","","https://planning.alveary.org/links.html?id=reclUoymCI6pByUtr&term=1&week=3","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-recPyV8IwSD6z0G5C","4","1","20m Lettering: Level 1 - Lesson 4","<p>Sans Serif Style (cont.)<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ RECAP<br>Talk about the characteristics of the sans serif lettering style.</p><p>➜ PRACTICE<br>Draw letters in sans serif style. Vary line width and value.</p><p>• COMMONPLACE BOOK<br>Write beautiful quotes or mottoes with creative lettering.</p>","","","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-recw10JnFC5bf7vcp","5","1","20m Lettering: Level 1 - Lesson 5","<p>Serif Style<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW<br>Watch the tutorial.<br>∞ Video Link: Lettering: Serif Style</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Serif Characteristics; How to Draw a Serif Style&quot; Ch.1 p.11, 13</p><p>➜ PRACTICE<br>Follow the steps in the book, incorporating tips from the tutorial.</p><p>• COMMONPLACE BOOK<br>Write beautiful quotes or mottoes with creative lettering.</p>","","https://planning.alveary.org/links.html?id=reclUoymCI6pByUtr&term=1&week=5","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-receJGWCXf6938ubm","6","1","20m Lettering: Level 1 - Lesson 6","<p>Serif Style (cont.)<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ RECAP<br>Talk about the characteristics of the serif lettering style.</p><p>➜ PRACTICE<br>Draw letters in serif style. Vary line width and value.</p><p>• COMMONPLACE BOOK<br>Write beautiful quotes or mottoes with creative lettering.</p>","","","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-rec04vRlACyqxFerp","7","1","20m Lettering: Level 1 - Lesson 7","<p>Script Style<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW<br>Watch the tutorial.<br>∞ Video Link: Lettering: Script Style</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Script Characteristics; How to Draw a Script Style&quot; Ch.1 p.11, 14</p><p>➜ PRACTICE <br>Follow the steps in the book, incorporating tips from the tutorial.</p><p>• COMMONPLACE BOOK<br>Write beautiful quotes or mottoes with creative lettering.</p>","","https://planning.alveary.org/links.html?id=reclUoymCI6pByUtr&term=1&week=7","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-recfLbDL6xRbcRxDe","8","1","20m Lettering: Level 1 - Lesson 8","<p>Script Style (cont.)<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ RECAP<br>Talk about the characteristics of the script lettering style.</p><p>➜ PRACTICE<br>Draw letters in script style. Vary line width and value.</p>","","","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-recRRhu23KMdtgZo6","9","1","20m Lettering: Level 1 - Lesson 9","<p>Chalkboard Project 1<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ PRACTICE<br>Put together all of the pieces learned this term, and plan a chalkboard project that includes all three lettering styles, varying line width and value. Complete it over three weeks.</p><p>• COMMONPLACE BOOK<br>Write beautiful quotes or mottoes with creative lettering.</p>","","","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-reccJ5y5GJJ3nmRKJ","10","1","20m Lettering: Level 1 - Lesson 10","<p>Chalkboard Project 1 (cont.)<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ PRACTICE<br>Work on term project.</p><p>• COMMONPLACE BOOK<br>Write beautiful quotes or mottoes with creative lettering.</p>","","","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-recagyYHiYLPHz3gD","11","1","20m Lettering: Level 1 - Lesson 11","<p>Chalkboard Project 1 (cont.)<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ PRACTICE<br>Work on term project.</p><p>• COMMONPLACE BOOK<br>Write beautiful quotes or mottoes with creative lettering.</p>","","","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-recGVo4U1FPf37zRz","12","1","20m Lettering: Level 1 - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from: <br>Complete Book of Chalk Lettering</p><p>• COMMONPLACE BOOK<br>Write beautiful quotes or mottoes with creative lettering.</p>","<p>★ Lettering: Level 1 — TERM 1 EXAM QUESTIONS<br>· Show your completed Chalkboard Project 1 to an adult.</p>","","Exam","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-recgSGlOuuQC9pbYl","13","1","20m Lettering: Level 1 - Lesson 13","<p>Choosing Lettering Styles<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ RECAP<br>Explain the difference between &quot;The Big Three&quot; lettering styles.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Choosing Lettering Styles; What Are Your Words Really Saying?&quot; Ch.2 p.18-19</p><p>➜ PRACTICE<br>Draw words using different lettering styles.</p><p>• COMMONPLACE BOOK<br>Write beautiful quotes or mottoes with creative lettering.</p>","","","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-recRPDjguvGfv0egS","14","1","20m Lettering: Level 1 - Lesson 14","<p>Choosing Lettering Styles (cont.)<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ RECAP<br>Explain what different aspects affect the mood of a design.</p><p>➜ PRACTICE<br>Draw words using different styles to convey different moods. Vary line width and value.</p><p>• COMMONPLACE BOOK<br>Write beautiful quotes or mottoes with creative lettering.</p>","","","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-recwAIFzB8RpT3PoJ","15","1","20m Lettering: Level 1 - Lesson 15","<p>Finding Inspiration<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Finding Inspiration, Sketching Designs&quot; Ch.2 p.20</p><p>➜ PRACTICE<br>Set aside an &quot;inspiration space&quot; in your Commonplace Book to collect inspirational quotes that you would like to use in your chalk designs this term. Spend time today searching for inspiration and adding to that list.</p><p>• COMMONPLACE BOOK<br>Write beautiful quotes or mottoes with creative lettering.</p>","","","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-recaCxrEQoiuCLTuX","16","1","20m Lettering: Level 1 - Lesson 16","<p>Finding Inspiration (cont.)<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ RECAP<br>Tell about how to make pencil and paper sketches and their importance.</p><p>➜ PRACTICE<br>Do a few pencil and paper sketches of designs using quotes from your inspiration list.</p><p>• COMMONPLACE BOOK<br>Write beautiful quotes or mottoes with creative lettering.</p>","","","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-recvy1AScAgMpsFRp","17","1","20m Lettering: Level 1 - Lesson 17","<p>Composition: Guidelines<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW<br>Watch the tutorial.<br>∞ Video Link: Lettering: Composition: Guidelines</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Placing Chalk Guides&quot; Ch.2 p.21</p><p>➜ PRACTICE<br>Set up composition guidelines on the chalkboard for one of your pencil and paper sketches. Remember you are only practicing guidelines at this time. You are not completing projects with lettering.</p><p>• COMMONPLACE BOOK<br>Write beautiful quotes or mottoes with creative lettering.</p>","","https://planning.alveary.org/links.html?id=reclUoymCI6pByUtr&term=2&week=17","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-recmRgnIMAcHxt6p6","18","1","20m Lettering: Level 1 - Lesson 18","<p>Composition: Guidelines (cont.)<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ PRACTICE<br>Set up composition guidelines on the chalkboard for more of your pencil and paper sketches. Remember you are only practicing guidelines at this time. You are not completing projects with lettering.</p><p>• COMMONPLACE BOOK<br>Write beautiful quotes or mottoes with creative lettering.</p>","","","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-recTyCxzFdhfmLp6H","19","1","20m Lettering: Level 1 - Lesson 19","<p>Composition: Principles of Design<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Principles of Design; Design Dissected; How to Design a Chalk Layout&quot; <br>Ch.2 p.22-26</p><p>➜ VIEW<br>Watch the tutorial<br>∞ Video Link: Lettering: Composition: Principles of Design</p><p>• COMMONPLACE BOOK<br>Write beautiful quotes or mottoes with creative lettering.</p>","","https://planning.alveary.org/links.html?id=reclUoymCI6pByUtr&term=2&week=19","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-recHrH2juoWUqCL6g","20","1","20m Lettering: Level 1 - Lesson 20","<p>Principles of Design (cont.)<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ RECAP<br>Choose one of the three designs and dissect it using the five main principles of design.<br>∞ Image Link: Dissecting Designs</p><p>➜ PRACTICE<br>Choose one of your pencil and paper sketches and rework the composition, incorporating the principles of design.</p>","","https://planning.alveary.org/links.html?id=reclUoymCI6pByUtr&term=2&week=20","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-rech3xciT3lJeOZ0k","21","1","20m Lettering: Level 1 - Lesson 21","<p>Chalkboard Project 2<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ PRACTICE <br>Put together all of the pieces learned this term and plan a chalkboard project. Set up a composition using guidelines to incorporate principles of design. Vary the letter styles, line width, and value. Complete over three weeks.</p>","","","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-rec91BXf7Uz64UGmd","22","1","20m Lettering: Level 1 - Lesson 22","<p>Chalkboard Project 2 (cont.)<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ PRACTICE<br>Work on term project.</p>","","","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-rec1YAEXcu4tXnoNd","23","1","20m Lettering: Level 1 - Lesson 23","<p>Chalkboard Project 2 (cont.)<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ PRACTICE<br>Work on term project.</p>","","","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-recTQyiwML8t4tTXp","24","1","20m Lettering: Level 1 - Lesson 24","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from: <br>Complete Book of Chalk Lettering</p>","<p>★ Lettering: Level 1 — TERM 2 EXAM QUESTIONS<br>· Show your completed Chalkboard Project 2 to an adult.</p><p>· The Complete Book of Chalk Lettering: Explain your understanding of the five main principles of design.</p>","","Exam","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-rec38FHKGSYyNnK9C","25","1","20m Lettering: Level 1 - Lesson 25","<p>Shadow Lines<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW<br>Watch the tutorial.<br>∞ Video Link: Lettering: Shadow Lines</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Adding Shadow Lines&quot; Ch.3 p.30</p><p>➜ PRACTICE<br>Follow the steps in the book, incorporating tips from the tutorial.</p><p>➜ NOTE<br>Keep the design for next week.</p>","","https://planning.alveary.org/links.html?id=reclUoymCI6pByUtr&term=3&week=25","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-recoOOxhO0yGspvD8","26","1","20m Lettering: Level 1 - Lesson 26","<p>Take Shadow Lines Further<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW<br>Watch the tutorial.<br>∞ Video Link: Lettering: Take Shadow Lines Further</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Kicking Shadow Lines...&quot; Ch.3 p.31</p><p>➜ PRACTICE<br>Using the design from last week, follow the steps in the book, incorporating tips from tutorial.</p>","","https://planning.alveary.org/links.html?id=reclUoymCI6pByUtr&term=3&week=26","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-recToXe7gbqoJTOZn","27","1","20m Lettering: Level 1 - Lesson 27","<p>Soft Shadow Lines <br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW<br>Watch the tutorial.<br>∞ Video Link: Lettering: Soft Shadow Lines</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Creating Soft Shadow Lines&quot; Ch.3 p.32</p><p>➜ PRACTICE<br>Follow the steps in the book, incorporating tips from the tutorial.</p>","","https://planning.alveary.org/links.html?id=reclUoymCI6pByUtr&term=3&week=27","Lesson","0","FALSE"
"alveary-reclUoymCI6pByUtr","alveary-recQMOdVz6tyf4uW9","28","1","20m Lettering: Level 1 - Lesson 28","<p>Drawing Dimension<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW<br>Watch the tutorial.<br>∞ Video Link: Lettering: Drawing Dimension</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Drawing Dimension&quot; Ch.3 p.33</p><p>➜ PRACTICE<br>Follow the steps in the book, incorporating tips from the tutorial.</p>","","https://planning.alveary.org/links.html?id=reclUoymCI6pByUtr&term=3&week=28","Lesson","0","FALSE"
