"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-1-1","1","1","20m Dictation: Grade 9 - Lesson 1","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-2-1","2","1","20m Dictation: Grade 9 - Lesson 2","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-3-1","3","1","20m Dictation: Grade 9 - Lesson 3","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-4-1","4","1","20m Dictation: Grade 9 - Lesson 4","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-5-1","5","1","20m Dictation: Grade 9 - Lesson 5","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-6-1","6","1","20m Dictation: Grade 9 - Lesson 6","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-7-1","7","1","20m Dictation: Grade 9 - Lesson 7","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-8-1","8","1","20m Dictation: Grade 9 - Lesson 8","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-9-1","9","1","20m Dictation: Grade 9 - Lesson 9","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-10-1","10","1","20m Dictation: Grade 9 - Lesson 10","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-11-1","11","1","20m Dictation: Grade 9 - Lesson 11","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-12-1","12","1","20m Dictation: Grade 9 - Lesson 12","<p>rec27I7cd4kpBOF5w</p><p>Complete term exam.</p>","","","Exam","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-13-1","13","1","20m Dictation: Grade 9 - Lesson 13","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-14-1","14","1","20m Dictation: Grade 9 - Lesson 14","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-15-1","15","1","20m Dictation: Grade 9 - Lesson 15","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-16-1","16","1","20m Dictation: Grade 9 - Lesson 16","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-17-1","17","1","20m Dictation: Grade 9 - Lesson 17","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-18-1","18","1","20m Dictation: Grade 9 - Lesson 18","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-19-1","19","1","20m Dictation: Grade 9 - Lesson 19","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-20-1","20","1","20m Dictation: Grade 9 - Lesson 20","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-21-1","21","1","20m Dictation: Grade 9 - Lesson 21","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-22-1","22","1","20m Dictation: Grade 9 - Lesson 22","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-23-1","23","1","20m Dictation: Grade 9 - Lesson 23","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-24-1","24","1","20m Dictation: Grade 9 - Lesson 24","<p>rec27I7cd4kpBOF5w</p><p>Complete term exam.</p>","","","Exam","0","FALSE"
"alveary-recmKSiBZiXiTeogS","alveary-tracker-recmKSiBZiXiTeogS-25-1","25","1","20m Dictation: Grade 9 - Lesson 25","<p>rec27I7cd4kpBOF5w</p>","","","Lesson","0","FALSE"
