"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recmLIQ0KZhIfSCdJ","alveary-tracker-recmLIQ0KZhIfSCdJ-1-1","1","1","30m Upper Spanish: Level 5 - Lesson 1","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recmLIQ0KZhIfSCdJ","alveary-tracker-recmLIQ0KZhIfSCdJ-1-2","1","2","30m Upper Spanish: Level 5 - Lesson 2","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recmLIQ0KZhIfSCdJ","alveary-tracker-recmLIQ0KZhIfSCdJ-1-3","1","3","30m Upper Spanish: Level 5 - Lesson 3","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recmLIQ0KZhIfSCdJ","alveary-tracker-recmLIQ0KZhIfSCdJ-1-4","1","4","30m Upper Spanish: Level 5 - Lesson 4","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recmLIQ0KZhIfSCdJ","alveary-tracker-recmLIQ0KZhIfSCdJ-1-5","1","5","30m Upper Spanish: Level 5 - Lesson 5","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recmLIQ0KZhIfSCdJ","alveary-tracker-recmLIQ0KZhIfSCdJ-2-1","2","1","30m Upper Spanish: Level 5 - Lesson 6","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recmLIQ0KZhIfSCdJ","alveary-tracker-recmLIQ0KZhIfSCdJ-2-2","2","2","30m Upper Spanish: Level 5 - Lesson 7","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recmLIQ0KZhIfSCdJ","alveary-tracker-recmLIQ0KZhIfSCdJ-2-3","2","3","30m Upper Spanish: Level 5 - Lesson 8","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recmLIQ0KZhIfSCdJ","alveary-tracker-recmLIQ0KZhIfSCdJ-2-4","2","4","30m Upper Spanish: Level 5 - Lesson 9","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recmLIQ0KZhIfSCdJ","alveary-tracker-recmLIQ0KZhIfSCdJ-2-5","2","5","30m Upper Spanish: Level 5 - Lesson 10","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recmLIQ0KZhIfSCdJ","alveary-tracker-recmLIQ0KZhIfSCdJ-3-1","3","1","30m Upper Spanish: Level 5 - Lesson 11","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recmLIQ0KZhIfSCdJ","alveary-tracker-recmLIQ0KZhIfSCdJ-3-2","3","2","30m Upper Spanish: Level 5 - Lesson 12","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recmLIQ0KZhIfSCdJ","alveary-tracker-recmLIQ0KZhIfSCdJ-3-3","3","3","30m Upper Spanish: Level 5 - Lesson 13","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
