"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recnGtrrxLZQpoc2I","alveary-recJzBOBXp1BFzWnb","1","1","5m Poetry Reading: Grade 7 - Lesson 1","","","","Lesson","0","FALSE"
"alveary-recnGtrrxLZQpoc2I","alveary-rec9f72vvNWTv8nrD","1","2","5m Poetry Reading: Grade 7 - Lesson 2","","","","Lesson","0","FALSE"
"alveary-recnGtrrxLZQpoc2I","alveary-recpdiZJIeB0UrNTh","1","3","5m Poetry Reading: Grade 7 - Lesson 3","","","","Lesson","0","FALSE"
"alveary-recnGtrrxLZQpoc2I","alveary-recjIOeryG4daIjIh","1","4","5m Poetry Reading: Grade 7 - Lesson 4","","","","Lesson","0","FALSE"
"alveary-recnGtrrxLZQpoc2I","alveary-recbv86PtO77XbqEF","2","1","5m Poetry Reading: Grade 7 - Lesson 5","","","","Lesson","0","FALSE"
"alveary-recnGtrrxLZQpoc2I","alveary-reccX0FRqi78gRW5y","2","2","5m Poetry Reading: Grade 7 - Lesson 6","","","","Lesson","0","FALSE"
"alveary-recnGtrrxLZQpoc2I","alveary-rec7aLoqmfsg2kSEE","2","3","5m Poetry Reading: Grade 7 - Lesson 7","","","","Lesson","0","FALSE"
"alveary-recnGtrrxLZQpoc2I","alveary-recGUL5lk9BmJh64C","2","4","5m Poetry Reading: Grade 7 - Lesson 8","","","","Lesson","0","FALSE"
"alveary-recnGtrrxLZQpoc2I","alveary-recZf28hem3FgwuuS","3","1","5m Poetry Reading: Grade 7 - Lesson 9","","","","Lesson","0","FALSE"
"alveary-recnGtrrxLZQpoc2I","alveary-reclYMYjE3bm4Ztc1","3","2","5m Poetry Reading: Grade 7 - Lesson 10","","","","Lesson","0","FALSE"
"alveary-recnGtrrxLZQpoc2I","alveary-recO4zYNtnpK1ADy3","3","3","5m Poetry Reading: Grade 7 - Lesson 11","","","","Lesson","0","FALSE"
"alveary-recnGtrrxLZQpoc2I","alveary-recvgZBAvfGYWkLIF","3","4","5m Poetry Reading: Grade 7 - Lesson 12","","","","Lesson","0","FALSE"
"alveary-recnGtrrxLZQpoc2I","alveary-recUtLXL6Bir467cD","4","1","5m Poetry Reading: Grade 7 - Lesson 13","","","","Lesson","0","FALSE"
"alveary-recnGtrrxLZQpoc2I","alveary-reci27ZOtaMGRsUj5","4","2","5m Poetry Reading: Grade 7 - Lesson 14","","","","Lesson","0","FALSE"
