"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recnMjfpYclu3qDVG","alveary-recZBhR03w8jr2Dbq","1","1","30m Pre-Algebra - Lesson 1","<p>Balancing the Scale <br>⍞ Materials: Hands-On Equations</p><p>➜ DEMONSTRATE<br>Work through examples and discuss.<br>Introduction &amp; Level I  <br>Lesson 1 p.3-4</p><p>➜ PRACTICE<br>Complete Classwork Sheet and check solutions.<br>Classwork Sheets  <br>Lesson 1</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-rec0DYLza3WlsLvbQ","1","2","30m Pre-Algebra - Lesson 2","<p>Balancing the Scale (continued) <br>⍞ Materials: Hands-On Equations</p><p>➜ DEMONSTRATE<br>Work through examples and discuss.<br>Introduction &amp; Level I  <br>Lesson 2 p.4</p><p>➜ PRACTICE<br>Complete Classwork Sheet and check solutions.<br>Classwork Sheets  <br>Lesson 2</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recT4qvnty1tllZvD","2","1","30m Pre-Algebra - Lesson 3","<p>&quot;Legal Moves&quot; <br>⍞ Materials: Hands-On Equations</p><p>➜ DEMONSTRATE<br>Work through examples and discuss.<br>Introduction &amp; Level I  <br>Lesson 3 p.4-6</p><p>➜ PRACTICE<br>Complete Classwork Sheet and check solutions.<br>Classwork Sheets  <br>Lesson 3</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recrl14dXHMrhCpzy","2","2","30m Pre-Algebra - Lesson 4","<p>Subtracting from Both Sides <br>⍞ Materials: Hands-On Equations</p><p>➜ DEMONSTRATE<br>Work through examples and discuss.<br>Introduction &amp; Level I  <br>Lesson 4 p.6-7</p><p>➜ PRACTICE<br>Complete Classwork Sheet and check solutions.<br>Classwork Sheets  <br>Lesson 4</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recNEKcWTwUpw8x22","3","1","30m Pre-Algebra - Lesson 5","<p>Original Physical Setup <br>⍞ Materials: Hands-On Equations</p><p>➜ DEMONSTRATE<br>Work through examples and discuss.<br>Introduction &amp; Level I  <br>Lesson 5 p.7-8</p><p>➜ PRACTICE<br>Complete Classwork Sheet and check solutions.<br>Classwork Sheets  <br>Lesson 5</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recQxw6tiwxdQA98L","3","2","30m Pre-Algebra - Lesson 6","<p>Parentheses <br>⍞ Materials: Hands-On Equations</p><p>➜ DEMONSTRATE<br>Work through examples and discuss.<br>Introduction &amp; Level I  <br>Lesson 6 p.8</p><p>➜ PRACTICE<br>Complete Classwork Sheet and check solutions.<br>Classwork Sheets  <br>Lesson 6</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recG9YHbOBbDEzRrU","4","1","30m Pre-Algebra - Lesson 7","<p>Pictorial Notation <br>⍞ Materials: Hands-On Equations</p><p>➜ DEMONSTRATE<br>Work through examples and discuss.<br>Introduction &amp; Level I  <br>Lesson 7 p.9-10</p><p>➜ PRACTICE<br>Complete Classwork Sheet and check solutions.<br>Classwork Sheets  <br>Lesson 7</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recmgGTXG8kQJDb1k","4","2","30m Pre-Algebra - Lesson 8","<p>Getting Started with Verbal Problems <br>⍞ Materials: Hands-On Equations Verbal Problems</p><p>➜ PRACTICE<br>Solve problems and check solutions. <br>Sec.1 p.8  <br>Problems 1-10</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-rec5R0L9OrdW96uhg","5","1","30m Pre-Algebra - Lesson 9","<p>Getting Started with Verbal Problems (continued) <br>⍞ Materials: Hands-On Equations Verbal Problems</p><p>➜ PRACTICE<br>Solve problems and check solutions. <br>Sec.1 p.9  <br>Problems 11-20</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-reccfdfk4v13x46Sf","5","2","30m Pre-Algebra - Lesson 10","<p>Getting Started with Verbal Problems (continued) <br>⍞ Materials: Hands-On Equations Verbal Problems</p><p>➜ PRACTICE<br>Solve problems and check solutions. <br>Sec.1 p.10  <br>Problems 21-30</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-rectOI3TlLhR6YshG","6","1","30m Pre-Algebra - Lesson 11","<p>Getting Started with Verbal Problems (continued) <br>⍞ Materials: Hands-On Equations Verbal Problems</p><p>➜ PRACTICE<br>Solve problems and check solutions. <br>Sec.1 p.11  <br>Problems 31-39</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recoDYQWCJECifRGK","6","2","30m Pre-Algebra - Lesson 12","<p>Number Problems <br>⍞ Materials: Hands-On Equations Verbal Problems</p><p>➜ PRACTICE<br>Solve problems and check solutions. <br>Sec.2 p.25  <br>Problems 1-6</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recZOax64GtC4warV","7","1","30m Pre-Algebra - Lesson 13","<p>Number Problems (continued) <br>⍞ Materials: Hands-On Equations Verbal Problems</p><p>➜ PRACTICE<br>Solve problems and check solutions. <br>Sec.2 p.26  <br>Problems 7-14</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recGOBwzogLp46Kds","7","2","30m Pre-Algebra - Lesson 14","<p>Consecutive Number Problems <br>⍞ Materials: Hands-On Equations Verbal Problems</p><p>➜ PRACTICE<br>Solve problems and check solutions. <br>Sec.3 p.42  <br>Problems 1-11</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-rec452Hn810pQgdhi","8","1","30m Pre-Algebra - Lesson 15","<p>Age Problems <br>⍞ Materials: Hands-On Equations Verbal Problems</p><p>➜ PRACTICE<br>Solve problems and check solutions. <br>Sec.4 p.57  <br>Problems 1-10</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recY1CSLne3f6JbHc","8","2","30m Pre-Algebra - Lesson 16","<p>Age Problems (continued) <br>⍞ Materials: Hands-On Equations Verbal Problems</p><p>➜ PRACTICE<br>Solve problems and check solutions. <br>Sec.4 p.57-58  <br>Problems 11-19</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recIAtjja10cselP5","9","1","30m Pre-Algebra - Lesson 17","<p>Coin Problems <br>⍞ Materials: Hands-On Equations Verbal Problems</p><p>➜ PRACTICE<br>Solve problems and check solutions. <br>Sec.5 p.75-76  <br>Problems 1-11</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recY2KN3iDWUAw8ru","9","2","30m Pre-Algebra - Lesson 18","<p>Coin Problems (continued) <br>⍞ Materials: Hands-On Equations Verbal Problems</p><p>➜ PRACTICE<br>Solve problems and check solutions. <br>Sec.5 p.77-78<br>Problems 12-26</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recTYCgYuirtT1xC1","10","1","30m Pre-Algebra - Lesson 19","<p>Distance Problems <br>⍞ Materials: Hands-On Equations Verbal Problems</p><p>➜ PRACTICE<br>Solve problems and check solutions. <br>Sec.6 p.100-101<br>Problems 1-13</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-reckE5j3ozrRSOrsE","10","2","30m Pre-Algebra - Lesson 20","<p>Distance Problems (continued) <br>⍞ Materials: Hands-On Equations Verbal Problems</p><p>➜ PRACTICE<br>Solve problems and check solutions. <br>Sec.6 p.101-103<br>Problems 14-26</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recWOSK4Jm0wS25Gn","11","1","30m Pre-Algebra - Lesson 21","<p>Story and Misc. Problems <br>⍞ Materials: Hands-On Equations Verbal Problems</p><p>➜ PRACTICE<br>Solve problems and check solutions. <br>Sec.7 p.135<br>Problems 1-8</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recUSrBndNibInNHt","11","2","30m Pre-Algebra - Lesson 22","<p>Story and Misc. Problems (continued) <br>⍞ Materials: Hands-On Equations Verbal Problems</p><p>➜ PRACTICE<br>Solve problems and check solutions. <br>Sec.7 p.136<br>Problems 9-15</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recHANWW9MSxHMqYK","12","1","30m Pre-Algebra - Lesson 23","<p>Exam Week <br>⍞ Materials: Hands-On Equations</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from: <br>Hands-On Equations</p>","<p>★ Pre-Algebra — TERM 1 EXAM QUESTIONS<br>·  Hands-On Equations Verbal Problems Book: p.137 (#16-22)</p>","","Exam","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-reckgqPRrcU6fAVJd","12","2","30m Pre-Algebra - Lesson 24","<p>Exam Week <br>⍞ Materials: Hands-On Equations</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from: <br>Hands-On Equations</p>","<p>★ Pre-Algebra — TERM 1 EXAM QUESTIONS<br>·  Hands-On Equations Verbal Problems Book: p.137 (#16-22)</p>","","Exam","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recRvhYSwWlWvLr9Y","13","1","30m Pre-Algebra - Lesson 25","<p>Introducing the Star <br>⍞ Materials: Hands-On Equations</p><p>➜ DEMONSTRATE<br>Work through examples and discuss.<br>Level II  <br>Lesson 8 p.1-2</p><p>➜ PRACTICE<br>Complete Classwork Sheet and check solutions.<br>Classwork Sheets  <br>Lesson 8</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-rec8uIldJUQflsCwZ","13","2","30m Pre-Algebra - Lesson 26","<p>Negatives <br>⍞ Materials: Hands-On Equations</p><p>➜ DEMONSTRATE<br>Work through examples and discuss.<br>Level II  <br>Lesson 9 p.2-3</p><p>➜ PRACTICE<br>Complete Classwork Sheet and check solutions.<br>Classwork Sheets  <br>Lesson 9</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recqihO85h5sPteHg","14","1","30m Pre-Algebra - Lesson 27","<p>Removing a Pair of Opposites <br>⍞ Materials: Hands-On Equations</p><p>➜ DEMONSTRATE<br>Work through examples and discuss.<br>Level II  <br>Lesson 10 p.4</p><p>➜ PRACTICE<br>Complete Classwork Sheet and check solutions.<br>Classwork Sheets  <br>Lesson 10</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recMgjus3ff5Mh9IM","14","2","30m Pre-Algebra - Lesson 28","<p>Balancing by Adding <br>⍞ Materials: Hands-On Equations</p><p>➜ DEMONSTRATE<br>Work through examples and discuss.<br>Level II  <br>Lesson 11 p.5</p><p>➜ PRACTICE<br>Complete Classwork Sheet and check solutions.<br>Classwork Sheets  <br>Lesson 11</p>","","","Lesson","0","FALSE"
"alveary-recnMjfpYclu3qDVG","alveary-recqdslPKHIgiUjHU","15","1","30m Pre-Algebra - Lesson 29","<p>Adding Pairs of Opposites <br>⍞ Materials: Hands-On Equations</p><p>➜ DEMONSTRATE<br>Work through examples and discuss.<br>Level II  <br>Lesson 12 p.6</p><p>➜ PRACTICE<br>Complete Classwork Sheet and check solutions.<br>Classwork Sheets  <br>Lesson 12</p>","","","Lesson","0","FALSE"
