"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recnbEFSJhDxV7DVb","alveary-recWoOrJ2bdPbqgUy","1","1","45m Food Science Lessons - Lesson 1","<p>Preparation<br>⍞ Materials: Video Link</p><p>➜ INTRO<br>Your lessons are organized to teach you the basics in Term 1 and then encourage exploration in Terms 2-3.  If you prefer to spread out the readings in Term 1, there is room to do so.  Feel free to work at your own pace.</p><p>As we start our kitchen adventure, it is important to remember that we are also investigating as scientists. Let's watch a portion of this public lecture from the Science &amp; Cooking lecture series at Harvard to get us in the mindset that the best chefs must be scientists, too.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>Watch a portion of the first Science and Cooking lecture:<br>∞ Video Link: Science and Cooking (5:45-57:14)</p><p>• PLAN WEEKLY<br>⬚ take a nature walk<br>⬚ science free read</p>","","https://planning.alveary.org/links.html?id=recnbEFSJhDxV7DVb&term=1&week=1","Lesson","0","FALSE"
"alveary-recnbEFSJhDxV7DVb","alveary-recE2xPVBPFFEwVUc","1","2","45m Food Science Lessons - Lesson 2","<p>The Science of Cooking<br>⍞ Materials: Salt, Fat, Acid, Heat</p><p>➜ INTRO<br>In this book, a chef leads students through 4 important &quot;elements&quot; of cooking: salt, fat, acid, and heat. The first 3 are families of chemical substances, while the last is really about adding energy. If you have already taken Chemistry, think about what you've already learned about salt, fat, acid, and heat as you observe the roles they play in cooking. If you haven't yet taken Chemistry, you'll learn a few basics here and will get to make lots of observations that will support any future study in the subject.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.17-28</p><p>∞ Video Link: America's Test Kitchen<br>∞ Video Link: Alveary Chemistry Companion</p>","","https://planning.alveary.org/links.html?id=recnbEFSJhDxV7DVb&term=1&week=1","Lesson","0","FALSE"
"alveary-recnbEFSJhDxV7DVb","alveary-recjaBjLjdvm6oJML","1","3","45m Food Science Lessons - Lesson 3","<p>The Science of Cooking<br>⍞ Materials: Salt, Fat, Acid, Heat</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.29-39</p>","","","Lesson","0","FALSE"
"alveary-recnbEFSJhDxV7DVb","alveary-recK2w7SYtWdFhNHn","1","4","45m Food Science Lessons - Lesson 4","<p>The Science of Cooking<br>⍞ Materials: Salt, Fat, Acid, Heat</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.40-55</p>","","","Lesson","0","FALSE"
"alveary-recnbEFSJhDxV7DVb","alveary-rec57SaUUDCKVleO2","1","5","45m Food Science Lessons - Lesson 5","<p>The Science of Cooking &amp; Baking<br>⍞ Materials: Salt, Fat, Acid, Heat, Elements of Baking</p><p>➜ PREPARE<br>Choose a ‘Salt Lesson’ recipe from p.428 of SFAH for next week. Then decide what else you will serve to balance the meal. Healthy Eating Plate (linked) may help; for more information about the history of dietary guidelines, the newly released U.S. guidelines, or Canadian guidelines, check out the other optional links. Be sure to make a shopping list for your teacher.<br>∞ Website Link: Healthy Eating Plate<br>∞ Website Link: Illustrating Diet Advice is Hard<br>∞ Website Link: Dietary Guidelines for Americans<br>∞ Website Link: Canada's Dietary Guidelines</p><p>Then begin Elements of Baking:</p><p>➜ INTRO<br>In the second text for this course, a chemist leads students through studies in baking with the mindset of a materials chemist: we observe the physical properties of various materials and experiment with how they perform in various situations to work toward a desired product. The approach is the same whether we are developing new adhesives for space shuttle tiles, new polymers for biomedical applications or textiles, or new recipes for friends and family.</p><p>Note the organization of EB on p.13. Feel free to flip around so that you understand how the book is organized and where to find what you want.</p><p>Read p.15. Note that you will measure by weight in this course. In science, we experiment, and the accuracy and precision of weight measurements will ensure that we can draw conclusions from our experiments.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.19-23</p>","","https://planning.alveary.org/links.html?id=recnbEFSJhDxV7DVb&term=1&week=1","Lesson","0","FALSE"
"alveary-recnbEFSJhDxV7DVb","alveary-recuPrFMDbJS64nZB","2","1","45m Food Science Lessons - Lesson 6","<p>The Science of Baking<br>⍞ Materials: Elements of Baking</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.2 p.37-44</p><p>• PLAN WEEKLY<br>⬚ take a nature walk<br>⬚ science free read</p>","","","Lesson","0","FALSE"
"alveary-recnbEFSJhDxV7DVb","alveary-recLslFKxW1nvD2A9","2","2","45m Food Science Lessons - Lesson 7","<p>The Science of Baking<br>⍞ Materials: Elements of Baking</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.3 p.48-49. Read once before case studies, but you will come back to them after (or even during) case studies as you develop understanding. Make sure you understand WHY the points on p.49 are so.</p><p>➜ PLAN<br>Look over p.50-51: In addition to Buttery Vanilla Cake, select 3 items from the pink boxes which you are familiar with or interested in (except bread, which we’ll get to later, and waffles).</p><p>➜ PREPARE<br>Read over the rules for Buttery Vanilla Cake (p52-54) and your 3 additional items, noting how the rules apply the science of ingredients from Ch.2, how the vegan and gf-vegan rules combine the first 3, and how the rules are the same/different between items.</p><p>Refer to p.91 for a Table of Contents of case studies to locate the recipe pages for your 3 selections. Note that a table of the ingredients needed for different variations is printed toward the end of the case study (p.104 for Buttery Vanilla Cake). You can choose whatever variations most interest you, but the key to learning the science is to try different variations because we have to change a variable to see what happens. Add any needed ingredients to your shopping list.</p>","","","Lesson","0","FALSE"
"alveary-recnbEFSJhDxV7DVb","alveary-recEarOg3apZA1dTF","2","3","45m Food Science Lessons - Lesson 8","<p>The Science of Baking<br>⍞ Materials: Elements of Baking</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.4 p.88-89.<br>Buttery Vanilla Cake p.92-105. Even if you aren't planning to do all of the variations, reading about the role the ingredients play is important!</p>","","","Lesson","0","FALSE"
"alveary-recnbEFSJhDxV7DVb","alveary-recAiaxrx2ED9ObVj","2","4","45m Food Science Lessons - Lesson 9","<p>The Science of Baking<br>⍞ Materials: Elements of Baking, indicated ingredients, and kitchen supplies</p><p>➜ BAKING DAY!<br>Prepare Buttery Vanilla Cake, recording what you do and what you observe in your notebook.</p>","","","Lesson","0","FALSE"
"alveary-recnbEFSJhDxV7DVb","alveary-recEAGDIZlkCO1TY9","2","5","45m Food Science Lessons - Lesson 10","<p>The Science of Baking<br>⍞ Materials: Elements of Baking</p><p>➜ ANALYZE<br>• Review how the bake went, reread, and plan any adjustments that you want to try next week.<br>• Add frostings and creams from Ch.10, if desired.<br>• Add to shopping list, as needed.<br>• If you want to decide on your Salt Lesson recipe for next week, you could do this now, or you could wait until after dinner night. You could try one of these first two again or try a new one. Add to shopping list, as needed.</p>","","","Lesson","0","FALSE"
