"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recofRiUGnjOKIbzk","alveary-recPkU3zIdKg7x0Db","1","1","20m Advanced Nature Study Afternoon Work - Lesson 1","<p>➜ FIELD WORK<br>Don't forget to schedule an extended time of exploring and nature journaling sometime each week for the lab component of this course. The more pencil miles you put in, as John Muir Laws says, the better your sketching and journaling skills will get!</p>","","","Lesson","0","FALSE"
"alveary-recofRiUGnjOKIbzk","alveary-recEqWKLPikVAtllc","2","1","20m Advanced Nature Study Afternoon Work - Lesson 2","<p>➜ FIELD WORK<br>Spend an extended time on field work.</p>","","","Lesson","0","FALSE"
"alveary-recofRiUGnjOKIbzk","alveary-recxDASsax2zIHIGh","3","1","20m Advanced Nature Study Afternoon Work - Lesson 3","<p>➜ FIELD WORK<br>Spend an extended time on field work.</p>","","","Lesson","0","FALSE"
"alveary-recofRiUGnjOKIbzk","alveary-recTenJDz4A8IDqOO","4","1","20m Advanced Nature Study Afternoon Work - Lesson 4","<p>➜ FIELD WORK<br>Spend an extended time on field work.</p>","","","Lesson","0","FALSE"
"alveary-recofRiUGnjOKIbzk","alveary-recduWXSoW0P2tEDp","5","1","20m Advanced Nature Study Afternoon Work - Lesson 5","<p>➜ FIELD WORK<br>Spend an extended time on field work.</p>","","","Lesson","0","FALSE"
"alveary-recofRiUGnjOKIbzk","alveary-rec1zoZo6TkxJZkXw","6","1","20m Advanced Nature Study Afternoon Work - Lesson 6","<p>➜ FIELD WORK<br>Spend an extended time on field work.</p>","","","Lesson","0","FALSE"
"alveary-recofRiUGnjOKIbzk","alveary-recauzaFUegA9xsQn","7","1","20m Advanced Nature Study Afternoon Work - Lesson 7","<p>➜ FIELD WORK<br>Spend an extended time on field work.</p>","","","Lesson","0","FALSE"
"alveary-recofRiUGnjOKIbzk","alveary-recJ0TbcSsEnpYRue","8","1","20m Advanced Nature Study Afternoon Work - Lesson 8","<p>➜ FIELD WORK<br>Spend an extended time on field work.</p>","","","Lesson","0","FALSE"
"alveary-recofRiUGnjOKIbzk","alveary-rec6MQnSM3T8R5Fz2","9","1","20m Advanced Nature Study Afternoon Work - Lesson 9","<p>➜ FIELD WORK<br>Spend an extended time on field work.</p>","","","Lesson","0","FALSE"
"alveary-recofRiUGnjOKIbzk","alveary-rec4X3Ru3o8wNUUiE","10","1","20m Advanced Nature Study Afternoon Work - Lesson 10","<p>➜ FIELD WORK<br>Spend an extended time on field work.</p>","","","Lesson","0","FALSE"
