"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recohZObHIJOUNBS4","alveary-recY0lbIvTnvrTjdM","1","1","20m Sports - Lesson 1","<p>Soccer: Dribbling<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book, Soccer Ball</p><p>➜ READ <br>Soccer.<br>The Ultimate Homeschool P.E. Game Book  <br>&quot;Soccer Games and Glossary&quot; p.57-59</p><p>➜ PLAY<br>Soccer Pirate<br>The Ultimate Homeschool P.E. Game Book &quot;Soccer&quot; p.60</p>","","","Lesson","0","FALSE"
"alveary-recohZObHIJOUNBS4","alveary-rec6KXAbPR8m0w0wN","2","1","20m Sports - Lesson 2","<p>Soccer: Dribbling, Ball Control<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book, Soccer Ball</p><p>➜ PLAY<br>Red Light- Green Light<br>The Ultimate Homeschool P.E. Game Book p.62</p>","","","Lesson","0","FALSE"
"alveary-recohZObHIJOUNBS4","alveary-recJJo68Vpg1N8IwN","3","1","20m Sports - Lesson 3","<p>Soccer: Accuracy, Trapping<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book, Soccer Ball, Cone (1)</p><p>➜ PLAY<br>Target Soccer<br>The Ultimate Homeschool P.E. Game Book p.64</p>","","","Lesson","0","FALSE"
"alveary-recohZObHIJOUNBS4","alveary-recCkZHy3cnvQguZq","4","1","20m Sports - Lesson 4","<p>Soccer: Game Choice<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book, Soccer Supplies</p><p>➜ PLAY<br>Your choice of Soccer Pirate, Green Light-Red Light, or Target Soccer<br>The Ultimate Homeschool P.E. Game Book p.60, 62, 64</p>","","","Lesson","0","FALSE"
"alveary-recohZObHIJOUNBS4","alveary-recFZv6jOt9MvnQqs","5","1","20m Sports - Lesson 5","<p>Soccer: Dribbling<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book, Soccer Ball</p><p>➜ PLAY<br>Dribble Freeze Tag<br>The Ultimate Homeschool P.E. Game Book p.66</p>","","","Lesson","0","FALSE"
"alveary-recohZObHIJOUNBS4","alveary-recdTdqAiiJO1B5UC","6","1","20m Sports - Lesson 6","<p>Soccer: Upper Body, Dribbling<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book, Soccer Ball</p><p>➜ PLAY<br>Soccer Crab Tag<br>The Ultimate Homeschool P.E. Game Book p.67</p>","","","Lesson","0","FALSE"
"alveary-recohZObHIJOUNBS4","alveary-recYaf2Jd5a1TwUrC","7","1","20m Sports - Lesson 7","<p>Soccer: Kicking, Goalie Play<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book, Soccer Ball, Goal/Cones (2)</p><p>➜ PLAY<br>Soccer Horse<br>The Ultimate Homeschool P.E. Game Book p.69</p>","","","Lesson","0","FALSE"
"alveary-recohZObHIJOUNBS4","alveary-recnMlLAIvOQZ9FSP","8","1","20m Sports - Lesson 8","<p>Soccer: Game Choice<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book, Soccer Supplies</p><p>➜ PLAY<br>Dribble Freeze Tag, Soccer Crab Tag, or Soccer Horse<br>The Ultimate Homeschool P.E. Game Book p.66, 67, 69</p>","","","Lesson","0","FALSE"
"alveary-recohZObHIJOUNBS4","alveary-recLFMKDfJGietUb1","9","1","20m Sports - Lesson 9","<p>Soccer: Dribbling and Kicking<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book, Soccer Ball, Goal/Cones (2)</p><p>➜ PLAY<br>One-on-One Soccer<br>The Ultimate Homeschool P.E. Game Book p.72</p>","","","Lesson","0","FALSE"
"alveary-recohZObHIJOUNBS4","alveary-recOXmUenDjoII0DQ","10","1","20m Sports - Lesson 10","<p>Soccer: Defense and Passing<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book, Soccer Ball, Goals (2)/Cones (4)</p><p>➜ PLAY<br>Two-on-Two Soccer<br>The Ultimate Homeschool P.E. Game Book p.73</p>","","","Lesson","0","FALSE"
"alveary-recohZObHIJOUNBS4","alveary-reckh7q6mEta3hF4B","11","1","20m Sports - Lesson 11","<p>Soccer: Game Choice<br>⍞ Materials: The Ultimate Homeschool P.E. Game Book, Soccer Supplies</p><p>➜ PLAY<br> Any game from term, or if able, play soccer with a larger group on a soccer field.<br>The Ultimate Homeschool P.E. Game Book p.60-73</p>","","","Lesson","0","FALSE"
