"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-reconp5xoi7sj5Kov","alveary-rec2Lonu2OOC0yE81","1","1","60m Botany Labs - Lesson 1","<p>⍞ Materials: Elementary Studies in Plant Life</p><p>Prep: Read Student Tip.</p><p>➜ OBSERVE<br>Notice a variety of plants this week, doing the practical work from Ch.1. Notice root and shoot, and how the leaves and branches are attached in the different cases. Notice plants in which flowers are fading, and fruit is ripening in their place. Some activities may be delayed depending on the time of year and your geographic location. Do what you can to gain the most from the chapter. If the plants or trees mentioned are unavailable locally, look up the item online. Also, you may need to visit local nurseries, botanical gardens, and neighbors' yards and gardens to find specimens to examine.</p><p>★ STUDENT TIP<br>Labs and prompts for your field work are included in your lesson plans, but it is important to establish a personal habit of outdoor walks as a part of life!</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recTBu7Hh0S7JOmvT","2","1","60m Botany Labs - Lesson 2","<p>⍞ Materials: Elementary Studies in Plant Life</p><p>➜ LAB DAY<br>Perform the practical work from Ch.2. Record your work in your notebook.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recvcCMqnlr2I6e3Z","3","1","60m Botany Labs - Lesson 3","<p>⍞ Materials: Link, household items indicated, microscope, and glass slides</p><p>Prep: Read Student Tip.</p><p>➜ LAB DAY<br>Use the procedure at the link to evaluate microbial life in soil from at least 3 locations. The locations may be at the same site, but they should be some distance apart. Soil that is even 10-20 yards apart may be quite different. It is okay to be unsure of what you are viewing under the microscope.</p><p>➜ VIEW        <br>∞ Link: Soil Sampling Procedure</p><p>★ STUDENT TIP<br>Plan to go to another type of habitat next week. If you collected soil from a neighborhood this week, perhaps go to a forest or a pond next week.</p>","","https://planning.alveary.org/links.html?id=reconp5xoi7sj5Kov&term=1&week=3","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-reczokvTcNEETbeXR","4","1","60m Botany Labs - Lesson 4","<p>⍞ Materials: Link, household items indicated, microscope, and glass slides</p><p>➜ LAB DAY<br>This week, go to a different habitat. Use the procedure at the link to evaluate microbial life in soil from at least 3 locations.</p><p>➜ VIEW        <br>∞ Link: Soil Sampling Procedure</p>","","https://planning.alveary.org/links.html?id=reconp5xoi7sj5Kov&term=1&week=4","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recSGtQ4OpNyeLoYK","5","1","60m Botany Labs - Lesson 5","<p>⍞ Materials: Elementary Studies in Plant Life, pea/bean seeds, and potting materials</p><p>➜ LAB DAY<br>Perform the practical work from Ch.3. Record your work in your notebook. Also, take a few minutes to start some pea or bean seeds for Week 10. Be sure to keep them watered!</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recBs64zZNzCILler","6","1","60m Botany Labs - Lesson 6","<p>⍞ Materials: Elementary Studies in Plant Life</p><p>➜ LAB DAY<br>Perform a selection of the practical work from Ch.17. Record your work in your notebook.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recZU0mWHZdVrRTRe","7","1","60m Botany Labs - Lesson 7","<p>⍞ Materials: Link, at least one lily, and a dissecting kit (supplies noted in lab)</p><p>➜ DISSECTION<br>Procure a lily flower. You might have to purchase one at a florist or local grocery store. Read the guide linked below, and then dissect your flower. Sketch and label all the parts using the dissection guide. Have a magnifying lens handy to take a close-up look.</p><p>➜ VIEW        <br>∞ Link: Dissection Guide</p>","","https://planning.alveary.org/links.html?id=reconp5xoi7sj5Kov&term=1&week=7","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recRwFfuBBAyDmP8m","8","1","60m Botany Labs - Lesson 8","<p>⍞ Materials: Elementary Studies in Plant Life, pea/bean seeds, and potting materials</p><p>➜ LAB DAY<br>Perform the practical work from Ch.5. Record your work in your notebook. Also, take a few minutes to start some pea or bean seeds for Week 10. Be sure to keep them watered!</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recsWHfZHNMPBpC9C","9","1","60m Botany Labs - Lesson 9","<p>⍞ Materials: Elementary Studies in Plant Life</p><p>➜ LAB DAY<br>Perform the practical work from Ch.6. Record your work in your notebook.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-reck06erqSldQgrGk","10","1","60m Botany Labs - Lesson 10","<p>⍞ Materials: Elementary Studies in Plant Life</p><p>➜ LAB DAY<br>Perform the practical work from Ch.7. Record your work in your notebook.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recu5MvQDzjM5Sh4H","11","1","60m Botany Labs - Lesson 11","<p>⍞ Materials: Elementary Studies in Plant Life</p><p>➜ LAB DAY<br>Perform the practical work from Ch.8. Record your work in your notebook.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recyMWVFjuiKFZjMJ","12","1","60m Botany Labs - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to the course.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recBdxq3NI9WAtnNg","13","1","60m Botany Labs - Lesson 13","<p>⍞ Materials: Elementary Studies in Plant Life</p><p>➜ LAB DAY<br>Perform the practical work from Ch.9. Record your work in your notebook.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recUZHSWru5dDHL5T","14","1","60m Botany Labs - Lesson 14","<p>⍞ Materials: Link</p><p>➜ PLAN<br>Explore citizen science projects, such as Tree Snap, The Christmas Bird Count, BudBurst, and more. Choose one to do during the term that is related to trees or the creatures that depend on trees. Mark your calendar and obtain any supplies needed for the project. If you have another lab that week, you may shift your lab schedule to accommodate the project.</p><p>➜ VIEW        <br>∞ Link: SciStarter</p>","","https://planning.alveary.org/links.html?id=reconp5xoi7sj5Kov&term=2&week=14","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recttcmuePMqLwx0D","15","1","60m Botany Labs - Lesson 15","<p>⍞ Materials: Elementary Studies in Plant Life</p><p>➜ LAB DAY<br>Perform the practical work from Ch.15.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recXxpVwUJjjujalv","16","1","60m Botany Labs - Lesson 16","<p>⍞ Materials: Sibley Guide to Trees</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Twigs&quot; and &quot;Buds&quot; p.xxxv-xxxvii</p><p>➜ PRACTICE<br>Identify the features described among the twigs you have collected.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recQTiwXOvbFMBMSX","17","1","60m Botany Labs - Lesson 17","<p>⍞ Materials: Sibley Guide to Trees</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Bark&quot; p.xxxvii-xxxviii</p><p>➜ PRACTICE<br>Identify the features described among various trees.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recNJNDRyKO5y7nyX","18","1","60m Botany Labs - Lesson 18","<p>➜ PRACTICE <br>Catch-up day to accommodate citizen science.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recywCUuT8gyXoZQo","19","1","60m Botany Labs - Lesson 19","<p>➜ PRACTICE <br>Catch-up day to accommodate citizen science. Or, if you are ready, move on to next week's project!</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recShzEg3G7zNEE0j","20","1","60m Botany Labs - Lesson 20","<p>⍞ Materials: Seed collection or ethnobotany project, student choice</p><p>➜ PRACTICE <br>For the last several weeks of the term, you will work on 1 of 2 projects: <br>1\. Create a &quot;seed bank&quot; to preserve and present your collection to your teacher; or<br>2\. Choose one of your local plants, and research how the plant was used culturally by a group of people. Present your findings to your teacher. The video link below contains a great example of ethnobotany.</p><p>➜ VIEW        <br>∞ Video Link: Ethnobotany (6:09)</p><p>Decide today which project you will do and what form it will take. A seed bank could be a collection of paintings, models/sculptures, poems, musical motifs, etc. Ethnobotany research could be presented as a brochure designed on Canva, a slide/poster presentation, a fireside tale, etc. Once you are ready, begin working!</p>","","https://planning.alveary.org/links.html?id=reconp5xoi7sj5Kov&term=2&week=20","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recMolFkysqDFnKmp","21","1","60m Botany Labs - Lesson 21","<p>⍞ Materials: Seed collection or ethnobotany project, student choice</p><p>➜ PRACTICE<br>Work on your project.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recq1A4OhBdqj6Xv8","22","1","60m Botany Labs - Lesson 22","<p>⍞ Materials: Seed collection or ethnobotany project, student choice</p><p>➜ PRACTICE<br>Work on your project.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-rec1xKKeUj0Uja2Ld","23","1","60m Botany Labs - Lesson 23","<p>⍞ Materials: Seed collection or ethnobotany project, student choice</p><p>➜ PRACTICE <br>Work on your project.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recsVUwW2ZDlsDtJO","24","1","60m Botany Labs - Lesson 24","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to the course.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recq38vWPjaSeedCO","25","1","60m Botany Labs - Lesson 25","<p>⍞ Materials: Elementary Studies in Plant Life or link</p><p>➜ LAB DAY<br>Perform selected practical work from Ch.11-12. Record your work in your notebook.</p><p>OR</p><p>➜ PLAN <br>Choose another botany-related citizen science project for spring.</p><p>➜ VIEW        <br>∞ Link: SciStarter</p>","","https://planning.alveary.org/links.html?id=reconp5xoi7sj5Kov&term=3&week=25","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-rech4nYLLeLDm9oiv","26","1","60m Botany Labs - Lesson 26","<p>⍞ Materials: Elementary Studies in Plant Life</p><p>➜ LAB DAY<br>Perform selected practical work from Ch.11-12. Record your work in your notebook.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recjBn1x1nPZbkPlF","27","1","60m Botany Labs - Lesson 27","<p>⍞ Materials: Elementary Studies in Plant Life</p><p>➜ LAB DAY<br>Perform the practical work from Ch.13. Record your work in your notebook.</p><p>OR</p><p>➜ PRACTICE <br>Catch-up day to accommodate citizen science.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recjPrff3L2dueIiD","28","1","60m Botany Labs - Lesson 28","<p>⍞ Materials: Elementary Studies in Plant Life</p><p>➜ LAB DAY<br>Perform the practical work from Ch.14. If you would like to try Question 1, you may look for green ash, white ash, or walnut instead of horse chestnut. Record your work in your notebook.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recyuOoZ3Wa9MwWs3","29","1","60m Botany Labs - Lesson 29","<p>⍞ Materials: Botany in a Day</p><p>➜ OBSERVE<br>As spring arrives, try to find an example of each family described in Botany in a Day. Record your observations.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recTQ86zgXTcGmf5G","30","1","60m Botany Labs - Lesson 30","<p>⍞ Materials: Elementary Studies in Plant Life</p><p>➜ LAB DAY<br>Perform the practical work from Ch.19. Record your work in your notebook.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recDdCBqlINttjhAZ","31","1","60m Botany Labs - Lesson 31","<p>⍞ Materials: Elementary Studies in Plant Life</p><p>➜ LAB DAY<br>Perform selected practical work from Ch.20. Record your work in your notebook.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-rec9i0woqNJt68LxM","32","1","60m Botany Labs - Lesson 32","<p>⍞ Materials: Link, household items indicated, microscope, and glass slides</p><p>➜ LAB DAY<br>Return to one of your soil sampling locations from Term 1. Use the procedure at the link to evaluate microbial life in soil from at least 3 locations and compare to your observations from Term 1.</p><p>➜ VIEW        <br>∞ Link: Soil Sampling Procedure</p>","","https://planning.alveary.org/links.html?id=reconp5xoi7sj5Kov&term=3&week=32","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recfPQfREWt8e0gFi","33","1","60m Botany Labs - Lesson 33","<p>⍞ Materials: Elementary Studies in Plant Life</p><p>➜ LAB DAY<br>Perform selected practical work from Ch.21. Record your work in your notebook.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recmZGQHpRMBaf2OE","34","1","60m Botany Labs - Lesson 34","<p>⍞ Materials: Botany in a Day</p><p>➜ OBSERVE<br>As spring arrives, try to find an example of each family described in Botany in a Day. Record your observations.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recoQlV9NrPXCoXPq","35","1","60m Botany Labs - Lesson 35","<p>➜ CATCH UP DAY<br>Use this time to catch up in this or any other course.</p>","","","Lab","0","FALSE"
"alveary-reconp5xoi7sj5Kov","alveary-recI1uW9KSCITtp16","36","1","60m Botany Labs - Lesson 36","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to the course.</p>","","","Lab","0","FALSE"
