"course_custom_id","syllabird_status","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recozIFrMD6NysNeJ","Import is Current","alveary-recup0UuJGVUb441I","1","1","30m Geography: Grade 9 - Lesson 1","<p>World Geography - Russia<br>⍞ Materials: Prisoners of Geography<br> <br>➜ INTRO<br>To aid communication throughout this course, we will call the big blue Prisoners of Geography: Our World Explained in 12 Simple Maps book (optional) simply your &quot;map book,&quot; and we will call Prisoners of Geography: Ten Maps That Explain Everything About the World your &quot;Prisoners of Geography&quot; book.</p><p>➜ MAP WORK<br>Print one blank map of Russia. <br>∞ Map Link: Blank Map of Russia</p><p>Using the blank map as a pattern to trace or as a guide, sketch a rough map of Russia in your notebook. As in the sample sketch maps at the link, the basic shape is the objective rather than detailed perfection. If an alternative to sketching or tracing is needed, students may use their finger to trace the blank map. In this way, a blank map may be substituted for the sketch as needed throughout these lessons. Like imagining shapes in clouds, consider what the shape of the map looks like to help you remember your mental sketch.<br>∞ Image Link: Sketch maps</p><p>Using your atlas, globe, phone, and/or p.8-9 in your Prisoners of Geography book, locate the following items. Add to your map and label as many as you can reasonably recall:</p><p>•Moscow •St. Petersburg •Murmansk •Arctic Circle •Ural Mountains •Lake Baikal •Siberia •Volga River •Crimea •Vladivostok •Anything else you would like</p><p>➜ READ &amp; NARRATE <br>Read aloud or silently. <br>Prisoners of Geography p.1-9 (Introduction)</p><p>• STUDENT TIP<br>Make a point to know and look up something about places mentioned in the current news and events of the day. Look up place names in your atlas. Perhaps make a map to identify event locations throughout the year.</p>","","https://planning.alveary.org/links.html?id=recozIFrMD6NysNeJ&term=1&week=1","Lesson","0","FALSE"
"alveary-recozIFrMD6NysNeJ","Import is Current","alveary-recBOe9kGLx2yKCJ2","1","2","30m Geography: Grade 9 - Lesson 2","<p>Genesis of a Dream<br>⍞ Materials: Five Months on the Missouri River, notebook</p><p>➜ INTRO<br>This book started from a series of weekly newspaper columns Elpel wrote as the expedition progressed in 2019. Travel along with Lewis and Clark, who first went up the river, and the modern crew as they explore down the Missouri River!</p><p>➜ READ &amp; NARRATE<br>Chapter 1 Genesis of a Dream<br>Narrate silently, which means to go over in your mind what you read. Or, if it is easier, talk quietly to yourself if your setting allows. You are narrating to yourself rather than writing or narrating orally.  Start at the beginning and ask yourself what came next until you have gone over the chapter.  It may seem strange at first, but you will quickly get used to it. This allows you time to do other things in the lesson, such as mapwork or reflection writing.</p><p>➜ WRITE &amp; DISCUSS (if time and setting allow)<br>Compose 5 reflections about the chapter or choose from one of these questions:<br>• How do you think the act of making a tool by hand (like carving a canoe) changes your relationship to the journey it enables?<br>• Churchill Clark participated in building a canoe that echoed his ancestors' journey. What does it mean to carry family history in your hands literally? What do we owe to those who came before us? What skills, abilities, or knowledge do you have that has been handed down to you?</p><p>➜ VIEW<br>∞ Video Link: Carving the Canoe <br>Watch what you have time for now and finish later if desired.</p>","","https://planning.alveary.org/links.html?id=recozIFrMD6NysNeJ&term=1&week=1","Lesson","0","FALSE"
"alveary-recozIFrMD6NysNeJ","Import is Current","alveary-recTHefj6074Nx7cP","2","1","30m Geography: Grade 9 - Lesson 3","<p>World Geography - Russia Continued <br>⍞ Materials: Prisoners of Geography, map book (optional)<br> <br>➜ MAP WORK<br>Read p.8-11 in your map book (optional). Using your atlas, globe, phone, and/or your book, locate the following and add them to your map:</p><p>•Trans-Siberian Railway •Bering Sea •Arctic Ocean •Pacific Ocean •Caspian Sea •Black Sea •Baltic Sea •Caucasus Mountains •North European Plain (p.9 in your map book) •Sevastopol •Anything else you would like <br>∞ Map Link: Blank Map of the World</p><p>➜ READ &amp; NARRATE <br>Read aloud or silently, referencing your map as needed<br>Prisoners of Geography p.11-24 (first half of Russia)</p><p>• STUDENT TIP<br>Remember to label what you want to recall.</p>","","https://planning.alveary.org/links.html?id=recozIFrMD6NysNeJ&term=1&week=2","Lesson","0","FALSE"
"alveary-recozIFrMD6NysNeJ","Import is Current","alveary-rec2T6AcAMGJOPTOW","2","2","30m Geography: Grade 9 - Lesson 4","<p>The Journey Begins<br>⍞ Materials: Five Months on the Missouri River, notebook</p><p>➜ READ &amp; NARRATE <br>Chapter 2 The Journey Begins<br>Narrate silently to yourself.</p><p>➜ MAP WORK<br>Roughly copy by hand the map on p.12 into your notebook to orient you to the adventures ahead and to refer back to as you read. Sketch a series of more zoomed in maps as you travel down the river to add places, items of interest, or events that happen in each chapter.</p><p>➜ RESEARCH<br>If you have time left in the lesson, research something interesting in the chapter that you want to know more about, such as wild foraging in your area or maybe Thomas P. Howard, a member of the original expedition. See the link below for information about Howard and to read more about the Lewis and Clark Expedition.<br>∞ Website Link: Thomas Howard</p>","","https://planning.alveary.org/links.html?id=recozIFrMD6NysNeJ&term=1&week=2","Lesson","0","FALSE"
"alveary-recozIFrMD6NysNeJ","Import is Current","alveary-recBUGjhnf1bv6uTB","3","1","30m Geography: Grade 9 - Lesson 5","<p>World Geography - Russia Continued<br>⍞ Materials: Prisoners of Geography, map book (optional)</p><p>➜ MEMORY SKETCH<br>Sketch a rough map of Russia and see what you can fill in without looking at your map. If you have been using blank maps, you may continue to do so, or you can try a rough sketch now!</p><p>➜ MAP WORK<br>Read p.12-15 in your map book (optional). Locate/add to your map:</p><p>•Bering Strait •Add the border countries •Anything else you would like</p><p>➜ READ &amp; NARRATE <br>Read aloud or silently, referencing your map<br>Prisoners of Geography p.25-37 (second half of Russia)</p><p>• DISCUSS<br>If you are working independently, plan a time this week to go to your teacher, show them your map, and share something you are learning about this region of the world. If interested, you could create and share a travelog with illustrations or images that represent important ideas about the country or a travel poster created on Canva or another computer program. If working in a class, share with your classmates and teacher.</p>","","","Lesson","0","FALSE"
"alveary-recozIFrMD6NysNeJ","Import is Current","alveary-rec89oxBlyVLiH0Ln","3","2","30m Geography: Grade 9 - Lesson 6","<p>Botanizing the River<br>⍞ Materials: Five Months on the Missouri River, notebook</p><p>➜ READ &amp; NARRATE<br>Chapter 3 Botanizing the River<br>Narrate silently to yourself.</p><p>➜ WRITE<br>Discuss Elpel's quote on p.19, &quot;We yearn to connect with nature, and not knowing how to do that, we treat nature as an adversary more than a dance partner. We pit human endurance against nature and seek to overcome her. We bask in the glory of our accomplishment while missing nearly everything along the way.&quot;  How does developing a relationship with nature via nature study, nature walks, and nature journalling play into the discussion?</p><p>➜ MAP WORK<br>Add places or items of interest to your map.</p>","","","Lesson","0","FALSE"
"alveary-recozIFrMD6NysNeJ","Import is Current","alveary-recR7WB9JLRF3d2sf","4","1","30m Geography: Grade 9 - Lesson 7","<p>World Geography - China<br>⍞ Materials: Prisoners of Geography, map book (optional)</p><p>➜ MAP WORK<br>Print one blank map of China <br>∞ Map Link: Blank Map of China</p><p>Sketch a rough map of China in your notebook.</p><p>➜ READ &amp; MAP WORK<br>Read p.16-17 in your map book (optional). Using your atlas, globe, phone, and/or your book, locate/add to your map:</p><p>•Beijing •Japan •Taiwan •North Korea •South Korea •Shanghai •North China Plain •Yellow Sea •East China Sea •Manchuria •Mongolia •Anything else you would like</p><p>➜ READ &amp; NARRATE <br>Read aloud or silently, referencing your map <br>Prisoners of Geography p.40-52 (first half of China)</p><p>★ STUDENT TIP<br>You may continue mapping using the same method or try a new one!  The purpose is to help you remember and think about the geography of the country.</p>","","https://planning.alveary.org/links.html?id=recozIFrMD6NysNeJ&term=1&week=4","Lesson","0","FALSE"
"alveary-recozIFrMD6NysNeJ","Import is Current","alveary-recXeh80BrZOfcWky","4","2","30m Geography: Grade 9 - Lesson 8","<p>Wind Faeries<br>⍞ Materials: Five Months on the Missouri River, notebook</p><p>➜ READ &amp; NARRATE<br>Chapter 4 Wind Faeries</p><p>➜ WRITE<br>The Missouri has been radically transformed — dammed, channelized, diked. Is this river still &quot;the Missouri&quot;? What makes a river a river?</p><p>➜ MAP WORK<br>Add places or items of interest to your map.</p>","","","Lesson","0","FALSE"
"alveary-recozIFrMD6NysNeJ","Import is Current","alveary-recqxxhHQtCoOjWWB","5","1","30m Geography: Grade 9 - Lesson 9","<p>World Geography - China Continued<br>⍞ Materials: Prisoners of Geography, map book (optional)</p><p>➜ MAP WORK<br>Read p.18-23 in your map book (optional). Using your various sources, locate/add to your map:</p><p>•Tibet •Tibetan Plateau •Lhasa •Yellow River (p.20 in your map book) •Mekong River •Yangtze River •Xinjiang •Urumqi •Hong Kong •Himalayas •The Great Wall •Some surrounding countries •Anything else you would like</p><p>➜ READ &amp; NARRATE <br>Read aloud or silently, referencing your map <br>Prisoners of Geography p.53-65 (second half of China)</p><p>★ STUDENT TIP<br>Remember to label what you reasonably want to recall.</p><p>Read the article below for additional information regarding the Uighurs and other minorities being taken advantage of in China. <br>∞ Article Link: Against Their Will: The Situation in Xinjiang</p>","","https://planning.alveary.org/links.html?id=recozIFrMD6NysNeJ&term=1&week=5","Lesson","0","FALSE"
"alveary-recozIFrMD6NysNeJ","Import is Current","alveary-recoaJJf54ToUzTfM","5","2","30m Geography: Grade 9 - Lesson 10","<p>Gates of the Prairie<br>⍞ Materials: Five Months on the Missouri River, notebook</p><p>➜ READ &amp; NARRATE <br>Chapter 5 Gates of the Prairie</p><p>➜ READ<br>∞ Article Link: Plant and Animal Discoveries<br>∞ Article Link: A Modern Lewis and Clark Survey<br>∞ Article Link: Lewis and Clark Expedition (scroll down for more of the quote that started the reading today)</p><p>➜ WRITE<br>Discuss the Lewis quote or the two articles about wildlife discovery.</p><p>➜ MAP WORK<br>Add places or items of interest to your map.</p>","","https://planning.alveary.org/links.html?id=recozIFrMD6NysNeJ&term=1&week=5","Lesson","0","FALSE"
