"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recq05QysF61a4qWV","alveary-rec90yaXCqF0aJPc8","1","1","45m Art: Level 8 - Lesson 1","<p>Color Theory: Expanded Color Wheel   <br>⍞ Materials: spray bottle, watercolor palettes, brushes, water, cloth, printed color wheel</p><p>PREP: Print on cardstock<br>∞ Link: Color Wheel</p><p>➜ RECAP<br>• Recall all you know about color thus far.<br>• Name the primary colors that you used in previous levels.</p><p>➜ INTRO<br>Students will make a 12-color color wheel with primary colors: Phthalo Blue, Quinacridone Gold &amp; Quinacridone Red.</p><p>➜ PRACTICE<br>• Do one half of the color wheel for this lesson.<br>• Students will need to mix fresh secondary colors from their new <br>  primaries. (Mix enough so that you will have plenty to use for the next <br>  lesson to mix your tertiary colors.)                                                                                                                                                                                                                                                                          <br>• The color wheel will be referred to throughout the term, so keep it in a handy place. <br>  One idea is to paste it onto the inside cover of your Art book. <br>• Have students paint the colors in their proper places. Color placement <br>  on the color wheel must be exact. Start over if you make a mistake.                                                                                                                                                                                                                                                                                                                                                                                                                            <br>• Refer to the example if you are confused about placement within the <br>  wheel.<br>∞ Image Link: Example of Expanded Color Wheel</p><p>• OCCUPATIONS Make other color wheels by mixing your previous primaries with the new primaries. Anytime you sub one primary for another you will get a completely new rainbow. So if you kept Phthalo Blue and Quinacridone Gold but used Quinacridone Pink you would get different oranges and purples. If you used Prussian Blue and mixed it with Quinacridone Red you would get a different purple, etc. Just be sure to keep your experimental palette separate from your working palette.</p>","","https://planning.alveary.org/links.html?id=recq05QysF61a4qWV&term=1&week=1","Lesson","0","FALSE"
"alveary-recq05QysF61a4qWV","alveary-recPcCIxUDmv9UP6h","1","2","45m Art: Level 8 - Lesson 2","<p>Color Theory: Expanded Color Wheel   <br>⍞ Materials: spray bottle, watercolor palettes, brushes, water, cloth, color wheel</p><p>➜ RECAP<br>• Recall all you know about color thus far.<br>• Name the primary colors that you used in previous levels.</p><p>➜ PRACTICE<br>• Do the other half of the color wheel for this lesson.<br>• Students will need to mix fresh tertiary colors from their new primary <br>  and secondary colors.                                                                                                                                                                                                                                                                           <br>• The color wheel will be referred to throughout the term so keep it in a handy place. <br>  One idea is to paste it onto the inside cover of your Art book.                                                                                                                                                                                                                                                                                                                                                                                                                           <br>• Have students paint the colors in their proper places. Color placement <br>  on the color wheel must be exact. Start over if you make a mistake.     <br>• Refer to the example if you are confused about placement within the <br>  wheel.<br>∞ Image Link: Example of Expanded Color Wheel</p>","","https://planning.alveary.org/links.html?id=recq05QysF61a4qWV&term=1&week=1","Lesson","0","FALSE"
"alveary-recq05QysF61a4qWV","alveary-recVLkgk54Tgyc7xe","2","1","45m Art: Level 8 - Lesson 3","<p>Color Theory: Contrasting Colors   <br>⍞ Materials: black construction paper, white construction paper, 8 different colors of construction paper, glue or glue sticks, scissors</p><p>➜ RECAP<br>• Recall tertiary colors.<br>• Recall complementary colors.</p><p>➜ INTRO<br>Today, we are learning about contrasting colors. Contrasting colors are colors that cause other colors to pop out.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Contrasting Colors L8, L3</p><p>➜ PRACTICE<br>• Cut one 4” wide strip of black paper as long as your page. Cut a ~2” <br>  square out of each of the colors of construction paper that you have. <br>  Glue the 2” square onto the black construction paper. (Follow the <br>  instructions on the video.)<br>• Which color pops out the most?<br>• Do the same thing with the colors on the white side of the paper.<br>• Which color pops out the most?</p><p>➜ DISCUSS<br>What did you observe about your colors?</p><p>• OBSERVE &amp; DISCUSS Practice identifying Art skills.<br>Look for contrasting colors on your nature walk.</p><p>• OCCUPATIONS Choose two contrasting colors to use. Do a design with your name using those two colors.</p>","","https://planning.alveary.org/links.html?id=recq05QysF61a4qWV&term=1&week=2","Lesson","0","FALSE"
"alveary-recq05QysF61a4qWV","alveary-recrd8a0GdA40ZzNr","2","2","45m Art: Level 8 - Lesson 4","<p>Color Theory: Contrasting Colors   <br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art book, pencil</p><p>➜ RECAP<br>Recall contrasting colors.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Contrasting Colors with Watercolor L8, L4</p><p>➜ PRACTICE<br>• Draw eight 4” squares in your Art book. Draw 2” squares in the center <br>  of each of those squares.<br>• Choose your favorite color and paint in the 4” square, but do not   <br>  paint in the 2” square with that same color.<br>• After the outside square has dried, paint each 2” square a different <br>  color.</p><p>➜ DISCUSS<br>Which pair contrasts the most?</p><p>• OBSERVE &amp; DISCUSS Practice identifying Art skills.<br>Look for contrasting colors on your nature walk.</p><p>• OCCUPATIONS Continue working on your name design using contrasting colors.</p>","","https://planning.alveary.org/links.html?id=recq05QysF61a4qWV&term=1&week=2","Lesson","0","FALSE"
"alveary-recq05QysF61a4qWV","alveary-recENlmlekVYp4RVw","3","1","45m Art: Level 8 - Lesson 5","<p>Color Theory: Contrasting Colors   <br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art book, fruit all of one color (optional)</p><p>➜ RECAP<br>Recall contrasting colors.</p><p>➜ PRACTICE<br>Paint a still life with fruit that are all the same color; i.e., strawberries, raspberries, and a red apple. You can choose to do this painting from your memory of fruit or to observe fruit in life. Use a contrasting color for the background, such as green or blue.</p><p>➜ DISCUSS<br>What is the effect the contrasting background has on the fruit?</p>","","","Lesson","0","FALSE"
"alveary-recq05QysF61a4qWV","alveary-recWUAzKbQSm8fc8g","3","2","45m Art: Level 8 - Lesson 6","<p>Color Theory: Introduction to Color Charting   <br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, 12” x 18” white paper, ruler, pencil, separate palette for mixing (i.e., Styrofoam plate, etc.)</p><p>➜ NOTE<br>This lesson will take the term to complete.</p><p>➜ RECAP<br>• Recall the colors that you have been given this year in your palette <br>  (Quinacridone Gold, Quinacridone Red, Phthalo blue, and neutral).<br>• Recall all 12 colors on your color wheel.</p><p>➜ INTRO<br>You will begin color charting in order to learn the range of colors that you can get from your palette.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Setting Up Your Color Chart L8, L6<br>∞ Video Link: Color Charting L8, L6</p><p>➜ PRACTICE<br>• You have 12 colors in your color wheel, and so you will need to draw a 12 <br>  by 12 chart. You will draw the boxes 1” square.<br>• It may take you an entire class time to set up your color chart. This is <br>  to be expected.<br>• Follow the instructions on the video.</p><p>➜ NOTE<br>Students may refer to the sample color chart if they need further guidance.<br>∞ Link: How to Make a Watercolor Mixing Chart Step-by-Step</p><p>➜ DISCUSS<br>Tell the process that you went through.</p><p>• OBSERVE &amp; DISCUSS Practice identifying Art skills.<br>Look for and collect items on your nature walk that are interesting in color.</p><p>• OCCUPATIONS You can do this color charting with your old palette of Prussian Blue, Quinacridone Pink, and Hansa yellow. Read the article if you need more help understanding. <br>∞ Article Link: How to Make a Watercolor Mixing Chart Step-by-Step</p>","","https://planning.alveary.org/links.html?id=recq05QysF61a4qWV&term=1&week=3","Lesson","0","FALSE"
"alveary-recq05QysF61a4qWV","alveary-recfz64X5UiBUt68v","4","1","45m Art: Level 8 - Lesson 7","<p>Color Theory: Color Charting   <br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art book, color chart</p><p>➜ RECAP<br>• Recall the colors that you have been given this year in your palette <br>  (Quinacridone Gold, Quinacridone Red, phthalo blue, and neutral).<br>• Recall all 12 colors on your color wheel.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Color Charting L8 L6</p><p>➜ PRACTICE<br>• Work on your color charting.<br>• Follow the instructions on the video.</p><p>➜ DISCUSS<br>Tell the process that you went through. Share your thoughts with your teacher.</p><p>• OBSERVE &amp; DISCUSS Practice identifying Art skills.<br>Look for and collect items on your nature walk that are interesting in their color.</p>","","https://planning.alveary.org/links.html?id=recq05QysF61a4qWV&term=1&week=4","Lesson","0","FALSE"
"alveary-recq05QysF61a4qWV","alveary-receiKtInz1LWBVkH","4","2","45m Art: Level 8 - Lesson 8","<p>Color Theory: Color Charting   <br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art book, color chart</p><p>➜ RECAP<br>• Recall the colors that you have been given this year in your palette <br>  (Quinacridone Gold, Quinacridone Red, phthalo blue, and neutral).<br>• Recall all 12 colors on your color wheel.</p><p>➜ PRACTICE<br>• Work on your color charting.<br>• Follow the instructions on the video.<br>∞ Video Link: Color Charting L8 L6</p><p>➜ DISCUSS<br>Tell the process that you went through. Share your thoughts with your teacher.</p>","","https://planning.alveary.org/links.html?id=recq05QysF61a4qWV&term=1&week=4","Lesson","0","FALSE"
"alveary-recq05QysF61a4qWV","alveary-recKvCeSF4y0GOTwH","5","1","45m Art: Level 8 - Lesson 9","<p>Color Theory: Color Charting   <br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art book, color chart</p><p>➜ RECAP<br>• Recall the colors that you have been given this year in your palette <br>  (Quinacridone Gold, Quinacridone Red, phthalo blue, and neutral).<br>• Recall all 12 colors on your color wheel.</p><p>➜ PRACTICE<br>• Work on your color charting.<br>• Follow the instructions on the video.<br>∞ Video Link: Color Charting L8 L6</p><p>➜ DISCUSS<br>Tell the process that you went through. Share your thoughts with your teacher.</p>","","https://planning.alveary.org/links.html?id=recq05QysF61a4qWV&term=1&week=5","Lesson","0","FALSE"
"alveary-recq05QysF61a4qWV","alveary-recgM1LuwYZYBK68y","5","2","45m Art: Level 8 - Lesson 10","<p>Color Theory: Color Charting   <br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art book, color chart</p><p>➜ RECAP<br>• Recall the colors that you have been given this year in your palette <br>  (Quinacridone Gold, Quinacridone Red, phthalo blue, and neutral).<br>• Recall all 12 colors on your color wheel.</p><p>➜ PRACTICE<br>• Finish your color charting.<br>• Follow the instructions on the video.<br>∞ Video Link: Color Charting L8 L6</p><p>➜ DISCUSS<br>Tell the process that you went through. Share your thoughts with your teacher.</p>","","https://planning.alveary.org/links.html?id=recq05QysF61a4qWV&term=1&week=5","Lesson","0","FALSE"
