"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recqZwXfywCQoLNyJ","alveary-recZVaspEkhxk4Ab9","1","1","15m Tall Tales/ Fables - Lesson 1","<p>⍞ Materials: American Tall Tales OR Spirit of Canada</p><p>OPTION 1: American Tall Tales: Davy Crockett</p><p>PREP: Read &quot;Introduction, Notes on the Story&quot; p.x-xii, 3</p><p>➜ INTRO<br>These are exaggerated tales of true and imaginary American heroes.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.5-9 &quot;An extraordinary event&quot; - &quot;learn some manners.&quot;<br>---------------<br>OPTION 2: Spirit of Canada</p><p>PREP: Read &quot;Tall Tales&quot; p.158</p><p>➜ INTRO<br>We'll be reading various tales from Canada this year! Read the short introduction before each tale and then the story itself.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.3-4 &quot;How Two-Feather Was Saved from Loneliness&quot;</p>","<p>★ TEACHER NOTE<br>The Spirit of Canada includes many different stories, songs, tales, and historical accounts significant to Canadian history. Although students read selected tales in this course, other selections from the book are used in the history courses as well.</p>","","Lesson","0","FALSE"
"alveary-recqZwXfywCQoLNyJ","alveary-recY23hx7VVUJ6ERk","2","1","15m Tall Tales/ Fables - Lesson 2","<p>⍞ Materials: American Tall Tales OR Spirit of Canada <br> <br>OPTION 1: American Tall Tales: Davy Crockett</p><p>➜ INTRO<br>Locate Davy Crockett on the map at the front of the book. Did he live near your home?<br>⍞ Map Resource: American Tall Tales &quot;United States Map&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.10-13 &quot;So Davy Crockett&quot; - &quot;much better myself.&quot;<br>---------------<br>OPTION 2: Spirit of Canada</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.5-6 &quot;Manabozho and the Maple Trees&quot;</p>","<p>★ TEACHER TIP<br>If you haven't planned for a Community Read Aloud yet, consider adding it to your gathering, meal time, or as a way to lighten the burden of chores! You can find suggestions in Quick Links.</p>","","Lesson","0","FALSE"
"alveary-recqZwXfywCQoLNyJ","alveary-recd5nj31lBHFKAwH","3","1","15m Tall Tales/ Fables - Lesson 3","<p>⍞ Materials: American Tall Tales OR Spirit of Canada</p><p>OPTION 1: American Tall Tales: Davy Crockett</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.13 &quot;In spite of&quot; - &quot;in his pocket.&quot;<br>---------------<br>OPTION 2: Spirit of Canada</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.7-8 &quot;How the Thunder Made Horses&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, pencils, or crayons.</p>","<p>★ TEACHER TIP<br>Students should also be encouraged to narrate using Legos, puppets, or by acting out the scene.</p>","","Lesson","0","FALSE"
"alveary-recqZwXfywCQoLNyJ","alveary-recY96dN9VKem0tLK","4","1","15m Tall Tales/ Fables - Lesson 4","<p>Dog...&amp; Fox; Town...&amp; Country Mouse<br>⍞ Materials: Aesop's Fables</p><p>➜ INTRO<br>Fables are short stories that teach a lesson. The characters are most often animals.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.14, 18</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, pencils, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recqZwXfywCQoLNyJ","alveary-rec43px9hJKwLYWP3","5","1","15m Tall Tales/ Fables - Lesson 5","<p>⍞ Materials: American Tall Tales OR Spirit of Canada</p><p>OPTION 1: American Tall Tales: Ann Thunder Ann Whirlwind</p><p>PREP: Read &quot;Notes on the Story&quot; p.15</p><p>➜ INTRO<br>Have you ever been caught out in nature during a rainstorm? Where would be a good place to seek shelter?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.17-20 &quot;The backwoods women&quot; - &quot;with the middle!&quot;<br>---------------<br>OPTION 2: Spirit of Canada</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.9-11 &quot;Scannah and the Beautiful Woman&quot;</p>","<p>★ TEACHER TIP<br>You can find suggestions for Community Read Alouds in Quick Links.</p>","","Lesson","0","FALSE"
"alveary-recqZwXfywCQoLNyJ","alveary-recGyUxH6y9X1kZ1h","6","1","15m Tall Tales/ Fables - Lesson 6","<p>⍞ Materials: American Tall Tales OR Spirit of Canada</p><p>OPTION 1: American Tall Tales: Ann Thunder Ann Whirlwind</p><p>➜ INTRO<br>What do you think Sally Ann is doing in this picture?<br>⍞ Image Resource: American Tall Tales &quot;Butter Churn&quot; p.16</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.20-23 &quot;According to her&quot; - &quot;say something else.&quot;<br>---------------<br>OPTION 2: Spirit of Canada</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.87-88 &quot;Big Joe Mufferaw&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, pencils, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recqZwXfywCQoLNyJ","alveary-recY5yYJnlifWo19c","7","1","15m Tall Tales/ Fables - Lesson 7","<p>The Lion and the Mouse<br>⍞ Materials: Aesop's Fables</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.23</p><p>➜ PLAY<br>Act out the fable.</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, pencils, or crayons.</p>","<p>★ TEACHER TIP<br>Students should also be encouraged to narrate using Legos, puppets, or by acting out the scene.</p>","","Lesson","0","FALSE"
"alveary-recqZwXfywCQoLNyJ","alveary-recqyNqZFhydxaVKo","8","1","15m Tall Tales/ Fables - Lesson 8","<p>⍞ Materials: American Tall Tales OR Spirit of Canada</p><p>OPTION 1: American Tall Tales: Stormalong</p><p>PREP: Read &quot;Notes on the Story&quot; p.37</p><p>➜ INTRO<br>Take a &quot;walk&quot; through the story. Where do you predict this story will take place based on the pictures?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.38-41 &quot;One day in&quot; - &quot;sail with them.&quot;<br>---------------<br>OPTION 2: Spirit of Canada</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.135-137 &quot;Squid-jiggin' Ground&quot;</p>","","","Lesson","0","FALSE"
"alveary-recqZwXfywCQoLNyJ","alveary-recRer0K6why1N68F","9","1","15m Tall Tales/ Fables - Lesson 9","<p>⍞ Materials: American Tall Tales OR Spirit of Canada</p><p>OPTION 1: American Tall Tales: Stormalong</p><p>➜ RECAP<br>Locate Stormalong on the map in the front of the book. Did he live near your home?<br>⍞ Map Resource: American Tall Tales &quot;United States Map&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.41-47 &quot;But Stormy still&quot; - &quot;his veins again.&quot;<br>---------------<br>OPTION 2: Spirit of Canada</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.159-161 &quot;Ti-Jean Brings Home the Moon&quot;</p>","","","Lesson","0","FALSE"
"alveary-recqZwXfywCQoLNyJ","alveary-rec9nmCkbR2Qiqoh5","10","1","15m Tall Tales/ Fables - Lesson 10","<p>⍞ Materials: American Tall Tales OR Audio Link</p><p>OPTION 1: American Tall Tales: Stormalong</p><p>➜ INTRO<br>I wonder what will happen to Stormy when he returns to being a sailor.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.47-49 &quot;Soon Stormy and&quot; - &quot;Alfred Bulltop Stormalong.&quot;<br>---------------<br>OPTION 2: Spirit of Canada</p><p>➜ INTRO<br>Today's story is told by Jan Andrews the author of a collection of Ti-Jean stories called When Apples Grew Noses &amp; White Horses Flew. You can find the book in Extra Helpings if you're interested in reading more!</p><p>➜ LISTEN, NARRATE, &amp; DISCUSS<br>∞ Audio Link: How Ti-Jean Became a Fiddler<br>Time Marker: ~  First 11 minutes</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, pencils, or crayons.</p>","","https://planning.alveary.org/links.html?id=recqZwXfywCQoLNyJ&term=1&week=10","Lesson","0","FALSE"
