"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-1-1","1","1","30m Upper French: Level 3 - Lesson 1","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-1-2","1","2","30m Upper French: Level 3 - Lesson 2","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-1-3","1","3","30m Upper French: Level 3 - Lesson 3","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-1-4","1","4","30m Upper French: Level 3 - Lesson 4","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-1-5","1","5","30m Upper French: Level 3 - Lesson 5","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-2-1","2","1","30m Upper French: Level 3 - Lesson 6","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-2-2","2","2","30m Upper French: Level 3 - Lesson 7","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-2-3","2","3","30m Upper French: Level 3 - Lesson 8","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-2-4","2","4","30m Upper French: Level 3 - Lesson 9","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-2-5","2","5","30m Upper French: Level 3 - Lesson 10","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-3-1","3","1","30m Upper French: Level 3 - Lesson 11","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-3-2","3","2","30m Upper French: Level 3 - Lesson 12","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-3-3","3","3","30m Upper French: Level 3 - Lesson 13","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-3-4","3","4","30m Upper French: Level 3 - Lesson 14","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-3-5","3","5","30m Upper French: Level 3 - Lesson 15","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-4-1","4","1","30m Upper French: Level 3 - Lesson 16","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-4-2","4","2","30m Upper French: Level 3 - Lesson 17","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-4-3","4","3","30m Upper French: Level 3 - Lesson 18","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-4-4","4","4","30m Upper French: Level 3 - Lesson 19","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-4-5","4","5","30m Upper French: Level 3 - Lesson 20","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-5-1","5","1","30m Upper French: Level 3 - Lesson 21","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-5-2","5","2","30m Upper French: Level 3 - Lesson 22","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-5-3","5","3","30m Upper French: Level 3 - Lesson 23","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-5-4","5","4","30m Upper French: Level 3 - Lesson 24","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-5-5","5","5","30m Upper French: Level 3 - Lesson 25","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-6-1","6","1","30m Upper French: Level 3 - Lesson 26","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-6-2","6","2","30m Upper French: Level 3 - Lesson 27","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-6-3","6","3","30m Upper French: Level 3 - Lesson 28","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-6-4","6","4","30m Upper French: Level 3 - Lesson 29","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-6-5","6","5","30m Upper French: Level 3 - Lesson 30","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-7-1","7","1","30m Upper French: Level 3 - Lesson 31","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-7-2","7","2","30m Upper French: Level 3 - Lesson 32","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-7-3","7","3","30m Upper French: Level 3 - Lesson 33","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-7-4","7","4","30m Upper French: Level 3 - Lesson 34","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-7-5","7","5","30m Upper French: Level 3 - Lesson 35","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-8-1","8","1","30m Upper French: Level 3 - Lesson 36","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-8-2","8","2","30m Upper French: Level 3 - Lesson 37","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-8-3","8","3","30m Upper French: Level 3 - Lesson 38","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-8-4","8","4","30m Upper French: Level 3 - Lesson 39","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-8-5","8","5","30m Upper French: Level 3 - Lesson 40","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-9-1","9","1","30m Upper French: Level 3 - Lesson 41","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-9-2","9","2","30m Upper French: Level 3 - Lesson 42","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-9-3","9","3","30m Upper French: Level 3 - Lesson 43","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-9-4","9","4","30m Upper French: Level 3 - Lesson 44","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-9-5","9","5","30m Upper French: Level 3 - Lesson 45","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-10-1","10","1","30m Upper French: Level 3 - Lesson 46","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-10-2","10","2","30m Upper French: Level 3 - Lesson 47","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-10-3","10","3","30m Upper French: Level 3 - Lesson 48","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-10-4","10","4","30m Upper French: Level 3 - Lesson 49","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-10-5","10","5","30m Upper French: Level 3 - Lesson 50","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-11-1","11","1","30m Upper French: Level 3 - Lesson 51","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-11-2","11","2","30m Upper French: Level 3 - Lesson 52","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-11-3","11","3","30m Upper French: Level 3 - Lesson 53","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-11-4","11","4","30m Upper French: Level 3 - Lesson 54","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-11-5","11","5","30m Upper French: Level 3 - Lesson 55","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-12-1","12","1","30m Upper French: Level 3 - Lesson 56","<p>recXX10H2rKGFV0UF</p><p>Complete term exam.</p>","","","Exam","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-12-2","12","2","30m Upper French: Level 3 - Lesson 57","<p>recXX10H2rKGFV0UF</p><p>Complete term exam.</p>","","","Exam","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-12-3","12","3","30m Upper French: Level 3 - Lesson 58","<p>recXX10H2rKGFV0UF</p><p>Complete term exam.</p>","","","Exam","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-12-4","12","4","30m Upper French: Level 3 - Lesson 59","<p>recXX10H2rKGFV0UF</p><p>Complete term exam.</p>","","","Exam","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-12-5","12","5","30m Upper French: Level 3 - Lesson 60","<p>recXX10H2rKGFV0UF</p><p>Complete term exam.</p>","","","Exam","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-13-1","13","1","30m Upper French: Level 3 - Lesson 61","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-13-2","13","2","30m Upper French: Level 3 - Lesson 62","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-13-3","13","3","30m Upper French: Level 3 - Lesson 63","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-13-4","13","4","30m Upper French: Level 3 - Lesson 64","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-13-5","13","5","30m Upper French: Level 3 - Lesson 65","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-14-1","14","1","30m Upper French: Level 3 - Lesson 66","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-14-2","14","2","30m Upper French: Level 3 - Lesson 67","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-14-3","14","3","30m Upper French: Level 3 - Lesson 68","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-14-4","14","4","30m Upper French: Level 3 - Lesson 69","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-14-5","14","5","30m Upper French: Level 3 - Lesson 70","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-15-1","15","1","30m Upper French: Level 3 - Lesson 71","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-15-2","15","2","30m Upper French: Level 3 - Lesson 72","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-15-3","15","3","30m Upper French: Level 3 - Lesson 73","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-15-4","15","4","30m Upper French: Level 3 - Lesson 74","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-15-5","15","5","30m Upper French: Level 3 - Lesson 75","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
"alveary-recqdi48TtS1Pf0hW","alveary-tracker-recqdi48TtS1Pf0hW-16-1","16","1","30m Upper French: Level 3 - Lesson 76","<p>recXX10H2rKGFV0UF</p>","","","Lesson","0","FALSE"
