"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recr2688p8npaWI6Y","alveary-recgk9O3zLPSjRmwv","1","1","20m New Testament: Grades 3-6 - Lesson 1","<p>Intro to the Gospel of John<br>⍞ Materials: ESV Large Print Bible; Printed out map; Notebook; Glue</p><p>PREP:<br>1. Print out a map for each student. 			<br>        	∞ Map Link: John Map<br>      2\. Teachers may wish to view the Bible Project video on the first half of John in preparation for teaching and may optionally choose to show this to their students as well. <br>					∞ Video Link: Bible Project: John (Covers first half of book)</p><p>➜ INTRO</p><p>➜ READ &amp; NARRATE</p><p>➜ NOTEBOOK<br>As you read through the book of John, you will keep a notebook. Today, you will begin this notebook by making a title page and gluing in the map of the area in which the events of John take place. <br>1. On your title page, write the name of the book, the author, and the approximate date the book was written, 85-95 A.D. (Students may write as little or as much as time and ability allow. You could also complete this task in lesson 2, if needed.)<br>2. You will use a map to mark places defined in John. Glue the map into your notebook on a blank two-page spread. Opposite to the map in your noteobok, create a key where you can write the location and what occurred there. For instance, a list may state &quot;1.ETC ETC ETC. John 1:10.&quot; Then on your map, mark ETCETC by name and with the number 1. (Prompts will be given in lessons.)</p>","","https://planning.alveary.org/links.html?id=recr2688p8npaWI6Y&term=1&week=1","Lesson","0","FALSE"
"alveary-recr2688p8npaWI6Y","alveary-recJZrl0aaM2b2wpe","1","2","20m New Testament: Grades 3-6 - Lesson 2","<p>The Word Was God<br>⍞ Materials: ESV Large Print Bible</p><p>➜ RECAP<br>What do you recall what we read about last time about the introduction to the book of John?</p><p>➜ READ &amp; NARRATE<br>John 1:1-13</p>","","","Lesson","0","FALSE"
"alveary-recr2688p8npaWI6Y","alveary-rec1PqC3X5rDdCSzg","2","1","20m New Testament: Grades 3-6 - Lesson 3","<p>⍞ Materials: ESV Large Print Bible</p><p>➜ RECAP<br>What do you recall about our reading last time in the book of John?</p><p>➜ READ &amp; NARRATE<br>John 1:14-27</p>","","","Lesson","0","FALSE"
"alveary-recr2688p8npaWI6Y","alveary-rec01BdjDfYvv5Gmb","2","2","20m New Testament: Grades 3-6 - Lesson 4","<p>⍞ Materials: ESV Large Print Bible</p><p>➜ RECAP<br>What do you recall about our reading last time in the book of John?</p><p>➜ READ &amp; NARRATE<br>John 1:28-39</p>","","","Lesson","0","FALSE"
"alveary-recr2688p8npaWI6Y","alveary-rec0QcZBTz9gnozLq","3","1","20m New Testament: Grades 3-6 - Lesson 5","<p>⍞ Materials: ESV Large Print Bible</p><p>➜ RECAP<br>What do you recall about our reading last time in the book of John?</p><p>➜ READ &amp; NARRATE<br>John 1:40-51</p>","","","Lesson","0","FALSE"
"alveary-recr2688p8npaWI6Y","alveary-recEK7X6ZSoHS0tUs","3","2","20m New Testament: Grades 3-6 - Lesson 6","<p>⍞ Materials: ESV Large Print Bible</p><p>➜ RECAP<br>What do you recall about our reading last time in the book of John?</p><p>➜ READ &amp; NARRATE<br>John 2:1-12</p>","","","Lesson","0","FALSE"
"alveary-recr2688p8npaWI6Y","alveary-recZJtcdtS4YUjq5z","4","1","20m New Testament: Grades 3-6 - Lesson 7","<p>⍞ Materials: ESV Large Print Bible</p><p>➜ RECAP<br>What do you recall about our reading last time in the book of John?</p><p>➜ READ &amp; NARRATE<br>John 2:13-25</p>","","","Lesson","0","FALSE"
"alveary-recr2688p8npaWI6Y","alveary-recdpeBPJliPUK1qW","4","2","20m New Testament: Grades 3-6 - Lesson 8","<p>Nicodemus<br>⍞ Materials: ESV Large Print Bible</p><p>➜ RECAP<br>What do you recall about our reading last time in the book of John?</p><p>➜ READ &amp; NARRATE<br>John 3:1-13</p>","","","Lesson","0","FALSE"
"alveary-recr2688p8npaWI6Y","alveary-rec81JQ9I1nAgtoN1","5","1","20m New Testament: Grades 3-6 - Lesson 9","<p>For God So Loved the World<br>⍞ Materials: ESV Large Print Bible</p><p>➜ RECAP<br>What do you recall about our reading last time in the book of John?</p><p>➜ READ &amp; NARRATE<br>John 3:14-30</p>","","","Lesson","0","FALSE"
"alveary-recr2688p8npaWI6Y","alveary-recmtTaqxRqXlwz4k","5","2","20m New Testament: Grades 3-6 - Lesson 10","<p>⍞ Materials: ESV Large Print Bible</p><p>➜ RECAP<br>What do you recall about our reading last time in the book of John?</p><p>➜ READ &amp; NARRATE<br>John 3:31-4:10</p>","","","Lesson","0","FALSE"
