"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-1-1","1","1","15m Dictation: Grade 6 - Lesson 1","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-2-1","2","1","15m Dictation: Grade 6 - Lesson 2","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-3-1","3","1","15m Dictation: Grade 6 - Lesson 3","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-4-1","4","1","15m Dictation: Grade 6 - Lesson 4","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-5-1","5","1","15m Dictation: Grade 6 - Lesson 5","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-6-1","6","1","15m Dictation: Grade 6 - Lesson 6","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-7-1","7","1","15m Dictation: Grade 6 - Lesson 7","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-8-1","8","1","15m Dictation: Grade 6 - Lesson 8","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-9-1","9","1","15m Dictation: Grade 6 - Lesson 9","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-10-1","10","1","15m Dictation: Grade 6 - Lesson 10","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-11-1","11","1","15m Dictation: Grade 6 - Lesson 11","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-12-1","12","1","15m Dictation: Grade 6 - Lesson 12","<p>recksxaQSotRqrAFb</p><p>Complete term exam.</p>","<p>★ Dictation: Grade 6 — TERM 1 EXAM QUESTIONS<br>· Dictate an unstudied passage with words similar in difficulty to what was dictated during the term.</p>","","Exam","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-13-1","13","1","15m Dictation: Grade 6 - Lesson 13","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-14-1","14","1","15m Dictation: Grade 6 - Lesson 14","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-15-1","15","1","15m Dictation: Grade 6 - Lesson 15","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-16-1","16","1","15m Dictation: Grade 6 - Lesson 16","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-17-1","17","1","15m Dictation: Grade 6 - Lesson 17","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-18-1","18","1","15m Dictation: Grade 6 - Lesson 18","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-19-1","19","1","15m Dictation: Grade 6 - Lesson 19","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-20-1","20","1","15m Dictation: Grade 6 - Lesson 20","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-21-1","21","1","15m Dictation: Grade 6 - Lesson 21","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
"alveary-recrZD9FpAcjdKZUm","alveary-tracker-recrZD9FpAcjdKZUm-22-1","22","1","15m Dictation: Grade 6 - Lesson 22","<p>recksxaQSotRqrAFb</p>","","","Lesson","0","FALSE"
