"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recrd4Jjfp6KhJasl","alveary-recDdMuG4FdygchSN","1","1","20m Church History: Grades 1-3 - Lesson 1","<p>Introduction to George Müller<br>⍞ Materials: The Bandit of Ashley Downs: George Müller, globe or wall map</p><p>➜ INTRO<br>This year in Church History, we are reading about Christians from the past who lived between the years 1800-1900 AD. You will read about people who loved God, loved the Bible, and wanted others to know the good news that salvation is found in Jesus Christ. They followed God even when it was hard, and they faced difficulty.</p><p>The first book we will read is &quot;The Bandit of Ashley Downs: George Müller,&quot; where we are introduced to George Müller, a historical person who lived a life of pursuing God through faith and prayer. In the story, a fictional (made-up) character named Curly Roddy is introduced, who the authors use to introduce us to George Müller's life of faith. Curly was an orphan. What do you know about orphans? An orphan was a child whose mother and father had died, or had one parent who died, and the other parent couldn't take care of the child properly. In the late 1800s, only children who had money in their families could afford to live in an orphanage. That's why Curly lived on the streets and, in the story, tries to steal money and is hungry for food.</p><p>Thankfully, the historical figure of George Müller loved Jesus and wanted to show that love to orphans by opening orphanages for children who may not be able to help pay for their care. George Müller was born in 1805 and became a Christian when he was 20 years old, when his friend took him to a Bible study. After that, George decided to become a missionary and moved to London, England. During that time, he met a friend, Henry Craik, who would be his friend for life as they shared the Gospel message and ministered to children.</p><p>➜ LOCATE<br>⍞ Map Resource: globe or wall map<br>Find London, England on a globe or wall map.</p><p>➜ READ &amp; NARRATE<br>Note on p.5 (un-numbered page) &quot;George Muller founded&quot; - &quot;faith is true.&quot; <br>Ch.1 p.9-16 &quot;Curly Roddy yanked&quot; - &quot;began to slide.&quot;</p><p>➜ VIEW<br>You may want to print out this picture and hang it on your timeline. <br>∞ Image Link: Picture of George Müller</p><p>• IMPORTANT DATES<br>1805 - George Muller is Born</p><p>• DEFINITIONS<br>sexton - a person whose job is to take care of a church and the area around it, and ring the church bell<br>pickpocket - a person who steals from people's pockets, or the actual act of stealing money</p>","","https://planning.alveary.org/links.html?id=recrd4Jjfp6KhJasl&term=1&week=1","Lesson","0","FALSE"
"alveary-recrd4Jjfp6KhJasl","alveary-recE9I5EPU0OPwdfm","2","1","20m Church History: Grades 1-3 - Lesson 2","<p>Escape from the Tower<br>⍞ Materials: The Bandit of Ashley Downs: George Müller</p><p>➜ RECAP<br>What do you recall about last week's reading when we met the character of Curly Roddy?</p><p>➜ INTRO<br>In today's reading, we learn a little more about Curly, including the fact that he had nine brothers and sisters. After their parents died, they were separated and put in different places. Sometimes orphans would be sent to workhouses, where they would have to work for long days. Others would be sent to help out in houses or businesses. Since the character of Curly did not have an adult helping him, he chose to work for a criminal and made choices that led him to running away from the man at the church.</p><p>➜ VIEW<br>∞ Image Link: Church with Belfry<br>The image linked is of a church similar to what is being described in the book. The word &quot;belfry&quot; refers to where the bells were kept. Can you see the belfry in the image of the bell tower?</p><p>➜ READ, NARRATE &amp; DISCUSS<br>p.16-24  &quot;Flipping quickly to&quot; - &quot;pounds are missing?&quot;<br>• What does the story say happened to Curly after his parents died, and why is he now living on the streets? How do you think this led to him working for Spuds by stealing money?</p>","<p>★ TEACHER NOTE<br>Please preview the sensitive content on p.21 that talks about the father's behavior and the loss of Curly's parents.<br>On p.22, preview the first paragraph describing the butcher's treatment of Curly and p.23 where Curly gets punched and challenged to a fight.</p>","https://planning.alveary.org/links.html?id=recrd4Jjfp6KhJasl&term=1&week=2","Lesson","0","FALSE"
"alveary-recrd4Jjfp6KhJasl","alveary-rectKKn1TI0wMqdRD","3","1","20m Church History: Grades 1-3 - Lesson 3","<p>A Plan<br>⍞ Materials: The Bandit of Ashley Downs: George Müller</p><p>➜ RECAP<br>What do you recall about last week's reading?</p><p>➜ VIEW &amp; DISCUSS<br>In today's reading, we'll hear about a stagecoach going from London to Bristol. The distance between the two cities is about 120 miles. A stagecoach can only go about 5-10 miles per hour, which means the trip would take between 12 and 24 hours! If we drove a car today between those two cities, it might only take us two hours. Today, we will read what plan Curly comes up with to steal some money from that stagecoach. But first, let's look at a picture of a stagecoach.</p><p>∞ Image Link: Stagecoach<br>• Does the stagecoach look comfortable to use for traveling? Do you think it was a secure, safe place to carry money with you for a long distance?</p><p>➜ READ &amp; NARRATE<br>p.24-33  &quot;Now Spuds frowned&quot; - &quot;lost his balance.&quot;</p>","","https://planning.alveary.org/links.html?id=recrd4Jjfp6KhJasl&term=1&week=3","Lesson","0","FALSE"
"alveary-recrd4Jjfp6KhJasl","alveary-reca7LXUrJFdYU8Ex","4","1","20m Church History: Grades 1-3 - Lesson 4","<p>Robbing the Stagecoach<br>⍞ Materials: The Bandit of Ashley Downs: George Müller</p><p>➜ RECAP<br>What do you recall about last week's reading?</p><p>➜ INTRO<br>As we continue to read about Curly's story, let's also learn more about George Müller. After George graduated from college, he became a pastor of a church and married a lady named Mary. He and his friend continued to build their ministry, teaching adults and children about the Bible.</p><p>∞ Article Link: Torchlighter George Müller Lived on Prayer<br>Scroll down and read the paragraph under the heading &quot;Relying on Prayer.&quot;</p><p>➜ READ &amp; NARRATE<br>p.33-41  &quot;Just then the&quot; - &quot;get outta here.&quot;</p>","<p>★ TEACHER NOTE<br>Please preview the sensitive content on p.35-36, where the plan for the stagecoach robbery is laid out.</p>","https://planning.alveary.org/links.html?id=recrd4Jjfp6KhJasl&term=1&week=4","Lesson","0","FALSE"
"alveary-recrd4Jjfp6KhJasl","alveary-recqNJVZzrxH4gBqA","5","1","20m Church History: Grades 1-3 - Lesson 5","<p>What About Curly's Share of the Money?<br>⍞ Materials: The Bandit of Ashley Downs: George Müller</p><p>➜ RECAP<br>What do you recall about last week's reading?</p><p>➜ READ &amp; NARRATE<br>p.41-51  &quot;The coach was&quot; - &quot;his own hands.&quot;</p>","<p>★ TEACHER NOTE<br>Please preview sensitive content on p.47 where Spuds beats up Curly in anger and p.48 where Curly's father's behavior is described.</p>","","Lesson","0","FALSE"
"alveary-recrd4Jjfp6KhJasl","alveary-rec0Vjk5rpFGcuHI8","6","1","20m Church History: Grades 1-3 - Lesson 6","<p>The Raid<br>⍞ Materials: The Bandit of Ashley Downs: George Müller</p><p>➜ RECAP<br>What do you recall about last week's reading?</p><p>➜ INTRO<br>George Müller's orphanages continued to grow, and eventually he opened Ashley Downs, where five buildings were built to house the children. <br>∞ Article Link: Torchlighter George Müller Lived on Prayer<br>Scroll down and read the paragraph under the heading &quot;Tears of Joy and 2000 Children.&quot;</p><p>➜ READ &amp; NARRATE<br>p.52-61 &quot;By Sunday, Curly&quot; - &quot;yourself, do you?&quot;</p>","<p>★ TEACHER NOTE<br>Preview the policeman's comment on p.60 regarding the use of the pistol.</p>","https://planning.alveary.org/links.html?id=recrd4Jjfp6KhJasl&term=1&week=6","Lesson","0","FALSE"
"alveary-recrd4Jjfp6KhJasl","alveary-recmVkzXg23GKNeNI","7","1","20m Church History: Grades 1-3 - Lesson 7","<p>Mr. Walk Helps Curly<br>⍞ Materials: The Bandit of Ashley Downs: George Müller</p><p>NOTE: A video and look at real orphan records from Ashley Downs is listed below as an optional activity if time allows. Feel free to move this to a different week or in week 11 during the &quot;Catch Up&quot; week's lesson time.</p><p>➜ RECAP<br>What do you recall about last week's reading?</p><p>➜ READ &amp; NARRATE<br>p.62-71 &quot;Curly and Spuds&quot; - &quot;know the difference?&quot;<br>• It seems like Mr. Walk wants to help Curly. Does that surprise you? Why or why not?</p><p>OPTIONAL: <br>As time allows, visit the following link to the George Müller Museum to view a short video on Müller, and to view the Downloadable Lesson Plan to learn more about the records of two orphans who came to live at Ashley Downs.</p><p>∞ Video Link: An Introduction to George Müller<br>Scroll down to select the video titled &quot;An Introduction to George Müller.&quot; <br>After viewing, click on the yellow box showing &quot;Downloadable Lesson Plan: How Life Has Changed&quot; for a look at what two orphans who arrived at Ashley Downs brought with them as their possessions.</p>","","https://planning.alveary.org/links.html?id=recrd4Jjfp6KhJasl&term=1&week=7","Lesson","0","FALSE"
"alveary-recrd4Jjfp6KhJasl","alveary-reczx4aJNNCxW26i7","8","1","20m Church History: Grades 1-3 - Lesson 8","<p>Ashley Downs<br>⍞ Materials: The Bandit of Ashley Downs: George Müller</p><p>➜ RECAP<br>What do you recall about last week's reading about George Müller?</p><p>➜ INTRO<br>In today's reading, Curly will find himself arriving at Ashley Downs, the orphanage started by George Müller. As a reminder, when it was fully built, there were five buildings where orphan children could live. There could be up to 2,000 children living there at a time! What do you think Curly will think about this place?</p><p>➜ READ &amp; NARRATE<br>p.71-80 &quot;You mean to&quot; - &quot;both of you.&quot;</p><p>➜ VIEW<br>∞ Image Links: Girls in Front of Buildings at Ashley Downs and<br>Boys at Ashley Downs</p><p>• IMPORTANT DATES<br>1849 Ashley Downs Opens</p>","","https://planning.alveary.org/links.html?id=recrd4Jjfp6KhJasl&term=1&week=8","Lesson","0","FALSE"
"alveary-recrd4Jjfp6KhJasl","alveary-reczfgZj3oSASkL0O","9","1","20m Church History: Grades 1-3 - Lesson 9","<p>Curly Tries to Settle In<br>⍞ Materials: The Bandit of Ashley Downs: George Müller</p><p>➜ RECAP<br>What do you recall about last week's reading?</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>p.81-88 &quot;The man who&quot; - &quot;was otherwise bare.&quot;<br>• Why was Curly lonely even though he was surrounded by other boys his age?</p>","<p>★ TEACHER NOTE<br>As an interesting historical note, the author Charles Dickens was very concerned with the condition of orphanages during this time period, as you may be familiar with in his writings. Dickens visited George Müller's orphanage and was reassured by seeing the good conditions in which the children were being cared for.</p>","","Lesson","0","FALSE"
"alveary-recrd4Jjfp6KhJasl","alveary-recspiTlj55UszrTG","10","1","20m Church History: Grades 1-3 - Lesson 10","<p>The Prayers of George Müller<br>⍞ Materials: The Bandit of Ashley Downs: George Müller</p><p>➜ RECAP<br>What do you recall about last week's reading?</p><p>➜ READ &amp; NARRATE<br>p.88-95 &quot;Just outside their&quot; - &quot;get to it.&quot;</p>","<p>★ TEACHER NOTE<br>Please preview sensitive content on p.94 where Müller shares the story of his drinking at the tavern in his younger days.</p>","","Lesson","0","FALSE"
