"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recrzRYrsFbVDo3bN","alveary-recCAgfCQmM7vkcCc","1","1","20m General Science: Grade 5 - Lesson 1","<p>Visit a Hive<br>⍞ Materials: The Hive Detectives</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Look at the cover picture and the main title. Have you watched bees before? What did you notice about them? What would you investigate if you were a &quot;hive detective&quot;? Read the subtitle. Do you know what a chronicle is? (a factual record) Do you know what a catastrophe is? (a great disaster) So, this is a story about scientists who are studying a disaster in a beehive to learn how it happened in the hopes that they can prevent it from happening again.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.1-3 &quot;Put on your&quot; - &quot;home in Wisconsin.&quot;</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: Why do Honeybees Love Hexagons? (3:58)<br>∞ Video Link: Why Do Bees Build Hexagons? (2:34)</p>","<p>★ TEACHER TIP<br>Supplemental links for optional support are provided at the END of the lesson. They can be used at any point to help generate interest during the introduction, to enliven the lesson itself, or to add to the discussion later. They are NOT required and should NOT take away from the narration and discussion. Experiment and see what works best for your student(s).</p>","https://planning.alveary.org/links.html?id=recrzRYrsFbVDo3bN&term=1&week=1","Lesson","0","FALSE"
"alveary-recrzRYrsFbVDo3bN","alveary-recmD02eWYOT1S7RR","2","1","20m General Science: Grade 5 - Lesson 2","<p>Know the Bees<br>⍞ Materials: The Hive Detectives</p><p>➜ INTRO<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.4-9 &quot;Mary begins&quot; - &quot;for their keeper.&quot;</p><p>• Describe the structure of the hive and the jobs of the bees. Draw or diagram, if helpful.</p>","","","Lesson","0","FALSE"
"alveary-recrzRYrsFbVDo3bN","alveary-rect1Zd1ikkr7aeTR","3","1","20m General Science: Grade 5 - Lesson 3","<p>Beekeeping Cross-Country<br>⍞ Materials: The Hive Detectives</p><p>➜ INTRO<br>What did you read last time? Some beekeepers manage thousands of bees. Who would need thousands of bees? Let's find out about what happened when one of these beekeepers visited his hives.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.11-14 &quot;On November 12,&quot; - &quot;a thankless job.&quot;</p><p>• Contrast how Mary and Dave keep their bees. <br>• What would it feel like to come upon the animals you care for to find them gone?</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: Honey Bee Shortage (2:34)</p>","","https://planning.alveary.org/links.html?id=recrzRYrsFbVDo3bN&term=1&week=3","Lesson","0","FALSE"
"alveary-recrzRYrsFbVDo3bN","alveary-recWJIxE94pFDVjoe","4","1","20m General Science: Grade 5 - Lesson 4","<p>Colony Collapse Disorder<br>⍞ Materials: The Hive Detectives</p><p>➜ INTRO<br>What did you read last time? How do you think other beekeepers and scientists reacted when they heard what happened to Dave's bees?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.15-17 &quot;In all my&quot; - &quot;and stop it.&quot;</p><p>• How do you think the scientists might test their three theories?</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: How Do Bees Make Honey? (to timestamp 3:20)</p><p>➜ NOTE <br>Read A Dream Team of Bee Scientists p.18-19, if desired.</p><p>• FIELD TRIP<br>Visit a beekeeper. Notice the bees come and go from the hive. Notice how they interact with each other at the entrance. Notice their behavior when the beekeeper opens the hive. Can you find the queen? How does she look different? Where is she in the hive? Are there larvae in the hive? Where are they?</p>","","https://planning.alveary.org/links.html?id=recrzRYrsFbVDo3bN&term=1&week=4","Lesson","0","FALSE"
"alveary-recrzRYrsFbVDo3bN","alveary-recK1sGqlzeTzWn76","5","1","20m General Science: Grade 5 - Lesson 5","<p>Learning from Bees<br>⍞ Materials: The Hive Detectives</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>What did you read last time? The first step to solving a problem is to learn more, so let's see how they do that today.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.20-25 &quot;The CCD Working Group&quot; - &quot;But what?&quot;</p><p>• Describe the samples scientists collected.<br>• What did the scientists learn so far from studying the bees?<br>• How does a bee pollinate flowers? It's actually pretty amazing!  Watch the videos to take a closer look:<br>∞ Video Link: The Buzz About Bees (2:46)<br>∞ Video Link: Sweet Pea Pollination (2:13)</p><p>➜ NOTE <br>Read Inside the Hive p.26-27, if desired.</p><p>• NATURE NOTEBOOK <br>Prompt for General Science in Outdoor Work Quick Link.</p>","<p>★ TEACHER NOTE<br>The second supplemental video mentions evolution at 0:24. Teachers might choose to introduce the term by the way, mute the narration, or skip this one.</p><p>★ TEACHER TIP <br>Are your learner(s) demonstrating more familiarity/interest in bees? More interest/ease in describing or thinking about what material Things are made of? If not, consider observing together more often, exploring extra helpings, or taking a field trip to a nature preserve, bee keeper, or museum with a chemistry exhibit. Reach out through Contact Us, if you need help.</p>","https://planning.alveary.org/links.html?id=recrzRYrsFbVDo3bN&term=1&week=5","Lesson","0","FALSE"
"alveary-recrzRYrsFbVDo3bN","alveary-recVQRJwHZbeFl0qM","6","1","20m General Science: Grade 5 - Lesson 6","<p>The Pest Hypothesis<br>⍞ Materials: The Hive Detectives</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>What did you read last time? One hypothesis is that a known pest is killing the bees. What's a hypothesis? (a really good guess based on what we know) To find out if the guess that a known pest is killing the bees is accurate, they have to test it. Let's find out how they do that today.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.29-31 &quot;When asked&quot; - &quot;Strike three.&quot;</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: How Do Bees Make Honey? (timestamp 3:20 to end)</p><p>➜ NOTE <br>Read Inside the Hive p.32-33, if desired.</p>","<p>★ TEACHER TIP<br>Supplemental links for optional support are provided at the END of the lesson. They can be used at any point to help generate interest during the introduction, to enliven the lesson itself, or to add to the discussion later. They are NOT required and should NOT take away from the narration and discussion. Experiment and see what works best for your student(s).</p>","https://planning.alveary.org/links.html?id=recrzRYrsFbVDo3bN&term=1&week=6","Lesson","0","FALSE"
"alveary-recrzRYrsFbVDo3bN","alveary-recllPuauvnH7lBZD","7","1","20m General Science: Grade 5 - Lesson 7","<p>The Virus Hypothesis<br>⍞ Materials: The Hive Detectives</p><p>➜ INTRO<br>What did you read last time? Another hypothesis is that a virus might be making the bees sick, but viruses can't be seen with our eyes or even a microscope. How do you think they will test this hypothesis?</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>p.34-37 &quot;Diana Cox-Foster&quot; - &quot;raised indoors?&quot;</p><p>• How might Diana design her study so that she can find out what she needs to know without making the CCD problem worse?<br>• What do you think—can honeybees be raised indoors?</p>","","","Lesson","0","FALSE"
"alveary-recrzRYrsFbVDo3bN","alveary-recNZgF1kYlfwvpob","8","1","20m General Science: Grade 5 - Lesson 8","<p>Thinking about Bee Health<br>⍞ Materials: The Hive Detectives</p><p>➜ INTRO<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.37-39 &quot;Well, not yet.&quot; - &quot;a greater issue?&quot;</p><p>➜ NOTE <br>Read Bee Bodies p.40-41, if desired.</p><p>• NATURE NOTEBOOK <br>Prompt for General Science in Outdoor Work Quick Link.</p>","","","Lesson","0","FALSE"
"alveary-recrzRYrsFbVDo3bN","alveary-recOTIGFerR9x2aZy","9","1","20m General Science: Grade 5 - Lesson 9","<p>Caring for Creation<br>⍞ Materials: The Hive Detectives</p><p>➜ INTRO<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.43-47 &quot;One year after&quot; - &quot;knows about bees.&quot;</p><p>• Tell what scientists now know about CCD and its causes.<br>• How does our knowing bees make a difference?</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: Can Mushrooms Save the Honeybee? (5:45)</p><p>• NATURE NOTEBOOK <br>Prompt for General Science in Outdoor Work Quick Link.</p>","","https://planning.alveary.org/links.html?id=recrzRYrsFbVDo3bN&term=1&week=9","Lesson","0","FALSE"
"alveary-recrzRYrsFbVDo3bN","alveary-rec4427N4aNa8ULSk","10","1","20m General Science: Grade 5 - Lesson 10","<p>Being Cared for By Creation<br>⍞ Materials: The Hive Detectives</p><p>➜ INTRO<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>p.49-52 &quot;It's the middle&quot; - &quot;several local fairs.)&quot;</p><p>• Let's think of some of the ways that people's lives are better because of the bees. Some ways might have been mentioned in the book, or might have nothing to do with the book.<br>• Make up a poem about bees together!</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: How to Plant a Pollinator Garden (3:21)<br>∞ Video Link: How to Harvest Honey (8:47)</p>","","https://planning.alveary.org/links.html?id=recrzRYrsFbVDo3bN&term=1&week=10","Lesson","0","FALSE"
