"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recsCGDu4MrTcBayw","alveary-recShY5UGdU30u0q8","1","1","30m Geography: Grade 8 (Canada) - Lesson 1","<p>⍞ Materials: Canadian Student Atlas, geography notebook</p><p>PREP: Print 10 blank maps of Canada. Place one in your student's geography notebook (referred to as &quot;My Map of Canada&quot;). Information will be added over the year. Additional maps are used periodically to see what the student remembers. <br>∞ Map Links: Blank Maps of Canada (colour &amp; b/w)</p><p>➜ INTRO<br>This year, we will look at every province and territory of Canada, beginning in the east, then traveling west, and finally north. You will make map entries in your geography notebook about each region, while also creating a large, detailed, and illustrated map. Term 1 is mainly map work, but we will also read excerpts from the journals of three explorers who lived during our history rotation (1800-1900).</p><p>➜ MAP QUESTIONS<br>⍞ Map Resource: Canadian Student Atlas p.12-13<br>1\. Before we look more closely inside Canada, we're going to start with what is outside. What types of borders does Canada have? [A: land borders and ocean borders]<br>2\. What country borders Canada to the south? [A: United States of America] What ocean borders Canada to the east? [A: Atlantic Ocean] What ocean borders Canada to the west? [A: Pacific Ocean] What ocean borders Canada to the north? [A: Arctic Ocean] <br>3\. Canada also has other borders in the Arctic. What land borders Canada to the northwest? [A: a land border with Alaska, U.S.A.] What land borders Canada to the northeast? [A: a maritime border with Greenland (Denmark)] What body of water is north of Yukon and Alaska? [A: Beaufort Sea] What body of water is south of Yukon and Alaska? [A: Gulf of Alaska] What body of water is between Baffin Island and Greenland? [A: Baffin Bay]</p><p>➜ MAP WORK<br>⍞ Map Resource: My Map of Canada<br>1\. Label the United States of America, the Atlantic Ocean, the Pacific Ocean, and the Arctic Ocean on your map.<br>2\. Label Alaska, Greenland (Denmark), Beaufort Sea, Gulf of Alaska, and Baffin Bay on your map.<br>3\. Tape this map into your notebook. Leave the opposite page blank for any notes about Canada you decide to include during the year. Your geography notebook will be used regularly throughout the course. You may be asked to make an entry or to tape your printed maps for Map Work. Ensure that each entry is labeled with the date or lesson number.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>⍞ Map Resource: Canadian Student Atlas p.14-31<br>Maps can convey information in so many different ways beyond borders and place names. Spend some time reading through the types of maps found in this section.</p><p>➜ NOTEBOOK<br>In your geography notebook, write down some facts you've learned from these maps about your local area and/or home province/territory, such as climate, vegetation, agriculture, industry, population, etc.</p>","","https://planning.alveary.org/links.html?id=recsCGDu4MrTcBayw&term=1&week=1","Lesson","0","FALSE"
"alveary-recsCGDu4MrTcBayw","alveary-reczWhuJwtf94Pgmd","1","2","30m Geography: Grade 8 (Canada) - Lesson 2","<p>Natural Wonders Map Introduction<br>⍞ Materials: Draw the Natural Wonders of Canada &amp; Greenland</p><p>PREP: Either photocopy the map templates at the end of the book or download them to print. These could be attached to cardboard or poster board to make the map more durable. In the lesson plans, this will be called &quot;My Natural Wonders Map.&quot;<br>∞ Map Link: Draw the Natural Wonders of Canada &amp; Greenland Download</p><p>➜ INTRO<br>With the book Draw the Natural Wonders of Canada &amp; Greenland, you will create your own map of Canada that includes the wonders of the natural world found here, as well as narrative features about geographical elements that are unique to Canada.</p><p>➜ READ<br>1\. p.4 &quot;Instructions.&quot; Get an overview of the types of drawings you will need to do to create the map.<br>2\. p.53 Look at an example of the finished product to see what your map will eventually look like.</p><p>➜ MAP WORK<br>p.6-7 Follow the instructions to add borders and labels to your map template. Remember the lines and words in red for each lesson are what should be added to your map.</p>","","https://planning.alveary.org/links.html?id=recsCGDu4MrTcBayw&term=1&week=1","Lesson","0","FALSE"
"alveary-recsCGDu4MrTcBayw","alveary-rec3ZHYNNTKxglVR3","2","1","30m Geography: Grade 8 (Canada) - Lesson 3","<p>Canada's Regions<br>⍞ Materials: Draw the Natural Wonders of Canada &amp; Greenland, Canadian Student Atlas, My Natural Wonders Map, geography notebook</p><p>➜ INTRO<br>Today's lesson will look at the different regions of Canada, considering elements such as climate and vegetation.</p><p>➜ MAP WORK<br>⍞ Map Resource: Draw the Natural Wonders p.8-14<br>1\. Add the eight regional labels and the four directional points listed on these pages to your map. If you decide to shade in the regions, remember you will be adding geographical features on top, so shade lightly or draw an outline in such a way that more information can be added to those spaces later.<br>2\. Add some notes in your geography notebook about each region. The &quot;Climate Regions&quot; map in the Canadian Student Atlas (p.14) will give additional information about the climate in these regions.</p><p>⍞ Map Resource: Canadian Student Atlas p.16-17<br>Make a list in your geography notebook of the different types of vegetation and where they're found in Canada's regions. There will be time next lesson to continue this if you do not have enough time in today's lesson.</p>","","","Lesson","0","FALSE"
"alveary-recsCGDu4MrTcBayw","alveary-recoenEs2mcrZxhfc","2","2","30m Geography: Grade 8 (Canada) - Lesson 4","<p>Canada<br>⍞ Materials: Canadian Student Atlas, geography notebook</p><p>➜ NOTEBOOK<br>Take some time at the beginning of today's lesson to catch up on any notebook entries from the first few lessons.</p><p>➜ MAPPING ACTIVITY<br>1\. Before learning about each province and territory separately, challenge yourself today to see how much you already know about Canada's geography. Take out one of your blank maps of Canada. Label as many provinces and territories as you remember. Next, label as many capital cities as you can. If you don't know their precise location, just write the name inside the province/territory. Label as many bodies of water as you know, and anything else you can think of. <br>2\. Compare your work to the Canadian Student Atlas (p.12-13).</p>","","","Lesson","0","FALSE"
"alveary-recsCGDu4MrTcBayw","alveary-recK5yXfRFLxGdy1g","3","1","30m Geography: Grade 8 (Canada) - Lesson 5","<p>New Brunswick<br>⍞ Materials: Canadian Student Atlas, geography notebook</p><p>➜ INTRO<br>We will spend at least two classes on each province. In the first class, you will consult the atlas to answer some questions about each province/territory and make entries in your geography notebook. In the second class, you will work on your Natural Wonders Map. If you can't complete everything required in the first class, you can continue working on it in the second.</p><p>➜ MAP QUESTIONS<br>⍞ Map Resource: Canadian Student Atlas p.12-13<br>1\. Locate: New Brunswick<br>2\. What are the borders of New Brunswick? [A: Quebec, Nova Scotia, United States of America, Gulf of St. Lawrence]<br>3\. Turn to p.40. What is the capital? [A: Fredericton]<br>4\. What is the highest point, and where is that located? [A: Mt. Carleton - 817m - located in the far northwest part of the province]</p><p>➜ MAP WORK<br>You will make a two-page spread of New Brunswick in your notebook.<br>1\. On one side, you will draw a map of New Brunswick using the atlas as a guide.<br>2\. Label the capital, a couple of the major lakes or rivers, the highest point, and anything else of interest.<br>3\. On the other side of your notebook, write at least 3 things about the province using the information on p.14-31. You can tell about the climate, vegetation, agriculture, industry, etc. <br>4\. On the other side of your notebook, also write any additional information about the province, such as population, area, and date of entry into Confederation.</p>","<p>★ TEACHER TIP<br>While the notebook entries for each Canadian province/territory are meant to be two pages, the following example from U.S. Geography gives an idea of what could be included on these pages.<br>∞ Image Link: Example of State Map</p>","https://planning.alveary.org/links.html?id=recsCGDu4MrTcBayw&term=1&week=3","Lesson","0","FALSE"
"alveary-recsCGDu4MrTcBayw","alveary-recd17q3TrVJC9vpi","3","2","30m Geography: Grade 8 (Canada) - Lesson 6","<p>New Brunswick, cont.<br>⍞ Materials: Canadian Student Atlas, Draw the Natural Wonders of Canada &amp; Greenland, My Map of Canada, My Natural Wonders Map, geography notebook</p><p>➜ MAP WORK<br>⍞ Map Resource: My Map of Canada<br>Add New Brunswick, Fredericton, and the Bay of Fundy to My Map of Canada in your notebook.</p><p>➜ MAP WORK<br>⍞ Map Resource: Draw the Natural Wonders of Canada &amp; Greenland, My Natural Wonders Map<br>Complete the activities on p.15-16. You may wish to attach the photo to the area around the map with a number or arrow to indicate the location.</p><p>➜ VIEW <br>Watch the tide come in and out at the Bay of Fundy.<br>∞ Video Link: World's Highest Tides (Time Lapse)</p>","","https://planning.alveary.org/links.html?id=recsCGDu4MrTcBayw&term=1&week=3","Lesson","0","FALSE"
"alveary-recsCGDu4MrTcBayw","alveary-recwVN8e3JBMYSY9S","4","1","30m Geography: Grade 8 (Canada) - Lesson 7","<p>Newfoundland &amp; Labrador<br>⍞ Materials: Canadian Student Atlas, geography notebook</p><p>➜ MAP QUESTIONS<br>⍞ Map Resource: Canadian Student Atlas p.12-13<br>1\. Locate: Newfoundland and Labrador<br>2\. What are the borders of Newfoundland and Labrador? [A: Quebec, Atlantic Ocean, Labrador Sea, Gulf of St. Lawrence]<br>3\. Turn to p.32. What is the capital? [A: St. John's]<br>4\. What is the highest point, and where is that located? [A: Mt. Caubvick - 1652m - located in the far northwest part of Labrador on the border with Quebec]</p><p>➜ MAP WORK<br>You will make a two-page spread of Newfoundland and Labrador in your notebook.<br>1\. On one side, you will draw a map of Newfoundland and Labrador using the atlas as a guide.<br>2\. Label the capital, a couple of the major lakes or rivers, the highest point, and anything else of interest.<br>3\. On the other side of your notebook, write at least 3 things about the province using the information on p.14-31. You can tell about the climate, vegetation, agriculture, industry, etc. <br>4\. On the other side of your notebook, also write any additional information about the province, such as population, area, and date of entry into Confederation, using the information on p.10-11.</p>","","","Lesson","0","FALSE"
"alveary-recsCGDu4MrTcBayw","alveary-recFY5oKTuiftd0jc","4","2","30m Geography: Grade 8 (Canada) - Lesson 8","<p>Newfoundland &amp; Labrador, cont.<br>⍞ Materials: Canadian Student Atlas, Draw the Natural Wonders of Canada &amp; Greenland, My Map of Canada, My Natural Wonders Map, geography notebook</p><p>➜ MAP WORK<br>⍞ Map Resource: My Map of Canada<br>Add Newfoundland &amp; Labrador, St. John's, Labrador Sea, and the Gulf of St. Lawrence to My Map of Canada.</p><p>➜ MAP WORK<br>⍞ Map Resource: Draw the Natural Wonders of Canada &amp; Greenland, My Natural Wonders Map<br>Complete the activities on p.17-19. You may wish to attach the photo to the area around the map with a number or arrow to indicate the location.</p><p>➜ NOTEBOOK<br>Write the definition of a fjord in your notebook.</p><p>➜ VIEW<br>Learn more about Gros Morne National Park, where the fjords at Western Brook Pond can be found.<br>∞ Video Link: Gros Morne</p>","","https://planning.alveary.org/links.html?id=recsCGDu4MrTcBayw&term=1&week=4","Lesson","0","FALSE"
"alveary-recsCGDu4MrTcBayw","alveary-rec0iJ55L9M5zIPF1","5","1","30m Geography: Grade 8 (Canada) - Lesson 9","<p>Introduction - Adam Shoalts<br>⍞ Materials: Canadian Student Atlas</p><p>➜ INTRO<br>Adam Shoalts (b.1986) has been called &quot;Canada's Indiana Jones,&quot; and he is an explorer, adventurer, writer, scholar, archaeologist, and geographer. He serves as the Westaway Explorer-in-Residence at the Royal Canadian Geographical Society. Next term, you will begin reading Vanished Beyond the Map, Shoalts's account of trying to solve the mystery of what happened to Hubert Darrell, a guide, explorer, outdoorsman, and map-maker at the close of the nineteenth century. The Arctic loomed large in nineteenth-century imaginations: the quest to find a Northwest Passage from the Atlantic to the Pacific Ocean and open a faster trade route to Asia resulted in many failed and doomed expeditions, including the Franklin Expedition that departed England in 1845. Decades later, others would make a dangerous journey to the border between Alaska and the Yukon, hoping to strike it rich from the Klondike Gold Rush.<br>In 2017, in honour of Canada's 150th birthday, Shoalts set off on a solo journey across the Arctic—from Eagle Plain, Yukon to Baker Lake, Nunavut. In order to learn more about Canada's Arctic, much of which was so harsh and unforgiving to nineteenth-century explorers, and to get to know Shoalts, whose book you will read starting next term, several lessons this term will be spent watching the documentary Alone Across the Arctic, an account of Shoalts's solo journey (which he also wrote about in the book Beyond the Trees).</p><p>➜ MAP WORK<br>⍞ Map Resource: Canadian Student Atlas p.32-33 <br>Locate Eagle Plain, Yukon, and Baker Lake, Nunavut. Shoalts made his trip mainly by canoe and portage. Spend some time looking at the waterways in the Arctic and make a hypothesis for the route he might follow.</p><p>⍞ Article Resource: Mapping Adam Shoalts' Across the Arctic Expedition<br>Read this short article and compare Shoalts's route to your own guess from looking at the atlas.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Alone Across the Arctic<br>Watch from 0:00-21:53.</p><p>• What are your first impressions of Adam Shoalts? What do you think of the plan for his solo voyage?</p>","","https://planning.alveary.org/links.html?id=recsCGDu4MrTcBayw&term=1&week=5","Lesson","0","FALSE"
"alveary-recsCGDu4MrTcBayw","alveary-recMeJTz1MnsBXz76","5","2","30m Geography: Grade 8 (Canada) - Lesson 10","<p>Hudson Bay<br>⍞ Materials: Draw the Natural Wonders of Canada &amp; Greenland, My Natural Wonders Map, geography notebook</p><p>➜ MAPPING ACTIVITY<br>Take out one of your blank maps of Canada and label as many places as you remember from the provinces and territories studied thus far. Then compare your work to the atlas or your notebook.</p><p>➜ MAP WORK<br>⍞ Map Resource: Draw the Natural Wonders of Canada &amp; Greenland, My Natural Wonders Map<br>Complete the activities on p.20-23.</p><p>➜ NOTEBOOK<br>Write some facts about the bodies of water you mapped today into your notebook.</p>","","","Lesson","0","FALSE"
