"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recsvu3I7df1VWClJ","alveary-tracker-recsvu3I7df1VWClJ-1-1","1","1","15m Nature Notebook: Grade 6 - Lesson 1","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recsvu3I7df1VWClJ","alveary-tracker-recsvu3I7df1VWClJ-2-1","2","1","15m Nature Notebook: Grade 6 - Lesson 2","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recsvu3I7df1VWClJ","alveary-tracker-recsvu3I7df1VWClJ-3-1","3","1","15m Nature Notebook: Grade 6 - Lesson 3","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recsvu3I7df1VWClJ","alveary-tracker-recsvu3I7df1VWClJ-4-1","4","1","15m Nature Notebook: Grade 6 - Lesson 4","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recsvu3I7df1VWClJ","alveary-tracker-recsvu3I7df1VWClJ-5-1","5","1","15m Nature Notebook: Grade 6 - Lesson 5","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recsvu3I7df1VWClJ","alveary-tracker-recsvu3I7df1VWClJ-6-1","6","1","15m Nature Notebook: Grade 6 - Lesson 6","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recsvu3I7df1VWClJ","alveary-tracker-recsvu3I7df1VWClJ-7-1","7","1","15m Nature Notebook: Grade 6 - Lesson 7","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recsvu3I7df1VWClJ","alveary-tracker-recsvu3I7df1VWClJ-8-1","8","1","15m Nature Notebook: Grade 6 - Lesson 8","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recsvu3I7df1VWClJ","alveary-tracker-recsvu3I7df1VWClJ-9-1","9","1","15m Nature Notebook: Grade 6 - Lesson 9","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recsvu3I7df1VWClJ","alveary-tracker-recsvu3I7df1VWClJ-10-1","10","1","15m Nature Notebook: Grade 6 - Lesson 10","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recsvu3I7df1VWClJ","alveary-tracker-recsvu3I7df1VWClJ-11-1","11","1","15m Nature Notebook: Grade 6 - Lesson 11","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recsvu3I7df1VWClJ","alveary-tracker-recsvu3I7df1VWClJ-12-1","12","1","15m Nature Notebook: Grade 6 - Lesson 12","<p>➜ EXAMS<br>Answer question(s) related to course.</p>","","","Exam","0","FALSE"
"alveary-recsvu3I7df1VWClJ","alveary-tracker-recsvu3I7df1VWClJ-13-1","13","1","15m Nature Notebook: Grade 6 - Lesson 13","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
