"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rectNXh98nqfzZ80k","alveary-recHA8uriolTfLEsu","1","1","25m Lit./Mythology: Grade 5-6 - Lesson 1","<p>Adventures of Aeneas and Dido<br>⍞ Materials: Age of Fable</p><p>➜ INTRO<br>Virgil wrote the Aeneid between 29 and 19 B.C. We will be reading stories and poetry from this epic work this term.</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.31 p.207-213 &quot;We have followed&quot; - &quot;to the Sibyl&quot;</p><p>• COMPOSITION - Illustrate &amp; Caption<br>Phineus and the Harpies or another scene.</p>","","","Lesson","0","FALSE"
"alveary-rectNXh98nqfzZ80k","alveary-recrDSpUWBxyszDux","2","1","25m Lit./Mythology: Grade 5-6 - Lesson 2","<p>Elysium and the Sibyl<br>⍞ Materials: Age of Fable</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.32 p.213-221 &quot;As at the&quot; - &quot;in number less.&quot;</p><p>• COMPOSITION - Act Out<br>The meeting of Aeneas and Dido in the land of the dead</p>","","","Lesson","0","FALSE"
"alveary-rectNXh98nqfzZ80k","alveary-recVEgQrJHrWfY1VD","3","1","25m Lit./Mythology: Grade 5-6 - Lesson 3","<p>Introduction to Infant Rome<br>⍞ Materials: Age of Fable</p><p>➜ RECAP: What do you remember about how the underworld was described in the last chapter?</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.33 p.221-230 &quot;Aeneas, having parted&quot; - &quot;along the main.&quot;</p>","","","Lesson","0","FALSE"
"alveary-rectNXh98nqfzZ80k","alveary-recMbV1aFXDkj5LYt","4","1","25m Lit./Mythology: Grade 5-6 - Lesson 4","<p>Pythagoras<br>⍞ Materials: Age of Fable</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.34 p.230-248 &quot;The teachings of&quot; - &quot;were no more.&quot;</p><p>➜ VIEW<br>Here is a bust of Pythagoras.<br>∞ Image Link: Pythagoras</p><p>• COMPOSITION - Illustrate &amp; Tell<br>The death of Osiris or another scene.</p>","","https://planning.alveary.org/links.html?id=rectNXh98nqfzZ80k&term=1&week=4","Lesson","0","FALSE"
"alveary-rectNXh98nqfzZ80k","alveary-recYY0nJ63zfjizJc","5","1","25m Lit./Mythology: Grade 5-6 - Lesson 5","<p>Origin of Mythology &amp; The Minerva of the Parthenon<br>⍞ Materials: Age of Fable</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.35 p.241-249 &quot;Having reached the&quot; - &quot;fame have immortality.&quot;</p><p>➜ VIEW<br>Here is one artist's image of Jupiter and a Roman statue of Minerva.<br>∞ Image Link: Jupiter <br>∞ Image Link: Minerva</p><p>• COMPOSITION - Expository<br>Tell at least three theories on the origins of mythology.</p>","","https://planning.alveary.org/links.html?id=rectNXh98nqfzZ80k&term=1&week=5","Lesson","0","FALSE"
"alveary-rectNXh98nqfzZ80k","alveary-recvcYgD6kTWPfHxp","6","1","25m Lit./Mythology: Grade 5-6 - Lesson 6","<p>Modern Monsters<br>⍞ Materials: Age of Fable</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.36 p.250-256 &quot;There is a&quot; - &quot;these sacred fires?&quot;</p>","","","Lesson","0","FALSE"
"alveary-rectNXh98nqfzZ80k","alveary-rec1sV74IqUY1cS2W","7","1","25m Lit./Mythology: Grade 5-6 - Lesson 7","<p>Eastern Mythology &amp; Siva<br>⍞ Materials: Age of Fable</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.37 p.256-264 &quot;Our knowledge of&quot; - &quot;Quiloa and Melind.&quot;</p><p>∞ Image Link: Brahma<br>∞ Image Link: Vishnu</p>","","https://planning.alveary.org/links.html?id=rectNXh98nqfzZ80k&term=1&week=7","Lesson","0","FALSE"
"alveary-rectNXh98nqfzZ80k","alveary-rec20jeVTjoy0DXgL","8","1","25m Lit./Mythology: Grade 5-6 - Lesson 8","<p>Loki and His Progeny<br>⍞ Materials: Age of Fable</p><p>➜ INTRO<br>In the last several years, the popularity of Marvel comic movies has revived the popularity of mythological characters like Thor and Loki.</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.38 p.264-269 &quot;The stories&quot; - &quot;long into Niffleheim.&quot;</p><p>• COMPOSITION - Descriptive<br>Describe Thor.</p>","","","Lesson","0","FALSE"
"alveary-rectNXh98nqfzZ80k","alveary-recubqkvNsaZKC83g","9","1","25m Lit./Mythology: Grade 5-6 - Lesson 9","<p>Thor's Visit to Jotunheim<br>⍞ Materials: Age of Fable</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.39 p.269-275 &quot;Once upon a&quot; - &quot;a verdant plain.&quot;</p><p>➜ VIEW<br>Look at this runestone, which was carved during the Viking age. The three figures in the center are Odin (with the spear), Thor (with the hammer), and Freyr (with the sickle).<br>∞ Image Link: Runestone of Norse Mythology</p><p>• COMPOSITION - Written Retelling<br>Thor's Visit to Jotunheim</p>","","https://planning.alveary.org/links.html?id=rectNXh98nqfzZ80k&term=1&week=9","Lesson","0","FALSE"
"alveary-rectNXh98nqfzZ80k","alveary-recqhEItUdXh88UhP","10","1","25m Lit./Mythology: Grade 5-6 - Lesson 10","<p>The Death of Baldur &amp; Ragnarok<br>⍞ Materials: Age of Fable</p><p>➜ INTRO<br>It is amazing that these rune stones still can be seen today. Most were engraved during the Viking age, making them around 1,000 years old.</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.40 p.276-282 &quot;Baldur the Good&quot; - &quot;by the Northmen!&quot;</p>","","","Lesson","0","FALSE"
