"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rectUKirSyNdJhvrY","alveary-recgntR1OFfvSv0aT","1","1","25m Ethics: Part 1 - Lesson 1","<p>Country of Mansoul<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>Charlotte Mason, the author of this text, felt that the available material on formal formation during her time was severely lacking; what was available she considered unsuitably preachy and uninteresting. She felt compelled to write an approachable but challenging alternative, which is the text for this course: Ourselves.</p><p>Mason believed that before we could fully consider our duties to God, country, and others, we must first know and begin to understand ourselves, including the possibilities and risks inherent in all of us. Self-knowledge, in her view, was the inevitable prerequisite to self-direction, which is why she aptly named the first and second &quot;Books&quot; of Ourselves after each.</p><p>In order to present these ideas in an interesting way, she used the allegory of a country and its government. In her own words: &quot;The realised self of each of us is a distressfully poor thing, and yet upon its insight and its action depends the redemption of that greater self, whose limitations no man has discovered. It is, to use a figure, as the relation between a country and its government. The country is ever greater than the governing body; and yet, for its development, the former must depend upon the latter.&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Ch.I p.1-2 &quot;Do ye not&quot; - &quot;be a hero.&quot;</p><p>• CITIZENSHIP NOTEBOOK<br>Begin drawing a map of Mansoul using information from today’s reading.</p><p>• DEFINITIONS<br>londes: an old English word for lands</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-recuv0dh8jyvkHrHP","2","1","25m Ethics: Part 1 - Lesson 2","<p>Country of Mansoul<br>⍞ Materials: Ourselves</p><p>➜ RECAP<br>In the last lesson, we were introduced to the country of Mansoul. How would you describe it in your own words?</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Ch.I p.3-4 &quot;There are libraries&quot; - &quot;rich and beautiful.&quot;</p><p>• CITIZENSHIP NOTEBOOK<br>Continue work on map of Mansoul.</p><p>• DEFINITIONS<br>cricket: a bat and ball game that originated and is popular in England</p><p>• COMPOSITION<br>How is Mansoul like a rich and beautiful land?</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-recbKwVMcASrNAYWg","3","1","25m Ethics: Part 1 - Lesson 3","<p>Perils of Mansoul<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>What do you remember about the culture of Mansoul from our last reading? How is it similar to where you live? How is it different?</p><p>Today, we will begin a new chapter called The Perils of Mansoul. A peril is a serious or immediate danger. Let’s see what dangers are lurking for Mansoul.</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Ch.II p.5-6 &quot;You are thinking&quot; - &quot;fires and lights.&quot;</p><p>• DEFINITIONS<br>incendiary: a device or strategy intended to start a fire</p><p>Föhn: a strong, warm air that comes down off the Alps and is known to both melt snow and spread wildfires</p><p>• COMPOSITION<br>What are ways a flame could come from a foreign land?</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-recJLVwqqiWLDzYpc","4","1","25m Ethics: Part 1 - Lesson 4","<p>Perils of Mansoul<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>What perils put the country of Mansoul at risk? How? What, if anything, could be done to prevent them?</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Ch.II p.6-8 &quot;Sometimes there is&quot; - &quot;to its duties.&quot;</p><p>• DEFINITIONS<br>ministry: a specific department within the government</p><p>Prime Minister: the head of the British government</p><p>• COMPOSITION<br>Tell about some of the Perils of Mansoul and tell which are the most perilous for you.</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-reccZoAdEIs8RWlFE","5","1","25m Ethics: Part 1 - Lesson 5","<p>Government of Mansoul<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>In the last lesson, we read about several more perils to Mansoul: Plague, Flood, Famine, Discord, and Darkness. What causes these perils, and what are some of the consequences?</p><p>Today, we will be introduced to the government of Mansoul. In the same way that every country must have a form of government, so, too, must a person have an internal &quot;government&quot; that rules them.</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Ch.III p.9-10 &quot;I must give&quot; - &quot;a human being.&quot;</p><p>• DEFINITIONS<br>esquire: similar to a page, a lower servant or assistant to a higher government office</p><p>lord: the formal title for a ruler over a particular land or territory</p><p>exchequer /eks CHEK er/: the name of the British government department responsible for the collection and management of taxes and revenue; similar to a Treasury</p><p>minister: the head of a specific department (ministry) within the government</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-reca3UqQ3bTnxSXdu","6","1","25m Ethics: Part 1 - Lesson 6","<p>Esquires of the Body: Hunger<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>What do you remember about the government of Mansoul? Why is it important to understand these powers within a person?</p><p>In today's reading, you'll hear the word esquire. In Mason’s time, an esquire was often one who received a title (such as “lord”) for service to the king. Sometimes they worked for the good of the kingdom, but other times to gain an advantage over others. How would that affect the kingdom? In this book, Mason gives the name “esquire” to the appetites of the body. As we read, keep this in mind.</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Pt.I Ch.I p.11-13 &quot;We will first&quot; - &quot;two hours long.&quot;</p><p>• CITIZENSHIP NOTEBOOK<br>Start a chart of the government of Mansoul that includes the King, the Prime Minister, and the Esquires. As you read, tell what their duties are and how each has the potential to damage the kingdom of Mansoul when they try to become too powerful.</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-recUM3avYcYZrScJO","7","1","25m Ethics: Part 1 - Lesson 7","<p>Esquires of the Body: Hunger<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>What is meant by &quot;Esquires of the Body&quot;? Describe in your own words.</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Pt.I Ch.I p.13-14 &quot;But, you will say&quot; - &quot;his good tidings.&quot;</p><p>• CITIZENSHIP NOTEBOOK<br>Continue adding to government chart.</p><p>• DEFINITIONS<br>pudding: dessert</p><p>hampers: packages of food</p><p>• COMPOSITION<br>How is hunger both a servant and a master?</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-reczB0ivf84JJUarE","8","1","25m Ethics: Part 1 - Lesson 8","<p>Esquires of the Body: Thirst<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>According to our last lesson, how are we to avoid Greediness? Why is it important to do so?</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Pt.I Ch.II p.15-17 &quot;Another most serviceable&quot; - &quot;delicious it is.&quot;</p><p>• CITIZENSHIP NOTEBOOK<br>Continue adding to government chart.</p><p>• DEFINITIONS<br>forms: the structure of the British school system, similar to grades</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-recN08aW8Ja3u1Ej5","9","1","25m Ethics: Part 1 - Lesson 9","<p>Esquires: Restlessness and Rest<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>Describe what you remember about Thirst. How can Thirst be a source of danger for Mansoul?</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Pt.I Ch.III p.18-20 &quot;I hardly know&quot; - &quot;work or play.&quot;</p><p>• CITIZENSHIP NOTEBOOK<br>Continue adding to government chart.</p><p>• DEFINITIONS<br>daemon: As Mason uses it here, it refers to the cruel, evil, and/or destructive manifestation of a quality or trait.</p><p>• COMPOSITION<br>Describe sloth and what its outcome can be in the body.</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-recA0rX7lZbNdjzvT","10","1","25m Ethics: Part 1 - Lesson 10","<p>Esquires of the Body: Chastity<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>How can restlessness be helpful? How can rest be helpful? How can each be destructive?</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Pt.I Ch.IV p.21-23 &quot;We have seen&quot; - &quot;to do so.&quot;</p><p>• CITIZENSHIP NOTEBOOK<br>Continue adding to government chart.</p>","<p>★ TEACHER NOTE<br>Please note the sensitive content in this section that talks about chastity.</p>","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-recYU5suJob2yhJ9g","11","1","25m Ethics: Part 1 - Lesson 11","<p>Catch-Up Day</p><p>➜ CATCH-UP <br>Use this time to catch up on lessons in this or another course, or explore Extra Helpings.</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-recuCAgBY6Q0oIl4J","12","1","25m Ethics: Part 1 - Lesson 12","<p>Exam Week</p><p>➜ EXAMS <br>Answer question(s) related to course.</p><p>Questions will come from:<br>Ourselves</p>","<p>★ Ethics: Part 1 — TERM 1 EXAM QUESTIONS<br>· Ourselves: Book I: Describe the work of two &quot;Esquires of the Body&quot; (appetites), and show that these Esquires must be servants, not masters, in Mansoul. OR Tell about some of the perils of Mansoul.</p>","","Exam","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-recnavD7bgFYnvyQo","13","1","25m Ethics: Part 1 - Lesson 13","<p>Pages of the Body: Five Senses<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>Last term, we read about the government of Mansoul. Describe what you remember about its King, its Prime Minister, and its Esquires.</p><p>Today, we will read about “Pages.” These are the assistants, or servants, to the Esquires.</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Pt.I Ch.V p.24-26 &quot;The Esquires&quot; - &quot;fresh or fusty&quot;</p><p>• CITIZENSHIP NOTEBOOK<br>Start a list for each Page and their duties.</p><p>• COMPOSITION<br>Tell how to keep Smell &quot;in good working order.&quot;</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-recJ72JYQCRcShr0q","14","1","25m Ethics: Part 1 - Lesson 14","<p>Pages of the Body: Five Senses<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>Describe how Taste is a useful Page to the body. What happens when we pamper it? <br>Why is Smell described as lazy?</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Pt.I Ch.V p.26-28 &quot;There are five&quot; - &quot;cause of the pain.&quot;</p><p>• CITIZENSHIP NOTEBOOK<br>Continue adding to lists on Pages.</p><p>• DEFINITIONS<br>Spartan boy: This refers to a story from Sparta where a young boy caught a live fox and hid it in his robes. The fox began to bite and claw him, but the boy was determined to show bravery and refused to move or ask for help until he died from his wounds.</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-recnZ1SJL6YtOQsYJ","15","1","25m Ethics: Part 1 - Lesson 15","<p>Pages of the Body: Five Senses<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>Describe how Touch is a good servant to the body, but a bad master.</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Pt.I Ch.V p.28-30 &quot;But, on the other&quot; - &quot;can distinguish.&quot;</p><p>• CITIZENSHIP NOTEBOOK<br>Continue adding to lists on Pages.</p><p>• DEFINITIONS<br>mustard poultice: a paste often used to treat chest congestion in Mason's time. If left too long, it can irritate the skin.</p><p>drawing room: similar to a living room</p><p>James Simpson: a Scottish doctor who first used chloroform as an anesthetic</p><p>• COMPOSITION<br>&quot;Do you know how Eyes and No-Eyes went out for a walk?&quot; Tell what followed in the reading.</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-recDn92a9zh4JJQ77","16","1","25m Ethics: Part 1 - Lesson 16","<p>Pages of the Body: Five Senses<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>What did Mason mean by it is &quot;good to have little things to put up with?&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Pt.I Ch.V p.30-32 &quot;Then, as you&quot; - &quot;whom he knows!&quot;</p><p>• CITIZENSHIP NOTEBOOK<br>Continue adding to lists on Pages.</p><p>• DEFINITIONS<br>tunes: popular songs of the day</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-recK6d2Kqv0jvwxjU","17","1","25m Ethics: Part 1 - Lesson 17","<p>Ourselves<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>How are Sight and Hearing sources of joy? Explain the statement, &quot;The more we listen, the more we hear.&quot;</p><p>Today, we will begin a new part of our book. We will be reading about all of the parts that comprise our whole selves: our bodies, minds, hearts, and souls.</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Pt.II Ch.I p.33-34 &quot;When we think&quot; - &quot;the Government.&quot;</p><p>• CITIZENSHIP NOTEBOOK<br>Create a chart with four columns labeled Body, Mind, Heart, and Soul. Record important ideas in the appropriate column after each reading.</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-recO6AgFVghhkdo6a","18","1","25m Ethics: Part 1 - Lesson 18","<p>My Lord Intellect<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>Why is it important to understand our &quot;inner&quot; selves? Explain the differences between Self-Control, Self-Knowledge, and Self-Reverence.</p><p>Today, we will read about a new member of the government, the Lord Intellect (equivalent to the Foreign Secretary in the U.K., the Secretary of State in the U.S., or the Minister of Foreign Affairs in Canada). This official's role is to talk with representatives from other countries and work out problems peacefully.</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Pt.II Ch.II p.35-37 &quot;To begin with&quot; - &quot;King had gone.&quot;</p><p>• CITIZENSHIP NOTEBOOK<br>Add the Foreign Secretary to chart of government officials started in Lesson 6.</p><p>• DEFINITIONS<br>kinetoscope: a type of early motion picture device designed for one person</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-recAMssMnLw4vyc2D","19","1","25m Ethics: Part 1 - Lesson 19","<p>My Lord Intellect<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>Why is Intellect given the title the &quot;Foreign Secretary&quot; of Mansoul? Describe his job duties.</p><p>Today, we will read about Philosophy, which is the study of knowledge and reality. How do you know something is true?</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Pt.II Ch.II p.37-39 &quot;We see, too&quot; - &quot;ease for Mansoul.&quot;</p><p>• COMPOSITION<br>Explain how Imagination can be a good companion in travels OR Tell about the land of Mathematics.</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-recAHcYKGGfsLRucn","20","1","25m Ethics: Part 1 - Lesson 20","<p>My Lord Intellect<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>Describe what you remember about the domains of History, Mathematics, and Philosophy.</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Pt.II Ch.II p.39-41 &quot;Perhaps the least&quot; - &quot;by this test.&quot;</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-reccoDE4EQLyXGtJr","21","1","25m Ethics: Part 1 - Lesson 21","<p>My Lord Intellect<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>Describe the Kingdom of Literature. How can we recognize Literature?</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Pt.II Ch.II p.41-42 &quot;There is another&quot; - &quot;ear or our eye.&quot;</p><p>• COMPOSITION<br>How is the Beauty Sense used well?</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-rec1BDk7wvBJmtiAZ","22","1","25m Ethics: Part 1 - Lesson 22","<p>My Lord Intellect<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>Why does Intellect need the Beauty Sense as a second companion? What service does the Beauty Sense provide?</p><p>Today’s reading uses the word &quot;simulation.&quot; Do you know what a simulation is? [the imitation of a situation or a process]</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Pt.II Ch.II p.42-44 &quot;But, like all&quot; - &quot;weary slave.&quot;</p><p>• DEFINITIONS<br>marks: the British word for grades</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-recceQXIntcXbq7vv","23","1","25m Ethics: Part 1 - Lesson 23","<p>Daemons of Intellect<br>⍞ Materials: Ourselves</p><p>➜ INTRO<br>What do you remember about the Hall of Simulation? Why and how is it a threat to Mansoul?</p><p>Today, we will read about the Daemons of Intellect. (Daemon is an old spelling for demon.) A daemon in our reading is a force, decision, or habit that takes something God created to be good and twists it into something unhealthy.</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Pt.II Ch.III p.45-47 &quot;Like the Body&quot; - &quot;royal and magnanimous.&quot;</p><p>• DEFINITIONS<br>inertia: indisposition to motion, exertion, or change; the tendency to stay unmoving</p><p>jibs: to show hesitation or reluctance</p><p>coster's barrow: the wheelbarrow/cart of a fruit and vegetable seller</p>","","","Lesson","0","FALSE"
"alveary-rectUKirSyNdJhvrY","alveary-recLlbpUeAuUI2oFo","24","1","25m Ethics: Part 1 - Lesson 24","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from:<br>Ourselves</p>","<p>★ Ethics: Part 1 — TERM 2 EXAM QUESTIONS<br>· Ourselves: Book I: Show that the sense of touch is a useful servant but a bad master. How may we get a &quot;hearing ear?&quot; Mention some sounds that you have enjoyed this term. OR How do the Beauty Sense and Imagination help assist Intellect in his travels?</p>","","Exam","0","FALSE"
