"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rectmIbzBgLlEICap","alveary-tracker-rectmIbzBgLlEICap-1-1","1","1","10m Penmanship & Copywork: Grade 5 - Lesson 1","<p>reck6eG0QiMhklIsz</p>","","","Lesson","0","FALSE"
"alveary-rectmIbzBgLlEICap","alveary-tracker-rectmIbzBgLlEICap-2-1","2","1","10m Penmanship & Copywork: Grade 5 - Lesson 2","<p>reck6eG0QiMhklIsz</p>","","","Lesson","0","FALSE"
"alveary-rectmIbzBgLlEICap","alveary-tracker-rectmIbzBgLlEICap-3-1","3","1","10m Penmanship & Copywork: Grade 5 - Lesson 3","<p>reck6eG0QiMhklIsz</p>","","","Lesson","0","FALSE"
"alveary-rectmIbzBgLlEICap","alveary-tracker-rectmIbzBgLlEICap-4-1","4","1","10m Penmanship & Copywork: Grade 5 - Lesson 4","<p>reck6eG0QiMhklIsz</p>","","","Lesson","0","FALSE"
"alveary-rectmIbzBgLlEICap","alveary-tracker-rectmIbzBgLlEICap-5-1","5","1","10m Penmanship & Copywork: Grade 5 - Lesson 5","<p>reck6eG0QiMhklIsz</p>","","","Lesson","0","FALSE"
"alveary-rectmIbzBgLlEICap","alveary-tracker-rectmIbzBgLlEICap-6-1","6","1","10m Penmanship & Copywork: Grade 5 - Lesson 6","<p>reck6eG0QiMhklIsz</p>","","","Lesson","0","FALSE"
"alveary-rectmIbzBgLlEICap","alveary-tracker-rectmIbzBgLlEICap-7-1","7","1","10m Penmanship & Copywork: Grade 5 - Lesson 7","<p>reck6eG0QiMhklIsz</p>","","","Lesson","0","FALSE"
"alveary-rectmIbzBgLlEICap","alveary-tracker-rectmIbzBgLlEICap-8-1","8","1","10m Penmanship & Copywork: Grade 5 - Lesson 8","<p>reck6eG0QiMhklIsz</p>","","","Lesson","0","FALSE"
"alveary-rectmIbzBgLlEICap","alveary-tracker-rectmIbzBgLlEICap-9-1","9","1","10m Penmanship & Copywork: Grade 5 - Lesson 9","<p>reck6eG0QiMhklIsz</p>","","","Lesson","0","FALSE"
"alveary-rectmIbzBgLlEICap","alveary-tracker-rectmIbzBgLlEICap-10-1","10","1","10m Penmanship & Copywork: Grade 5 - Lesson 10","<p>reck6eG0QiMhklIsz</p>","","","Lesson","0","FALSE"
"alveary-rectmIbzBgLlEICap","alveary-tracker-rectmIbzBgLlEICap-11-1","11","1","10m Penmanship & Copywork: Grade 5 - Lesson 11","<p>reck6eG0QiMhklIsz</p>","","","Lesson","0","FALSE"
"alveary-rectmIbzBgLlEICap","alveary-tracker-rectmIbzBgLlEICap-12-1","12","1","10m Penmanship & Copywork: Grade 5 - Lesson 12","<p>reck6eG0QiMhklIsz</p><p>Complete term exam.</p>","<p>★ Penmanship &amp; Copywork: Grade 5 — TERM 1 EXAM QUESTIONS<br>· Write 4 lines of poetry or a passage from memory in your best penmanship.</p><p>· Share your Copywork Journal with an adult.</p>","","Exam","0","FALSE"
"alveary-rectmIbzBgLlEICap","alveary-tracker-rectmIbzBgLlEICap-13-1","13","1","10m Penmanship & Copywork: Grade 5 - Lesson 13","<p>reck6eG0QiMhklIsz</p>","","","Lesson","0","FALSE"
"alveary-rectmIbzBgLlEICap","alveary-tracker-rectmIbzBgLlEICap-14-1","14","1","10m Penmanship & Copywork: Grade 5 - Lesson 14","<p>reck6eG0QiMhklIsz</p>","","","Lesson","0","FALSE"
"alveary-rectmIbzBgLlEICap","alveary-tracker-rectmIbzBgLlEICap-15-1","15","1","10m Penmanship & Copywork: Grade 5 - Lesson 15","<p>reck6eG0QiMhklIsz</p>","","","Lesson","0","FALSE"
"alveary-rectmIbzBgLlEICap","alveary-tracker-rectmIbzBgLlEICap-16-1","16","1","10m Penmanship & Copywork: Grade 5 - Lesson 16","<p>reck6eG0QiMhklIsz</p>","","","Lesson","0","FALSE"
"alveary-rectmIbzBgLlEICap","alveary-tracker-rectmIbzBgLlEICap-17-1","17","1","10m Penmanship & Copywork: Grade 5 - Lesson 17","<p>reck6eG0QiMhklIsz</p>","","","Lesson","0","FALSE"
"alveary-rectmIbzBgLlEICap","alveary-tracker-rectmIbzBgLlEICap-18-1","18","1","10m Penmanship & Copywork: Grade 5 - Lesson 18","<p>reck6eG0QiMhklIsz</p>","","","Lesson","0","FALSE"
