"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rectuoCTBBLEkwDc2","alveary-recez3JZGOYKfjw48","1","1","15m Story of Arithmetic: Part 2 - Lesson 1","<p>Multiplication: Introduction<br>⍞ Materials: Number Stories of Long Ago</p><p>➜ INTRO<br>We left off when people had learned to add and subtract pretty easily, but multiplication and division were a problem. This year, we will see how these methods were developed. We begin in the 1100s. &quot;Moor&quot; is an old word for a Muslim person from regions in southern Spain and northern Africa. We don't use it anymore.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.65-66 &quot;So you wonder&quot; - &quot;Leonardo and Johann.&quot;</p>","","","Lesson","0","FALSE"
"alveary-rectuoCTBBLEkwDc2","alveary-recahBaP7CYaN2YZE","2","1","15m Story of Arithmetic: Part 2 - Lesson 2","<p>Multiplication: Leonardo of Pisa<br>⍞ Materials: Number Stories of Long Ago</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.66-67 &quot;When Leonardo of&quot; - &quot;we are taught.&quot;</p><p>➜ PRACTICE<br>Try multiplying 36 x 5 Leonardo's way.</p>","","","Lesson","0","FALSE"
"alveary-rectuoCTBBLEkwDc2","alveary-reczCejPJiEzq7c3F","3","1","15m Story of Arithmetic: Part 2 - Lesson 3","<p>Multiplication: Tonstall and Widman<br>⍞ Materials: Number Stories of Long Ago</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ INTRO<br>Today, you will learn about two more boys and their style of multiplication.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.67-71 &quot;It was about&quot; - &quot;Leonardo and Johann.&quot;</p>","","","Lesson","0","FALSE"
"alveary-rectuoCTBBLEkwDc2","alveary-rectr0quuF0190Rii","4","1","15m Story of Arithmetic: Part 2 - Lesson 4","<p>Multiplication: The Grating Plan <br>⍞ Materials: Number Stories of Long Ago</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.71-72 &quot;I don't see&quot; - &quot;answered the Story-Teller.&quot;</p>","","","Lesson","0","FALSE"
"alveary-rectuoCTBBLEkwDc2","alveary-rec4MWUao7RoHuuAb","5","1","15m Story of Arithmetic: Part 2 - Lesson 5","<p>Practice: Cuthbert's Method<br>⍞ Materials: Number Stories of Long Ago</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ STUDY<br>Study the pictures. The problem is 934 x 314. Work it out our way, and then look again at the pictures. Can you figure out how this method works?<br>⍞ Image Resource: Number Stories of Long Ago &quot;From the First Printed Arithmetic&quot; p.70</p>","","","Lesson","0","FALSE"
"alveary-rectuoCTBBLEkwDc2","alveary-recDffU3PevZ0KEUP","6","1","15m Story of Arithmetic: Part 2 - Lesson 6","<p>Practice: The Lattice Method<br>⍞ Materials: Number Stories of Long Ago</p><p>➜ VIEW<br>∞ Video Link: Lattice Multiplication (6:12)</p><p>➜ PRACTICE<br>Look again at the pictures. Use the lattice method to multiply 934 x 314. Which of the four methods shown matches your work? Make up another problem and use the lattice method to solve it. Check your work using our method.<br>⍞ Image Resource: Number Stories of Long Ago &quot;From the First Printed Arithmetic&quot; p.70</p>","","https://planning.alveary.org/links.html?id=rectuoCTBBLEkwDc2&term=1&week=6","Lesson","0","FALSE"
"alveary-rectuoCTBBLEkwDc2","alveary-recGsTi3PYpae6QYX","7","1","15m Story of Arithmetic: Part 2 - Lesson 7","<p>Division: Scratch and Galley Methods<br>⍞ Materials: Number Stories of Long Ago</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.75-77 &quot;Since this is&quot; - &quot;learned in school.&quot;</p><p>➜ STUDY<br>Look at the image. Can you find 1728 and 12? How many times will 12 go into 17? Work the problem our way. Can you find where Filippo recorded his answer?<br>⍞ Image Resource: Number Stories of Long Ago &quot;How Filippo Proved His Work&quot; p.76</p><p>• IMPORTANT DATES<br>1st Arithmetic Bk, England (1522)<br>1st Arithmetic Bk, Mexico (1556)</p>","","","Lesson","0","FALSE"
"alveary-rectuoCTBBLEkwDc2","alveary-recyrJPMNmCavG6nl","8","1","15m Story of Arithmetic: Part 2 - Lesson 8","<p>Division: Filippo's New Method<br>⍞ Materials: Number Stories of Long Ago</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.77-80 &quot;After Filippo had&quot; - &quot;still more simple.&quot;</p>","","","Lesson","0","FALSE"
"alveary-rectuoCTBBLEkwDc2","alveary-recBzgHnwHGE4cgE6","9","1","15m Story of Arithmetic: Part 2 - Lesson 9","<p>Division: Adriaen and Michael <br>⍞ Materials: Number Stories of Long Ago</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.80 &quot;When Filippo became&quot; - &quot;two centuries later.&quot;</p><p>➜ STUDY<br>&quot;How Adriaen Divided.&quot; Can you find the 150 and the 6? How many times will 6 go into 15? [2 with 3 left over] Where did Adriaen record the 2 and the 3? Can you figure out the rest?</p>","","","Lesson","0","FALSE"
"alveary-rectuoCTBBLEkwDc2","alveary-recpFElLHG4fq2jt4","10","1","15m Story of Arithmetic: Part 2 - Lesson 10","<p>Division: Conclusion<br>⍞ Materials: Number Stories of Long Ago</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.81-82 &quot;If you had&quot; - &quot;laughed the Crowd.&quot;</p>","","","Lesson","0","FALSE"
"alveary-rectuoCTBBLEkwDc2","alveary-rec2L5ajGXZPk05H9","11","1","15m Story of Arithmetic: Part 2 - Lesson 11","<p>Practice<br>⍞ Materials: Number Stories of Long Ago</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ PRACTICE<br>How many 5's will go into 565? Solve using manipulatives first and then with long division.</p><p>➜ VIEW<br>This teacher is showing us three different algorithms for solving the same problem. An algorithm is a sort of shortcut for getting an answer without using real objects. Which do you think is easiest? Why?<br>∞ Video Link: Three Methods of Division (5:10)</p>","","https://planning.alveary.org/links.html?id=rectuoCTBBLEkwDc2&term=1&week=11","Lesson","0","FALSE"
"alveary-rectuoCTBBLEkwDc2","alveary-recRsccRPGiP7Owgc","12","1","15m Story of Arithmetic: Part 2 - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from: <br>Number Stories of Long Ago</p>","<p>★ Story of Arithmetic: Part 2 — TERM 1 EXAM QUESTIONS<br>· Number Stories of Long Ago: Tell what you know about how methods of multiplication have changed over time.</p>","","Exam","0","FALSE"
