"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recu53s9Uycrt3KdA","alveary-tracker-recu53s9Uycrt3KdA-1-1","1","1","30m Upper Spanish: Level 1 - Lesson 1","<p>recFSyey82sq8sDX4</p>","","","Lesson","0","FALSE"
"alveary-recu53s9Uycrt3KdA","alveary-tracker-recu53s9Uycrt3KdA-1-2","1","2","30m Upper Spanish: Level 1 - Lesson 2","<p>recFSyey82sq8sDX4</p>","","","Lesson","0","FALSE"
"alveary-recu53s9Uycrt3KdA","alveary-tracker-recu53s9Uycrt3KdA-1-3","1","3","30m Upper Spanish: Level 1 - Lesson 3","<p>recFSyey82sq8sDX4</p>","","","Lesson","0","FALSE"
"alveary-recu53s9Uycrt3KdA","alveary-tracker-recu53s9Uycrt3KdA-1-4","1","4","30m Upper Spanish: Level 1 - Lesson 4","<p>recFSyey82sq8sDX4</p>","","","Lesson","0","FALSE"
"alveary-recu53s9Uycrt3KdA","alveary-tracker-recu53s9Uycrt3KdA-1-5","1","5","30m Upper Spanish: Level 1 - Lesson 5","<p>recFSyey82sq8sDX4</p>","","","Lesson","0","FALSE"
"alveary-recu53s9Uycrt3KdA","alveary-tracker-recu53s9Uycrt3KdA-2-1","2","1","30m Upper Spanish: Level 1 - Lesson 6","<p>recFSyey82sq8sDX4</p>","","","Lesson","0","FALSE"
"alveary-recu53s9Uycrt3KdA","alveary-tracker-recu53s9Uycrt3KdA-2-2","2","2","30m Upper Spanish: Level 1 - Lesson 7","<p>recFSyey82sq8sDX4</p>","","","Lesson","0","FALSE"
"alveary-recu53s9Uycrt3KdA","alveary-tracker-recu53s9Uycrt3KdA-2-3","2","3","30m Upper Spanish: Level 1 - Lesson 8","<p>recFSyey82sq8sDX4</p>","","","Lesson","0","FALSE"
"alveary-recu53s9Uycrt3KdA","alveary-tracker-recu53s9Uycrt3KdA-2-4","2","4","30m Upper Spanish: Level 1 - Lesson 9","<p>recFSyey82sq8sDX4</p>","","","Lesson","0","FALSE"
"alveary-recu53s9Uycrt3KdA","alveary-tracker-recu53s9Uycrt3KdA-2-5","2","5","30m Upper Spanish: Level 1 - Lesson 10","<p>recFSyey82sq8sDX4</p>","","","Lesson","0","FALSE"
"alveary-recu53s9Uycrt3KdA","alveary-tracker-recu53s9Uycrt3KdA-3-1","3","1","30m Upper Spanish: Level 1 - Lesson 11","<p>recFSyey82sq8sDX4</p>","","","Lesson","0","FALSE"
"alveary-recu53s9Uycrt3KdA","alveary-tracker-recu53s9Uycrt3KdA-3-2","3","2","30m Upper Spanish: Level 1 - Lesson 12","<p>recFSyey82sq8sDX4</p>","","","Lesson","0","FALSE"
"alveary-recu53s9Uycrt3KdA","alveary-tracker-recu53s9Uycrt3KdA-3-3","3","3","30m Upper Spanish: Level 1 - Lesson 13","<p>recFSyey82sq8sDX4</p>","","","Lesson","0","FALSE"
"alveary-recu53s9Uycrt3KdA","alveary-tracker-recu53s9Uycrt3KdA-3-4","3","4","30m Upper Spanish: Level 1 - Lesson 14","<p>recFSyey82sq8sDX4</p>","","","Lesson","0","FALSE"
"alveary-recu53s9Uycrt3KdA","alveary-tracker-recu53s9Uycrt3KdA-3-5","3","5","30m Upper Spanish: Level 1 - Lesson 15","<p>recFSyey82sq8sDX4</p>","","","Lesson","0","FALSE"
"alveary-recu53s9Uycrt3KdA","alveary-tracker-recu53s9Uycrt3KdA-4-1","4","1","30m Upper Spanish: Level 1 - Lesson 16","<p>recFSyey82sq8sDX4</p>","","","Lesson","0","FALSE"
