"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recuH8Gbg2Zsk3YfH","alveary-tracker-recuH8Gbg2Zsk3YfH-1-1","1","1","10m Afternoon Listening - Lesson 1","<p>recvoRYe9xLxio6BM</p>","","","Lesson","0","FALSE"
"alveary-recuH8Gbg2Zsk3YfH","alveary-tracker-recuH8Gbg2Zsk3YfH-2-1","2","1","10m Afternoon Listening - Lesson 2","<p>recvoRYe9xLxio6BM</p>","","","Lesson","0","FALSE"
"alveary-recuH8Gbg2Zsk3YfH","alveary-tracker-recuH8Gbg2Zsk3YfH-3-1","3","1","10m Afternoon Listening - Lesson 3","<p>recvoRYe9xLxio6BM</p>","","","Lesson","0","FALSE"
"alveary-recuH8Gbg2Zsk3YfH","alveary-tracker-recuH8Gbg2Zsk3YfH-4-1","4","1","10m Afternoon Listening - Lesson 4","<p>recvoRYe9xLxio6BM</p>","","","Lesson","0","FALSE"
"alveary-recuH8Gbg2Zsk3YfH","alveary-tracker-recuH8Gbg2Zsk3YfH-5-1","5","1","10m Afternoon Listening - Lesson 5","<p>recvoRYe9xLxio6BM</p>","","","Lesson","0","FALSE"
"alveary-recuH8Gbg2Zsk3YfH","alveary-tracker-recuH8Gbg2Zsk3YfH-6-1","6","1","10m Afternoon Listening - Lesson 6","<p>recvoRYe9xLxio6BM</p>","","","Lesson","0","FALSE"
"alveary-recuH8Gbg2Zsk3YfH","alveary-tracker-recuH8Gbg2Zsk3YfH-7-1","7","1","10m Afternoon Listening - Lesson 7","<p>recvoRYe9xLxio6BM</p>","","","Lesson","0","FALSE"
"alveary-recuH8Gbg2Zsk3YfH","alveary-tracker-recuH8Gbg2Zsk3YfH-8-1","8","1","10m Afternoon Listening - Lesson 8","<p>recvoRYe9xLxio6BM</p>","","","Lesson","0","FALSE"
"alveary-recuH8Gbg2Zsk3YfH","alveary-tracker-recuH8Gbg2Zsk3YfH-9-1","9","1","10m Afternoon Listening - Lesson 9","<p>recvoRYe9xLxio6BM</p>","","","Lesson","0","FALSE"
"alveary-recuH8Gbg2Zsk3YfH","alveary-tracker-recuH8Gbg2Zsk3YfH-10-1","10","1","10m Afternoon Listening - Lesson 10","<p>recvoRYe9xLxio6BM</p>","","","Lesson","0","FALSE"
"alveary-recuH8Gbg2Zsk3YfH","alveary-tracker-recuH8Gbg2Zsk3YfH-11-1","11","1","10m Afternoon Listening - Lesson 11","<p>recvoRYe9xLxio6BM</p>","","","Lesson","0","FALSE"
"alveary-recuH8Gbg2Zsk3YfH","alveary-tracker-recuH8Gbg2Zsk3YfH-12-1","12","1","10m Afternoon Listening - Lesson 12","<p>recvoRYe9xLxio6BM</p><p>Complete term exam.</p>","","","Exam","0","FALSE"
"alveary-recuH8Gbg2Zsk3YfH","alveary-tracker-recuH8Gbg2Zsk3YfH-13-1","13","1","10m Afternoon Listening - Lesson 13","<p>recvoRYe9xLxio6BM</p>","","","Lesson","0","FALSE"
"alveary-recuH8Gbg2Zsk3YfH","alveary-tracker-recuH8Gbg2Zsk3YfH-14-1","14","1","10m Afternoon Listening - Lesson 14","<p>recvoRYe9xLxio6BM</p>","","","Lesson","0","FALSE"
"alveary-recuH8Gbg2Zsk3YfH","alveary-tracker-recuH8Gbg2Zsk3YfH-15-1","15","1","10m Afternoon Listening - Lesson 15","<p>recvoRYe9xLxio6BM</p>","","","Lesson","0","FALSE"
