"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recuew1Mk7TnU0fNl","alveary-recXkX6mDdqXjdhOC","1","1","15m Reading Level 1 - Lesson 1","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>The Little Red Hen<br>Lessons 1.1-1.4 this week</p><p>➜ SUPPLEMENT<br>Use one day to finish incomplete lessons, read folktales and other books, or play games from the Appendix.</p>","","","Lesson","0","FALSE"
"alveary-recuew1Mk7TnU0fNl","alveary-recw46MipraUETPU4","2","1","15m Reading Level 1 - Lesson 2","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>The Little Red Hen<br>Lessons 1.5-1.8 this week</p><p>➜ SUPPLEMENT<br>Use one day to finish incomplete lessons, read folktales and other books, or play games from the Appendix.</p>","","","Lesson","0","FALSE"
"alveary-recuew1Mk7TnU0fNl","alveary-recwFE7vcSPKVu2Ps","3","1","15m Reading Level 1 - Lesson 3","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>The Little Red Hen<br>Lessons 1.9-1.12 this week</p><p>➜ SUPPLEMENT<br>Use one day to finish incomplete lessons, read folktales and other books, or play games from the Appendix.</p>","","","Lesson","0","FALSE"
"alveary-recuew1Mk7TnU0fNl","alveary-reckU3Z1yuVuWCPfb","4","1","15m Reading Level 1 - Lesson 4","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>The Little Red Hen<br>Lessons 1.13-1.16 this week</p><p>➜ SUPPLEMENT<br>Use one day to finish incomplete lessons, read folktales and other books, or play games from the Appendix.</p>","","","Lesson","0","FALSE"
"alveary-recuew1Mk7TnU0fNl","alveary-reclFjUUhtrFtR3Io","5","1","15m Reading Level 1 - Lesson 5","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>The Little Red Hen<br>Lessons 1.17-1.20 this week</p><p>➜ SUPPLEMENT<br>Use one day to finish incomplete lessons, read folktales and other books, or play games from the Appendix.</p>","","","Lesson","0","FALSE"
"alveary-recuew1Mk7TnU0fNl","alveary-rec2RW5E8eiu1GanK","6","1","15m Reading Level 1 - Lesson 6","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>• The Little Red Hen<br>Lesson 1.21 this week</p><p>• The Gingerbread Boy<br>Lessons 2.1-2.3 this week</p><p>➜ SUPPLEMENT<br>Use one day to finish incomplete lessons, read folktales and other books, or play games from the Appendix.</p>","","","Lesson","0","FALSE"
"alveary-recuew1Mk7TnU0fNl","alveary-recN7IjViFs6zBP4e","7","1","15m Reading Level 1 - Lesson 7","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>The Gingerbread Boy<br>Lessons 2.4-2.7 this week</p><p>➜ SUPPLEMENT<br>Use one day to finish incomplete lessons, read folktales and other books, or play games from the Appendix.</p>","","","Lesson","0","FALSE"
"alveary-recuew1Mk7TnU0fNl","alveary-recoXWcpxQ56UXUsS","8","1","15m Reading Level 1 - Lesson 8","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>The Gingerbread Boy<br>Lessons 2.8-2.11 this week</p><p>➜ SUPPLEMENT<br>Use one day to finish incomplete lessons, read folktales and other books, or play games from the Appendix.</p>","","","Lesson","0","FALSE"
"alveary-recuew1Mk7TnU0fNl","alveary-recWIpC56OjHPj7Ec","9","1","15m Reading Level 1 - Lesson 9","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>• The Gingerbread Boy<br>Lessons 2.12 this week</p><p>• The Three Little Pigs<br>Lessons 3.1-3.3 this week</p><p>➜ SUPPLEMENT<br>Use one day to finish incomplete lessons, read folktales and other books, or play games from the Appendix.</p>","","","Lesson","0","FALSE"
"alveary-recuew1Mk7TnU0fNl","alveary-rec2CWir3XH6C1eOn","10","1","15m Reading Level 1 - Lesson 10","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>The Three Little Pigs<br>Lessons 3.4-3.7 this week</p><p>➜ SUPPLEMENT<br>Use one day to finish incomplete lessons, read folktales and other books, or play games from the Appendix.</p>","","","Lesson","0","FALSE"
