"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recwBiXdk77c2GcrC","alveary-rect8R6UqTA9AFUXp","1","1","20m Math Lessons: Grade 5 - Lesson 1","<p>Review AL Abacus &amp; Addition Strategies   <br>⍞ Materials: RightStart Math Level E</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 1</p>","","","Lesson","0","FALSE"
"alveary-recwBiXdk77c2GcrC","alveary-recJP306NhKz8pxrl","1","2","20m Math Lessons: Grade 5 - Lesson 2","<p>Review the Math Balance  <br>⍞ Materials: RightStart Math Level E</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 2</p>","","","Lesson","0","FALSE"
"alveary-recwBiXdk77c2GcrC","alveary-recHVYzAUB8VYmR2C","1","3","20m Math Lessons: Grade 5 - Lesson 3","<p>Review Mental Adding  <br>⍞ Materials: RightStart Math Level E</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 3</p>","","","Lesson","0","FALSE"
"alveary-recwBiXdk77c2GcrC","alveary-recEWmvpfYUXlbnYb","1","4","20m Math Lessons: Grade 5 - Lesson 4","<p>Review Subtraction Strategies  <br>⍞ Materials: RightStart Math Level E</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 4</p>","","","Lesson","0","FALSE"
"alveary-recwBiXdk77c2GcrC","alveary-reckWtUWAUnSy4rpD","1","5","20m Math Lessons: Grade 5 - Lesson 5","<p>Review Trading on Side 2 of Abacus  <br>⍞ Materials: RightStart Math Level E</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 5</p>","","","Lesson","0","FALSE"
"alveary-recwBiXdk77c2GcrC","alveary-recJwLubHHGIENZLd","2","1","20m Math Lessons: Grade 5 - Lesson 6","<p>Review Multiplication Strategies  <br>⍞ Materials: RightStart Math Level E</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 6</p>","","","Lesson","0","FALSE"
"alveary-recwBiXdk77c2GcrC","alveary-recivdQxeRLOVew0T","2","2","20m Math Lessons: Grade 5 - Lesson 7","<p>Review Division Strategies  <br>⍞ Materials: RightStart Math Level E</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 7</p>","","","Lesson","0","FALSE"
"alveary-recwBiXdk77c2GcrC","alveary-recWNoiKFKX9YQ0dQ","2","3","20m Math Lessons: Grade 5 - Lesson 8","<p>Finding Remainders  <br>⍞ Materials: RightStart Math Level E</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 8</p>","","","Lesson","0","FALSE"
"alveary-recwBiXdk77c2GcrC","alveary-recV1oeBZvtDNdZAT","2","4","20m Math Lessons: Grade 5 - Lesson 9","<p>Remainders After Dividing by 9  <br>⍞ Materials: RightStart Math Level E</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 9</p>","","","Lesson","0","FALSE"
"alveary-recwBiXdk77c2GcrC","alveary-recafpcPhzZOPuGKq","2","5","20m Math Lessons: Grade 5 - Lesson 10","<p>Catch-Up Day  <br>⍞ Materials: RightStart Math Level E</p><p>➜ CATCH UP<br>Use this time to catch up on lessons in this or another course, or explore Extra Helpings.</p>","","","Lesson","0","FALSE"
