"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recwBqOc4lmMXcM2L","alveary-rec65ExbM8fi97xLq","1","1","10m Natural History: Grade 1 - Lesson 1","<p>A Sense of Fall<br>⍞ Materials: Walks with a Naturalist 1</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Have you ever gone on a walk with a naturalist or park ranger?  If so, what was that like?  These are people who spend a LOT of time getting to know nature.  This book has been written especially for YOU by a naturalist!  Today, she is going to introduce herself and help us start to think about the upcoming season.  She'll take us on her walks all year long!</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.xi-3 &quot;Hello, readers!&quot; - &quot;go outside!&quot;<br>Read the definitions and notes at the end of each reading, as desired.</p><p>• When you think about the fall season, what do you think of?  What do you look forward to?  Have you noticed any of these signs of fall yet?</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: Fall Colors in Texas (2:08)<br>∞ Video Link: Wood Thrush Song (1:35)<br>∞ Video Link: Senses Nature Walk (6:34)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>Supplemental links for optional support are provided at the END of the lesson. They can be used at any point to help generate interest during the introduction, to enliven the lesson itself, or to add to discussion later. They are NOT required and should NOT take away from the narration and discussion. Experiment and see what works best for your student(s).</p>","https://planning.alveary.org/links.html?id=recwBqOc4lmMXcM2L&term=1&week=1","Lesson","0","FALSE"
"alveary-recwBqOc4lmMXcM2L","alveary-recSK0HpNZzUNOzkj","2","1","10m Natural History: Grade 1 - Lesson 2","<p>Shake a Bush<br>⍞ Materials: Walks with a Naturalist 1</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Look at the picture on p.4. Have you ever seen a creature like this before? What kinds of 'bugs' have you noticed? Briefly share in word or picture.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.4-6 &quot;One of my&quot; - &quot;you caught them.&quot;</p><p>• What do you think makes a leafhopper a leafhopper? What does it do? How is it made?</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: Jumping Hoppers in Slow Motion (1:44-3:23)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>It can sometimes be unnerving for students not to get an immediate answer to a question. Encourage them to sit with big questions, like the one in today's suggested discussion, while they continue to make observations.</p>","https://planning.alveary.org/links.html?id=recwBqOc4lmMXcM2L&term=1&week=2","Lesson","0","FALSE"
"alveary-recwBqOc4lmMXcM2L","alveary-recqX1actYtFtWSZs","3","1","10m Natural History: Grade 1 - Lesson 3","<p>Ants in My Plants<br>⍞ Materials: Walks with a Naturalist 1</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Draw a picture or diagram of an ant or other insect (or a partner might diagram alongside a verbal drawing). What parts do you recall?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.8-11 &quot;In 'Shake'&quot; - &quot;and differences!&quot;</p><p>• Compare the ant on p.9 to the leafhopper on p.5. How are they similar? How are they different?<br>• Add to the drawing you did before the reading or draw a new one. Can you remember the parts of an insect? (3 body segments, 6 legs)<br>• Have you noticed insects outside? What were they doing? Where were they? What made that place a good home?</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: All the Life Stages of an Ant (1:34)<br>∞ Video Link: Flying Ants Up Close (5:22)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>If students need support drawing or diagramming, the teacher may do any activities with them in tandem or act as their scribe.</p>","https://planning.alveary.org/links.html?id=recwBqOc4lmMXcM2L&term=1&week=3","Lesson","0","FALSE"
"alveary-recwBqOc4lmMXcM2L","alveary-recQci6v8ETzA1m6R","4","1","10m Natural History: Grade 1 - Lesson 4","<p>Splooting and Anting<br>⍞ Materials: Walks with a Naturalist 1</p><p>➜ INTRO<br>Recall what we read.  Tell about or draw/diagram an insect.  What parts do you recall?  Ants live with other creatures in nature.  Do you think you would like to live with ants?  Why or why not?  What do you think the bird is doing in the picture on p.13?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.13-15 &quot;I love&quot; - &quot;around them.&quot;</p><p>• Have you ever noticed animals doing funny or curious things?</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: Sploot Season (0:55)<br>∞ Video Link: Birds Bathing on an Ant Hill (2:22)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","https://planning.alveary.org/links.html?id=recwBqOc4lmMXcM2L&term=1&week=4","Lesson","0","FALSE"
"alveary-recwBqOc4lmMXcM2L","alveary-recD9QpIzxvAzKjr3","5","1","10m Natural History: Grade 1 - Lesson 5","<p>Hot Ants<br>⍞ Materials: Walks with a Naturalist 1</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Tell about our last reading.  What do you remember about insects?  Briefly share in word or picture.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.16-19 &quot;When Mike&quot; - &quot;live in?&quot;</p><p>• Have you noticed an ant's home before? Describe what you noticed.<br>• Did you know that insects could be farmers? What kinds of work have you seen ants doing?</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: Ant Farm Time Lapse (3:20)<br>∞ Video Link: Ants Farming Aphids (2:01)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>Notice that any prompt to recall or think about can be done verbally, in picture, or in any other way that suits the student(s). Apply this flexibility to all lessons.</p>","https://planning.alveary.org/links.html?id=recwBqOc4lmMXcM2L&term=1&week=5","Lesson","0","FALSE"
"alveary-recwBqOc4lmMXcM2L","alveary-recSmLDjZRbPPOdbf","6","1","10m Natural History: Grade 1 - Lesson 6","<p>Counting Bumbles<br>⍞ Materials: Walks with a Naturalist 1</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>What do you remember about our last reading? Look at the picture on p.20. Do you know who that is? We're going to read about another insect today and find out why he's in that tube. If it's an insect, what body parts does that mean it will have? (6 legs and 3 body segments: head, thorax, abdomen)</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.20-24 &quot;Did you know&quot; - &quot;nature journal.&quot;</p><p>• Bumble bees are insects just like ants and leafhoppers. Looking at the picture on p.22, how is the bumble bee different from ants and leafhoppers?</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: Bumble bees in slow motion (watch as much as you want, trying to notice the legs, body segments, and any other interesting features or behaviors)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links. Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>Supplemental links for optional support are provided at the END of the lesson. They can be used at any point to help generate interest during the introduction, to enliven the lesson itself, or to add to discussion later. They are NOT required and should NOT take away from the narration and discussion. Experiment and see what works best for your student(s).</p>","https://planning.alveary.org/links.html?id=recwBqOc4lmMXcM2L&term=1&week=6","Lesson","0","FALSE"
"alveary-recwBqOc4lmMXcM2L","alveary-rec4FCdJOSuj3ce3P","7","1","10m Natural History: Grade 1 - Lesson 7","<p>Scary Spider? No Way!<br>⍞ Materials: Walks with a Naturalist 1</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Tell me what we've been reading about. Look at the picture on p.25. Does this creature have three body segments and six legs, like the ant and bumble bee? How many body segments and how many legs does the spider have? Spiders are not insects! Have you ever watched a spider or seen a spider web before? Tell about it.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.25-28 &quot;I used to be&quot; - &quot;look like?&quot;</p><p>• What do you want to notice about the next spider web you find? Where do you think an orb weaver would make its home?</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: Orb Weavers (1:22)<br>∞ Video Link: Amazing Spider with Huge Web (3:15)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>It can sometimes be unnerving for students not to get an immediate answer to a question. Encourage them to sit with big questions, like the one in today's suggested discussion, while they continue to make observations.</p>","https://planning.alveary.org/links.html?id=recwBqOc4lmMXcM2L&term=1&week=7","Lesson","0","FALSE"
"alveary-recwBqOc4lmMXcM2L","alveary-recexwiAr1bC3RZuS","8","1","10m Natural History: Grade 1 - Lesson 8","<p>Cute Spiders?<br>⍞ Materials: Walks with a Naturalist 1</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Remind me what we read about last.  How was the garden spider we met last week different from the insects we met earlier in the book?  Let's meet another spider today.  Compare the pictures on p.27, 30.  How are the spiders similar?  How are they different?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.30-33 &quot;Do you think&quot; - &quot;your mind!&quot;</p><p>• Did you notice how some jumping spiders make their home in a leaf? Where do you think they might live outside? That place where they find food and shelter is their habitat!</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: Spider with Super Powers (4:00)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER NOTE<br>The spider in the supplemental video catches prey, which some students might find disturbing. Teachers should preview or skip this one if they have concerns.</p>","https://planning.alveary.org/links.html?id=recwBqOc4lmMXcM2L&term=1&week=8","Lesson","0","FALSE"
"alveary-recwBqOc4lmMXcM2L","alveary-recsMl78EgYx5HoUT","9","1","10m Natural History: Grade 1 - Lesson 9","<p>Chimney Swift Tornado<br>⍞ Materials: Walks with a Naturalist 1</p><p>➜ INTRO<br>What are some of the creatures we've read about this term? Where do they live and find habitat (a place with food and shelter) in the world around us? Do they ever come into your home? Do we share the same habitat as insects and spiders or are their homes separate from ours? Today we'll read about a bird whose habitat is definitely part of someone else's! Look at the picture on p.34.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.34-36 &quot;One evening&quot; - &quot;they roost?&quot;</p><p>• If our homes are part of the natural world, then the creatures in nature are our neighbors! Tell how you care for your neighbors, human or animal.</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: Chimney Swifts (0:45)<br>∞ Video Link: Portland Swift Tornado (watch as much as you like)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","https://planning.alveary.org/links.html?id=recwBqOc4lmMXcM2L&term=1&week=9","Lesson","0","FALSE"
"alveary-recwBqOc4lmMXcM2L","alveary-recyQwBX1E0i71wlI","10","1","10m Natural History: Grade 1 - Lesson 10","<p>Yard Elk<br>⍞ Materials: Walks with a Naturalist 1</p><p>➜ INTRO<br>Tell what you remember about the chimney swift. Have you noticed any bird neighbors this week? What were they doing? Have you noticed signs that they may be getting ready for a change in season? Today our naturalist friend tells us about another animal neighbor that she is getting to know.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.38-40 &quot;Today, a herd&quot; - &quot;for winter?&quot;</p><p>• How do you think animals that live outside all year round survive in very cold seasons?</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: Elk in the Ozarks (2:19)<br>∞ Video Link: Bighorn Sheep, another ruminant in a different habitat (3:20)<br>∞ Video Link: White-tailed Deer, another ruminant in a different habitat (2:32)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","https://planning.alveary.org/links.html?id=recwBqOc4lmMXcM2L&term=1&week=10","Lesson","0","FALSE"
