"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recwMzJYZwztAl4dg","alveary-recETq8hPFsVdZlLL","1","1","45m Health Elective (Beta) - Lesson 1","<p>⍞ Materials: Video links</p><p>➜ INTRO<br>Throughout this course, you'll explore a wide range of ideas about health, from traditional medicine to herbal remedies and holistic care. You’ll hear a variety of ideas, think critically about them, and decide what makes sense based on evidence and experience. The goal isn’t to all think the same way, but to engage thoughtfully, ask good questions, and learn how to make wise, informed choices.</p><p>The video in these first two lessons challenges traditional medicine as the only route to health. While Alveary does not advocate the specific stances taken or the books the speakers wrote, it is an interesting opening to discuss the role of cell health, diet, lifestyle, metabolic differences, inflammation, etc., as factors in our long-term health.</p><p>During the first lesson each week, after watching the videos or reading the articles assigned, write a narration and include your takeaways. (How will you apply what you learned to your health journey?)</p><p>➜ VIEW<br>∞ Video Link: What is Health? (Stop at 2:00.)</p><p>➜ LISTEN &amp; NARRATE<br>Listen to the first twenty minutes, record your takeaways, and discuss the following questions: <br>• How does this conversation differ from other thoughts you've heard on this subject? <br>• What parts do you agree or disagree with? <br>• What is the balance between the roles of traditional medicine and holistic medicine?<br>∞ Video Link: Dr. Josh Axe: Is the Healthcare System Designed to Keep You Sick? (51:56)</p>","","https://planning.alveary.org/links.html?id=recwMzJYZwztAl4dg&term=1&week=1","Lesson","0","FALSE"
"alveary-recwMzJYZwztAl4dg","alveary-recw2aBi8IGDeu6xc","1","2","45m Health Elective (Beta) - Lesson 2","<p>⍞ Materials: A Simply Healthy Life</p><p>➜ INTRO<br>During the second lesson each week, after reading the assignment for A Simply Healthy Life, write a narration and include your takeaways.  (How will you apply what you learned to your health journey?) Each chapter presents challenges to help you on your health journey. You won't be able to do one each week, but I highly encourage you to choose one to complete and journal your results at some point in the term.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.1 &quot;Changing Your Life for Good&quot;</p><p>• Notice the quotes at the beginning of each chapter…do any resonate with you? Consider adding them to your commonplace book.<br>• Do you have a goal you're working towards? If you do, complete the High-Yield Habit Exercise (write this in your health notebook). If you don't have a big goal you’re working towards right now, choose 1 of the Habit Challenges to complete. Keep track of your habit over the next term with a habit tracker that you can put into your health journal (this can be as simple or as complicated as you want … just search “habit trackers” to see some examples…there are even free apps to track your habits!).</p>","","","Lesson","0","FALSE"
"alveary-recwMzJYZwztAl4dg","alveary-recwZCy9ZF8iHbhJF","1","3","45m Health Elective (Beta) - Lesson 3","<p>⍞ Materials: Body Into Balance</p><p>➜ INTRO        <br>The third lesson each week will include additional reflection questions to help you make connections between the material you read/watch and your health journey. We will also use the third lesson each week to cover the book Body Into Balance, where you’ll be introduced to herbal medicine. Looking for additional herbal resource books? Consider Rosemary Gladstar’s Medicinal Herbs: A Beginner’s Guide, or Rosalee de la Foret’s Alchemy of Herbs. Looking for a historically scientific peek into American herbal medicine? Consider American Eden: David Hosack, Botany, and Medicine in the Garden of the Early Republic by Victoria Johnson.</p><p>➜ NOTEBOOK<br>What’s your definition of health? What is one bad habit you’d like to break? Is there a good habit you could replace the bad habit with that would fulfill the same reward or desire?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Introduction</p><p>• Add the 4 Safety Rules for Using Herbs to your health notebook.</p>","","","Lesson","0","FALSE"
"alveary-recwMzJYZwztAl4dg","alveary-recArgXtkn6lAcsGq","2","1","45m Health Elective (Beta) - Lesson 4","<p>⍞ Materials: Video link</p><p>➜ LISTEN &amp; NARRATE<br>Listen to the rest of the session, record your takeaways, and continue to discuss the following questions:<br>• How does this conversation differ from other thoughts you've heard on this subject? <br>• What parts do you agree or disagree with? <br>• What is the balance between the roles of traditional medicine and holistic medicine?<br>∞ Video Link: Dr. Josh Axe: Is the Healthcare System Designed to Keep You Sick? (51:56)</p>","","https://planning.alveary.org/links.html?id=recwMzJYZwztAl4dg&term=1&week=2","Lesson","0","FALSE"
"alveary-recwMzJYZwztAl4dg","alveary-recEnIsNhrJXz53vY","2","2","45m Health Elective (Beta) - Lesson 5","<p>⍞ Materials: A Simply Healthy Life</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.3 &quot;Move Hard, Sleep Hard&quot;</p><p>• Consider choosing a Move Hard, Sleep Hard Challenge. Be sure to journal your journey in your health notebook.</p>","","","Lesson","0","FALSE"
"alveary-recwMzJYZwztAl4dg","alveary-recho6eBvGsey0FiC","2","3","45m Health Elective (Beta) - Lesson 6","<p>⍞ Materials: Body Into Balance</p><p>➜ NOTEBOOK<br>Tell about some of the ways Dr. Casey Means gives on how to build good energy in your cells. How do you rate your sleep on a scale of 1 to 10 (1 being very little sleep and 10 being fully rested)? What are some ways you can improve your sleep hygiene?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.21-29</p><p>• Describe the foundations of good health.</p>","","","Lesson","0","FALSE"
"alveary-recwMzJYZwztAl4dg","alveary-recsKLw6nFyzgwNG0","3","1","45m Health Elective (Beta) - Lesson 7","<p>⍞ Materials: Audio link</p><p>➜ LISTEN &amp; NARRATE<br>∞ Audio Link: Wellness Mama Podcast: Your Brain on Food (25:19)</p><p>➜ NOTE        <br>A transcript is also available if you have trouble understanding anything Dr. Naidoo says.</p>","","https://planning.alveary.org/links.html?id=recwMzJYZwztAl4dg&term=1&week=3","Lesson","0","FALSE"
"alveary-recwMzJYZwztAl4dg","alveary-recvq9KxlGssYzNL4","3","2","45m Health Elective (Beta) - Lesson 8","<p>⍞ Materials: A Simply Healthy Life</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.4 &quot;The Path to Optimal Functioning&quot;</p><p>• Consider choosing a Detox Challenge, and be sure to journal about it in your health notebook.</p>","","","Lesson","0","FALSE"
"alveary-recwMzJYZwztAl4dg","alveary-reczUvFRVVp6FPue1","3","3","45m Health Elective (Beta) - Lesson 9","<p>⍞ Materials: Body Into Balance</p><p>➜ NOTEBOOK<br>How does food impact our mental health?</p><p>➜ ACTIVITY<br>Take inventory of your personal care products. Which ones might you choose to investigate or gradually swap out? Come up with a plan!</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.31<br>As we now get into specific herbs, you may either choose to read about all of the herbs presented, or you may choose one herb to read more about. The assignments all assume that you’re going to choose one to learn more about, but don’t limit yourself! You also will not be assigned the reading on Protocol Points, but if you see something that applies to your health journey, feel free to follow that detour!</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Choose one nutritive herb (p.33-41) to read about and record what you learned in your health notebook. (You can even treat this assignment as a nature study reflection…draw the plant, label it, and record what it can be used for.)</p>","","","Lesson","0","FALSE"
"alveary-recwMzJYZwztAl4dg","alveary-recrPlqo2tFGY0N2p","4","1","45m Health Elective (Beta) - Lesson 10","<p>⍞ Materials: Audio Link</p><p>➜ LISTEN &amp; NARRATE<br>∞ Audio Link: Wellness Mama Podcast: How to Build Nutritional Habits that Stick (4:50-39:41)</p>","","https://planning.alveary.org/links.html?id=recwMzJYZwztAl4dg&term=1&week=4","Lesson","0","FALSE"
"alveary-recwMzJYZwztAl4dg","alveary-rec1wMOQH4t6zgZDH","4","2","45m Health Elective (Beta) - Lesson 11","<p>⍞ Materials: A Simply Healthy Life</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.5 &quot;Healthy Home&quot;</p><p>➜ ACTIVITY<br>Make a DIY home cleaning product (see p.93-94) and try using it!</p>","","","Lesson","0","FALSE"
"alveary-recwMzJYZwztAl4dg","alveary-recJdsVjUySYFYNu0","4","3","45m Health Elective (Beta) - Lesson 12","<p>⍞ Materials: Body Into Balance, link</p><p>➜ READ<br>After listening to Dr. Uma Naidoo, pop over to her website and take a look at foods that support mood. <br>∞ Link: Foods That Support Mood</p><p>➜ NOTEBOOK<br>What are some foods from the list that you could incorporate into your diet?</p><p>➜ ACTIVITY<br>Take inventory of your current household cleaning products. Are there any you’d like to investigate or swap out?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.44-46</p><p>• Choose a calming adaptogen (p.53) to read about and record what you learned in your health notebook.</p>","","https://planning.alveary.org/links.html?id=recwMzJYZwztAl4dg&term=1&week=4","Lesson","0","FALSE"
"alveary-recwMzJYZwztAl4dg","alveary-recBflDVfrN6ZWKIK","5","1","45m Health Elective (Beta) - Lesson 13","<p>⍞ Materials: Video links</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: The Body Keeps the Score (9 min.)<br>∞ Video Link: How Repressed Emotions Make Us Sick (4:19)<br>∞ Video Link: 12 Traits of Emotionally Intelligent People (11:54)</p>","","https://planning.alveary.org/links.html?id=recwMzJYZwztAl4dg&term=1&week=5","Lesson","0","FALSE"
"alveary-recwMzJYZwztAl4dg","alveary-recFWfVxm7A5GkPvr","5","2","45m Health Elective (Beta) - Lesson 14","<p>⍞ Materials: A Simply Healthy Life</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.6 &quot;Sacred Simplicity&quot; p.99-107, 120-121</p><p>• Consider doing the Intermediate Challenge and record your reflections.</p>","","","Lesson","0","FALSE"
"alveary-recwMzJYZwztAl4dg","alveary-recRYNyAs6BImyDLm","5","3","45m Health Elective (Beta) - Lesson 15","<p>⍞ Materials: Body Into Balance</p><p>➜ NOTEBOOK<br>Daniel Goleman says that emotional intelligence can change (neuroplasticity, habit change!).<br>• Which of the 4 domains would you like to work on improving?<br>• What are your top two personal values that will help you know what to say &quot;yes&quot; to?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.56, 67</p><p>• Choose a gently calming and uplifting nervine (see p.57-59) to read about and record what you learned in your health notebook.</p>","","","Lesson","0","FALSE"
"alveary-recwMzJYZwztAl4dg","alveary-recfAUx58JAtFQ9kc","6","1","45m Health Elective (Beta) - Lesson 16","<p>⍞ Materials: Video links</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: After Skool: Use Your Thoughts to Optimize Your Health (10:44)<br>∞ Video Link: After Skool: The Optimal Morning Routine (16:29)</p>","","https://planning.alveary.org/links.html?id=recwMzJYZwztAl4dg&term=1&week=6","Lesson","0","FALSE"
