"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recwj6JYRXeWi4YSl","alveary-recJkya708BkvP4sB","1","1","15m Mythology: Grade 2 - Lesson 1","<p>Welcome to Tanglewood<br>⍞ Materials: A Wonder Book for Girls and Boys</p><p>➜ INTRO<br>This is a book of imaginary stories from the ancient world before some men knew of the true God.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Tanglewood Porch&quot; p.1-4 &quot;Beneath the porch&quot; - &quot;the next spring.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons. If an alternative to watercolor is needed, students may illustrate using another medium with which they are comfortable (e.g. pencil, chalk, finger paint, Lego, puppets, etc)</p>","","","Lesson","0","FALSE"
"alveary-recwj6JYRXeWi4YSl","alveary-reczhxnwzczx2uhHu","2","1","15m Mythology: Grade 2 - Lesson 2","<p>Meet Eustace Bright <br>⍞ Materials: A Wonder Book for Girls and Boys</p><p>➜ READ, NARRATE, &amp; DISCUSS<br> &quot;Tanglewood Porch&quot; p.4-6 &quot;Now, Eustace Bright&quot; - &quot;to do so.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","<p>★ TEACHER TIP<br>If you haven't planned for a Community Read Aloud yet, consider adding it to your gathering, meal time, or as a way to lighten the burden of chores! You can find suggestions in Quick Links.</p>","","Lesson","0","FALSE"
"alveary-recwj6JYRXeWi4YSl","alveary-recIwtavCzIPpCMVI","3","1","15m Mythology: Grade 2 - Lesson 3","<p>Meet Perseus<br>⍞ Materials: A Wonder Book for Girls and Boys</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The Gorgon's Head&quot; p.7-10 &quot;Perseus was the&quot; - &quot;sting him soundly.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recwj6JYRXeWi4YSl","alveary-recZLnC9JIMD4U88r","4","1","15m Mythology: Grade 2 - Lesson 4","<p>Three Gorgons<br>⍞ Materials: A Wonder Book for Girls and Boys</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The Gorgon's Head&quot; p.10-12 &quot;Now, there were&quot; - &quot;from shedding tears.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recwj6JYRXeWi4YSl","alveary-recZV1225LgSrJT1h","5","1","15m Mythology: Grade 2 - Lesson 5","<p>Quicksilver <br>⍞ Materials: A Wonder Book for Girls and Boys</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The Gorgon's Head&quot; p.12-15 &quot;But, while he&quot; - &quot;had before worn.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","<p>★ TEACHER TIP<br>You can find suggestions for Community Read Alouds in Quick Links.</p>","","Lesson","0","FALSE"
"alveary-recwj6JYRXeWi4YSl","alveary-recNAjtBrgETA0UXl","6","1","15m Mythology: Grade 2 - Lesson 6","<p>The Staff<br>⍞ Materials: A Wonder Book for Girls and Boys</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The Gorgon's Head&quot; p.15-17 &quot;No sword but&quot; - &quot;meet her soon?&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recwj6JYRXeWi4YSl","alveary-recnKefRESsusDfG7","7","1","15m Mythology: Grade 2 - Lesson 7","<p>Three Gray Women<br>⍞ Materials: A Wonder Book for Girls and Boys</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The Gorgon's Head&quot; p.17-20 &quot;All at the&quot; - &quot;that single one.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recwj6JYRXeWi4YSl","alveary-rec8QQ84XSuD2usNN","8","1","15m Mythology: Grade 2 - Lesson 8","<p>The Eye<br>⍞ Materials: A Wonder Book for Girls and Boys</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The Gorgon's Head&quot; p.20-22 &quot;Thus the three&quot; - &quot;us our eye!&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recwj6JYRXeWi4YSl","alveary-rechTD6W2u3JfFM0v","9","1","15m Mythology: Grade 2 - Lesson 9","<p>The Nymphs<br>⍞ Materials: A Wonder Book for Girls and Boys</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The Gorgon's Head&quot; p.22-26 &quot;Tell them, whispered&quot; - &quot;it at once.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recwj6JYRXeWi4YSl","alveary-rec4FtzJL9DlCL5S4","10","1","15m Mythology: Grade 2 - Lesson 10","<p>The Invisible Helmet <br>⍞ Materials: A Wonder Book for Girls and Boys</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The Gorgon's Head&quot; p.26-29 &quot;Quicksilver and Perseus&quot; - &quot;like a bird.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
