"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-1-1","1","1","30m Upper French: Level 4 - Lesson 1","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-1-2","1","2","30m Upper French: Level 4 - Lesson 2","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-1-3","1","3","30m Upper French: Level 4 - Lesson 3","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-1-4","1","4","30m Upper French: Level 4 - Lesson 4","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-1-5","1","5","30m Upper French: Level 4 - Lesson 5","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-2-1","2","1","30m Upper French: Level 4 - Lesson 6","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-2-2","2","2","30m Upper French: Level 4 - Lesson 7","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-2-3","2","3","30m Upper French: Level 4 - Lesson 8","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-2-4","2","4","30m Upper French: Level 4 - Lesson 9","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-2-5","2","5","30m Upper French: Level 4 - Lesson 10","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-3-1","3","1","30m Upper French: Level 4 - Lesson 11","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-3-2","3","2","30m Upper French: Level 4 - Lesson 12","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-3-3","3","3","30m Upper French: Level 4 - Lesson 13","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-3-4","3","4","30m Upper French: Level 4 - Lesson 14","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-3-5","3","5","30m Upper French: Level 4 - Lesson 15","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-4-1","4","1","30m Upper French: Level 4 - Lesson 16","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-4-2","4","2","30m Upper French: Level 4 - Lesson 17","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-4-3","4","3","30m Upper French: Level 4 - Lesson 18","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-4-4","4","4","30m Upper French: Level 4 - Lesson 19","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-4-5","4","5","30m Upper French: Level 4 - Lesson 20","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-5-1","5","1","30m Upper French: Level 4 - Lesson 21","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-5-2","5","2","30m Upper French: Level 4 - Lesson 22","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-5-3","5","3","30m Upper French: Level 4 - Lesson 23","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
"alveary-recwpdzlEG9loZ8x4","alveary-tracker-recwpdzlEG9loZ8x4-5-4","5","4","30m Upper French: Level 4 - Lesson 24","<p>recbeWbJmXE4AGQEx</p>","","","Lesson","0","FALSE"
