"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recxMAY3xEsktGbSP","alveary-recKM0AJt754oUmBF","1","1","45m Sloyd: Level 6 - Lesson 1","<p>Cardboard Work Model 1 Pair of Steps<br>⍞ Materials: Sloyd by Schwartz, paper, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife</p><p>➜ VIEW<br>Photo of model and tutorial. Visualize steps to work the model.<br>∞ Image &amp; Video Link: Pair of Steps</p><p>➜ PRACTICE<br>Work on the model. Create first on paper then transfer to cardboard. Read and demonstrate instructions one step at a time.<br>Cardboard Work: 3-D Geometric Shapes &quot;No.10: Pair of Steps&quot; p.53-54<br>Find a creative way to use your finished model. Create another one out of different materials, scaling your work either up or down by changing the measurements.</p>","","https://planning.alveary.org/links.html?id=recxMAY3xEsktGbSP&term=1&week=1","Lesson","0","FALSE"
"alveary-recxMAY3xEsktGbSP","alveary-rec7YMqm0JzvwYGCQ","2","1","45m Sloyd: Level 6 - Lesson 2","<p>Cardboard Work Model 1 Pair of Steps<br>⍞ Materials: Sloyd by Schwartz, paper, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife</p><p>➜ VIEW<br>Photo of model and tutorial. Visualize steps to work the model.<br>∞ Image &amp; Video Link: Pair of Steps</p><p>➜ PRACTICE<br>Work on the model. Create first on paper then transfer to cardboard. Read and demonstrate instructions one step at a time.<br>Cardboard Work: 3-D Geometric Shapes &quot;No.10: Pair of Steps&quot; p.53-54<br>Find a creative way to use your finished model. Create another one out of different materials, scaling your work either up or down by changing the measurements.</p>","","https://planning.alveary.org/links.html?id=recxMAY3xEsktGbSP&term=1&week=2","Lesson","0","FALSE"
"alveary-recxMAY3xEsktGbSP","alveary-recNoea2vh1y1SGs9","3","1","45m Sloyd: Level 6 - Lesson 3","<p>Cardboard Work Model 1 Pair of Steps<br>⍞ Materials: Sloyd by Schwartz, paper, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife</p><p>➜ VIEW<br>Photo of model and tutorial. Visualize steps to work the model.<br>∞ Image &amp; Video Link: Pair of Steps</p><p>➜ PRACTICE<br>Work on the model. Create first on paper then transfer to cardboard. Read and demonstrate instructions one step at a time.<br>Cardboard Work: 3-D Geometric Shapes &quot;No.10: Pair of Steps&quot; p.53-54<br>Find a creative way to use your finished model. Create another one out of different materials, scaling your work either up or down by changing the measurements.</p>","","https://planning.alveary.org/links.html?id=recxMAY3xEsktGbSP&term=1&week=3","Lesson","0","FALSE"
"alveary-recxMAY3xEsktGbSP","alveary-recDAO0J2E6QbwDjs","4","1","45m Sloyd: Level 6 - Lesson 4","<p>Cardboard Work Model 1 Pair of Steps<br>⍞ Materials: Sloyd by Schwartz, paper, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife</p><p>➜ VIEW<br>Photo of model and tutorial. Visualize steps to work the model.<br>∞ Image &amp; Video Link: Pair of Steps</p><p>➜ PRACTICE<br>Work on the model. Create first on paper then transfer to cardboard. Read and demonstrate instructions one step at a time.<br>Cardboard Work: 3-D Geometric Shapes &quot;No.10: Pair of Steps&quot; p.53-54<br>Find a creative way to use your finished model. Create another one out of different materials, scaling your work either up or down by changing the measurements.</p>","","https://planning.alveary.org/links.html?id=recxMAY3xEsktGbSP&term=1&week=4","Lesson","0","FALSE"
"alveary-recxMAY3xEsktGbSP","alveary-recNnbVCtMn50VI9z","5","1","45m Sloyd: Level 6 - Lesson 5","<p>Cardboard Work Model 2 Pentagonal Prism<br>⍞ Materials: Sloyd by Schwartz, paper, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife, compass</p><p>➜ VIEW<br>Photo of model and tutorial. Visualize steps to work the model.<br>∞ Image &amp; Video Link: Pentagonal Prism</p><p>➜ PRACTICE<br>Work on the model. Create first on paper then transfer to cardboard. Read and demonstrate instructions one step at a time.<br>Cardboard Work: 3-D Geometric Shapes &quot;No.11: Pentagonal Prism&quot; p.55-57<br>Find a creative way to use your finished model. Create another one out of different materials, scaling your work either up or down by changing the measurements.</p>","","https://planning.alveary.org/links.html?id=recxMAY3xEsktGbSP&term=1&week=5","Lesson","0","FALSE"
"alveary-recxMAY3xEsktGbSP","alveary-recqEnLbK8bZoZyIU","6","1","45m Sloyd: Level 6 - Lesson 6","<p>Cardboard Work Model 2 Pentagonal Prism<br>⍞ Materials: Sloyd by Schwartz, paper, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife, compass</p><p>➜ VIEW<br>Photo of model and tutorial. Visualize steps to work the model.<br>∞ Image &amp; Video Link: Pentagonal Prism</p><p>➜ PRACTICE<br>Work on the model. Create first on paper then transfer to cardboard. Read and demonstrate instructions one step at a time.<br>Cardboard Work: 3-D Geometric Shapes &quot;No.11: Pentagonal Prism&quot; p.55-57<br>Find a creative way to use your finished model. Create another one out of different materials, scaling your work either up or down by changing the measurements.</p>","","https://planning.alveary.org/links.html?id=recxMAY3xEsktGbSP&term=1&week=6","Lesson","0","FALSE"
"alveary-recxMAY3xEsktGbSP","alveary-recIrD5CPwDoIlxJp","7","1","45m Sloyd: Level 6 - Lesson 7","<p>Cardboard Work Model 2 Pentagonal Prism<br>⍞ Materials: Sloyd by Schwartz, paper, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife, compass</p><p>➜ VIEW<br>Photo of model and tutorial. Visualize steps to work the model.<br>∞ Image &amp; Video Link: Pentagonal Prism</p><p>➜ PRACTICE<br>Work on the model. Create first on paper then transfer to cardboard. Read and demonstrate instructions one step at a time.<br>Cardboard Work: 3-D Geometric Shapes &quot;No.11: Pentagonal Prism&quot; p.55-57<br>Find a creative way to use your finished model. Create another one out of different materials, scaling your work either up or down by changing the measurements.</p>","","https://planning.alveary.org/links.html?id=recxMAY3xEsktGbSP&term=1&week=7","Lesson","0","FALSE"
"alveary-recxMAY3xEsktGbSP","alveary-recB5MLXeIT02D8lL","8","1","45m Sloyd: Level 6 - Lesson 8","<p>Cardboard Work Model 2 Pentagonal Prism<br>⍞ Materials: Sloyd by Schwartz, paper, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife, compass</p><p>➜ VIEW<br>Photo of model and tutorial. Visualize steps to work the model.<br>∞ Image &amp; Video Link: Pentagonal Prism</p><p>➜ PRACTICE<br>Work on the model. Create first on paper then transfer to cardboard. Read and demonstrate instructions one step at a time.<br>Cardboard Work: 3-D Geometric Shapes &quot;No.11: Pentagonal Prism&quot; p.55-57<br>Find a creative way to use your finished model. Create another one out of different materials, scaling your work either up or down by changing the measurements.</p>","","https://planning.alveary.org/links.html?id=recxMAY3xEsktGbSP&term=1&week=8","Lesson","0","FALSE"
"alveary-recxMAY3xEsktGbSP","alveary-recwSzFsGHkLFrB3O","9","1","45m Sloyd: Level 6 - Lesson 9","<p>Cardboard Work Model 3 Pentagonal Pyramid<br>⍞ Materials: Sloyd by Schwartz, paper, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife, compass</p><p>➜ VIEW<br>Photo of model and tutorial. Visualize steps to work the model.<br>∞ Image &amp; Video Link: Pentagonal Pyramid</p><p>➜ PRACTICE<br>Work on the model. Create first on paper then transfer to cardboard. Read and demonstrate instructions one step at a time.<br>Cardboard Work: 3-D Geometric Shapes &quot;No.12: Pentagonal Pyramid&quot; p.58-59<br>Find a creative way to use your finished model. Create another one out of different materials, scaling your work either up or down by changing the measurements.</p>","","https://planning.alveary.org/links.html?id=recxMAY3xEsktGbSP&term=1&week=9","Lesson","0","FALSE"
"alveary-recxMAY3xEsktGbSP","alveary-recfY5I9GEU8zLxD3","10","1","45m Sloyd: Level 6 - Lesson 10","<p>Cardboard Work Model 3 Pentagonal Pyramid<br>⍞ Materials: Sloyd by Schwartz, paper, chipboard, ruler, pencil, scissors, tape, awl, bone (optional), X-Acto knife, compass</p><p>➜ VIEW<br>Photo of model and tutorial. Visualize steps to work the model.<br>∞ Image &amp; Video Link: Pentagonal Pyramid</p><p>➜ PRACTICE<br>Work on the model. Create first on paper then transfer to cardboard. Read and demonstrate instructions one step at a time.<br>Cardboard Work: 3-D Geometric Shapes &quot;No.12: Pentagonal Pyramid&quot; p.58-59<br>Find a creative way to use your finished model. Create another one out of different materials, scaling your work either up or down by changing the measurements.</p>","","https://planning.alveary.org/links.html?id=recxMAY3xEsktGbSP&term=1&week=10","Lesson","0","FALSE"
