"course_custom_id","syllabird_status","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recxTqmYbsfzqrSFv","Needs Updated Import","alveary-recG8Im2536SDynDH","1","1","40m Geography: Grade 10-11 - Lesson 1","<p>⍞ Materials: Across This Land, blank map, notebook</p><p>➜ INTRO<br>Across This Land is a regional study of the United States and Canada. The author's purpose is to tell the story of the people who have lived in each region, including what the region is like and how they have interacted with the land over time. This book will be read over three years.  In 10th grade, you will read Ch.1-10, in 11th grade, you will read Ch.11-18, and in 12th grade, you will read Ch.19-27.  If you are new to the Alveary and in 11th or 12th grade, you can start at the beginning of the book, or you can start in the middle and follow the plans for your grade. There will be video links listed under Extra Helpings to help you &quot;see&quot; the region and bring the reading to life. Enjoy your travels!</p><p>➜ PREP<br>• Sketch or print a blank map of North America (10th), or find your map from last year (11th)<br>∞ Map Link: Blank Map<br>• Copy Map P1 on p.xvi from the Preface into your notebook. (10th)</p><p>➜ READ &amp; NARRATE<br>Read about 15 pages a week.  (11th graders should pick up from where you left off at the end of last school year)<br>As this book has a lot of detail, stop at various times throughout the reading and narrate briefly to yourself what you just read.</p><p>➜ MAP WORK<br>Think through the whole reading and decide what details to add to your map. Create one map, adding interesting details from each reading as you go along.</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• EXTRA HELPING<br>∞ Video Link: Chasing the Capelin (10th)<br>∞ Video Link: Everglades (11th)</p>","","https://planning.alveary.org/links.html?id=recxTqmYbsfzqrSFv&term=1&week=1","Lesson","0","FALSE"
"alveary-recxTqmYbsfzqrSFv","Needs Updated Import","alveary-rec7t6ED7vrPR0Gnu","1","2","40m Geography: Grade 10-11 - Lesson 2","<p>Genesis of a Dream<br>⍞ Materials: Five Months on the Missouri River, notebook</p><p>➜ INTRO<br>This book started from a series of weekly newspaper columns Elpel wrote as the expedition progressed in 2019. Travel along with Lewis and Clark, who first went up the river, and the modern crew as they explore down the Missouri River!</p><p>➜ READ &amp; NARRATE<br>Ch.1 Genesis of a Dream<br>Narrate silently, which means to go over in your mind what you read. Or, if it is easier, talk quietly to yourself if your setting allows. You are narrating to yourself instead of in writing or orally.  Start at the beginning and ask yourself what came next until you have gone over the chapter.  It may seem strange at first, but you will quickly get used to it. This allows you time to do other things in the lesson, such as mapwork or reflection writing.</p><p>➜ WRITE &amp; DISCUSS (if time and setting allow)<br>Compose 5 reflections about the chapter, or choose from one of these questions:<br>• How do you think the act of making a tool by hand (like carving a canoe) changes your relationship to the journey it enables?<br>• Churchill Clark participated in building a canoe that echoed his ancestor's journey. What does it mean to carry family history in your hands literally? What do we owe to those who came before us? What skills, abilities, or knowledge do you have that have been handed down to you?</p><p>➜ VIEW<br>∞ Video Link: Carving the Canoe <br>Watch what you have time for now and finish later if desired.</p>","","https://planning.alveary.org/links.html?id=recxTqmYbsfzqrSFv&term=1&week=1","Lesson","0","FALSE"
"alveary-recxTqmYbsfzqrSFv","Needs Updated Import","alveary-recvxGjENm0t61Jw8","2","1","40m Geography: Grade 10-11 - Lesson 3","<p>⍞ Materials: Across This Land, map, notebook</p><p>➜ READ &amp; NARRATE<br>Across This Land ~15 pages<br>Focus your narrations on what is unique or stands out to you about the people, history, or resources in the region you are reading about today, as that will help you in deciding what to add to your map.</p><p>➜ MAP WORK<br>Add to your map.</p><p>➜ EXTRA HELPING <br>If interested, or find your own:<br>∞ Video Link: Canadian Geography (10th)<br>∞ Video Link: Fur Trade (10th)<br>∞ Video Link: Seaports of the Gulf Coast (11th)</p>","","https://planning.alveary.org/links.html?id=recxTqmYbsfzqrSFv&term=1&week=2","Lesson","0","FALSE"
"alveary-recxTqmYbsfzqrSFv","Needs Updated Import","alveary-recIi0nq3I1whGOAm","2","2","40m Geography: Grade 10-11 - Lesson 4","<p>The Journey Begins<br>⍞ Materials: Five Months on the Missouri River, notebook</p><p>➜ READ &amp; NARRATE <br>Ch.2 The Journey Begins<br>Narrate silently to yourself.</p><p>➜ MAP WORK<br>Roughly copy by hand the map on p.12 into your notebook to orient you to the adventures ahead and to refer back to as you read. Sketch a series of more zoomed-in maps as you travel down the river to add places, items of interest, or events that happen in each chapter.</p><p>➜ RESEARCH<br>If you have time left in the lesson, research something interesting in the chapter that you want to know more about, such as wild foraging in your area or maybe Thomas P. Howard, a member of the original expedition. See the link below for information about Howard and to read more about the Lewis and Clark Expedition.<br>∞ Website Link: Thomas Howard</p>","","https://planning.alveary.org/links.html?id=recxTqmYbsfzqrSFv&term=1&week=2","Lesson","0","FALSE"
"alveary-recxTqmYbsfzqrSFv","Needs Updated Import","alveary-rectMhobqHBUlEsjz","3","1","40m Geography: Grade 10-11 - Lesson 5","<p>⍞ Materials: Across This Land, map, notebook</p><p>➜ READ &amp; NARRATE<br> Across This Land ~15 pages</p><p>➜ MAP WORK<br>Add to your map.</p><p>➜ EXTRA HELPING <br>If interested, or find your own:<br>∞ Video Link: All in a Day's Work: Lumbering in NB (10th)<br>∞ Video Link: History of Engineering Old River (11th)</p>","","https://planning.alveary.org/links.html?id=recxTqmYbsfzqrSFv&term=1&week=3","Lesson","0","FALSE"
"alveary-recxTqmYbsfzqrSFv","Needs Updated Import","alveary-recYGIHsWqXSGZlVq","3","2","40m Geography: Grade 10-11 - Lesson 6","<p>Botanizing the River<br>⍞ Materials: Five Months on the Missouri River, notebook</p><p>➜ READ &amp; NARRATE<br>Ch.3 Botanizing the River<br>Narrate silently to yourself.</p><p>➜ WRITE <br>Discuss Elpel's quote on p.19, &quot;We yearn to connect with nature, and not knowing how to do that, we treat nature as an adversary more than a dance partner. We pit human endurance against nature and seek to overcome her. We bask in the glory of our accomplishment while missing nearly everything along the way.&quot; How does developing a relationship with nature via nature study, nature walks, and nature journalling play into the discussion?</p><p>➜ MAP WORK<br>Add places or items of interest to your map.</p>","","","Lesson","0","FALSE"
"alveary-recxTqmYbsfzqrSFv","Needs Updated Import","alveary-recA65qFzPOKimQzt","4","1","40m Geography: Grade 10-11 - Lesson 7","<p>⍞ Materials: Across This Land, map, notebook</p><p>➜ READ &amp; NARRATE<br>Across This Land ~15 pages</p><p>➜ MAP WORK<br>Add to your map.</p><p>➜ EXTRA HELPING <br>If interested, or find your own:<br>∞ Video Link: Massachusetts Mill Workers (10th)<br>∞ Video Link: King Corn (11th)</p>","","https://planning.alveary.org/links.html?id=recxTqmYbsfzqrSFv&term=1&week=4","Lesson","0","FALSE"
"alveary-recxTqmYbsfzqrSFv","Needs Updated Import","alveary-recrvRGeUGhliPICg","4","2","40m Geography: Grade 10-11 - Lesson 8","<p>Wind Faeries<br>⍞ Materials: Five Months on the Missouri River, notebook</p><p>➜ READ &amp; NARRATE<br>Ch.4 Wind Faeries</p><p>➜ WRITE: <br>The Missouri has been radically transformed — dammed, channelized, diked. Is this river still &quot;the Missouri&quot;? What makes a river a river?</p><p>➜ MAP WORK<br>Add places or items of interest to your map.</p>","","","Lesson","0","FALSE"
"alveary-recxTqmYbsfzqrSFv","Needs Updated Import","alveary-recLTLc04Cm6oE2Ch","5","1","40m Geography: Grade 10-11 - Lesson 9","<p>⍞ Materials: Across This Land, map, notebook</p><p>➜ READ &amp; NARRATE<br>Across This Land ~15 pages</p><p>➜ MAP WORK<br>Add to your map.</p><p>➜ EXTRA HELPING <br>If interested, or find your own:<br>∞ Video Link: 200 Years on the Erie Canal (10th)<br>∞ Video Link: The Loess Hills (11th)</p>","","https://planning.alveary.org/links.html?id=recxTqmYbsfzqrSFv&term=1&week=5","Lesson","0","FALSE"
"alveary-recxTqmYbsfzqrSFv","Needs Updated Import","alveary-rec1u8HKZwROLRiIS","5","2","40m Geography: Grade 10-11 - Lesson 10","<p>Gates of the Prairie<br>⍞ Materials: Five Months on the Missouri River, notebook</p><p>➜ READ &amp; NARRATE <br>Ch.5 Gates of the Prairie</p><p>➜ READ<br>∞ Article Link: Plant and Animal Discoveries<br>∞ Article Link: A Modern Lewis and Clark Survey<br>∞ Article Link: Lewis and Clark Expedition (scroll down for more of the quote that started the reading today)</p><p>➜ WRITE<br>Discuss the Lewis quote or the two articles about wildlife discovery.</p><p>➜ MAP WORK<br>Add places or items of interest to your map.</p>","","https://planning.alveary.org/links.html?id=recxTqmYbsfzqrSFv&term=1&week=5","Lesson","0","FALSE"
