"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recxrwoGczFf3qr6y","alveary-recAkWJ7yUHEA2IOt","1","1","15m General Science: Grade 3 - Lesson 1","<p>Noticing Clouds<br>⍞ Materials: Next Time You See a Cloud</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Look at the picture on the cover. Have you watched clouds before? What do you think it would feel like to touch a cloud?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.7-18 &quot;Next time you&quot; - &quot;about to change.&quot;</p><p>• We call the living Things the biome. The living and non-living parts of the environment together are called the ecosystem. Water is one of those non-living parts of the ecosystem. Can you think of some ways that water affects the living Things?</p><p>• NATURE NOTEBOOK<br>Prompt for General Science in Outdoor Work Quick Link.</p>","<p>★ TEACHER TIP<br>Let students enjoy the photographs in this picture book and take time to talk about them.</p><p>★ TEACHER NOTE<br>If you haven't ordered your larvae yet - don't forget!</p>","","Lesson","0","FALSE"
"alveary-recxrwoGczFf3qr6y","alveary-recuwBa6xGvaLBdla","2","1","15m General Science: Grade 3 - Lesson 2","<p>Observing Ladybug Larvae Activity<br>⍞ Materials: Nature Journal, Ladybug larvae</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Spend about 10 minutes observing your ladybug larvae in their habitat today and plan to check on them every day to watch them change. What parts are you able to notice? Are there visible body segments? Are there legs? If so, how many? Are there eyes? Antennae? What are the larvae doing?</p><p>➜ OBSERVE</p><p>➜ NARRATE &amp; DISCUSS<br>Use a nature journal to record what the student noticed.</p><p>• A habitat must provide the food, water, and shelter that a living Thing needs, but it is very different from a real ecosystem. How does your habitat provide what the ladybug larvae need? How is it different from the ladybug's natural ecosystem?</p>","<p>★ TEACHER TIP<br>If students seem anxious or unsure about their nature journal, teachers can encourage them by modeling, showing them many different examples, journaling in tandem, or by serving as a scribe.</p><p>★ TEACHER TIP<br>Raising ladybugs provides many opportunities for object lessons on several stages of the insect's life over the next two weeks or so. Questions are embedded in the lesson to help, as needed. If preferred, teachers can instead refer to the Handbook of Nature Study or allow questions to flow naturally between student and teacher.</p>","","Lesson","0","FALSE"
"alveary-recxrwoGczFf3qr6y","alveary-rec2yG1J3yC5Vl3hV","3","1","15m General Science: Grade 3 - Lesson 3","<p>Observing Larvae or Pupae Activity<br>⍞ Materials: Nature Journal, Ladybug larvae</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Spend about 10 minutes observing your larvae or pupae today and plan to check on them every day to watch them change. What do you notice today?</p><p>➜ OBSERVE</p><p>➜ NARRATE &amp; DISCUSS<br>Use a nature journal to record what the student noticed.</p>","<p>★ TEACHER TIP<br>The time that it takes for the ladybugs to emerge will vary slightly, so enjoy them while you have them and release them based on the instructions that came with them.</p>","","Lesson","0","FALSE"
"alveary-recxrwoGczFf3qr6y","alveary-recptqhL9uOyjw2Az","4","1","15m General Science: Grade 3 - Lesson 4","<p>Observing Ladybugs and Watching the Clouds Go By Activity<br>⍞ Materials: Nature Journal, Ladybugs, if not yet released</p><p>➜ INTRO<br>Spend about 10 minutes observing your ladybugs today, if you have not yet released them. What parts are you able to notice on the adult beetle? How does it differ from the larva? What colors and markings do you notice? How does it use its wings? If you have released them already (or as you watch them fly away), notice the clouds in the sky or their absence if it is a clear day. What colors and shapes do you notice in the sky? Are the clouds moving or changing? Do you think they are cirrus, stratus, or cumulus? Or maybe some combination?</p><p>➜ OBSERVE</p><p>➜ NARRATE &amp; DISCUSS<br>Use a nature journal to record what the student noticed.</p><p>• Tell about what you recorded.</p><p>• NATURE NOTEBOOK<br>Prompt for General Science in Outdoor Work Quick Link.</p>","","","Lesson","0","FALSE"
"alveary-recxrwoGczFf3qr6y","alveary-recT3xHfrd0tpEFuj","5","1","15m General Science: Grade 3 - Lesson 5","<p>Noticing Clouds <br>⍞ Materials: Next Time You See a Cloud</p><p>➜ INTRO<br>What kinds of clouds have you noticed since we last read? Let's read some more about clouds today.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.19-29 &quot;As more and more&quot; - &quot;that remarkable?&quot;</p><p>• Where does the rain that condenses from the clouds go? Find a major river on your globe that is near the student's home/school and trace its path to the ocean. If you were a drop of water in that river, what kinds of plants and animals might you pass on your way? What if one of them drank you? If you made it the whole way to the ocean, then what? <br>• Diagram the water cycle showing how that water droplet gets back up into the clouds.</p><p>• NATURE NOTEBOOK<br>Prompt for General Science in Outdoor Work Quick Link.</p>","","","Lesson","0","FALSE"
"alveary-recxrwoGczFf3qr6y","alveary-recm6273xmDzXxFaU","6","1","15m General Science: Grade 3 - Lesson 6","<p>Observing Clouds Activity<br>⍞ Materials: Nature Journal</p><p>➜ INTRO<br>Spend about 10 minutes observing clouds. What colors and shapes do you notice in the sky? Are the clouds moving or changing? Do you think they are cirrus, stratus, or cumulus? Or maybe some combination? Does their appearance change from one part of the sky to another?</p><p>➜ OBSERVE</p><p>➜ NARRATE &amp; DISCUSS<br>Use a nature journal to record what the student noticed.</p><p>• Tell about what you recorded.</p><p>• NATURE NOTEBOOK<br>Prompt for General Science in Outdoor Work Quick Link.</p>","","","Lesson","0","FALSE"
"alveary-recxrwoGczFf3qr6y","alveary-recSkYIRqyp51vGu2","7","1","15m General Science: Grade 3 - Lesson 7","<p>Caterpillars and Pupae Activity<br>⍞ Materials: Nature Journal</p><p>➜ INTRO<br>Spend about 10 minutes looking at and/or observing caterpillars and pupae. Some good places to look might be underneath the leaves of plants, around the base of plants, and on twigs or branches. If you find one, notice its colors and patterns, size, and any nearby plants. Collect as many clues as you can about who this might be.</p><p>➜ OBSERVE</p><p>➜ NARRATE &amp; DISCUSS<br>Use a nature journal to record what the student noticed.</p><p>• What are some ways that you could find out who this is?</p>","","","Lesson","0","FALSE"
"alveary-recxrwoGczFf3qr6y","alveary-recvQ4PsswAIjzHhm","8","1","15m General Science: Grade 3 - Lesson 8","<p>A Creature in Context <br>⍞ Materials: Buzztail and Leaper</p><p>➜ INTRO<br>This is two books in one, so we are going to start with Buzztail. Have you ever come across a snake before when playing or on a walk? If so, tell about it. What did you think of the snake?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.3-13 &quot;The rattlesnake&quot; - &quot;would come along.&quot;</p><p>• Talk about a food chain based on what you read. You might diagram, if desired. Do you have these same animals or similar ones in your biome? What other animals would be in yours? Do you know which of these creatures are cold-blooded and which are warm-blooded? When it's too cold for cold-blooded creatures, how does that affect the food chain?</p>","<p>★ TEACHER NOTE<br>Page 13 doesn't actually have the page number, so you may need to indicate it before the reading.</p>","","Lesson","0","FALSE"
"alveary-recxrwoGczFf3qr6y","alveary-recLd6Zm3es5SCalQ","9","1","15m General Science: Grade 3 - Lesson 9","<p>Buzztail's Adaptations<br>⍞ Materials: Buzztail and Leaper</p><p>➜ INTRO<br>Where did we leave Buzztail in the last passage? Let's find out something more about him today.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.14-24 &quot;Every so often&quot; - &quot;female snake again.&quot;</p><p>• Diagram the snake, discussing the special adaptations described in the story. Adaptations are special behaviors or body parts that fit a creature to its purpose in the ecosystem.</p><p>• NATURE NOTEBOOK<br>Prompt for General Science in Outdoor Work Quick Link.</p>","","","Lesson","0","FALSE"
"alveary-recxrwoGczFf3qr6y","alveary-rec608eHlAWwR1NLu","10","1","15m General Science: Grade 3 - Lesson 10","<p>Buzztail's Habitat<br>⍞ Materials: Buzztail and Leaper</p><p>➜ INTRO<br>Recall what you heard about Buzztail in the last passage.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.25-35 &quot;Something else&quot; - &quot;to attack him.&quot;</p><p>• What have you heard so far about the snake's habitat? Does he live in just one? Who else lives in this biome with the snake?</p><p>• NATURE NOTEBOOK<br>Prompt for General Science in Outdoor Work Quick Link.</p>","","","Lesson","0","FALSE"
