"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recyDETWFIqaxfz3x","alveary-recuzw3jG7vKschsq","1","1","20m Old Testament: Grades 3-6 - Lesson 1","<p>Introduction to Joshua<br>⍞ Materials: ESV Large Print Bible</p><p>➜ INTRO</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Intro to Joshua</p><p>➜ NOTEBOOK</p>","","","Lesson","0","FALSE"
"alveary-recyDETWFIqaxfz3x","alveary-recgFK3iOXDJn03Wc","1","2","20m Old Testament: Grades 3-6 - Lesson 2","<p>Joshua Commissioned<br>⍞ Materials: ESV Large Print Bible; Notebook, Student Bible Atlas</p><p>➜ RECAP<br>What do you recall about the intro to Joshua from last time?</p><p>➜ INTRO<br>Before he died, Moses passed along the leadership of the people of Israel on to Joshua (Deut. 31:7-8). In today's reading, Joshua will speak to the people about entering the Promised Land - the nation of Canaan. As Joshua speaks, he reminds the people of what they should do to have success and blessing. He also says, &quot;Be strong and courageous.&quot; As we read, count how many times you hear this phrase or words similar to this.</p><p>➜ READ, NARRATE &amp; DISCUSS<br>Joshua 1:1-18</p><p>•How many times did you hear Joshua say &quot;Be strong and courageous?&quot; (4: Verses 6, 7, 9 &amp; 18) Why do you think he repeats this? How do you imagine you would be feeling as a member of Israel about to go into this land you have been waiting to enter for so long? <br>•Based on verse 9, why should the people not be afraid and _why_ could they be strong and courageous? (vs.9 - &quot;...for the Lord your God is with you...&quot;)<br>•What are the people to do in order to experience success in taking over the land? (See vs. 7 &amp; 8)</p><p>➜ MAP WORK<br>⍞ Map Resource: Student Bible Atlas p.9 Map 4 and Map 5 <br>1. At the end of Deuteronomy, we are told that before he died, Moses &quot;went up from the plains of Moab to Mount Nebo&quot; (Deut. 34:1) and was shown the Promised Land. On Map 4 (the larger map), locate Moab, the Jordan River (Labeled as &quot;R. Jordan&quot;) and Canaan. <br>2. Look at the image in the bottom right-hand corner to see the view from Mount Nebo. <br>3. Looking at Map 5, locate Mt Nebo and the Jordan River. Follow the arrows to see the direction the Israelites will move forward in the book of Joshua. The Jordan River moves north to south and to the east is a plateau (mostly flat, level ground) and mountains to the left. The people are approaching Canaan from the south. The first move they will have to make is to cross the Jordan River.</p><p>➜ NOTEBOOK <br>In your notebook, create a title page for the book of Joshua. <br>Draw a picture of Joshua speaking to the Israelites as their new leader. As time and ability allow, write the phrase &quot;Be strong and courageous.&quot; Older students might write a short summary of the passage, or a key verse from the passage.</p>","","","Lesson","0","FALSE"
"alveary-recyDETWFIqaxfz3x","alveary-rect9oNmEVfYSixMd","2","1","20m Old Testament: Grades 3-6 - Lesson 3","<p>Rahab Hides the Spies<br>⍞ Materials: ESV Large Print Bible; Manners &amp; Customs of Bible Times</p><p>NOTE: Two different options are given for the reading from Manners &amp; Customs. Choose which one best fits the age or the interest of your student(s).</p><p>➜ RECAP<br>What do you recall about what we read last time?</p><p>➜ INTRO<br>Joshua is going to send two spies into the land to check it out. Maybe he thought back to how he had once been a spy for Moses!</p><p>➜ READ, NARRATE &amp; DISCUSS<br>Joshua 2:1-24<br>•Deuteronomy 28:10 says, &quot;And all the peoples of the earth shall see that you are called by the name of the Lord, and they shall be afraid of you.&quot; How does what Rahab says and does agree with (or prove) this verse from Deteronomy? (If needed, see Josh. 2:9-11, 24)<br>	 <br>➜ READ, NARRATE &amp; DISCUSS<br>Rahab's family lived in a house that was part of the walls of Jericho. Read the following passage for an idea of what this may have looked like. <br>Manners &amp; Customs &quot;Brick Houses&quot; <br>Younger students: View the illustrations and read p.28 &quot;When the semi-nomadic&quot;-&quot;stone was white.&quot; p.30-31 &quot;The flat roof&quot;-&quot;in Matthew 24:17.&quot;<br>Older students, or as time and interest allow: View the illustrations and read p.28-31 &quot;When the semi-nomadic&quot;-&quot;in Matthew 24:17.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recyDETWFIqaxfz3x","alveary-rec5VPucyjBSKuEA0","2","2","20m Old Testament: Grades 3-6 - Lesson 4","<p>Crossing the Jordan<br>⍞ Materials: ESV Large Print Bible; Notebook</p><p>➜ RECAP<br>What do you recall about what we read in Joshua last time?</p><p>➜ READ, NARRATE &amp; DISCUSS<br>Joshua 3:7-17; 4:15-24<br>•How would the stones help the children (or future generations) remember what happened at the Jordan River? If you were there and someone asked you what the stones were for, what would you answer? <br>•Look at verse 24 again. Why did God lead the Israelites across the Jordan River, as he had done for them at the Red Sea?</p><p>➜ NOTEBOOK<br>Draw a picture or write a short summary of today's passage. Older students may pick a key verse or phrase from today's reading to write as well.</p>","","","Lesson","0","FALSE"
"alveary-recyDETWFIqaxfz3x","alveary-recIHZVBKAQqhogG1","3","1","20m Old Testament: Grades 3-6 - Lesson 5","<p>The Walls Fall <br>⍞ Materials: ESV Large Print Bible; Notebook</p><p>➜ RECAP<br>What do you recall about what we read last time?</p><p>➜ READ, NARRATE &amp; DISCUSS<br>1. Israel celebrates Passover and remembers how God had delivered them from Egypt<br>			Read Joshua 5:10-15<br>			•In verse 12, it says the manna stopped. Why was manna provided in the first place and who provided it? (Exodus 16)_ _Why do they no longer need the manna? (Joshua 5:11-12) <br>      2\. Read Joshua 6:1-19 <br>Jericho is the first city the Israelites need to conquer as Jericho protects the entry into the land from the east where they crossed the Jordan. Scholars say Jericho &quot;was about a twelve-acre site...[and] Based on the size of the site today, it seems that it might have taken Joshua's army less than half an hour to march around the city walls...In the ancient world every war was holy war because people believed that their gods called them to war, led them in battle, and fought on their behalf...For this assault it was the ark and the priests that gave indication of God's presence with the Israelites and made it plain that the battle belonged to the Lord.&quot; (Bible Story Handbook, Walton) Usually when an army defeated a city or people, they would take the plunder or goods (such as jewelry and anything that was worth a lot). In this case, the people did not take anything, because it wasn't them that claimed the victory - it was God who won this battle.</p><p>➜ VIEW<br>∞ Video Link: Sound of the Shofar <br>View the video showing various Jewish people blowing the shofar, the ram's horn trumpet that was used in Israel's history - and is still used today to call people to worship. What would it have been like to hear this sound if you were part of the army marching around Jericho?</p><p>➜ NOTEBOOK<br>Draw a picture or write a short summary of what you read today. Older students might write out a key verses from this passage or write a longer summary.</p>","","https://planning.alveary.org/links.html?id=recyDETWFIqaxfz3x&term=1&week=3","Lesson","0","FALSE"
"alveary-recyDETWFIqaxfz3x","alveary-recpR9bGHrxYp0jwE","3","2","20m Old Testament: Grades 3-6 - Lesson 6","<p>Achan's Sin<br>⍞ Materials: ESV Large Print Bible; Manners &amp; Customs</p><p>NOTE: The teacher may choose to either read out loud to the student(s) or summarize the reading from Manners &amp; Customs which has to do with warfare and religion. If reading, the couple sentences that may not be appropriate may be skipped.</p><p>➜ RECAP<br>What do you recall about what we read last time?</p><p>➜ INTRO<br>Last time, we saw that the people did not take any of the plunder from Jericho as they were directed by God: &quot;But all silver and gold, and every vessel of bronze and iron, are holy to the Lord; they shall go into the treasury of the Lord.&quot; (6:19) The word &quot;plunder&quot; means the valuables or possessions that would be taken from the people defeated in war. Armies who won battles would take the plunder to not only celebrate the victory, but to add the loot to their money pile so they could afford to keep battling! After the battle at Jericho, everyone followed this rule and listened...except Achan.</p><p>➜ READ &amp; NARRATE<br>Joshua 7:1-25<br>&quot;When Achan took goods as plunder, it was like making a claim that the Israelites had won the battle rather than the Lord.&quot;</p><p>➜ READ &amp; DISCUSS<br>Manners &amp; Customs of the Bible &quot;War and religion&quot; (See note above)<br>p.268-269 &quot;It was not&quot;-&quot;his own people.&quot;</p><p>Preview Manners &amp; Customs reading regarding warfare. Either summarize or skip the couple sentences that may not be appropriate for younger students.</p>","<p>★ TEACHER NOTE<br>Preview verses 24 and 25 where Achan and his family are killed because of his disobedience.</p>","","Lesson","0","FALSE"
"alveary-recyDETWFIqaxfz3x","alveary-recjzSjgKEh58f6N3","4","1","20m Old Testament: Grades 3-6 - Lesson 7","<p>Tricked<br>⍞ Materials: ESV Large Print Bible</p><p>➜ RECAP<br>What do you recall about what we read last time?</p><p>➜ INTRO<br>Two events happen in today's passage. Do you recall what genre the book of Joshua is? (Historical narrative) In a narrative (story), events are told as though someone is asking, &quot;And then what happened?&quot; <br>First, Joshua renews the covenant that God had given to Moses. Do you remember what God promised Moses? (Deut.28 - if you follow and obey God, then you will be blessed. If you do not follow or obey God, then you will be cursed and things will not go well.) <br>As we read the story, we might ask, &quot;And then what happened?&quot;<br>Next, some kings in the land of Canaan come up with a sneaky plan to trick the Israelites. In this context a &quot;king is the ruler of a single city,&quot; and these cities were starting to worry about the Israelites. Why do you think they were worried?</p><p>➜ READ &amp; NARRATE<br>Joshua 8:30-9:15<br>•Why do you think it is good for Joshua to renew the covenant God had made with Moses and remind the people what God had said? <br>•The Gibeonites dressed in old clothes and brought stale food to try to give the impression that they had traveled from a faraway land. Unfortunately, Joshua and the Israelites &quot;did not ask counsel from the Lord&quot; (9:14). Now they are in a treaty with people from the land of Canaan. What do you think will happen?</p>","","","Lesson","0","FALSE"
"alveary-recyDETWFIqaxfz3x","alveary-recLKX8FSBUKnzEK5","4","2","20m Old Testament: Grades 3-6 - Lesson 8","<p>The Sun Stands Still <br>⍞ Materials: ESV Large Print Bible; Notebook</p><p>➜ RECAP<br>What do you recall about what we read last time?</p><p>➜ INTRO<br>The Gibeonites have tricked Joshua, but he will remain faithful to the treaty he made with them. Five kings in the land of Canaan decide to come fight against the Gibeonites because now they are all getting worried at the strength of Gibeon and of the Israelites. Next the historical narrative book of Joshua will answer the question, &quot;And then what happened?&quot;</p><p>➜ READ &amp; NARRATE<br>Joshua 9:16-21; 10:1-14</p><p>➜ VIEW &amp; DISCUSS<br>∞ Image Link: Joshua Commanding the Sun to Stand Still Upon Gibeon<br>•What do you notice about this painting? Do you see the people and do you see Joshua? What do you notice in the sky?</p><p>➜ NOTEBOOK<br>Draw or write a short summary in your notebook about today's reading. Older students may chose a key verse or write a longer summary.</p>","","https://planning.alveary.org/links.html?id=recyDETWFIqaxfz3x&term=1&week=4","Lesson","0","FALSE"
"alveary-recyDETWFIqaxfz3x","alveary-recupt6ltvcbOj8He","5","1","20m Old Testament: Grades 3-6 - Lesson 9","<p>Conquering the Land<br>⍞ Materials: ESV Large Print Bible; Student Bible Atlas</p><p>NOTE: Today's reading will cover three chapters, but will skip verses for time's sake.</p><p>➜ RECAP<br>What do you recall about what we read last time?</p><p>➜ INTRO<br>Today's reading covers three chapters of information of Joshua and the Israelites defeating various kings in Canaan. These stories of Israel conquering the Promised Land point to God's might and power in fighting for his people, Israel. They are in covenant with him. Do you remember what the word &quot;covenant&quot; means? (A promise.) Because God _is_ faithful, he will _be_ faithful.</p><p>➜ READ, NARRATE &amp; DISCUSS<br>Today's reading is in two parts:<br>1. Joshua 10:42-43                                                                                                                                                                                                       •Who did the fighting for Israel and what is happening as a result? (All the kings are being captured.)<br>2. Eventually Israel captures all the kings and they will have some rest from fighting. While there were many kings that were defeated, we will read just one of the lists of their names. <br>         11:23; 12:7-24</p><p>➜ MAP <br>⍞ Map Resource: Student Bible Atlas p.10 Map 6<br>Look at the map and note the red dashed line. What does the map key state this red line shows? (Area permanently controlled by Israel.) Do you recognize any of the names of cities on the map that you have heard or read about?</p>","","","Lesson","0","FALSE"
"alveary-recyDETWFIqaxfz3x","alveary-rec77NraANosLdjmD","5","2","20m Old Testament: Grades 3-6 - Lesson 10","<p>Dividing the Land<br>⍞ Materials: ESV Large Print Bible; Student Bible Atlas; notebook</p><p>➜ RECAP<br>What do you recall about what we read last time?</p><p>➜ INTRO<br>Joshua chapter 13 all the way through chapter 21 lists out how Joshua divided up the land between the tribes of Israel. After all, the book of Joshua &quot;shows how God kept his covenant promise to give the land to Israel. He prepared them to enter Canaan, sent his commander to lead them, provided aid in battles, distributed the land, and renewed the covenant. The division of land, though not much of a story, is an incredible climax of the process that had brought the Israelites from their slavery in Egypt to the land that God had promised to Abraham through the covenant made over four centuries earlier. This is fulfillment of covenant promise on a grand scale.&quot; (Bible Story Handbook)</p><p>➜ READ &amp; NARRATE<br>Our reading will be in three parts: <br>1. Read Joshua 14:1-5<br>2. Read 16:1-10 Chapter 16 is an example of what these chapters list as far as boundaries of the inherited land that each tribe received. Other chapters define the boundary of the other tribes' lands. <br>3. Read Joshua 21:43-45 These verses give a summary of the purpose of the entire book of Joshua. They could be called the Key Verses or Main Verses of the book. <br>         •How would you summarize the purpose of the book of Joshua according to these verses?</p><p>➜ READ<br>⍞ Map Resource: Student Bible Atlas, p.11 Map 7 &quot;Dividing the Land&quot;<br>Find the area that was given to the tribe of Ephraim on the map that you read about in chapter 16. Locate the Jordan River. Why would it be good to have your land inheritance touch water?</p><p>➜NOTEBOOK <br>As time and ability allow, copy down all or part of the verses as shown here that state the purpose of the book of Joshua. Younger students might copy down just one or two phrases, older students might copy down a few phrases or the entire selection. Alternatively, the student could draw a picture.</p><p>Joshua 21:43-35: &quot;Thus the Lord gave to Israel all the land...And they took possession of it, and they settled there. And the Lord gave them rest on every side...The Lord had given all their enemies into their hands. Not one word of all the good promises that the Lord had made to the house of Israel had failed; all came to pass.&quot;</p>","","","Lesson","0","FALSE"
