"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-1-1","1","1","30m Latin 4 - Lesson 1","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-1-2","1","2","30m Latin 4 - Lesson 2","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-2-1","2","1","30m Latin 4 - Lesson 3","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-2-2","2","2","30m Latin 4 - Lesson 4","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-3-1","3","1","30m Latin 4 - Lesson 5","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-3-2","3","2","30m Latin 4 - Lesson 6","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-4-1","4","1","30m Latin 4 - Lesson 7","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-4-2","4","2","30m Latin 4 - Lesson 8","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-5-1","5","1","30m Latin 4 - Lesson 9","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-5-2","5","2","30m Latin 4 - Lesson 10","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-6-1","6","1","30m Latin 4 - Lesson 11","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-6-2","6","2","30m Latin 4 - Lesson 12","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-7-1","7","1","30m Latin 4 - Lesson 13","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-7-2","7","2","30m Latin 4 - Lesson 14","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-8-1","8","1","30m Latin 4 - Lesson 15","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-8-2","8","2","30m Latin 4 - Lesson 16","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-9-1","9","1","30m Latin 4 - Lesson 17","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-9-2","9","2","30m Latin 4 - Lesson 18","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-10-1","10","1","30m Latin 4 - Lesson 19","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-10-2","10","2","30m Latin 4 - Lesson 20","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-11-1","11","1","30m Latin 4 - Lesson 21","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-11-2","11","2","30m Latin 4 - Lesson 22","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-12-1","12","1","30m Latin 4 - Lesson 23","<p>recoBkmtVJwIaoR8V</p><p>Complete term exam.</p>","","","Exam","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-12-2","12","2","30m Latin 4 - Lesson 24","<p>recoBkmtVJwIaoR8V</p><p>Complete term exam.</p>","","","Exam","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-13-1","13","1","30m Latin 4 - Lesson 25","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
"alveary-recycLF7Z2ng9RVTl","alveary-tracker-recycLF7Z2ng9RVTl-13-2","13","2","30m Latin 4 - Lesson 26","<p>recoBkmtVJwIaoR8V</p>","","","Lesson","0","FALSE"
