"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recyw9Tjk8xQIKR3q","alveary-recuzuy7l87ySP4mm","1","1","25m Canadian History: Grades 5-6 - Lesson 1","<p>Joe and the Wreck of the Tribune<br>⍞ Materials: Joe and the Wreck of the Tribune; Canadian Student Atlas or map of Nova Scotia</p><p>➜ INTRO<br>The years 1800-1900 were a momentous century for the history of Canada. It saw wars, rebellions, large waves of immigration, new and expanded settlements, exploration to the west and north, and Canada's Confederation of 1867, with more provinces and territories joining in the decades that followed. This course uses the narrative history The Story of Canada to provide an overview of the major events of the years 1800-1900, and a historical novel, a picture book, and a graphic novel to immerse students in three distinct moments in time: life in a fishing village on Nova Scotia's Chebucto Peninsula at the turn of the century, the life of Tecumseh, a Shawnee chief and British army ally in the War of 1812, and the Confederation Conferences of 1864, where the wheels of Canada's Confederacy were set in motion.<br>The first book, Joe and the Wreck of the Tribune, tells the story of a thirteen-year-old boy who risked his life to save drowning sailors from the wreck of the H.M.S. Tribune, off the coast of Nova Scotia. This historical fiction novel imagines a backstory for the boy only known to history as &quot;Joe Cracker,&quot; and it paints a detailed picture of what life was like in a small fishing village around 1800.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.1-13 &quot;Wisps of fog&quot; - &quot;all about the ocean.&quot;</p><p>• Who are the characters you meet as the novel opens? How are they related to each other? What are they like? You may choose to keep a character list with some notes.</p><p>➜ MAP WORK<br>⍞ Map Resources: Canadian Student Atlas p.41 or any other map (including online) showing Nova Scotia<br>Locate Halifax and the Chebucto Peninsula. Does your map show Herring Cove?</p><p>➜ VIEW<br>∞ Video Link: Explore Herring Cove<br>Watch a video tour of Herring Cove with Senator Stan Kutcher. If you're short on time, feel free to skip 1:58-2:54. This whole video could be saved for another point in the course, but it touches on many themes of the novel, so it's definitely not a video to miss!</p>","<p>★ TEACHER NOTE<br>Please read the header pages for this course that list the page numbers for the sensitive content you may wish to preview.</p>","https://planning.alveary.org/links.html?id=recyw9Tjk8xQIKR3q&term=1&week=1","Lesson","0","FALSE"
"alveary-recyw9Tjk8xQIKR3q","alveary-rec046wlJNsqSX4Or","2","1","25m Canadian History: Grades 5-6 - Lesson 2","<p>Joe and the Wreck of the Tribune<br>⍞ Materials: Joe and the Wreck of the Tribune</p><p>➜ RECAP<br>What do you recall from the opening chapters of the novel?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.13-23 &quot;I broke my arm&quot; - &quot;Next job, Eli's shed.&quot;</p><p>• As you read, compare Joe's daily life to yours. For example, have you or anyone in your family ever broken a bone? How was it treated? How was Joe's treatment different? Or, what are your chores in the morning? Are they similar to or different from Joe's?</p>","","","Lesson","0","FALSE"
"alveary-recyw9Tjk8xQIKR3q","alveary-recRDZBxwaT2WOKj4","3","1","25m Canadian History: Grades 5-6 - Lesson 3","<p>Joe and the Wreck of the Tribune<br>⍞ Materials: Joe and the Wreck of the Tribune</p><p>➜ RECAP<br>What do you recall from last week's reading?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.24-35 &quot;Eli's derelict old shed&quot; - &quot;Nothing would burn today.&quot;<br>As you learn more about the characters, add to your list or chart.</p>","","","Lesson","0","FALSE"
"alveary-recyw9Tjk8xQIKR3q","alveary-rec5svgiGhanU4ECs","4","1","25m Canadian History: Grades 5-6 - Lesson 4","<p>Joe and the Wreck of the Tribune<br>⍞ Materials: Joe and the Wreck of the Tribune</p><p>➜ RECAP<br>What did you learn from last week's reading about Gram?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.36-47 &quot;Buttoned into his oilskins&quot; - &quot;mend a holey rowboat.&quot;<br>Continue adding to your list of characters.</p><p>➜ VIEW<br>Learn more about what killicks are and how they were made.<br>∞ Video Link: Making a Killick Anchor</p><p>• EXTRA HELPING<br>Try making your own chicken and potato pasties, like Joe had in his lunch.<br>∞ Recipe Link: Chicken and Vegetable Pasties</p>","","https://planning.alveary.org/links.html?id=recyw9Tjk8xQIKR3q&term=1&week=4","Lesson","0","FALSE"
"alveary-recyw9Tjk8xQIKR3q","alveary-recatVzb0x9PVKDQU","5","1","25m Canadian History: Grades 5-6 - Lesson 5","<p>Joe and the Wreck of the Tribune<br>⍞ Materials: Joe and the Wreck of the Tribune</p><p>➜ RECAP<br>What do you remember from last week's reading about the types of work Joe has to do?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.48-60 &quot;Ten long days of tides&quot; - &quot;to the old shed.&quot;</p><p>• Earlier in the novel, we learned that Joe has never been to school. This was not unusual two hundred years ago, when children were often needed to work inside or outside the home to help support their families. Why do you think Joe has never been to school? How does he learn what he needs to know?</p>","","","Lesson","0","FALSE"
"alveary-recyw9Tjk8xQIKR3q","alveary-recS84dVsrLIscymV","6","1","25m Canadian History: Grades 5-6 - Lesson 6","<p>Joe and the Wreck of the Tribune<br>⍞ Materials: Joe and the Wreck of the Tribune</p><p>➜ RECAP<br>What do you remember from last week's reading about the mystery of the skiff?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.60-72 &quot;The shed smelled&quot; - &quot;when he saw the skiff,' said Joe.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recyw9Tjk8xQIKR3q","alveary-recoLIOSslLX35T6Z","7","1","25m Canadian History: Grades 5-6 - Lesson 7","<p>Joe and the Wreck of the Tribune<br>⍞ Materials: Joe and the Wreck of the Tribune</p><p>➜ RECAP<br>What do you remember from last week's reading?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.73-84 &quot;The next evening&quot; - &quot;Joe really, really hoped so.&quot;</p><p>• How has medicine and medical care changed from Joe's time to ours? What are some differences? Are there any similarities?</p>","","","Lesson","0","FALSE"
"alveary-recyw9Tjk8xQIKR3q","alveary-recBXq2OpdKzPlodY","8","1","25m Canadian History: Grades 5-6 - Lesson 8","<p>Joe and the Wreck of the Tribune<br>⍞ Materials: Joe and the Wreck of the Tribune</p><p>➜ RECAP<br>What details or events stood out to you from last week's reading?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.85-97 &quot;Gram was better&quot; - &quot;It should all work out.&quot;<br>Remember to keep adding information to your character chart.</p><p>• Do you have any predictions for what will happen on Race Day?</p>","","","Lesson","0","FALSE"
"alveary-recyw9Tjk8xQIKR3q","alveary-recLW2Yei7BdcyAvZ","9","1","25m Canadian History: Grades 5-6 - Lesson 9","<p>Joe and the Wreck of the Tribune<br>⍞ Materials: Joe and the Wreck of the Tribune</p><p>➜ RECAP<br>What do you remember from last week's reading?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.98-110 &quot;Joe ate his porridge&quot; - &quot;weren't meant to be.&quot;<br>Keep adding to your character list as you learn more about the character in the story.</p>","","","Lesson","0","FALSE"
"alveary-recyw9Tjk8xQIKR3q","alveary-recYvNtjlPS9ahWfh","10","1","25m Canadian History: Grades 5-6 - Lesson 10","<p>Joe and the Wreck of the Tribune<br>⍞ Materials: Joe and the Wreck of the Tribune</p><p>➜ RECAP<br>What do you remember about Race Day from last week's reading?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.111-124 &quot;Winter arrived that night.&quot; - &quot;Frederick lagged behind.&quot;</p><p>• What has happened to the Tribune? Why won't the captain receive assistance from either other Navy ships or the local fishermen?</p><p>➜ VIEW<br>∞ Image Link: Capture of La Tribune June 8th 1796, Thomas Whitcombe<br>Look at this painting by maritime painter Thomas Whitcombe (1763-1824) of the Capture of the Tribune in 1796 by the British Navy. The Tribune was originally part of the French navy before its capture. What do you notice in the painting about these types of ships called frigates?</p>","<p>★ TEACHER TIP<br>Today's reading is a bit longer than the others, so you may want to leave extra time or finish the reading in the afternoon.</p>","https://planning.alveary.org/links.html?id=recyw9Tjk8xQIKR3q&term=1&week=10","Lesson","0","FALSE"
