"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recyxfG0u2SwUnA2Z","alveary-rec6LLo1LsgKIHEwP","1","1","25m Ethics: Part 2 - Lesson 1","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.VIII p.73-75 &quot;The Desire of Society&quot; - &quot;get at it.&quot;</p><p>➜ CITIZENSHIP NOTEBOOK<br>Choose a habit you would like to cultivate and tell a little about why. Draw a chart for keeping up with your new habit and check in daily.</p><p>• COMPOSITION - Journal<br>Tell of a time when your desire for society was met. How did that experience impact/affect you?</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-recy2xsoZ7tc76GUF","2","1","25m Ethics: Part 2 - Lesson 2","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.VIII p.75-77 &quot;Dangers attending&quot; - &quot;the great world.&quot;</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update habits log. Start a chart where you can list desirable human character traits on one side and their daemons on the other.</p><p>• COMPOSITION<br>Tell of a time when you took a &quot;share in the interests of the great world&quot; by listening with all your heart to someone who shared about a profession, skill, subject, or experience with which you were unfamiliar.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-reckL50NhyAjR41YO","3","1","25m Ethics: Part 2 - Lesson 3","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.VIII p.77-78 &quot;The Desire of Knowledge&quot; - &quot;ourselves!&quot;</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart.</p><p>• COMPOSITION - Compare/Contrast<br>Compare and contrast the desire for knowledge and curiosity.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-recdnKUz6Vo5GAq47","4","1","25m Ethics: Part 2 - Lesson 4","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.VIII p.78-79 &quot;Emulation and the Love&quot; - &quot;or in life.&quot;</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart.</p><p>• COMPOSITION - Cause &amp; Effect<br>How is the love of knowledge smothered by emulation? Include &quot;marks&quot; and &quot;places&quot; in your examples.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-recDGTNle4vOKR1E7","5","1","25m Ethics: Part 2 - Lesson 5","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.VIII p.79-80 &quot;All Persons have Powers&quot; - &quot;the battle.&quot;</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart.</p><p>• COMPOSITION<br>Tell of a time when you have thrown yourself into your work and it was a delight to you. OR Tell of a character in a book who has done so and the result was joy.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-recD1pVSImDcgwR1K","6","1","25m Ethics: Part 2 - Lesson 6","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.I p.81-83 &quot;The Lords of the House&quot; - &quot;feel it.&quot;</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update character traits chart. Think of a new habit you would like to cultivate and create a tracking chart.</p><p>• COMPOSITION - Poetry<br>Write a poem about selfless love using your own examples patterned after soldiers, mothers, nurses, missionaries, etc.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-recLGsTqPmHPH4nB1","7","1","25m Ethics: Part 2 - Lesson 7","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.I p.83-86 &quot;Love delights in the Goodness&quot; - &quot;Waiting.&quot;</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart.</p><p>• COMPOSITION - Expository<br>Explain the four ways in which a person is able to recognize authentic love.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-rec8Em6XVumzwDwTQ","8","1","25m Ethics: Part 2 - Lesson 8","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.II p.87-89 &quot;Knights and Ladies of Pity&quot; - &quot;idle pity.&quot;</p><p>• How could you show that all people possess and express pity?</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-rec63UzuFq2f8NVw3","9","1","25m Ethics: Part 2 - Lesson 9","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.II p.89-90 &quot;Self-Pity.&quot; - &quot;sorry for ourselves.&quot;</p><p>• CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart this week.</p><p>• COMPOSITION - Story<br>Write a fable-type short story in which a character's self-pity is exposed and he overcomes it.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-rec8MRBuFONmVl6u8","10","1","25m Ethics: Part 2 - Lesson 10","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.III p.91-92 &quot;Reform the World&quot; - &quot;better work.&quot;</p><p>• Why are faults not the whole of a person? Have you ever felt like all you could see was a person's faults? What did you do?</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-rec2vhOktWweIUnMG","11","1","25m Ethics: Part 2 - Lesson 11","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.III p.92-94 &quot;The Affairs of Goodwill.&quot; - &quot;meaning for us.&quot;</p><p>• Can you give an example for each of the three enemies of Goodwill?</p><p>➜ CITIZENSHIP NOTEBOOK<br>Write a brief reflection on how you did with habit cultivation this term.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-recAk0ES2wWJWUlV4","12","1","25m Ethics: Part 2 - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to the course. Questions will come from: Ourselves</p>","<p>★ Ethics: Part 2 — TERM 1 EXAM QUESTIONS<br>· Ourselves: Book I: Name some enemies of goodwill and show how they behave.</p>","","Exam","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-reccr0rFcX67OtD0l","13","1","25m Ethics: Part 2 - Lesson 13","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ NOTE<br>Be sure to narrate in a variety of ways.</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.IV p.95-96 &quot;Sympathy with One, &quot; - &quot;touch of this key.&quot;</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update character traits chart. Think of a new habit you would like to cultivate and create a tracking chart.</p><p>• COMPOSITION - Letter<br>Show sympathy to someone you know by sharing your interest in music, poetry, art, or anything that gives you joy.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-recGPHCBFZ9IlKbFl","14","1","25m Ethics: Part 2 - Lesson 14","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.IV p.96-97 &quot;A Lever to Raise.&quot; - &quot;easily discerned.&quot;</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update habits log. Start a chart where you can list desirable human character traits on one side and their daemons on the other.</p><p>• ILLUSTRATE<br>Draw a scene in which a person shows Sympathy by empathizing with someone who is suffering.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-reczD1JdHnE3KU4tM","15","1","25m Ethics: Part 2 - Lesson 15","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.IV p.98 &quot;Tact.&quot; - &quot;Vanity, Dislike, Antipathy.&quot;</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart.</p><p>• COMPOSITION - Expository<br>How is egotism a foe of Sympathy? Include examples.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-recRrnqdOQYjNwws4","16","1","25m Ethics: Part 2 - Lesson 16","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.V p.99-100 &quot;That best portion&quot; - &quot;who come in their way.&quot;</p><p>• For your narration, illustrate and caption three examples of the kindness of courtesy.</p><p>• CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart this week.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-recm2Pfy4vKR3p26V","17","1","25m Ethics: Part 2 - Lesson 17","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ &amp; NARRATE<br>Ch.V p.100-101 <br>&quot;Simplicity.&quot; - &quot;-- Wordsworth.&quot;</p><p>➜ DISCUSS<br>• Can there be kindness without simplicity?</p><p>• CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-recHyB5kt7yvTdWKk","18","1","25m Ethics: Part 2 - Lesson 18","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.V p.101-102 <br>&quot;Kindness in Construction.&quot; - &quot;-- Herbert.&quot;</p><p>• What are the effects of a kind construction and those of an ungentle construction.? Give examples.</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update character traits chart. Think of a new habit you would like to cultivate and create a tracking chart.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-recxXVftflZTl9Bve","19","1","25m Ethics: Part 2 - Lesson 19","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ &amp; NARRATE<br>Ch.VI p.103-104 <br>&quot;Generous Impulses&quot; - &quot;the generous man.&quot;</p><p>➜ DISCUSS<br>What are some generous movements in history?</p><p>• CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart.</p><p>• COMPOSITION - Timeline<br>Make a timeline of 6-8 generous movements in history.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-recHhJcocO1Qucncb","20","1","25m Ethics: Part 2 - Lesson 20","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.VI p.105 &quot;Generosity is Costly,&quot; - &quot;his own family.&quot;</p><p>• Explain how generosity is both costly and profitable.</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-recRijWLUYH7JMFVC","21","1","25m Ethics: Part 2 - Lesson 21","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.VI p.106-107 &quot;Fallacious Notions&quot; - &quot;-- Lowell.&quot;</p><p>• CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart this week.</p><p>• COMPOSITION - Outline<br>Outline the three false notions that prevent generosity.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-recyHMb7yR7wjLxRm","22","1","25m Ethics: Part 2 - Lesson 22","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ &amp; NARRATE<br>Ch.VII p.108-109 &quot;The Gladness of a Grateful&quot; - &quot;value to us.&quot;</p><p>➜ DISCUSS<br>Do you have a relative or friend from whom you have received double joys?</p><p>• CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart this week.</p><p>• COMPOSITION - Letter<br>Write a letter to a relative or friend from whom you have received double joys. Acknowledge and thank them for at least three kindnesses.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-recqXfWz1fNGXU6ut","23","1","25m Ethics: Part 2 - Lesson 23","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.VII p.110-111 &quot;The Reproach of Ingratitude&quot; - &quot;thankful!&quot;</p><p>• Describe the sin of ingratitude. What examples from your books can you think of that illustrate this sin?</p><p>➜ CITIZENSHIP NOTEBOOK<br>Write a brief reflection on how you did with habit cultivation this term.</p>","","","Lesson","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-recqiShTqrB5o2HHH","24","1","25m Ethics: Part 2 - Lesson 24","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to the course. Questions will come from: Ourselves</p>","<p>★ Ethics: Part 2 — TERM 2 EXAM QUESTIONS<br>· Ourselves: Book I: Name some false ideas that hold back generosity OR Show how egotism destroys sympathy.</p>","","Exam","0","FALSE"
"alveary-recyxfG0u2SwUnA2Z","alveary-recnqy84cdM6ygVVS","25","1","25m Ethics: Part 2 - Lesson 25","<p>⍞ Materials: Ourselves: Book 1</p><p>➜ NOTE<br>Be sure to narrate in a variety of ways.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.VIII p.112-115  <br>&quot;We all have Courage.&quot; - &quot;the unbelieving.&quot;</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update character traits chart. Think of a new habit you would like to cultivate and create a tracking chart.</p><p>• COMPOSITION<br>Tell how we are able to &quot;take the present without any fearful looking forward.&quot; Provide three examples.</p>","","","Lesson","0","FALSE"
