"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-reczI18s7yrqe1poa","alveary-rec5uct5RyZSMewPn","1","1","10m Hymns & Spirituals - Lesson 1","<p>How Firm a Foundation<br>⍞ Materials: Our Hymns, Our Heritage, Our Work Book, and/or Music Selections Booklet</p><p>➜ INTRO<br>Our first hymn this year is called &quot;How Firm a Foundation.&quot; What is a foundation, and what do you think this hymn will be about?</p><p>➜ LISTEN &amp; PRACTICE<br>Today, focus on getting familiar with the hymn. Read the words aloud and listen to the full song. Note that various recordings sometimes use the older &quot;thee&quot; rather than &quot;you&quot; and annotate your lyrics depending on the recording you use. Notice, talk about, and look up any unfamiliar words.<br>∞ Audio Link: How Firm a Foundation (YouTube or Spotify)</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Learn the history of the song from Our Hymns, Our Heritage.<br>&quot;Text and Tune&quot; p.136</p><p>• EXTRA HELPINGS<br>Look at early copies of Rippon's hymnal. What differences and similarities do you notice between it and hymnals today? If interested, read the original hymn (note the extra verses which are less common today) and the prefaces.<br>∞ Book Links: 1801 and 1828 versions</p><p>• AFTERNOON LISTENING<br>Use your preferred recording to listen to the hymn in the afternoons, evenings, or anytime! The more you spend time with it, the more the words will sink into your head and your heart.</p><p>• IMPORTANT DATE<br>&quot;How Firm a Foundation&quot; published in Rippon's hymnal (1787 AD).</p>","","https://planning.alveary.org/links.html?id=reczI18s7yrqe1poa&term=1&week=1","Lesson","0","FALSE"
"alveary-reczI18s7yrqe1poa","alveary-recT9l3ZSyKwuVahp","2","1","10m Hymns & Spirituals - Lesson 2","<p>How Firm a Foundation (cont.)<br>⍞ Materials: Our Hymns, Our Heritage and/or Music PDF or Our Work Book, Bible</p><p>➜ RECAP<br>What is the name of the hymn for this term, and what is it about? Tell anything else you remember about its history.</p><p>➜ SING<br>Practice the tune by first listening to a verse, then humming the next two.<br>∞ Video Link: How Firm a Foundation Full Song</p><p>➜ READ &amp; DISCUSS<br>Let's focus on the lyrics a bit more. Read the whole song aloud, then look up the Bible verses below (mentioned last week in your hymnal) and tell what you notice about the images, ideas, or even direct words that the hymn writer used from each verse.</p><p>\- Isaiah 41:10 (Stanza 2)<br>\- Isaiah 43:2 (Stanza 3 &amp; 4)<br>\- Zechariah 13:9 (Stanza 4)<br>\- John 10:27-29, Romans 8:38-39, Hebrews 13:5-6 (Stanza 5)</p><p>➜ (Optional) COPYWORK (Grades 4+)<br>Write one of the Bible verses above underneath your hymn lyrics or in your copywork book.</p><p>• EXTRA HELPING<br>More on the song's history and how the author used bible verses in his composition. Note the additional verse <br>∞ Video Link: Hymn Story, Analysis, Performance</p>","<p>★ TEACHER TIP<br>If teaching in a classroom setting, assign verses to various students to keep this part of the lesson from taking too long.</p>","https://planning.alveary.org/links.html?id=reczI18s7yrqe1poa&term=1&week=2","Lesson","0","FALSE"
"alveary-reczI18s7yrqe1poa","alveary-rec7U1pTdbrxAS4jT","3","1","10m Hymns & Spirituals - Lesson 3","<p>How Firm a Foundation (cont.)<br>⍞ Materials: Our Hymns, Our Heritage and/or Music PDF or Our Work Book<br> <br>➜ RECAP<br>Sing the tune of How Firm a Foundation on &quot;hoo&quot; and read the words aloud. Pay attention to the meaning and punctuation as you read.</p><p>➜ SING  &amp; DISCUSS<br>Today, listen to a line of the song, then pause the video and echo it back, working your way line by line through the song. This will help you focus on each line of the song, not just the ones which come easily to you.<br>∞ Video Link: How Firm a Foundation Full Song</p><p>• What images or lines in the song do you like best?</p><p>➜ COPYWORK (Grade 4+)<br>Copy a line of the melody into your music journal and (if you are taking sol-fa), see if you can label the notes with the sol-fa syllables. Hint: it is written in the key of G, and the first note is &quot;So.&quot; Count up how many different sol-fa syllables you used in the song [there should be five]. This hymn is written using the pentatonic scale (often a major scale omitting fa and ti). Many other hymns (like Amazing Grace) are also written with only these five different sol-fa syllables. Explore Extra Helpings to explore a music theory rabbit hole on pentatonic music.</p>","","https://planning.alveary.org/links.html?id=reczI18s7yrqe1poa&term=1&week=3","Lesson","0","FALSE"
"alveary-reczI18s7yrqe1poa","alveary-recZabrIm4KQ0wlqp","4","1","10m Hymns & Spirituals - Lesson 4","<p>How Firm a Foundation (cont.)<br>⍞ Materials: Our Hymns, Our Heritage and/or Music PDF or Our Work Book<br>✂︎ GATHER SUPPLIES: Paints or sketching materials</p><p>➜ RECAP<br> Recite the hymn (as much as able).</p><p>➜ SING<br> Try to sing the whole song with the accompaniment. Note the areas where you aren't as sure of the tune or the words.<br>∞ Video Link: How Firm a Foundation Tune</p><p>➜ ILLUSTRATE<br>With remaining time (and feel free to continue on your own time if desired), sketch or paint an illustration for each verse in your music notebook or alongside your lyrics.</p>","<p>★ TEACHER TIP<br>If a student has a hard time coming up with an idea for an illustration, encourage them to focus on just one image from a verse to illustrate. There are no wrong illustrations as long as the student connects it to an aspect of the verse in their mind. The purpose is simply to help them inhabit and reflect on the verse in a different way.</p>","https://planning.alveary.org/links.html?id=reczI18s7yrqe1poa&term=1&week=4","Lesson","0","FALSE"
"alveary-reczI18s7yrqe1poa","alveary-recZJe0f7GcBLKVv4","5","1","10m Hymns & Spirituals - Lesson 5","<p>How Firm a Foundation (cont.)<br>⍞ Materials: Our Hymns, Our Heritage and/or Music PDF or Our Work Book<br> <br>➜ RECAP <br>Sing hymn from memory (as able).</p><p>➜ SING <br>Now that you know the words better, experiment with how you sing the song. Pick a few ideas to try or come up with your own. Think about how to emphasize the meaning of the words by the way you sing different verses. Are there other instruments you would use? Use the recording as needed.</p><p>• Sing some verses faster or slower.<br>• Sing some parts soft and some loud.<br>• Sing the song as a 2-part canon. To do this, divide into two groups (if with at least two people) or use the recording as your second person if solo. Group 1 should start singing, and then Group 2 begins at the beginning when Group 1 hits the &quot;tion&quot; in &quot;foundation&quot; in the first line (see #57 in Our Hymns, Our Heritage to see where Group 2 comes in). Because of the way the song is composed, the two groups will sound nice together even while singing different words!</p><p>∞ Audio Link: How Firm a Foundation Tune</p><p>• EXTRA HELPINGS<br>Experiment with more than two groups singing this hymn in a canon or round, and try starting at different places to see what sounds best. For instance, Group 2 could wait to start until Group 1 begins the second line of music in your hymnal. Or you could try having four different groups!</p>","","https://planning.alveary.org/links.html?id=reczI18s7yrqe1poa&term=1&week=5","Lesson","0","FALSE"
"alveary-reczI18s7yrqe1poa","alveary-reccMn1KKee3fQBGe","6","1","10m Hymns & Spirituals - Lesson 6","<p>Children of the Heavenly Father<br>⍞ Materials: Our Hymns, Our Heritage</p><p>(Optional) PREP: Read p.170 in your hymnal and the longer article about Lina and mark additional sections to share.<br>∞ Article Link: More about Lina</p><p>➜ RECAP <br>Warm up your voice by singing &quot;How Firm a Foundation.&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>You might not have heard of our second hymn this term, but it is a beautiful reminder of God's love for his children. Read from the hymnal and share any additional sections from the article as desired (older students can read the article directly).  <br>Our Hymns, Our Heritage, &quot;Text and Tune&quot; p.170</p><p>➜ LISTEN, PRACTICE, &amp; DISCUSS<br>Bookmark #74 in Our Hymns, Our Heritage, and read the English words aloud. Then listen to the full song.<br>∞ Video Link: Children of the Heavenly Father YouTube<br>∞ Audio Link: Children of the Heavenly Father Spotify</p><p>• What did you think of the song after hearing a bit about Lina's life?<br>• Discuss any unfamiliar words.</p><p>• IMPORTANT DATE<br>Carolina Sandell Berg (Sweden, 1823-1903 AD)</p><p>• EXTRA HELPINGS<br>Listen to the song in the original Swedish (and feel free to learn the song in Swedish instead of English if you'd rather!). <br>∞ YouTube Links: Tryggare kan ingen vara</p>","","https://planning.alveary.org/links.html?id=reczI18s7yrqe1poa&term=1&week=6","Lesson","0","FALSE"
"alveary-reczI18s7yrqe1poa","alveary-reck7AorjQqTAl0Vl","7","1","10m Hymns & Spirituals - Lesson 7","<p>Children of the Heavenly Father (cont.)<br>⍞ Materials: Our Hymns, Our Heritage and/or Our Work or Music PDF, Globe or World Atlas<br> <br>➜ RECAP &amp; MAPWORK<br>• What is &quot;Children of the Heavenly Father&quot; about?<br>• Locate Sweden on your atlas or globe. Can you find Småland or Stockholm?</p><p>➜ READ &amp; SING<br>• Read the lyrics aloud. <br>• Write down the beginning of each verse to help you remember the order. <br>• Work on the tune by alternating between listening and humming with the verses. Slow down and pause the tune after each line and hum the melody back if you run into any tricky spots.<br>∞ Music Links: Children of the Heavenly Father (YouTube or Spotify)</p><p>➜ DISCUSS<br>Can you think of any Bible stories or verses that Lina might have thought of when she wrote this song? [One option to read and discuss: Isaiah 40:11 and see the Extra Helping link for additional reflections on each verse]</p><p>• EXTRA HELPINGS<br>∞ Article Link: Reflections on CoftHF</p>","","https://planning.alveary.org/links.html?id=reczI18s7yrqe1poa&term=1&week=7","Lesson","0","FALSE"
"alveary-reczI18s7yrqe1poa","alveary-recmoEwoAGlaYOQAy","8","1","10m Hymns & Spirituals - Lesson 8","<p>Children of the Heavenly Father (cont.)<br>⍞ Materials: Our Hymns, Our Heritage and/or Our Work or Music PDF</p><p>➜ RECAP <br>Can you recite or sing the first verse without looking at the lyrics?</p><p>➜ SING <br>Practice singing &quot;Children of the Heavenly Father&quot; today. If you can hum the whole tune from memory, sing the words along with the recording. If you are still working on the melody, pause the video after each line and sing it back. This will help you learn the song in its entirety. <br>∞ Music Links: Children of the Heavenly Father (YouTube or Spotify)</p><p>➜ WRITE or ILLUSTRATE<br>• Describe or start to sketch an illustration for each verse of the song, OR (Grades 6+) pick a verse from the song and rewrite it in your own words.</p><p>• COMPOSITION (Grades 7+)<br>Paraphrase the rest of the song in prose (or feel free to write a poetic paraphrase!).</p>","","https://planning.alveary.org/links.html?id=reczI18s7yrqe1poa&term=1&week=8","Lesson","0","FALSE"
"alveary-reczI18s7yrqe1poa","alveary-recyD55C4I9idFI0o","9","1","10m Hymns & Spirituals - Lesson 9","<p>Children of the Heavenly Father (cont.)<br>⍞ Materials: Our Hymns, Our Heritage and/or Our Work or Music PDF, Globe or US Atlas</p><p>➜ RECAP <br>Recite &quot;Children of the Heavenly Father&quot; (as able), and mark any spots that need work.</p><p>➜ SING <br>Warm up your voice by humming a favorite song, then sing &quot;Children of the Heavenly Father&quot; with the accompaniment (without looking at the words if you can!). Don't worry if you make a mistake; just keep going and then go back afterward to check the words and sing the song again.<br>∞ Video Link: Children of the Heavenly Father Tune</p><p>➜ READ &amp; DISCUSS<br>Tell what you know about events happening around the world in the 1800s from anything you've learned in other subjects.</p><p>One of the reasons this hymn became so popular not only in Swedish but in English was due to two things: the famous soprano Jenny Lind who toured in North America and sang some of Lina's songs and the number of Swedes who immigrated to North America. We'll learn more about Jenny Lind next lesson.<br>∞ Article Link: Swedish Immigration</p>","","https://planning.alveary.org/links.html?id=reczI18s7yrqe1poa&term=1&week=9","Lesson","0","FALSE"
"alveary-reczI18s7yrqe1poa","alveary-recXe1raSwHnSpxTF","10","1","10m Hymns & Spirituals - Lesson 10","<p>Children of the Heavenly Father (cont.)<br>⍞ Materials: Our Hymns, Our Heritage and/or Our Work or Music PDF</p><p>➜ RECAP <br>Can you still sing &quot;How Firm a Foundation&quot; from the first part of the term?</p><p>➜ SING &amp; DISCUSS<br>• Sing the song without the accompaniment. Then check yourself with the tune and lyrics.<br>• Sing the song again and experiment. Although many recordings play the melody quite slowly, aspects of the tune feel more like a lullaby or dance. Try singing it like a lullaby, and play with the dynamics (speed, volume, etc.). What type of singing best fits each verse?<br>∞ Video Link: Children of the Heavenly Father Tune</p><p>➜ (Optional) LISTEN &amp; DISCUSS<br>Jenny Lind was a sensational singer and devout Christian from Sweden (and recently fictionalized in The Greatest Showman). She popularized Carolina Berg's melodies in her concerts. With the remaining time, learn more about Jenny's tour via video or article. <br>∞ Article Link: About Jenny Lind (Article)<br>∞ Video Link: About Jenny Lind (Video)</p><p>• EXTRA HELPINGS<br>Listen to a beautiful choir arrangement of Children of the Heavenly Father! <br>∞ Audio Link: Dan Forrest Arrangement</p>","","https://planning.alveary.org/links.html?id=reczI18s7yrqe1poa&term=1&week=10","Lesson","0","FALSE"
