"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-reczN2xAQgNfS8Ijx","alveary-recT2Mnb4lFWx9Wy3","1","1","20m Ethics: Part 4 - Lesson 1","<p>⍞ Materials: Ourselves: Book II</p><p>➜ INTRO<br>Divide readings into 11 sections evenly over the term; try to include whole stories or episodes if applicable so that you are not stopping in the middle of a section (around 3 pages a week). Watch for examples from your readings that reflect the moral virtues or vices that embody the sections read.</p><p>➜ READ &amp; NARRATE<br>p.1-32, divided across the term</p>","","","Lesson","0","FALSE"
"alveary-reczN2xAQgNfS8Ijx","alveary-recvhyMd8kh9S6cbS","2","1","20m Ethics: Part 4 - Lesson 2","<p>⍞ Materials: Ourselves: Book II</p><p>➜ INTRO<br>Watch for examples from your readings that reflect the moral virtues or vices that embody the sections read.</p><p>➜ READ &amp; NARRATE<br>p.1-32, divided across the term</p><p>➜ NOTE<br>Don't forget to divide the readings to stretch through the remaining weeks of the term. Read the next section, continuing from where you left off.</p>","<p>★ TEACHER TIP<br>If you haven't planned for a Community Read Aloud yet, consider adding it to your gathering, meal time, or as a way to lighten the burden of chores!  You can find suggestions in Quick Links.</p>","","Lesson","0","FALSE"
"alveary-reczN2xAQgNfS8Ijx","alveary-recYvQmmwLNsiRCS9","3","1","20m Ethics: Part 4 - Lesson 3","<p>⍞ Materials: Ourselves: Book II</p><p>➜ READ &amp; NARRATE<br>p.1-32, divided across the term</p><p>➜ NOTE<br>Read the next section, continuing from where you left off.</p>","","","Lesson","0","FALSE"
"alveary-reczN2xAQgNfS8Ijx","alveary-recYyF9cJFXprMHox","4","1","20m Ethics: Part 4 - Lesson 4","<p>⍞ Materials: Ourselves: Book II</p><p>➜ READ &amp; NARRATE<br>p.1-32, divided across the term</p><p>➜ NOTE<br>Read the next section, continuing from where you left off.</p>","","","Lesson","0","FALSE"
"alveary-reczN2xAQgNfS8Ijx","alveary-recrttpc3JFA2BxOC","5","1","20m Ethics: Part 4 - Lesson 5","<p>⍞ Materials: Ourselves: Book II</p><p>➜ READ &amp; NARRATE<br>p.1-32, divided across the term</p><p>➜ NOTE<br>Read the next section, continuing from where you left off.</p>","<p>★ TEACHER TIP<br>You can find suggestions for Community Read Alouds in Quick Links.</p>","","Lesson","0","FALSE"
"alveary-reczN2xAQgNfS8Ijx","alveary-rectmrTN3Su1hZRjl","6","1","20m Ethics: Part 4 - Lesson 6","<p>⍞ Materials: Ourselves: Book II</p><p>➜ READ &amp; NARRATE<br>p.1-32, divided across the term</p><p>➜ NOTE<br>Read the next section, continuing from where you left off.</p>","","","Lesson","0","FALSE"
"alveary-reczN2xAQgNfS8Ijx","alveary-recEkdPPiecHz6nhK","7","1","20m Ethics: Part 4 - Lesson 7","<p>⍞ Materials: Ourselves: Book II</p><p>➜ READ &amp; NARRATE<br>p.1-32, divided across the term</p><p>➜ NOTE<br>Read the next section, continuing from where you left off.</p>","","","Lesson","0","FALSE"
"alveary-reczN2xAQgNfS8Ijx","alveary-recEL4cGYsx5fv2DP","8","1","20m Ethics: Part 4 - Lesson 8","<p>⍞ Materials: Ourselves: Book II</p><p>➜ READ &amp; NARRATE<br>p.1-32, divided across the term</p><p>➜ NOTE<br>Read the next section, continuing from where you left off.</p>","","","Lesson","0","FALSE"
"alveary-reczN2xAQgNfS8Ijx","alveary-recJcTX0ajds9tVMK","9","1","20m Ethics: Part 4 - Lesson 9","<p>⍞ Materials: Ourselves: Book II</p><p>➜ READ &amp; NARRATE<br>p.1-32, divided across the term</p><p>➜ NOTE<br>Read the next section, continuing from where you left off.</p>","","","Lesson","0","FALSE"
"alveary-reczN2xAQgNfS8Ijx","alveary-rece5iEWZacl6CD3W","10","1","20m Ethics: Part 4 - Lesson 10","<p>⍞ Materials: Ourselves: Book II</p><p>➜ READ &amp; NARRATE<br>p.1-32, divided across the term</p><p>➜ NOTE<br>Read the next section, continuing from where you left off.</p>","","","Lesson","0","FALSE"
