"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-reczpuW6rvOyzzblj","alveary-recypnrsotpPGbStj","1","1","20m History: Grades 2-3 (U.S.) - Lesson 1","<p>Kentucky<br>⍞ Materials: Abraham Lincoln: An Initial Biography</p><p>➜ INTRO<br>Have you heard the name Abraham Lincoln? What do you know about him? He was the 16th President of the United States. However, no one would have assumed a boy born in a log cabin and who barely went to school would grow up to become the President. This is the story of his life.</p><p>➜ VIEW<br>∞ Image Link: Log cabin<br>This is a replica or copy of the one-room log cabin that Abraham Lincoln was born in. What would be hard about living in there with your family? You can see the inside of a cabin in your book.</p><p>➜ LOCATE<br>⍞ Map Resource: US Atlas<br>Find Kentucky. This is where Abraham Lincoln was born.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.5-14 &quot;It was a&quot; - &quot;was only seven.&quot;<br>• How is Abraham's life different from yours?<br>• How was life harder back then in the 1800s?</p><p>➜ VIEW<br>∞ Image Link: Photograph of Abraham Lincoln<br>You can use this for your timeline.</p>","","https://planning.alveary.org/links.html?id=reczpuW6rvOyzzblj&term=1&week=1","Lesson","0","FALSE"
"alveary-reczpuW6rvOyzzblj","alveary-recKu2UuoOKJAt9oQ","2","1","20m History: Grades 2-3 (U.S.) - Lesson 2","<p>Main Idea/Subtitle<br>⍞ Materials: Abraham Lincoln: An Initial Biography</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.15-26 &quot;Summer days went&quot; - &quot; school start up.&quot;<br>• Discussion Question Idea</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-reczpuW6rvOyzzblj","alveary-recYji22GJvA0U2Zx","3","1","20m History: Grades 2-3 (U.S.) - Lesson 3","<p>Main Idea/Subtitle<br>⍞ Materials: Abraham Lincoln: An Initial Biography</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.26-35 &quot;The winter Abe&quot; - &quot;about moving again.&quot;<br>• Discussion Question Idea</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-reczpuW6rvOyzzblj","alveary-recw1PgMToPwPsBu7","4","1","20m History: Grades 2-3 (U.S.) - Lesson 4","<p>Main Idea/Subtitle<br>⍞ Materials: Abraham Lincoln: An Initial Biography</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.37-46 &quot;February 12&quot; - &quot;he was defeated.&quot;<br>• Discussion Question Idea</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-reczpuW6rvOyzzblj","alveary-recVFMBXXoVvKQFeg","5","1","20m History: Grades 2-3 (U.S.) - Lesson 5","<p>Main Idea/Subtitle<br>⍞ Materials: Abraham Lincoln: An Initial Biography</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.47-57 Just before that&quot; - &quot;Stephen A. Douglas.&quot;<br>• Discussion Question Idea</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-reczpuW6rvOyzzblj","alveary-recAh9mSZdQ1xBcN9","6","1","20m History: Grades 2-3 (U.S.) - Lesson 6","<p>Main Idea/Subtitle<br>⍞ Materials: Abraham Lincoln: An Initial Biography</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.57-67 &quot;The very next&quot; - &quot;his own state.&quot;<br>• Discussion Question Idea</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-reczpuW6rvOyzzblj","alveary-rec7YkiEVC8F1aBio","7","1","20m History: Grades 2-3 (U.S.) - Lesson 7","<p>Main Idea/Subtitle<br>⍞ Materials: Abraham Lincoln: An Initial Biography</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.68-75 &quot;One spring day&quot; - &quot;into the fog.&quot;<br>• Discussion Question Idea</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-reczpuW6rvOyzzblj","alveary-recDW10yqxT8WOTDU","8","1","20m History: Grades 2-3 (U.S.) - Lesson 8","<p>Main Idea/Subtitle<br>⍞ Materials: Abraham Lincoln: An Initial Biography</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.77-86 &quot;February,1861&quot; - &quot;the White House.&quot;<br>• Discussion Question Idea</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-reczpuW6rvOyzzblj","alveary-recbPVUGDxF5AEnxA","9","1","20m History: Grades 2-3 (U.S.) - Lesson 9","<p>Main Idea/Subtitle<br>⍞ Materials: Abraham Lincoln: An Initial Biography</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.87-93 &quot;Freeing of the&quot; - &quot;Pursuit of Happiness.&quot;<br>• Discussion Question Idea</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
"alveary-reczpuW6rvOyzzblj","alveary-recCGnYmm4AUdFJVu","10","1","20m History: Grades 2-3 (U.S.) - Lesson 10","<p>Main Idea/Subtitle<br>⍞ Materials: Abraham Lincoln: An Initial Biography</p><p>➜ INTRO<br>Information</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.94-103 &quot;Only one of&quot; - &quot;feel any easier.&quot;<br>• Discussion Question Idea</p><p>➜ PROMPT<br>∞ Image Link: Title of Image</p>","","","Lesson","0","FALSE"
