"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-reczytoRRePjtWqL0","alveary-recB434n0EpLDG2Zu","1","1","45m Physics Lessons - Lesson 1","<p>⍞ Materials: Math Without Borders Physics Home Study Companion, computer access, and Schaum's College Physics</p><p>➜ NOTE<br>These lesson plans are an organizational tool that can be used as much or as little as is helpful; the Home Study Companion is your course. Note that the times in parentheses indicate the length of the HSC videos mentioned.</p><p>➜ VIEW/READ, NARRATE, &amp; DISCUSS<br>• Familiarize yourself with the new software you will be using. <br>• Print Unit overviews to keep in a folder for reference.<br>• Look over the PDF files in the Unit 1 folder.<br>• Read the Unit 1 overview.<br>• If needed, review helpful math concepts in the 1-00 Math Break folder (14.39, 1.30, 7.32) and Unit conversions and practice problems in video 1-01 (27.48).  Some students may not need any of this review, while others might spend a few days here.</p><p>• PLAN WEEKLY<br>⬚ nature walk - record observations<br>⬚ science free read</p>","","","Lesson","0","FALSE"
"alveary-reczytoRRePjtWqL0","alveary-reczxdnPsR3lDsXQL","1","2","45m Physics Lessons - Lesson 2","<p>⍞ Materials: Math Without Borders Physics Home Study Companion, computer access, and Schaum's College Physics</p><p>➜ VIEW/READ, NARRATE, &amp; DISCUSS<br>• Refer to the Unit 1 overview to note what video 1-02 is about before watching the lesson (25.27).<br>• Then, begin the Physics Problem Sets for Unit 1 with time remaining.</p>","","","Lesson","0","FALSE"
"alveary-reczytoRRePjtWqL0","alveary-rect1jjo16Di6XfyA","1","3","45m Physics Lessons - Lesson 3","<p>⍞ Materials: Math Without Borders Physics Home Study Companion, computer access, and Schaum's College Physics</p><p>➜ VIEW/READ, NARRATE, &amp; DISCUSS<br>• Refer to the Unit 1 overview to note what video 1-03 is about before watching the lesson (26.36).  <br>• Then, continue Unit 1 Problem Set with the remaining time.</p>","","","Lesson","0","FALSE"
"alveary-reczytoRRePjtWqL0","alveary-rec8xf4ibMoaBJfIz","1","4","45m Physics Lessons - Lesson 4","<p>⍞ Materials: Math Without Borders Physics Home Study Companion, computer access, and Schaum's College Physics</p><p>➜ PRACTICE/READ, NARRATE, &amp; DISCUSS<br>• Complete Physics Problem Set for Unit 1. <br>• Check out 1-05 Science and Society, as desired.</p>","","","Lesson","0","FALSE"
"alveary-reczytoRRePjtWqL0","alveary-recb4pSYY3ysrxUQm","1","5","45m Physics Lessons - Lesson 5","<p>⍞ Materials: Science Free Read, Math Without Borders Physics Home Study Companion, and computer access<br> <br>PREP: Read Student/Teacher Tip</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>• Read science free read, as desired, then move on to the lab.</p>","<p>★ STUDENT &amp; TEACHER TIP<br>Depending on the learner and the schedule, it may work best to read during the lesson time and begin the lab later or to devote time to the lab first and read at a later time or another day. Notice what works best and adjust accordingly</p>","","Lesson","0","FALSE"
"alveary-reczytoRRePjtWqL0","alveary-recxmDZro5HPzhy2o","1","6","60m Physics Lessons - Lesson 6","<p>⍞ Materials: Math Without Borders Physics Home Study Companion and computer access<br> <br>➜ LAB DAY<br>• If you need practice with measurements, do Project 1 in folder 1-04.  Otherwise, watch the short video about Using Tracker in Project 2 (11.29), choose from among the given Projects, and get started. <br>• Be sure to write your introductory narration in your notebook and journal about your progress.  <br>• When you finish, write your concluding narration.   <br>• If you finish quickly, you can take a break for today or choose another Project to begin.  If you don't finish today, you may do so another time.  You do not need to do all of the Projects.  You may continue them for fun in the afternoon or move on after doing one or two.</p>","","","Lesson","0","FALSE"
"alveary-reczytoRRePjtWqL0","alveary-recgozdpvaVBUamiA","2","1","45m Physics Lessons - Lesson 7","<p>⍞ Materials: Math Without Borders Physics Home Study Companion, computer access, and Schaum's College Physics</p><p>➜ VIEW/READ, NARRATE, &amp; DISCUSS<br>• Refer to the Unit 2 overview to note what video 2-01 is about before watching the lesson (32.05).</p><p>• PLAN WEEKLY<br>⬚ nature walk - record observations<br>⬚ science free read</p>","","","Lesson","0","FALSE"
"alveary-reczytoRRePjtWqL0","alveary-reccBMXXx0ToGtVGS","2","2","45m Physics Lessons - Lesson 8","<p>⍞ Materials: Math Without Borders Physics Home Study Companion, computer access, and Schaum's College Physics</p><p>➜ VIEW/READ, NARRATE, &amp; DISCUSS<br>• Refer to the Unit 2 overview to note what video 2-02a is about before watching the lesson (20.24).<br>• Then, watch 2-02b (16.52).</p>","","","Lesson","0","FALSE"
"alveary-reczytoRRePjtWqL0","alveary-recQnYvOF81bthHfm","2","3","45m Physics Lessons - Lesson 9","<p>⍞ Materials: Math Without Borders Physics Home Study Companion, computer access, and Schaum's College Physics</p><p>➜ VIEW/READ, NARRATE, &amp; DISCUSS<br>• Refer to the Unit 2 overview to note what video 2-03a is about before watching the lesson (15.40). <br>• Then, begin the Physics Problem Sets for Unit 2 with time remaining.</p>","","","Lesson","0","FALSE"
"alveary-reczytoRRePjtWqL0","alveary-recOW06Itl7tV6esq","2","4","45m Physics Lessons - Lesson 10","<p>⍞ Materials: Math Without Borders Physics Home Study Companion, computer access, and Schaum's College Physics</p><p>➜ VIEW/READ, NARRATE, &amp; DISCUSS<br>• Watch 2-04a (30.33).  <br>• Then, continue the Problem Set for Unit 2.</p>","","","Lesson","0","FALSE"
