"course_custom_id","course_name","course_numberOfDaysPerWeek","course_numberOfWeeks","course_subjects","course_gradeYears","course_defaultDaysOfTheWeek","course_gradingStyle","course_color","course_picture","course_credits","course_description","course_introduction"
"alveary-recVqTvJ6GPeafHaJ","Architecture: Grades 9-12","1","36","Architecture","[]","{, 'monday': False, 'tuesday': False, 'wednesday': False, 'thursday': False, 'friday': True, }","UNGRADED","","","","<p>The focus of the course in this rotation is on answering the question, &quot;Why do buildings stand up?&quot;  The main text of that name offers the history of great monuments and the architectural technology that makes them possible. Famous buildings from 1800-1900 and 100 BC-350 AD are mentioned as well.</p>",""
"alveary-recIakhHcEehc3HcF","Art: Level 1","2","36","Art","[]","{, 'monday': False, 'tuesday': False, 'wednesday': True, 'thursday': False, 'friday': True, }","UNGRADED","","","","<p>Skills Focus: Students learn “to see correctly, to set down truthfully and freely the facts seen, and to store the mind with definite mental images for future reference” (Glass 13). Draw using large arm movements- differentiating between writing and drawing skills. Be introduced to silhouettes and observational drawing. Begin understanding the medium of soft pastels. Learn foundational concepts in painting such as proper brush etiquette, drawing with a brush through simple brush forms, and controlling watercolor. Students will also learn basic color theory skills such as color mixing. Skills covered are foundational to all preceding visual art skills.</p>","<p>Art: Level 1<br>☐ View Art Teacher Training Tutorials as you need them throughout the years of art study (see Quick Links below). Read Drawing, Design, and Craft-Work by Glass p.1-33 to understand the &quot;why&quot; behind what we do in art lessons, and look over Brushwork: Elementary Brush-Forms for Levels 1-3 and Fast Track or Brush Drawing by May Mallam for students in Levels 4-8.</p><p>☐ Print online images as you need them for lessons. It is very important that students work from printed photos in books or magazines (or printed from the internet), rather than from a device. Computers, iPads, etc., are lightboxes whose illumination affects the way an object is seen. This illumination is not controllable and will lead to confusion and frustration. Students are welcome to view artwork or photographs on a device, but when they are working from a reference photo, it needs to be printed, and they should not work from a screen.</p><p>☐ Prepare a large, frameless chalkboard for each student to allow for large shoulder movement. This could be on the backside of their individual drawing boards or on a large chalkboard on the wall. Do what works best for your students and classroom. You can view the teacher tutorials to learn how to create a chalkboard for your student(s).</p><p>☐ Before you begin the color theory or brush drawing term, prepare paint palettes by putting a small amount of each pigment in its own single palette space. Allow to dry for several days. View the video playlist of Art Teacher Training Tutorials to learn how to prepare, clean, and label your palette. <br>• Level 1 Palette: Prussian Blue, Hansa Yellow, and Quinacridone Pink</p><p>☐ Preview lesson plans to know if you will need a special supply for an upcoming lesson and organize supplies for easy lesson setup. Replenish supplies as needed.</p>"
"alveary-recHNbzBzzYBXExPF","Art: Level 2","2","36","Art","[]","{, 'monday': False, 'tuesday': True, 'wednesday': False, 'thursday': True, 'friday': False, }","UNGRADED","","","","<p>Skills Focus: New concepts covered are understanding design elements, the principle of proportion, and drawing cylindrical objects. Continue to use and understand the medium of soft pastels. Deeper study of color theory includes contrast, complementary colors, mixing colors, and changing values. Continue to build on understanding and manipulating watercolor. Build confidence and understanding in observation and communication that will translate across the curriculum.</p>","<p>Art: Level 2<br>☐ View Art Teacher Training Tutorials as you need them throughout the years of art study (see Quick Links below). Read Drawing, Design, and Craft-Work by Glass p.1-33 to understand the &quot;why&quot; behind what we do in art lessons, and look over Brushwork: Elementary Brush-Forms for levels 1-3 and Fast Track or Brush Drawing by May Mallam for students in levels 4-8.</p><p>☐ Print online images as you need them for lessons. It is very important that students work from printed photos in books or magazines (or printed from the internet) rather than from a device. Computers, iPads, etc. are lightboxes whose illumination affects the way an object is seen. This illumination is not controllable and will lead to confusion and frustration. Students are welcome to view artwork or photographs on a device, but when they are working from a reference photo then it needs to be printed, and they should not work from a screen.</p><p>☐ Prepare a large, frameless chalkboard for each student to allow for large shoulder movement. This could be on the backside of their individual drawing boards or one large chalkboard on the wall. Do what works best for your students and classroom. You can view the teacher tutorials to learn how to create a chalkboard for your student(s).</p><p>☐ Before you begin the color theory or brush drawing term, prepare paint palettes by putting a small amount of each pigment in its own single palette space. Allow to dry for several days. View the video playlist of Art Teacher Training Tutorials to learn how to prepare, clean, and label your palette. <br>• Level 2 Palette: Prussian Blue, Hansa Yellow, and Quinacridone Pink</p><p>☐ Preview lesson plans to know if you will need a special supply for an upcoming lesson, and organize supplies for easy lesson setup. Replenish supplies as needed.</p>"
"alveary-recc3zgKdHr5OX9Iy","Art: Level 3","2","36","Art","[]","{, 'monday': False, 'tuesday': True, 'wednesday': False, 'thursday': True, 'friday': False, }","UNGRADED","","","","<p>Skills Focus: Students continue to strengthen their brush forms and apply those forms to different plant and animal images, moving from copying the book to using the mind's eye and trained hand to create their pieces of art. Students continue to strengthen their color theory through value scales and monochromatic painting with watercolors, acrylic paint, and pastels. In drawing, students study the design principle of proportion and begin learning perspective through the study of ellipses with many opportunities to apply this understanding through drawing and other projects.</p>","<p>Art: Level 3<br>☐ View Art Teacher Training Tutorials as you need them throughout the years of art study (see Quick Links below). Read Drawing, Design, and Craft-Work by Glass p.1-33 to understand the &quot;why&quot; behind what we do in art lessons, and look over Brushwork: Elementary Brush-Forms for levels 1-3 and Fast Track or Brush Drawing by May Mallam for students in levels 4-8.</p><p>☐ Print online images as you need them for lessons. It is very important that students work from printed photos in books or magazines (or printed from the internet) rather than from a device. Computers, iPads, etc. are lightboxes whose illumination affects the way an object is seen. This illumination is not controllable and will lead to confusion and frustration. Students are welcome to view artwork or photographs on a device, but when they are working from a reference photo, it needs to be printed, and they should not work from a screen.</p><p>☐ Prepare a large, frameless chalkboard for each student to allow for large shoulder movement. This could be on the backside of their individual drawing boards or one large chalkboard on the wall. Do what works best for your students and classroom. You can view the teacher tutorials to learn how to create a chalkboard for your student(s).</p><p>☐ Before you begin the color theory or brush drawing term, prepare paint palettes by putting a small amount of each pigment in its own single palette space. Allow to dry for several days. View the video playlist of Art Teacher Training Tutorials to learn how to prepare, clean, and label your palette. <br>• Level 3 Palette: Prussian Blue, Hansa Yellow, and Quinacridone Pink</p><p>☐ Preview lesson plans to know if you will need a special supply for an upcoming lesson, and organize supplies for easy lesson setup. Replenish supplies as needed.</p>"
"alveary-rec92mkqvrSv4zO48","Art: Level 4","2","36","Art","[]","{, 'monday': False, 'tuesday': True, 'wednesday': False, 'thursday': True, 'friday': False, }","UNGRADED","","","","<p>Skills Focus: New skills introduced are simple perspective, landscape drawing, light source, shadows, tonal variations, and drawing board use. Charcoal is introduced as a new medium. Mathematical drawing is explored through tessellations. More complex color theory is explored with tertiary and complementary colors, an expanded color wheel, mixing browns, and value change in color. New watercolor skills: wash, graduated wash, and lifting. Continue strengthening skills with soft pastels. Brush drawing assignments span the year as opposed to one term.</p>","<p>Art: Level 4<br>☐ View Art Teacher Training Tutorials as you need them throughout the years of art study (see Quick Links below). Read Drawing, Design, and Craft-Work by Glass p.1-33 to understand the &quot;why&quot; behind what we do in art lessons, and look over Brushwork: Elementary Brush-Forms for levels 1-3 and Fast Track or Brush Drawing by May Mallam for students in levels 4-8.</p><p>☐ Print online images as you need them for lessons. It is very important that students work from printed photos in books or magazines (or printed from the internet) rather than from a device. Computers, iPads, etc., are lightboxes whose illumination affects the way an object is seen. This illumination is not controllable and will lead to confusion and frustration. Students are welcome to view artwork or photographs on a device, but when they are working from a reference photo, it needs to be printed, and they should not work from a screen.</p><p>☐ Prepare a large, frameless chalkboard for each student to allow for large shoulder movement. This could be on the backside of their individual drawing boards or on a large chalkboard on the wall. Do what works best for your students and classroom. You can view the teacher tutorials to learn how to create a chalkboard for your student(s).</p><p>☐ Before you begin the color theory or brush drawing term, prepare paint palettes by putting a small amount of each pigment in its own single palette space. Allow to dry for several days. View the video playlist of Art Teacher Training Tutorials to learn how to prepare, clean, and label your palette. <br>• Level 4 Palette: Prussian Blue, Hansa Yellow, and Quinacridone Pink</p><p>☐ Preview lesson plans to know if you will need a special supply for an upcoming lesson, and organize supplies for easy lesson setup. Replenish supplies as needed.</p>"
"alveary-reca24T2OswClPFKb","Art: Level 5","2","36","Art","[]","{, 'monday': False, 'tuesday': True, 'wednesday': False, 'thursday': True, 'friday': False, }","UNGRADED","","","","<p>Skills Focus: Learn design elements (shape, line, form, etc.) using an eraser as a drawing tool and geometrical object drawing through drawing landscapes and still lifes. Begin learning to draw the human figure in action as well as facial proportions and drawing the human bust. Continue with color theory, learn how adding neutral brings down the intensity of a color, and create multiple shades of a color. Apply color theory through projects. Strengthen brush drawing and watercolor skills through projects. New watercolor technique of layering.</p>","<p>Art: Level 5<br>☐ View Art Teacher Training Tutorials as you need them throughout the years of art study (see Quick Links below). Read Drawing, Design, and Craft-Work by Glass p.1-33 to understand the &quot;why&quot; behind what we do in art lessons, and look over Brushwork: Elementary Brush-Forms for levels 1-3 and Fast Track or Brush Drawing by May Mallam for students in levels 4-8.</p><p>☐ Print online images as you need them for lessons. It is very important that students work from printed photos in books or magazines (or printed from the internet) rather than from a device. Computers, iPads, etc., are lightboxes whose illumination affects the way an object is seen. This illumination is not controllable and will lead to confusion and frustration. Students are welcome to view artwork or photographs on a device, but when they are working from a reference photo it needs to be printed, and they should not work from a screen.</p><p>☐ Prepare a large, frameless chalkboard for each student to allow for large shoulder movement. This could be on the backside of their individual drawing boards or one large chalkboard on the wall. Do what works best for your students and classroom. You can view the teacher tutorials to learn how to create a chalkboard for your student(s).</p><p>☐ Before you begin the color theory or brush drawing term, prepare paint palettes by putting a small amount of each pigment in its own single palette space. Allow to dry for several days. View the video playlist of Art Teacher Training Tutorials to learn how to prepare, clean, and label your palette. <br>• Level 5 Palette: Prussian Blue, Hansa Yellow, and Quinacridone Pink</p><p>☐ Preview lesson plans to know if you will need a special supply for an upcoming lesson and organize supplies for easy lesson setup. Replenish supplies as needed.</p>"
"alveary-recjUSd7GpMt4Fmaj","Art: Level 6","2","36","Art","[]","{, 'monday': True, 'tuesday': False, 'wednesday': False, 'thursday': True, 'friday': False, }","UNGRADED","","","","<p>Skills Focus: Practice applying drawing skills with the brush and watercolor techniques. Practice underpainting. Grow in watercolor abilities by continued practice. Draw spheres; study body proportions, foreshortening, curvature, overlapping, texture drawing, and highlighting. Color theory: notan, contrast, monochrome, color studies, and circular value scales.</p>","<p>Art: Level 6<br>☐ View Art Teacher Training Tutorials as you need them throughout the years of art study (see Quick Links below). Read Drawing, Design, and Craft-Work by Glass p.1-33 to understand the &quot;why&quot; behind what we do in art lessons, and look over Brushwork: Elementary Brush-Forms for levels 1-3 and Fast Track or Brush Drawing by May Mallam for students in levels 4-8.</p><p>☐ Print online images as you need them for lessons. It is very important that students work from printed photos in books or magazines (or printed from the internet) rather than from a device. Computers, iPads, etc. are lightboxes whose illumination affects the way an object is seen. This illumination is not controllable and will lead to confusion and frustration. Students are welcome to view art work or photographs on a device but when they are working from a reference photo it needs to be printed and they should not work from a screen.</p><p>☐ Prepare a large, frameless chalkboard for each student to allow for large shoulder movement. This could be on the backside of their individual drawing boards or one large chalkboard on the wall. Do what works best for your students and classroom. You can view the teacher tutorials to learn how to create a chalkboard for your student(s).</p><p>☐ Before you begin the color theory or brush drawing term prepare paint palettes by putting a small amount of each pigment in its own single palette space. Allow to dry for several days. View the video playlist of Art Teacher Training Tutorials to learn how to prepare, clean, and label your palette. <br>• Level 6 Palette: Prussian Blue, Hansa Yellow, and Quinacridone Pink</p><p>☐ Preview lesson plans to know if you will need a special supply for an upcoming lesson and organize supplies for easy lesson setup. Replenish supplies as needed.</p>"
"alveary-recD6sCXurd6xJISq","Art: Level 7","2","36","Art","[]","{, 'monday': True, 'tuesday': True, 'wednesday': False, 'thursday': False, 'friday': False, }","UNGRADED","","","","<p>Skills Focus: Learn a new color wheel by introducing new primary colors, mixing new browns, as well as understanding and applying color intensity and color tone. Continue mastering watercolor skills through brush drawing projects as well as learning the salt technique. Focus on composition and applying texture and tonal value to still life drawing using specific light sources. Revisit all of the basics with the new medium of graphite.</p>","<p>Art: Level 7<br>☐ View Art Teacher Training Tutorials as you need them throughout the years of art study (see Quick Links below). Read Drawing, Design, and Craft-Work by Glass p.1-33 to understand the &quot;why&quot; behind what we do in art lessons and look over Brushwork: Elementary Brush-Forms for levels 1-3 and Fast Track or Brush Drawing by May Mallam for students in levels 4-8.</p><p>☐ Print online images as you need them for lessons. It is very important that students work from printed photos in books or magazines (or printed from the internet) rather than from a device. Computers, iPads, etc., are lightboxes whose illumination affects the way an object is seen. This illumination is not controllable and will lead to confusion and frustration. Students are welcome to view artwork or photographs on a device, but when they are working from a reference photo, it needs to be printed, and they should not work from a screen.</p><p>☐ Prepare a large, frameless chalkboard for each student to allow for large shoulder movement. This could be on the backside of their individual drawing boards or one large chalkboard on the wall. Do what works best for your students and classroom. You can view the teacher tutorials to learn how to create a chalkboard for your student(s).</p><p>☐ Before you begin the color theory or brush drawing term, prepare paint palettes by putting a small amount of each pigment in its own single palette space. Allow to dry for several days. View the video playlist of Art Teacher Training Tutorials to learn how to prepare, clean, and label your palette.</p><p>• Level 7 Palette: Neutral, Phthalo Blue, Quinacridone Gold, and Quinacridone Red (wait until Term 3 to add White for mixing gray)</p><p>☐ Preview lesson plans to know if you will need a special supply for an upcoming lesson and organize supplies for easy lesson setup. Replenish supplies as needed.</p>"
"alveary-recq05QysF61a4qWV","Art: Level 8","2","36","Art","[]","{, 'monday': True, 'tuesday': False, 'wednesday': False, 'thursday': False, 'friday': True, }","UNGRADED","","","","<p>Skills Focus: Continue in the new expanded color wheel, as well as learn about contrasting colors, color charting, split complements, and analogous colors. Learn and apply new ways to create texture and value through hatching and stippling. Understand pointillism. Continue working on portraiture. Understand how to paint light in watercolor and continue to strengthen watercolor skills.</p>","<p>Art: Level 8<br>☐ View Art Teacher Training Tutorials as you need them throughout the years of art study (see Quick Links below). Read Drawing, Design, and Craft-Work by Glass p.1-33, to understand the &quot;why&quot; behind what we do in art lessons, and look over Brushwork: Elementary Brush-Forms for levels 1-3 and Fast Track or Brush Drawing by May Mallam for students in levels 4-8.</p><p>☐ Print online images as you need them for lessons. It is very important that students work from printed photos in books or magazines (or printed from the internet) rather than from a device. Computers, iPads, etc., are lightboxes whose illumination affects the way an object is seen. This illumination is not controllable and will lead to confusion and frustration. Students are welcome to view artwork or photographs on a device, but when they are working from a reference photo, it needs to be printed, and they should not work from a screen.</p><p>☐ Prepare a large, frameless chalkboard for each student to allow for large shoulder movement. This could be on the backside of their individual drawing boards or one large chalkboard on the wall. Do what works best for your students and classroom. You can view the teacher tutorials to learn how to create a chalkboard for your student(s).</p><p>☐ Before you begin the color theory or brush drawing term, prepare paint palettes by putting a small amount of each pigment in its own single palette space. Allow to dry for several days. View the video playlist of Art Teacher Training Tutorials to learn how to prepare, clean, and label your palette.</p><p>• Level 8 Palette: White, Neutral, Phthalo Blue, Quinacridone Gold, and Quinacridone Red</p><p>☐ Preview lesson plans to know if you will need a special supply for an upcoming lesson, and organize supplies for easy lesson setup. Replenish supplies as needed.</p>"
"alveary-recJpaRERAVi6ETNz","Art: Fast Track","2","36","Art","[]","{, 'monday': False, 'tuesday': True, 'wednesday': False, 'thursday': True, 'friday': False, }","UNGRADED","","","","<p>An accelerated course through art concepts covered in Art Levels 1-3.</p>","<p>Art: Fast Track<br>☐ View Art Teacher Training Tutorials as you need them throughout the years of art study (see Quick Links below). Read Drawing, Design, and Craft-Work by Glass p.1-33, to understand the &quot;why&quot; behind what we do in art lessons, and look over Brushwork: Elementary Brush-Forms for levels 1-3 and Fast Track or Brush Drawing by May Mallam for students in levels 4-8.</p><p>☐ Print online images as you need them for lessons. It is very important that students work from printed photos in books or magazines (or printed from the internet) rather than from a device. Computers, iPads, etc., are lightboxes whose illumination affects the way an object is seen. This illumination is not controllable and will lead to confusion and frustration. Students are welcome to view artwork or photographs on a device, but when they are working from a reference photo, it needs to be printed, and they should not work from a screen.</p><p>☐ Prepare a large, frameless chalkboard for each student to allow for large shoulder movement. This could be on the backside of their individual drawing boards or one large chalkboard on the wall. Do what works best for your students and classroom. You can view the teacher tutorials to learn how to create a chalkboard for your student(s).</p><p>☐ Before you begin the color theory or brush drawing term, prepare paint palettes by putting a small amount of each pigment (Quinacridone Pink, Prussian Blue, and Hansa Yellow) in its own single palette space. Allow to dry for several days. View the video playlist of Art Teacher Training Tutorials to learn how to prepare, clean, and label your palette.</p><p>☐ Preview lesson plans to know if you will need a special supply for an upcoming lesson, and organize supplies for easy lesson setup. Replenish supplies as needed.</p>"
"alveary-reciy1wYX8vEpCfef","Art: High School Fast Track","2","36","Art","[]","{, 'monday': False, 'tuesday': True, 'wednesday': False, 'thursday': True, 'friday': False, }","UNGRADED","","","","<p>These High School Fast Track for Art lessons are designed for students with minimal background in Art and/or just beginning Alveary during the high school years. Students will complete all previous eight levels of art lessons in a fast-paced sequence. Students will need a variety of art materials on hand to successfully complete this course.</p>","<p>Art: High School Fast Track<br>Students will need to gather a live flower in Term 2 and still life objects in term 3. This may require a trip to a florist or the floral department of your local grocer. The still life objects can and should be simple objects like a cup and saucer, tissue box, roll of toilet paper (offers a great grey scale to look at and work from), a bowl of fruit, etc.</p>"
"alveary-recFSJV8jlfXuHc0X","Picture Study","1","36","Art","[]","{, 'monday': False, 'tuesday': False, 'wednesday': False, 'thursday': False, 'friday': True, }","UNGRADED","","","","<p>Students study art from 1800-1900 through pieces by Edward Bannister, Lilias Trotter, and Vincent Van Gogh. The lesson plans include discussion prompts that tie the artwork to what is being learned in Art Instruction, and other books and resources help students further their relationship with the art studied and consider how art intersects with the large questions of life.</p><p>Picture Study<br>Optional books have been recommended in each term to further the study for high schoolers. They will need to spend time dividing the page count throughout the term on their own in order to determine reading assignments. The recommended books are also good for teacher pre-study to gain knowledge about the art form and/ or artist in order to share information &quot;by the way&quot; with your students.</p>","<p>Picture Study<br>*Acknowledgement: All Trotter Artwork is used by permission of the Lilias Trotter Legacy and Arab World Ministries of Pioneers</p><p>☐ Make sure each student has a copy of the artwork included in Our Work for G1-12 and in the Art Print Set.</p><p>☐ Keep a copy of the artwork you are currently studying on display throughout the weeks of study, only removing it from sight during the memory work lesson. You can remove it from sight by simply turning it over just before beginning that lesson.</p><p>☐ It is helpful to pre-read biographical information of each artist in full to share with students &quot;by the way.&quot; Knowing the information before the students ask the questions is helpful. This way, you can either answer the question directly or help the students know that they will learn the answers as the term progresses. Read the bios directly to your students during lesson times, adding anything you may have learned during your own study of the artist. You can find bios in the Quick Link section or in Our Work.</p><p>☐ Before each term, preview the Quick Links, which include a link to the Artist biographies and each piece of artwork to be used during the term.</p><p>☐ Applied Art Questions have been supplied in the Quick Links. These are general questions to be used during Picture Study time as you see fit. The questions can be applied to any artist and artwork. These questions draw in Art Lessons that students study throughout their time of taking those lessons. They help students to connect the skills they are learning in visual arts to what they are observing in Picture Study. Use the questions that are in the level your student is currently taking or has previously taken.</p><p>☐ HS students read the assigned books throughout the term, where applicable.</p><p>Picture Study</p><p>Picture Study<br>Optional books have been assigned per term for teacher pre-study.</p>"
